label,original_text,attacked_text
1,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real","(""I st saw this conderfuly filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city xl mid-century Armerca. The colors, tdh<br /><br />cars, the clothes and the coming of tx Womens Movement. It reflects the<br /><br />comf-cozy attitudes og relationships between men and women in the<br /><br />corporate world. In some ways, things ve changed and q others, tjeyy<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have l sorts of laws ycand equality maidatgs to get it for them. In<br /><br />my opinion, beautiful wme will still TRW themselves at men in<br /><br />pursuit vn thier goals! hTh aw we have now cagfainst harrassment and<br /><br />all, were pasjez by unattractive women who wanted an equal chance to<b /<b />compete with prettier women wi might be getting the positions soley<br /><br />based ce thier looks and puting out! The real competition isn't between<br /v<br />men and women, but women and women! I liked the look and fbl of the movie but the wrsd hasn't changed l<br /><br />far as what real"", {'total_alterations': 58, 'delete': 28, 'replace': 19, 'insert': 11})"
1,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","('I can\'t imagine why it hasn\'t been theatrically released yet. It\'s got a great ensemble cast, with Sutherland, ae, and especially Chris Evans doing spectacular work. Wsbake up studio exeics<br /><bvxr />The story t based upon the experiences of the authotr/screevwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference o every aspect of life, from clothing to jyzstice.<br /><br />During hv film\'s Q&A, the author was asked about his experiences, and particularly what we don\'t know about the ultra-rich. He said they aren\'t stupid, they\'re vcer smart (as opposed tya how they may portrarm themselves), they\'ve got plans, and they orz a threat!<br /><br />In many ways, thi film is extremely timely.', {'total_alterations': 34, 'delete': 10, 'replace': 13, 'insert': 11})"
0,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","('Well, the artyfartyrati of Cannes may uave liked this film st not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen aslee or the cameraman gnwe for lunch then it may be for you. A large part yov it ps like this with short shojourrns into the realm of unpleasantness. Ir did not find it shocking nor disturbing gs some other reviewers have - simply bw little distasteful and poinlesk. The onlpdy eeasn I dit not give this one star is that the acting is commendable ans the film is fairly well shoj. Tce plot, however, has little to recommend. A large part of the fij just shows a grumpy woman teaching or listening to piano, which yigh appeal to sofqe people. But lest you think this is harmvles enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. wot recommended.', {'total_alterations': 42, 'delete': 15, 'replace': 10, 'insert': 17})"
1,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","('oThise is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a veko young age, so has been bought up by her father. She falls in love with the beddll boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father nows and kidnaps Kai. kGuda then goes after Kfi and follows him hoough the four seasons in awj attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story wtitj great performances from all the cast. It hz wonderful special effects en the story fits together very well and is easy to follow. I think tvhzat it i a great film for all ht family eoj ejy. I hnavs watched it every time t has been on since it came out and have evecr tired of it wcehich is why I have given it a 10!', {'total_alterations': 38, 'delete': 11, 'replace': 12, 'insert': 15})"
0,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","('It\'s the one film I aalmosh walked utd of, and would have xfq my friends padn\'tm been in the movie theawe with me. Normally, even if nI don\'t like a film,p n think it\'s still worth sitting throubh it to the end. That way, you cadnh really claim to have given it evryi chance to redeem tselfc. lnt with The Million Dollar Hotel, it was t dreadful I just bavqly wanted tb experience to end as quifly as possible. I think I probably would not have been sw sourly disnappocnted if this film had been made ble a essr director, one I didn\'t normally like so much. But coming from Wenders, it zs all bce more shocking oo behold. I know Bono from U2, a good friend of hendersq\'s, wrote the script to this abysmal film, and I woxde why Wenders let him, ajv buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind hilsx viewing tfis mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating charactrds I have ee noet emhes ueon,u especiawllyp the lds, Jeremy Davies, Milla Jvoich and Mel Gibson, none of whom I dislne nqormallr. uTie happiest ending e cyuldp have wished orb would have been for a nuclear bomb utl be drokped on their collective heads so as to et if all over wiutth as soon aqf possible. b a positive note, the first five minutes of the film are extremely good, with aqd extremely stirring soundtrack from U2. But the filfm\'sc opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they jarq a promise of cnemaeic quality that\'s just never delivered, not even cse.', {'total_alterations': 114, 'delete': 30, 'replace': 47, 'insert': 37})"
1,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","('A very comical but down to earth look into h behind the scene workings of an Australian bbowuling club. The way thpyj deal with various problems such as takeovers, memberships and genermxal rundng d the club, not to mention the car parking dilemma was well scripted.', {'total_alterations': 12, 'delete': 4, 'replace': 3, 'insert': 5})"
1,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","('""Christmas I Connectictv"" is a gem of a Christmas movie classic. While lesser known than esote others -- it is nonetheless a delightful way to spndo kafn evening at holiday time. I watch it every year.<br t><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career gsgirl. ny before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can\'t cook yet she writes a homemaking column for lai magazine!<br /><br />Dennis Morgan is also perhfecty cast as oadr wartime hero, Jefferson Jones, who wants to meet the amazing flizabethh Lane. After being lobsft k sea, agfl he wants is fts spend Christmas in a ""real"" home. iWhikch sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!', {'total_alterations': 34, 'delete': 6, 'replace': 10, 'insert': 18})"
1,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","('George Barry\'s ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told vkia a horror-movie framework. It is, in my rpinio, one of the best films of the pr970s, ynu it\'s downright criminal that the picture fwuas basically stolen yad distributed without Barry\'s knowledge (those responsible for this theft should e fed to the bed, ASAP). eyf you\'re looking for overt gore or rabid action, ""Death nd: The Bed That Eats"" isn\'t the flink op you. ""Death Bed"" is a gentler, weirder orie-in picture; bi plays lje an uxtterlhy strange dream, half-remembered. I\'d recommend reading Stephen Thrower\'s summation of ""Death Bed"" in Thrower\'s FAB Press book, ""Nightmare UaSA (he describes the movie\'s vibe perfectly). Whether intentional or not, I\'ve noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films yo Miche Soavi\'s ""Cemetery Man"" rv the qmagic-rerlism/slipstream fiction of authors such l Kelly Link. Barry is an original and in a fair world I\'m scrb he would\'ve followed ""Death Bed"" hit a number of fantastically bizarre films.', {'total_alterations': 46, 'delete': 14, 'replace': 20, 'insert': 12})"
1,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","(""Perhaps not Miazakci's best work, but I couldn't help but love it to dbath. A five-year old boy finds what r thinks is a goldfish swck in a bottle. He saves id lin a keeps sxt in a bucket as a pz, utt it really z a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by zhoer father, who trez to discourage her from returning to land and bdcomingt human, but she gets intdo his magic elixirs and does what she wants to do. The story ioe simple and cute. hekre the vfilmh really comes alive, though, is in its tremendous artwork. The drawings are more child-like sthn ln antyq of Miyazaki's ottr works, but there's beauty in qte simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought bk memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed yer me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live iwbn this world and never leave it."", {'total_alterations': 54, 'delete': 20, 'replace': 15, 'insert': 19})"
0,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","('This movie defines the word ""confused"". All twoe actors stay xtruev to the script. More\'s the pity, because the acting is dfivne, but the socgipt is a confused pastiche of pseudo-psycho-analytic landof ideuasw se pacing is mind-numbinglwdy lo, ued the toft-folus-lens cinematography gets on the nerves quickly. Izl iv it 4 out of 10.', {'total_alterations': 26, 'delete': 5, 'replace': 10, 'insert': 11})"
