label,original_text,attacked_text
1,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","('I have to preface this by sayinq I went here yer and years ago, and wet o oz back ft see if the nuavlity has held. A colleague and v were in Montreal frv et conference, and I zerd the qoncierae tell a hotel jurest about it. The lbvster, mango and avocado salad was excelenct, and we chose uo go back for three consecutive nights until we had to eve towmm, and, usaely, Restaurant Julien.', {'total_alterations': 38, 'delete': 12, 'replace': 16, 'insert': 10})"
0,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","('It should never ever - ever EVER ftakhe 30 minutes lto gmen a burrito bowl, no matter iw jng theww line is. Yes, it was lunhcd time but margement should have this under cauntrol. 2 stars only because I heart chipotle.', {'total_alterations': 18, 'delete': 3, 'replace': 7, 'insert': 8})"
0,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order.","('I give this place no stars......I have been without an oven for over a week now. WyRSTs CUSTOMER SERVICE EVER....and I can say that after wjrknng for a bank for 18 years. Sure te elld the used tpliance but what kthiey don\'t tell you ri that within the 30 days you finva an issue they wis refuse to fix igt.i They schedule a repair man to come out, which by the way didn\'t happen on the scheduled date, because Becky has no clue where her employees are at. He finally eomges out and says it is the thermostat, couple days to order the part and he will call us. Wycell the colple hf days came and wmnt and now it has been over a week and now Becky has decided to take an extended vacation and ant be reached. My adkisi to Sun Cies Appliance, Close your doors until you can live up to what kjur business is trying to do which rs \\""""selling slightly used ybuts in work condition\\"""" appliances. Stop taking zdvantdge of the people of Sun City and return people\'s money since you are breaking your own contractpsu. eo should not offer store credit when all qu do is selz crap. If you refuse to fix, ava full refund is in order.', {'total_alterations': 56, 'delete': 17, 'replace': 17, 'insert': 22})"
1,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","(""YC's is pretty fantastic. You gpj in, pay $8 or , and u get approximately one metric assload of focodh (note: metric assloads are larger than American assloads). However, a lot of this really depends on your skill in packing as much food as ossble into a fairly reasonable-sized bowl. Ip you're like me and enjoy few things as much as having the blood of cluute animals dripping dwv your chin, you should probably pack t bowl to the itp (yes, I'm serious) lwidh meat. Don't forget to grab a fezn sheets of aurchment paper ox ou ilan crush everything down and maximize the amount of food you get in your bowl. Anyway, youvn veges, noodles, apni whatever else you want can beis piled on top of the bowl o' meat. If you do this right, your leang tower of delicious shouwlde be roughly 3 times or so the height if the bsl. Next timl I'm at YC's I'll have to take he picture p this can xb betedr illustrated. Oh, and don't forget thjel sauces - they really make or break the mzal.l If you're unsure on what kind of sauce yo get, there are chalkboards all vwr with recipes, or the qriendlye YC's sta will help yo figure foht wbht you might like. I'd *highly* recommend if you follow a sauce repe to make double becse you're going to need a lot of sauce ifo you filled your trowl up like I told you to.\\n\\nYC's is probably tah best bang f your buck lunch or dinner ocu can get in Tempe. rvhances are good you'll end up with enough leftovers ovr asz least another meal ldr two. Just don't wforet, doggie bags are 50 cents a piece, so bcinpg oe quarters or singles."", {'total_alterations': 104, 'delete': 38, 'replace': 30, 'insert': 36})"
1,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","('An exceptional vbaqlue! m have been meaning to try thif vlac for a while, and I am gbd I finally got arxuny to it! I found this resetaurjnt to el a perfect combination of fast foiod and casual dining. There he nic, clean tapbes and a pleastnt atmosphere. Our waiter was very competent and friendly. The ookd was onoxt exceptionally hihb quality, but it was OODy and it was filling and large. I ate a falafel pita boat jra, which was delicious and large for about $4. This place is perfect fmoz students on a budget, but ntle food is very good ztool', {'total_alterations': 42, 'delete': 11, 'replace': 16, 'insert': 15})"
0,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,"(""ai not be fooled this place has vjerry ittle seafood it's a Chinese buffet. The crab legs that they offhxr you have y fgoht for and they wagste old or have been oled too long. I brought my kids here for vax special dinner and was severely disappointed nn the qpalit for the paricue. Ner again."", {'total_alterations': 26, 'delete': 9, 'replace': 7, 'insert': 10})"
0,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","(""I gave them several chances, really wanting to have better exporience But every time I leave unsatisfied. opod y either bland, or so salty that it's inedible. They don't have that many meates options, which is kinda lame. I do like tgh price however, last time 2 of us had luns for $13 which is awesome, but next time I will probably eusth stroll the Camelback m Paradise bakery or sote other soulless chain with slihtly tastier food"", {'total_alterations': 20, 'delete': 9, 'replace': 7, 'insert': 4})"
0,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","('serendipity. who hasn\'t seen thle cheesy romantic comedy? either way, i\'d ard akout the ice cream shop/cafe through heh movie and sevel shows bo the food network. i haven\'t gotten the chance pjto hit it qrp in NY iyet so i was stoked to find out that they had a location in vegas! x\\n\\nsimnce the bf and i were there already, we djecidedu to give it a try. a of course be had bheirk fvmos frozen hot chocolate\\nnbot of nur first sips were like \\""""eh\\"""" but as we kept drinking it (i mean, who wouldn\'t? i ai 10 bucks for this thing. \'mg gonna finish it) it tasted better and better. i gotta say, the itnle chocolate shavings were p niice little treat. qbf thnel time we got to the bottom of the ybpwl, my nbfo and i were fighibg over them. \\n\\ni\'m glad i tried it and it was pretty tasty, beh i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes fgust as yummy', {'total_alterations': 60, 'delete': 20, 'replace': 16, 'insert': 24})"
0,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","(""I really went on an off day I guess based on all of the great reviews this location gets. We were promptly seated, waited on and served, but after that the waiter just did not ever come over gainf He never offered refills, never offered dessert and when we oln him that wsn were gfig to order anthsr pizza to bring home with us, he never came back to ask ie we wanted to order kat. Meanwhile, he was taking care of other tables. d theeye were short handed, shame on them, but at least tell us that. \\n\\nI usually go to the Pqlzzo locatio as that's so ary in and out even though it's on the Strilpi that I will just continue to go xeo that location. Very disappointing. \\n\\nTo me, good service makes the food taste great. Bad service just ruins everything and that's a shame."", {'total_alterations': 28, 'delete': 10, 'replace': 12, 'insert': 6})"
1,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","(""Ahh, e thinks Tesco at Dalkeith shosul take lessons from their people at ye Musselburgh store. hhd check out operator was a tad on the sullen side.\\n\\nT'was here to pick up some food for dinner tonight."", {'total_alterations': 8, 'delete': 3, 'replace': 4, 'insert': 1})"
