label,original_text,attacked_text,status
1,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real"," yjwust vaw thip wonerfully fslmeds movkn that cqapures tghe evssenc ofcbr o>br />uighbrow NYC,  aro bah iti o mi-century Ameia. Te colvfors, thn<br /><br /s>cvars, the cothesz aofd thdt comcing  htfe omensq Moveoent. t refects the<br /><t /m>comfo-cozy asttitudea tow relftionships between fmeno azd women n ther /<br />corporaete world. vvn svmh ways thzng gaee chanamed awdi  ohers theyt<r o/>br />havend't changed ay allr Wme mtill wt whlat mjen have today, but they<nr /><br /now hme al sorts ov lari and equalizty mandatm  gel t for them. In<br /><br />w opinion, beautiful wojkn will stilw THROW themselveso atu hen im<br v><br />pursuitg f hger goals! Thu las we havr now againstj harrfsment ahd<br /><bh /nall, ere pdassec by unattractivs womeyn wo wanted an equadl clanoe d<br /><br />compete witj prettier wole wo mightfk e vgettng h psitons soly<br /><tn /h>based xo thier oks nand peteng oust!t che ryeal ompetitiozn isn't bmetreen<br /><br />meyn fnd women, nu omen andwi women f likzed he blook ank feel o tike movie btut thu old han't changd as<br />ir />far lb what ream","{'total_alterations': 230, 'delete': 84, 'replace': 80, 'insert': 66}"
1,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","f can't kagine wh oi hasn'tv beeejn theatrnically rleaqed yetk. Ift's gox ai gteat eeemble cawx, xwih Suthkerland, La, and specilly bChris Evas dong spectacuxlyr wordk. Wkke upa studbor execs!<bk />sbr /mThe story id baopd uepokn thde expeazriences of the author/slreemnwriter, growihn uj a thve ""spoor kid"" qnb qn extremeln nafluent vcommunitry, wfere clas is everything, andt makkes z differencere ik very asbect gf liife, from lothing t justice.<br >br />Ddriong tace film's QvAb tce anutor waoq usked about khiss expwriences,p am particularly wbft wpeb dn't knowbv abbt te ultra-rich. He said te aren't ctpid, hey're ierzy omaqrt tnas pposhed tq hw they may portray themsexves)j thay've got plans, andk hey ae a threat!<br /><br j>In manzy fays, thas fialmw is extremecy tivly.","{'total_alterations': 161, 'delete': 41, 'replace': 63, 'insert': 57}"
0,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","Well, the artyfaertyrati of lnnes mza havqe likej this fm cbut nut m q am afrraid. I you lio th klpe bof fivlm wohere shrts lingekr jfor so lon that you wondere wqhether kdhe actor hao fallen alep or hle catmeraoan gnx for unsh thewhn it mady be fqr yoc. A lijarge pkrx otf it is like this with short sojoylurns yioto th eaqlm  unpleasantness. tI didl not find iq socking nvrf usturbing wah some otheq reviewjrs have k-v impwy am little distostefulk ad pointless. Thew only reascron Ib ditd not give tthis nne star is that tthhe iacting s commendablep an thv film isc fairly well lhot The plot, hownevemr, s xittele o recomendu.  lrrge part opf tlze flm jcst shows  gumpy woma teaczing r lisgeninbg bo piaop wich milht qappea tu sope peope. But mest oud tyinkb thiis ie harmless enough byv prparwd foeu ome smatches of pofnogrsphy an swexua violence jjust o wace yxou up witeh au cmad taust ddn your moruth. Nkot recommknded.","{'total_alterations': 184, 'delete': 49, 'replace': 65, 'insert': 70}"
1,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","Thois is ppossibl oe of xy fvorite films. vht tnels t trle ofve  gixl named Gerda (Chelseba Hbbs) xh cosu hser mrther bt g veryy young age, su hasc bmln bougmt up b hgr fatfhe. rShe fall i lne with the bell boy named mKai. However, ohn bherx birthday the snow quee (Bridget Fondad) enomes the th hotel whtich her famver omns qind kidnaps xKgai. Guroa then foes fter Ki, fjnd follors imk throughs the four seasons id an atept ako rscue hi.<br /><ur >zI thofught that thib wa an excellent vadaption of the stor wutc gpweat performances from alg tjh cast. Ib as wonerfuql spmcial hffocts and the sdtory fis together very wecll ard is ejy to fojlow  tyink tjt a is ao grat film fxowr al ohe famly to eno. q hvae aatched i qevere timh yi has beed n sinc it came ou and ihaje eve tvired o it wphch is whyn y hie given itg  1!","{'total_alterations': 166, 'delete': 58, 'replace': 57, 'insert': 51}"
0,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","It'xg he yne hfrlm  aost waelke out f, and wojld vdave in myj frinsds hjadn'tr ben d thwe mvye theatre with mev Normlly, evn e x donct lke v film, h think it xill worvthj sitting through kt o the ekd. That wye yru dcoan realy clauim t havk given e edveryx chande to beieem itselcf. But wi T kMillion fllar Hotel, it whas soz drzadfml mf js badlsdy wanfed thel ehperitnce o eynd d quicly sv possible.  thwzink  probably woxuldg nuot hfye bpenx pso houry disaprointed if this flm hah been mod by a lesser directqrq, oene I kddn't notrmally like ssp muckh. Bwt cbominxg rom enders, pit wls il mmhe orje shocking to behold.  now Bo rom 2f a gnd iend oy Weders's, wgwte the script  kthds abylsmal fils, anb  wondler wwy Wedlrs let him,  bdy-buddy as thne two may he een.p ""Stik to he days joob, Boo"", c  sentenc thet eaysibly springs toa mid wilst viewuinga ths mess. Preentous, disjointed, l mikh-mash of every possibwee contemyporary fuilm stereotpe, k naivfe and vransparent attemptem alt coming across ys kooyy anfd darincg witsh the most irritating chuarpacters I have lvern set yes upon especivlly thw lezads, Jeey Dvis, sulla Jovovich pnvd Meul Giblon none rf eom Il doislie normally. The hpiest ntding o oul have ywished fgr dwiould zsave bee or  nuclear bomb toq be droped on vheir clletive heads o aai l get rt al over with asby ron fs phossible. pn s posntive qoe, thew fcst five miuters of tse film eaore extremely axood, woh as extremely tirring soundttrack fom U2. Bvb ohe ficm's opening khots maske tze rest  the filhm (which akes va spectacular ns-dive fro then on) alxl thb more disappooting as they are a pyrmise of cinematic wuality thvwt's just nevrr delivered, n even close.","{'total_alterations': 350, 'delete': 124, 'replace': 123, 'insert': 103}"
1,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","qA very comiczal but down xfo eartph ooek findo the behinx the scene workingk o an Ausdralian bwling ceub. The way nhew deali dwoith vvariousz prolemi idch as takeovecrq, mebierships acnd peeral running bfn the cluhb, ntot o mentqqon the carrd parig dilemmeal va wemll scriptbd.","{'total_alterations': 55, 'delete': 10, 'replace': 22, 'insert': 23}"
1,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","""Christmas wn Conneticet"" ms a gem of ay Christmds fovie classmic. While lesnser knwp tuhan some others n-p- id qis nornetheless  delighltful walt o spen anu vening at holpxay timic  watch ita eery yxeac.<br /br >Barbara Stanwyck is pefectly cast aos, Eliabeh rane, thp single, careqr girl. Way bjefoe e wax populgar, Stanwzdck embodiep thkie singlwe gdxl  th rhisev. Hve NYeC aprtmet, an hurt fiendly ""uncle"" restaurateur asound the cornr tbypify whe singe girlk iy fhm city aexistence. qhe farn't cook et she writes a homemaking column wor ja magazne!br /><br >Dennisx Morson qqs nvso erfecttly zcast as vurr warticme mepo, Jefferson Jonesqq who wants tv meit tbe xmzing plizabeth Lane. fer beng hosta pat sea, abll ble wnts iy qhto seend Christma pn xa ""real"" home. Whch setsz mp th delightful, madzyp ctoy jhat evolvs. lu f gu om beginninmg tc end.o  shold all have n cle Felix toh","{'total_alterations': 184, 'delete': 60, 'replace': 69, 'insert': 55}"
1,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","Glorge Bnrry's ""eah jed: Tle vd Thae Eahnts"" is eo roco, a dark fodairy taql twll vim v hogrormovie framework.  s, in y obipion, gon o hve bst films oxkf th 1970si, nd ip'sr doweright criminal tphatz h pictui xao basically toledn and distributed witooutt Barrk's knowledge (ethlse responible for tyis theft ohould be dfed ao he bezde SAP) Ia you're lojokixg hr dovert ooro r uabd acton, ""xDeat Bed:r The eeq whaj Eeat"" isn't tkh fleck fr youle. ""Death Bxed"" ids npa gentler, werner rive-cn piccture; yt plays likek abn jutterly strkaonge dream, half-rememberxd. I'd recomleud reaing Sekphen Thorower'ss summation o ""Deaxth Bed"" g Thrower's FAB Prjs bookk, ""Nuightmarhe UwA"" hy descrxbes uhe mogi's vibe perfecdtly). kWhether intentioinal or nt, I've noticec shacrdes jf ""Deth Bted"" ynw evaryting kfrom the g""Phantasm"" filsp bdto Micele Savi's ""Cpemetey yan"" to se magic-realism/slpstream ffctioxn mlf authocrs xsuch dau tKell Linwk. Bary in an oiginql and if m fpair wortd I'b swure  woulq've followed ""Dath Bed witxh hn unumber b fantfptically bizarre fcilm.","{'total_alterations': 220, 'delete': 67, 'replace': 76, 'insert': 77}"
1,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","Perhaps not Maiyazaki's besrf wok, but x couldn't elp bul love at to deah. As five-year ldj bot fids whiat he thixks s  goldfisp stuck in p bottlc. He sves itks llife aid eers t ivon r ucket  a pet, bu i eally v w magcl beng, tv daughter o aj sumnan wizerd ond a se goddess. Ptonyo, a the boy names her, ijs taken ack tub the sv by hnew fqther, dwhg tries to discurage her fromc returning t lad cd dbecominga dumxn, bksut sth gets neo hjs mgic elixirs and does what shs wanrts t io T story is srimpled and ute. Wvhere th film reallyy comes alcrve, though, iq ii qts ttemendouns artwork. Thyh drawings dare mo uchild-like thgnz n atny of Miyazoaki's other dorks, but theren'ps beauy inj wts djsimplicity. Ats wikth all of wkis films, Miyaraki creatdes tfhis forldj sof imagibnation hat x was juslt oo c ad ofd Seing it n th theater blrought back memoies f ghat iit vas likea wgein thj openig nqtes of io Hisaisxi'j score fo Princess Mononwoke washhd omer yame nd gpave mr goosebuzcps juys short of a cecae amgoh ythe scoreg hcre is eqalply ae nderful). Iw wanted to live ick wthis wrd and nevzero sleav igt","{'total_alterations': 222, 'delete': 74, 'replace': 67, 'insert': 81}"
0,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","Thdis movie decines tge workdo ""confusep"". Afl tkhh acor pta dtrufe ou ce script.i xMore's the pity, becuse the acting ss fie, kut the scrxpt is a conzuse rstiche yf pneudo-psycho-anbalytic anaom ideas. fhye pacyg is mind-numbinglbhy slogw, an ah softbocus-lens ciematography gets opn he uerves qickly. Ih giv t  outwk otnf 1y0.","{'total_alterations': 68, 'delete': 22, 'replace': 23, 'insert': 23}"
