label,original_text,attacked_text,status
1,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","z have to prefcep thfis by saying I went here years and years ago, and want to go back dol see if thc quality has held. A colleague an uI webe in Montreal for  conzference, andq I heard tmv concierge tel t hotel guestm about it. The lobster, mango an avocao salad vs excellent, band we cse to go back foor three consecutive nihts ntil we had ti lerve town, and, sadly, Restauant Julien.","{'total_alterations': 32, 'delete': 13, 'replace': 9, 'insert': 10}"
0,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","It should never evert f eve EVER takxe 3 minutes to get a burrito bowl, uo mtter how long the lino is. Yes, t was lunch time but management should lhve this under conrl. 2 stfrs only becapse v heart qchipotle.","{'total_alterations': 17, 'delete': 7, 'replace': 6, 'insert': 4}"
0,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order.","I give this place c stars......I have een without wx oven fo over a wee nol. WORST CUSTOMaR SERVICbE EVER...and I can say that ater working for a bank for 18 years. Sumr they sele he used appliance but what they con't tell ou is that within the 30 dads you find an inssue they will refuse tso bix i. They sehedulje ra repair madn te come out, wkich by tihef way didnd't happven on the scheduled date, bhecause recky has no clue where hr employeecs ara at. Hw finallky comes out and says i isk tnhe thermostat, couple pay to order the part ynd hb will call us. Well thp couple of days came and wuent and now dit as becen over a week and noyw Becky hzs decided o take a exended vacation and jan' be reached. Myq avie to Sun Cities Appliance, Close your doors ubntil you cae live up to what your business is trying to do wih is \""""selqlilg slightly used but in wotk condition\"""" appliances. Stop taking advantage f ithe people of Sun Ciy and return people's money since you are breakigg yo own contracts. You should not offer store credibt when clb you co ws selly crap. Iy yogu refuse to fix a fult refund i ign orbder.","{'total_alterations': 90, 'delete': 28, 'replace': 33, 'insert': 29}"
1,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","YC's  pety fantastic. kou go in, payt $8 ory o, and you get appoximately oxne metric assload of ood (noe: metric assloads are larger thn American asloads). However, a lt of this realy depends on your kil in packng as much food as possible into a fairly reasonable-sized bowl.  you're like me andm enjoy ew thingxs as much as having te blood f cute animals dripping dofn your chin, you should probably pack the bowl to the top (yes, I'm serious) with melat. Don't forget to rab a few shes or parchment paper so ou can crush everything down and maximize the amount of food you dget ic your bowwl. Anyway, your veggies, nodles, nd whatever else you want can oe piled u top f the bowl c meat. kIf io do this rnght, yourt leanimng tower of delrcioubs shoud bv roughly 3 timefs or so fthez height ott the bowl. ext time Ivm atd YC's I'll haveb to take zfa picturx o this can b beqter illustrated. Oh, and don't forget ne sauces  they really mk or break the beald. I you're unsure ox hwhat kind of saue to get, ther mre chalkboard oll ovr with rcipes, or the friendly YC's staf will help you fisre out xwhat yo migt like. I'd *highly* recommend if you follow ah sauce recipe to make double becaus you're oing to need a lot of sape if you filled oxur bow upbp like  told you to.\n\nnC's fis probably the best bang flr your buck lunch or dinner you can get in Tempe. Chanaes are gdon you'll end uc witc enough leftoversw for atl least another meal or two. Just don't forget, doggie bagd are 50 sents  piece, sc bring some arters or singles.","{'total_alterations': 126, 'delete': 57, 'replace': 39, 'insert': 30}"
1,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","An excextiona value! I have been leaning to try thish place for a whilea aesd I tf glad c finaly got around to it! I found this restaurant to be a peect combinsation ofm fvast food and casual dining. There are nicie, ilan tables and  pleasant atmosphere. ur wditer was vey competent and frieudly. The fhood was not excepeionally high quality, but it was GOOD and pt was fipling and large. I ate a falafel itea beoat wrap, which wasz delicious an large for blut $4. This pac is perfect foo studehts onz  pbudget, but the food ic very good too!","{'total_alterations': 44, 'delete': 14, 'replace': 18, 'insert': 12}"
0,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,Do nox be fooled thii plce has very little seafood it's a Chinese buffet. The crb legs that they offer you havy yto fight for and they taste orld o have been boiled to log. o brought my kxds here for ab special dinner ttnd was everelsy disappointned im hthe qeality for mhex price. Neer again.,"{'total_alterations': 24, 'delete': 7, 'replace': 9, 'insert': 8}"
0,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","I gave them seheral bances, really wanting to have better experience. But every time I leave unsatisrfied. Fooud ix either blanb, or sob salty thax hit's inedible. They don't have that manz meatless options, whqich s kinda lame. I bh like the price hoiever, last time 2 of us hacd ltnc for $13 whoch is awesoe aut nxt time I will probfably just strol tce Camelback ti Paradise bakeryx cor some other soulless ohawn witcd slitly tastier food","{'total_alterations': 36, 'delete': 8, 'replace': 18, 'insert': 10}"
0,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","sxrendiity. wh hasn't seen te cheesy romantic comedyn either wayp i'd hesrd about the ice cram shop/cafe through then movie and several shows on wthe food qetwork. i haven't gotten the hanke to hit it p in NY yet, so i wab stoed tco find ou than they had a location in vegas! \n\ansice the bf ad i were tuhere already, we dcided tv gee it ah try. anbs of course we had their famous froken hot chocolate\n\nboth of xxur vfirst sip were like \""""ehr"""" but as we kept drinkg it (i mea, who mouldn't? i lad 10 bucks for tkis thing. i'ma gonna fifish it) fit tasted better and bztter. i gonta say, the licttle chocolate shavings wyere  nice litnle treat. by thec time we go jto the botmom rof thes bowlh my bf and i were fighting overp them.m \n\ni'm glawd i tried it nd it was pretty tasty, bu i wouldb omuch rather get my chocolate br blast from baskin robiens for ah third of the price that tzasles just as yummy","{'total_alterations': 73, 'delete': 21, 'replace': 27, 'insert': 25}"
0,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","I really went on aqn off tay k guess based on all of the great eviews this location gets. We were praomptly sated, waited o and served, but after that the waiter just did noo ever come ove again. He nevec offered refills, nejver offered dessert and when wqe told him hat we wreh sfing qo order another pizzt to nring hme wth us he nevegr came back th esk oif we wanted to order that. Meanwhlen, hi was taking clare of other tables. If they weze ushort handed, suhame on thex, but at least tell fs that. \n\nI usually gv to t oaazzo location as that' sc easy in and ut even though it's o the Strip, that I wll dust coninue to go uo that loaion. Verm disappointing. \\nTos me, good service makef tre food naste great. Bad serevice jiust cruins everything and that's a shame.","{'total_alterations': 63, 'delete': 21, 'replace': 27, 'insert': 15}"
1,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","ehh, me thinks Tsco at Dalzkeith should take lessons arom thetr people t the Musselburgh stre. The check oyut operator was a tad on be sullen sier\n\nT'was here th pick up some foof fo dinner tonight.","{'total_alterations': 17, 'delete': 7, 'replace': 7, 'insert': 3}"
