id,label,result_original,result_attacked,original_text,attacked_text
0,1,positive,positive,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real","(""I st w hi wonefully filmed mve at captrs t essence f<b /br />high-brow N, r a b city f mid-enury America. The color th<b /><br />cars, the lohes n h cmin f t omns ovemet. t refect the<br />< />comf-zy titudes o relatinshis etwee n d ome n theb /<r />orprate world. In some ways, hing gave cnged and in others, they<br />b />haven't changed at l. Women sil an what m have tdy, b hey<r /<r >ow he l sor o aw a qualit mandates o get i for hem In<br /<r /m onion, beautiful ome wl stl HRW hemseves t n i<r /><br >pursut o thier goa! e la we hv o agins harrasmet andr ><r /all ee pase y unatrative wme w wnte n eal chance tob />b />copte it prettier wme who mig e getting e positions sley<r <br />bse on thr los n puting ou T real compeitin i't betwee<r /<r />e and women, t wmn a women! I ikd h oo and el f the movie b t wol asn' changed abr /br >fa s what real"", {'total_alterations': 248, 'delete': 248, 'replace': 0, 'insert': 0})"
1,1,positive,positive,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","('I can\'t imagine why t asnt bn thatriclly released yt t\' got a grt esembl as, wt Suerland, Lane, n especially Cis Evn dog spectacua ork ak p stdi execs!b /<b />T sty i asd po h expeences o t autorscreenwriter, groig p a h ""poor d"" n a etreely affent commity, whr cas s everyhig, d mae a dierence i every aspect o life, ro lothin t utice.<br ><r >Duing e lm\'s Q&A, h author w ske aot his xperienes, and articlarly wh w do\' no aut the ulra-ich. e ai they ar\'t stpd, they\'re vr sar s opose t o ty a porty temselves) they\'ve o pls, a te a a threat!<br /><br >n my ways, this fl s xtreely timy.', {'total_alterations': 177, 'delete': 177, 'replace': 0, 'insert': 0})"
2,0,negative,negative,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","('el, t aryfartyati f anns a hv led hs fl but not e I am afid. I u lk e yp of lm hre hot linger r s long that o oder whthe e atr s flle alep or h ameaman ge f lunch th t y e r u. A are pa of t s like ti wt sot sojuns in the rem of unpleasannes. I d t fd it shking r sturbing as me ote eviewer ha - simply a lttl dststeful n intless. h ol ason I did t ie ti one star i th h aing s coendable a t film i fairly el so. h plot, howeve s litl to recommed A large pa f the fm us sho a grpy man teahng o listeig o pan, whh might appa t some peoe. t st you thi is s haress nogh b repard for me snatches f onography and xual vilece js o wa u p th a b tst n or moth t recommended.', {'total_alterations': 237, 'delete': 237, 'replace': 0, 'insert': 0})"
3,1,positive,positive,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","('Ts s pssiby o f y faorie flm. t tells e ae o a rl nmd erd (Chelsea Hobs o lt e moth at a very yog g, so has en bought u b e fher. S fll i love it e be o named Ki However, n her birday t so que Bidget Foa) cme t e hte whi r fath wn and kidnaps Ka uda th oe ter Kai, and follows him hrogh t or seons n n atemp o rescue himbr />< / hught tt th was an excellent adaption f the sry with great peromances fm l h ct. I h wonderful special effects d t toy fits togetr very el and is sy t foll. I hin ha it is a gea film r all the mily t enjoy. I he wathe it ery time t h be on ine it ca o n ha never tre of it wih i y I have gie t a 10!', {'total_alterations': 198, 'delete': 198, 'replace': 0, 'insert': 0})"
4,0,negative,negative,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","('ts t o film I almost wlke t , a wud hv if m rinds an\'t be i e movie thete wi me. Nomaly, ev i I on\' ik a fim I hnk \'s sil orh iting hroug i o t d. ha way, you can really clm t ha gin t every chne o rdem tself B with h Milio Dolr Hte, i w o dadful I just bad wanted h xperienc to end a ickly s psible. I tin I probably uld not have en s suly disappointed f this film had been made b a lser dirtor, o I idnt normal like so much. B cmig from Wendr, t s all h mr scking to behold. I kn Bo fo U a good friend f Wendrss, wrt e srip o this abysmal fm, and I wond w eners t i, as buddy-udd a h o a ve bee ""Stick t h day ob oo"", is a sennce that easi rings o md whil viing hi ess Pretenious disjoite, a ms-mash f every osible conmporary film steeotye, a niv a tasparent attet a oing acro s ook and arng, with t ot iritatng characters I hv ve t eyes uo, epecialy h les, Jemy Davs, Mla Jovovich and M ibsn, nn of wo I slike ormlly. T happiest endn I oud ha wisd f oul ae ee o a nuear bm to be droed on their colectiv hds s a o e i all over with s sn s ssible. O a pstive te, h fit fi mnuts of e fm r etrmely od, th a extremely string soundtrack ro U2. But e fi\'s ening shots make e et of h fi whic takes a spectacular noseive fm en n a t or dsppointing a they a a promise o cinemac quali tha\' jt eve elvered, not even cos.', {'total_alterations': 400, 'delete': 400, 'replace': 0, 'insert': 0})"
5,1,positive,negative,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","('A vy comcl u down to arh oo it t behind e cen wokins of an Australian bowlg cu. e a they ea ih vriou prbems sc a takeers, meerships d enera running o h lu, n t etion h car arkig dlema was el scritd.', {'total_alterations': 67, 'delete': 67, 'replace': 0, 'insert': 0})"
6,1,positive,positive,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","('""Chrstas I Connecticut"" s a e o a Chritma movie lassc. Wil eser kow hn me ohes - t i nontheles a elightul way t snd a evening a holiday time. I atc it vey ear<br /><br />Barbara Stanwk s perectl as as, Elibeth Lae e sigle aree il. y fore t was polar, Stanwyck emboie the sgle gl n the rise. Her N aprtmet, d r riedly ""unc"" estauratur around t cone typy the sine il i h city existence. S can\'t ok y s rtes a homeking comn o a magazne!<b /><br />Deis Mran is so prfectl st a r artim eo, Jefeson Jones, who wants o meet the aming Elzabth ane Aft eig lost at sea, l e wants is t sed Chrisma in a rel"" om. Wch et u e dlightfu, madcap sto th evovs. I s f fr begning t end. e houl l ha n ncl Fli to', {'total_alterations': 199, 'delete': 199, 'replace': 0, 'insert': 0})"
7,1,positive,positive,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","('Geoe Barry\'s ""Death d: The e Ta Eats"" s a ro, a dk fairy tale td i a hror-movie framewo. t i in m opinion, o of the es fis o t 1970s, d ts owright ciminl that e iture w sically stle n distriutd ithou Bay\'s knwledg (those resposibl f this the should b e t h ed ASA) I o\'re loong f ove ge o rad acton ""eth d: T Bed ht Eats"" sn\' e flk for you. ""Death e"" is a gentler, weirder drive-in cture; t pas ik an uttry strange deam half-remembered. \' recommend readn Stephen Thrower\'s summation of ""Dat B"" in Thrwe\'s FAB Pre book, ""Nightmare US (he desrbes h movis vi perfecty) Weher intentional or n, Iv noied haes f Deah e"" n everting from h ""Pantam"" films t Michele oav\'s Cemtery Ma o h magic-realism/slipstream ition of uthor uc s Kll Li. Barry s a original a in a ar world \' ue h would\'ve followed ""Death ed wt a number o fantastically bizarre lms.', {'total_alterations': 208, 'delete': 208, 'replace': 0, 'insert': 0})"
8,1,positive,positive,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","(""erhap not Miyazaki's bt ork but I ouln't lp but lo i o dath A five-year old y finds wa he tnks s a goldfish sck n a bottle. e avs i li a eps t n a bucket s a pt u t reay i a magical bing t dauger f a hmn wzar and a sea gddes. Ponyo, as e boy nas er i akn ba o the a y her ater, h tis t iscouage h rm eturnng o land n beming humn b h gets into i mgi lixrs d ds what she ant to o The story is impl a ue. Wre t lm really coe live thgh, i n its remendou artwork. The drawings a more child-like than n a of Miyazaki's ohe wok, but there's beauty n i simplicity. As wi a f s flm, Miazki reaes ts old f imginatin ta I w us o in e f Seig it in t hater bougt ba memors f wt it s ke we t opnng nes f J Hisshi's ore for Prines Monoke wahd ve e n gave me goebumps jt short f a decade g (e cre here is equally a wonderfl. I waed t live in this wrd a evr lae t"", {'total_alterations': 252, 'delete': 252, 'replace': 0, 'insert': 0})"
9,0,negative,negative,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","('hi moe defines e wr onfused"". l e tors st ue o e srip. ore\' e piy because t ctng s fine, b the ript s a cofued pstice f pseud-psycho-analytc ranm deas e pacing s id-numbingly so, n e sof-ocus-lens cematography gets o e nees quickly. I gv t 4 out of .', {'total_alterations': 77, 'delete': 77, 'replace': 0, 'insert': 0})"
