id,label,result_original,result_attacked,original_text,attacked_text
0,1,done in other file,negative,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real","(""I just saw thniks wqopnderfully fijlmedz mhovvie that cawpteures the essence of<biri /ed><br />high-brow NYC, or any biaeg city of mid-century America. The dcolors,o ngthe<br /><br />cars, the xclotjhes ealnd the cxomivng jotf the Wfomenst Movemeynty. vyIt reflects tlhe<jbr /i><xbr />comf-cozy attitudes qocf relationships bveteween men and women in tche<brk /><br />corporate world. In some ways, things gave changed and in others, they<br /s><brr />lhaven'tx changed at all. Women stillwj wmahnt what men have today, but they<br /><br />now yhaveh all sorts of laws aandd equality mandatmaes to genmt it foreb thjmem. Iney<br /><br />my opinion, beautiful women will stimjll THROW themtselvesm at men in<br /><br />xpursuita of thier goalrsl! Tshze laws we have now against hdarrassmenmt andr<brm /db><br />all, were passed byvl unattrahcntive wojjmen who wlavnted an equal cchaxnce to<br /><br />compete with prettier kwomyen who might bkew getting etahe positions soley<br /><br />based obnw thier looks and puting out! The real competition uisn'td betweien<qbr /><br />xcmen ifand women, ebwut women and women! I liked the look and feel of the movie but the ywworld hasn't changed as<br /zc><br />far as jwhcat real"", {'total_alterations': 116, 'delete': 0, 'replace': 0, 'insert': 116})"
1,1,done in other file,positive,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","('Ifh can\'t imagine gwqhy ritm hasn\'t been theatrically released yqetm. It\'s got a great ensemble castp,d with Sutyherlafnd, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execfs!<brt /><br />The ostoxry iwns wbasedt uppofn the experiences doef the authoqr/sbcreenwriter, igrojwing uhpr as the z""dpoor kid"" inlj anms extremely affluuentn vcommjunity, where class is evertything,u and makes a difference irnn every claspect of life, from clothing to justice.<br />kw<br />Duriengc the film\'s oiQ&A, mthue author twcas vaskedv about hifsu experiences, and particnularlyn fawhat we don\'t know about the ullqtra-rich. He said they aren\'t stuypiyd, thlejy\'re very sbumart (as doppoesed to how they may portray thezmselves),e they\'ve got plans, and tjshey arore tad threat!<br /><br /pi>In many ways, othisy film is ebxmtremely timely.', {'total_alterations': 88, 'delete': 0, 'replace': 0, 'insert': 88})"
2,0,done in other file,negative,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","('qhWell, the artyfartyrati of Cannes may havlne liked this film bautk not me I am afraid. hzIf ndyou like the type of fildmx wcfhere ishodts linger oforj so long thpatn gyolu wonder whether the jaqctor haysl fallen asleep oero the cameraman gone dfoxr lunch thjern it may be for you. A large partmt of it is like this with short sojourns into the realmae of unpleasantness. I did noktz find it shockizntg nor disturbing as some other reviewers have - sirmsply a little distastemfzul aqndn pointlzgess. Thzse only reason Ihh idild not give this oqnqe qstarr sise that thbee acting jise commendable ans the film is fairly well shot.de The plotn,c however, hatsn litgtlee zjto recommend. A alarege part qofs the film just xshtows a greumpyh woman teaching dfor listening ntou piano, whicixh might appesalb toaa some people. oBubt lest you think this is harmleqssd enyohugh vbev prepared for sommep snatches of pornrohgraphy adndg sexual violence just to wake you uxcp witgsh a jpbad taste inru your mouth. Not recommended.', {'total_alterations': 114, 'delete': 0, 'replace': 0, 'insert': 114})"
3,1,done in other file,positive,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","('This is possibly one of my favorite films. It tells thsae tale of a ghiirl named fGqerda (Chelfesea Hjobbrs) who lost her mother at a very young age, so has bemevn bought up by lhear father. Shlex falls in love wxjith the hbvell boy nambead Kai. However, on her birthday fthce snow queen (Bridget Fonda) comes the tchel hotel which her fiaather oywins wandv xkidnaips wKrai. Gurda thienk goes after Kfai,o and follows him through the four seadsonsh in an attempt to rescue zhim.<bry /><sbrn />I thought that this was an excellent adaption offc the story wityuh great performanceets fryovm all the ccast.s It haksh wonderful special effects and the story fits ftogbether vjetry well and is xelasy to follow. I think thrast it nuis uaf great efiolm for all thowe family txot enjoy. I hajqve watched it every time pto jfhas been on sxignce it ckamey cfout and have nfevegr tired of it which is whryh I obhave given it a 10!', {'total_alterations': 94, 'delete': 0, 'replace': 0, 'insert': 94})"
4,0,done in other file,negative,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","('It\'s the one wfsilm gIp kalmoszt walked out of, andtc wqouldx whaave if mxmy sgfriends ehiadn\'t been in the movie theatre cwithh me. Normally, even if zIp don\'t lsrike a fielmy, I think it\'s still worth sittinlug through it to the end. That way, yozzu cawnt really clakimu ytgo have given iugt evercjy chance to jsredeem itself. But with The Million Dollar Hotel, it was stog dreadful zIq yjuzst badvily wanted tehea exaperieence to enkkd as quickly as possible. dkI think dvI probably woulkad npotc have been so sourly disappointed if thsuis film had beuren qmadne byfc hah lesser dirwectcor, ohneq I didndl\'t normally like so much. But comtingi from Wenders, xqit was allpy tbyhe more shocking to bejholdg. I know Bono from U2, a good friend of Wenders\'s, wrotgeo tshbe script to this abysmal filmn,d and jvI wonder whdcy Wenders let him, xabs buddy-buddy asut pthfe two imeay have been. ""eSticpk to the gdaqy rjiob, Bono"", ivsk a esentenrce that oeasilyb springs htvo mind whilst viewing this mdeszs. Pretentious, wmdisjointed, cga mish-mash of ecvefry possible contemporary film stdereotypse, a naiaive aqond transparent attoemzpt at coming across as kooky aqnid daring, twitho tishe maokst irritating charahctersk I hyauve evehyr set eyes upon, especially the leads, Jeremy Dazviyes, Milla Jovovich andlj pMeil Gibson, enoner of whom I dislike normally. The happiest ending lpI mcouldd have wished focru would have been fobrd a nuclear bgowmb to be dropped on their collective heads tsso vgas to ugetf it all povera with as sieoon as possible. On apg positive nroteb, the first five jminutesa of thtke film are dextzremely pgokod, mwithh anow extrpemelky stirrniong soundtrack from U2. Buftr thhve film\'s opening shots makeye thmse resivt ocfn the pfilmq (which takes a sxpwectacular nose-idivey from then on) all thedx more dislappoqinting as tehwey yarea a pqromirse ofck cineamlatic vqualkity tmhat\'sw just never delivherved, not even zclose.n', {'total_alterations': 240, 'delete': 0, 'replace': 0, 'insert': 240})"
5,1,done in other file,positive,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","('A very comical but down to earth luwook into the behind therw scene workings of an Ausjtzralian bowling clfubw. The way they ggdeal withzy various problems such as takeovers, memberships landy general running of etche club, not to mention thewg car parking dilemma was wxelyl scripted.', {'total_alterations': 20, 'delete': 0, 'replace': 0, 'insert': 20})"
6,1,done in other file,positive,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","('""Christmas Ivmn Connecticut"" is a gem of a Chriqstmaks movie classic. While lesser known than some otmxhers -- ivnt vise anonethkeless nka delightful way to spend an evendincg at holiday time. ycI watch it every yeagor.<br /><br />Biaxrbara Stvannwyck is perfectly casekt as, Elizabeth Lane, gtjhe single, career girl. Waymv beforwfe it was popular, Stanwyck embodies the sginhgle girl on nthze rise. Her NYC apartment, and her friendly ""ulncle""s restaurpateeur around the corner typify the single girrlx ntin xthse citdfy hexistenace. She can\'t cokvok uyhet sheie zwritces a homemakinxgc column irfor uab magazine!<br /><br />Dennis Morgjaon is alucso perfectofly cast as our wartime henrol, Jefferson Jones, who wants to meet xtghe amazing Elizabeth Lane. After being losotb at speoa, ralil he wantcjs is tooi snpeund Christmas in a ""real"" home. Which sets up thwoe delightfuzlw, madcap story that evolves. It is fun from beginning to end. Wiev should kallw have an Uamncle Feljipx too!', {'total_alterations': 98, 'delete': 0, 'replace': 0, 'insert': 98})"
7,1,done in other file,positive,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","('George Barrtzy\'s ""Death Bed: The Bed Thzapt Eats"" tois, adta root, a ddanrk vefairy tale told via a horror-movie framuejwork. mIts is, nzin my opinion, onfeo of thele best films of the 1970s, and it\'s downright crimijznal that the picture wajsh basically stolen amnwd distributed swithount Barry\'s knowledge (those responsiivble for this theft should be fed teon the bzfed, ASAP). Iftx you\'re looking ffwor overt gore or rabid action, ""Death Bdedl: Thevy ajBed That Eats"" isnl\'lt the iflicdk for yeoug. ""Death Bed"" wsis arr gentler, weirder drive-in picture; it plays tclike an utteurldy sstrjange dream, half-remembered. Iso\'d recommend readingjg Stephen Thrower\'s sukmmationo of ""Death Bed"" in Therowers\'s FpABz Proesls ymbook, ""Nightmarueb USA"" (he describes the movoiew\'s vibe perfectly). Whether intentional or not, I\'ve noticaoed shades toaf ""Death Bed"" in leversything xfroqm sgthe ""Phantasm"" filmrks toqo Mlichwele Soavi\'s ""Cenemetery Man"" bwto the magic-realism/slipstream fiction of authorsqs such aosr Kelly Link. Barry is an original and in atm fair wokrldi I\'m sure he would\'ve followed ""Death Bed"" with a number of fantastically bizarre films.', {'total_alterations': 108, 'delete': 0, 'replace': 0, 'insert': 108})"
8,1,done in other file,positive,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","(""Perhaps not rMiqyazaki's bersti wupork, but voI couldn't help but ulovre it to death. cAv vfive-yyear old boy finds what he thiinksp isbz a goldfish stuck in bat bottle. He savfese its lqrife and keepils dipt in azo bucket as apq pvxet, but it really is a mfagicabl being, the daughter of ags human wizafrdr and a sea goddesyos. Ponyo, as the boy names her, is taken back to the sea by her father, who tvriqes to discourage jhera from returning toyu land and belcomting human, but csher gets kignto his magic elixirs and dyoesi wvhatt she wants to do. The srtiory isaz simoplex and zcnute. Whgerek the film rearllgy conmses alilve,i ithkough, is gisn its tremendous aprtworsk. Thexp drawings are more childx-plike than in any vqof Miyazaki's other works, but there's beauty in itdxs simplicity. Aevs with aqlll lyof gvhis frnilms, Miyazaki ccreatesu this world of imagination that I hwasc jugstu so in kgawe orf.v Seeing it yyin the theater byroughzt bwawck memorixeds of what it was like when the opening notizes of yJor Hisaishi's score flovr Princess Monnonboke washed kovert me and gave mcwe goosebumps jduist shzoort of a decade ayzgo (the score hehrne ijos equally as vwonderfuul). I wanted tqqo livqei in jthiks worljsd and never leave iiyt."", {'total_alterations': 150, 'delete': 0, 'replace': 0, 'insert': 150})"
9,0,done in other file,negative,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","('This mxovieb defindesl the wornpd ""confused"". tAllr tohej acktorys stgayo true tmjo hther script. Morer\'bs the pity, because qtshe actyifng is fine, but the script is yab confused pastiche gofi pseudo-psycho-analytic random ideas. The paciubng ilcs mind-numbingly rsloew, and the soft-focus-lens cinematozgrapyhy gvtets on the nerves quifckdly. tjI give it 4 out of 10n.q', {'total_alterations': 44, 'delete': 0, 'replace': 0, 'insert': 44})"
