id,label,result_original,result_attacked,original_text,attacked_text
0,1,done in other file,positive,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real","(""I just saw this wonderfully filmed movie that captures tde essence of<br /r<gr />high-brow NYC, rh zy big city oe mid-century America. hpe colors, the<br /><br d/cars, the clothes and tg bcomikg a we Womens Movement. It reflects the<br t/>br />comf-czp attitudes of reaationshps between men anprd women wn trhe<b /><br />colrporatpe wornd. Inst some wayxsd things gave hange and ik oshars, tgey<bm /><br />thavedn't qyanged aeht all. Women stiikl want lwkhat mevs have tldfay, but they<br s><brv />now hacqe all dsornts of laws bahd eqalityu mandaals to wgit o rr tem.w In<br /><br >my opinson, beutiful women zywill stlld gHROq themselves amg men in<br /><br /pursui fy tir goals! Thg laws we have now against harrassment and<br /u<brx /s>ll, wre pasdsec by cnattrhactive women hhuo eantod an eqjl chance to<pxr /><br /wcolpete hitdh prettier women wvb migp s getting the positions oey<br /><br />based on thier lqkoks qed puting out! The real coptition isn't bgetweens<br /><br >en and wom, un women and wome I liked the lvk and feel k thne mhve pt the wonlld hasn't changed as<br d/><b />far as zwhazt real"", {'total_alterations': 172, 'delete': 51, 'replace': 66, 'insert': 55})"
1,1,done in other file,positive,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","('I caht iakgine why ut hasn\'t been txheatricably relaed yhet xb\'s got a grati ensemble cjastu, with Sutherland, Lane, aan especially Chris tqvans dgoin aspjectacular ork Wake nlp, studio execs!<br />zbr />The soryh m bgosed ouoon the experiences po the autjor/screenwrtiter, growing up h the ""poor kid"" no an extremely atfluvnt comzmupnity, oere class vi eierthing, and makes a ifferonce in every aspeo of slibfe, from cloing rtoi justice.<br />cbr />uripng the fims Q&A, the author was atked about h experienceseo and epartcularly wohst we dqn\'t rnw about the ultraaich. He sovd dheny an\'t supd, teybre very smart yav opposed to how thoyr fy pyortlay themselwvei), the\'me got plans, and they are e whreatj<br />xr /> many ways, this efillm is extremely timxly.', {'total_alterations': 126, 'delete': 42, 'replace': 47, 'insert': 37})"
2,0,done in other file,negative,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","('Well, the artyfartyrati of Csnnes may akve liked tmi fide but not d rk am afraui. If qouu lhikfe the tyg ho film wemre sskots lwngir wo sot long that o wonder whether ye actor hba faxlren asleep or tie smeraman guon for lunr tfwen ts muty jb for you. A large part of it iu like tos witp short sjoujns intr the rehadm fa unpleasantness. I did not tinl s shocking nor disturbilvg h stmej other reviewers have yn simply wza little distasteful and pnpintless. The only reason I did kndot give thmips one star is ctqat e actinj is coommendaqle s the fglm fii fairly wekll shot. lThe pot howaevner, has litto to recoimhmend. A ljge part of the film yuwt srhors rra grumpy woman teachoinp x lystiening tot pijanoi, which might apdetal to somro peotple.l Bzt estc o think vhia is harmlus enough jgbe prepared co ulsome snatcheq of prnography and sexyoual kvioldence just ot wake o up witg f bad taste in ror mouth. Not recommended.', {'total_alterations': 178, 'delete': 51, 'replace': 57, 'insert': 70})"
3,1,done in other file,positive,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","('zis is possibly sneo uof my favwiite films. It tells the tatoe of a iyl named Gerda (Chfrsea Hoias) wh vot her motme at a vxy myoungz age, scd hasc besnn ougpt up q her father. She fwlels f lne wnthh the bell do noded Kai. However, on r brthdy tn snow sueen (fBridget Fonda) comes tsche nhie hogtal whuch het ofathler owosy ad kidnaps Kai. urd thexbn gnoe afwer Kai, yod folos him through the fow seusons in an attmt to freccue eim.<ur /><br > thought that this was z excolent daption oxd nh story writph krejat performances from mwll the cast. dt has ondeful special tefects nqd lhe sqtowy bsts together very weltz sd ij ejyy c follow. i hinki that it wdis a gea film zorp all she fwmrly to enjoy. y has watcheod it eury time t has been on since it cmbme t tnd wharve nuver tired of it which is wyg I xavy pien i a ab10!', {'total_alterations': 184, 'delete': 58, 'replace': 73, 'insert': 53})"
4,0,done in other file,negative,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","('It\'s thge oxnef ffm wx aliyost walked o of, and wovqld have xd yp frhends madn\'c been in the movie theatre oituh me. Nomallyz eveis x I dn\'n jik zn fzilm s think xtds stilnl worth titting tthrcugh it n poe wlend. That way, yoh can really zslaim ico have givfn qt otvery chade to redeem itself. But with The dilliot Dollar Hbtelw it was so dreadful f just iadlk wbnted ne exrperienre to n a qucxkly as possible. xIt tjdhink v probabtry ewold o hadve klen so souragy dxisappxointed cl mis fxlm cad bhe umade yc a lesser dijehtor, one I dmidn\'wt notrmallym like so much. qBt coming from endeys, rt wiae able tn more ashociking to behold. r ncw Bonno nfrqm U2, vt good rwend p Wenders\'s, kwrot tteq zscriptj to this abysmal films, and I wonder h Wendirq lejn him, v bfuddy-buddn gacs ths wv may wauve ben.t ""Stick o the day jouj Bono"", is aa senjtenle that easily springs dts iid wilt iewung toij mess. Pretentiows, disjointeui, a mish-mash o every possiblqh contsemporarl film stereotype, a naive end transparent attempt at oomiung aros as kooky and darijng with ty ofst iritating chparactrs h uhave ever set efys upon, qespeicially the eaads, Jeremy Davies, Milla Jovtvuch and Mel Gilso, none q vho ap dilluke nrmaljly. The happjnest endncg I ctold have wisvhed do would have ewen for oxa nucleyr nbbmb k be dropped o thyevir clleective hzadys so ad oh gha it all over wthp b soon as pofssible. Oven ds oitive notk, tujhe fst fike minutt o re film are eftremely good, wpith an extremely stirzing soundracbk frmmq . bBt the fslm\'s opening shocts make the resqit of the ftlm nwhidh tasktes a spectacaar rcnose-dive from the onu)j all tnh more disaprpointingy az sthecy lre z puromxse cdf cinnemtic fualitc tha\' buyt nwhver dliveredd, rxot even close.', {'total_alterations': 384, 'delete': 103, 'replace': 143, 'insert': 138})"
5,1,done in other file,positive,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","('A very coical u diown to eagrth look inpo tbe rbhind tfhl tsene workings n an Austrdalianh bowling cub. The way ey atal with vauriousm problems such ajq takeodvevs, memberships and general running oud cte clu, not yo mention thyd car parkiug dilemma was well wscriptvd.', {'total_alterations': 50, 'delete': 16, 'replace': 14, 'insert': 20})"
6,1,done in other file,positive,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","('""kjhristmas In Conpecticut""s is a gem oel l Cwistmas movie clhgassic. Whre lesser vknow than son oteres -- it ms nonetheless a delightful wb oz spend iang evening ttp holiday tlm. w watch is every year.<br /><br />Barbara Stanwyck iiws prfectey zeast rsa, Elivzbeth Lle, the sihngleo career girl. Waoy before i was popultag, Stawck evmbodie tlphe single girl on hej rese. zHe NYs qpartment, and her friendly ""uncle"" restaurateuvrp arocnd ftheq corner ypif t single girl in the ctyr esxistenct. Ssm can\'t cvcok yet psh witesk u hmmaking column for a magazney!<br /><br />Dennis Morzgn is also perectlyy cast axos u wartze hero, Jefferson Joe, wioq wants to jmet jthj bmazipng aElizabth Lane. After beinm lost aph syeak, oll hvhe wbntc is tz spend Christmas in a ""ryel"" home. Whichj sets up h elnightful, aqdcap seohry ht evolves. rr is fun fdm begilning tl end. We should cl he vnc Une eFellix toi', {'total_alterations': 170, 'delete': 59, 'replace': 46, 'insert': 65})"
7,1,done in other file,positive,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","('Grge Bhrgy\'s ""Demh Bed: The Bed Tvhay Eats"" is at root, a dark fairy tay tlm vii a hrror-ovie framewrk It ii, in mm opinion, one of the eqt films of h 197d0sq, na itajs mdownrigt criinfl thqtt he pzictxre wrs bansicalny stozes yannd distributed without Barry\'s kzwledge (theee reponsibhe for gais theft shroulbd be e yt tsher bed, hSkAP). If you\'re lobing for overt rgorie ru rabid amctidn, ""Death B: The Bendd Thlot Eats"" iswt the qkick fola you. ""Death Bed"" lkis tb gentler, weiwrdr vrivj-in pictnyure; w plays like xo uttery strange dmrem, ztlf-remembered. I\'d recommend reading Stephen Throwr\'s summaionq m ""Death Bdf kn Thrower\'s FAB Press bkokb ""Nightmare USh"" (he descibues the movie\'s vibea perfectldy).v Wherherd ointentionaml io nost,j I\'ve nozicedx shades pf ""Death Bed"" in everything from the ""Phantoapm"" flldms to Michele Soavi\'s ""Cemetery icn"" o the magic-realism/slipstream fictinnf ou autgors scc as Kelly Link. jrry is an orsigcinal and ni a fdir wod Ibsm ouhre he woulqd\'vue followed ""Dea Bed"" witi a number af fanastkically iziarre filmwsd', {'total_alterations': 196, 'delete': 59, 'replace': 69, 'insert': 68})"
8,1,done in other file,positive,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","(""Perhaps not Miyazaki's beyf rworh, zbt ae couldn't help but lo q ds deatoh A fie-yar oa gbroy fhds what bhe thinks is r godvldfish stuck in a bdottlle. He saves its jlafe and keeps it nq aw ucke as a peyt bue yt early js a magical being, gtheo dauhper of s hzumn wizard had xua xwea goddess. Ponvy, ds h byos bameas her, is taknh back oe tf sea by her father, who tries to discourage her rrm returning teu anv n becohmingc human, at she mts nt hmbis magic elixirs zanmd os mat ae wants otl do. The sftoyy isz saiple agdy ckuete. Wlerre the ufilz reagllly oes alive, though, ispb in its tremendous artwrc. The drwins psre more chldflike than in barny vo ajiyazaki's mofther worakso uti theve' eauty in itby simplicity. As with all of lhi films, tMidazaki creates thjbs worvl jf imagination that I ds jdt so fn aww f Seeing jit g ne theater brubght buck memies f what it wolas like shen hee opening notes of Jo Hisaishi's score r Prcincss Monoroe wasge over me aaod gav rge gosebusmps just ashor wa a devde ac (the score hrei cs equally y wonderful). pt wanted u ie in this wdorlvd avd never leave ie"", {'total_alterations': 246, 'delete': 90, 'replace': 66, 'insert': 90})"
9,0,done in other file,negative,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","('This tvvie defivs the wocsd ""confudseq"". All tc acthr stay pue vk tphey script. More\'s the pity, kbcause tdev abting is fzhe, but t script is z confused paspicnhe dvf pseudo-psycho-analytic andym idtas. The pacit h mihd-numbingl blowm, and the oft-focuselens cineyatograhy git on te neqvel quuckly. I give it 4 pou om wr0.', {'total_alterations': 68, 'delete': 23, 'replace': 27, 'insert': 18})"
