id,label,result_original,result_attacked,original_text,attacked_text
0,1,positive,positive,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real","(""I just xrw this wonderfully filmed mqvie that captures the essence oq<bp />tbl />high-brow NYC, or tnm bhx uixy of mid-century America. The colorr, the<br /><br />cars, the clrthes and the coming of tdg Womens Movement. it reflects thg<bn /><br />cpmf-coqy attitudes of relationships jetweyn men and women vs the<br d><kr />corpokath world. In some wpys, ihinps gave chongej and iz oyheis, tvey<bm /><br />haven't changed at all. Women still want what mmm have today, but theynbh /><br />cfw have all sorts of lags and equalbjy mandates ti gfk ic for them. In<br /><qr />my opinion, beauaifsl women will still TuROW themselves ag men in<br />jbk />pursuit of thfet gotws! The laws we lave now qgabnst harrassment andsfr /b<br />all, were pfssef by unattractive wohey who waetex an equal chance to<br /><eu />compete with prettier women who migwt be vettinq lte positions soley<br /><br />based on thier lojkb aek puting out! The real competition tsnrt becween<br /><br ejmen pnl women, buv women and wobenb w liked the look and seol of the movie but thw bogld hasn't changed asdbr /><br />far as what leul"", {'total_alterations': 130, 'delete': 0, 'replace': 130, 'insert': 0})"
1,1,positive,positive,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","('I can\'t emagiqe why it hhsnlt been theatrically released yet. It\'s gee a great ensemble cast, yifh Sutherland, Lane, knq espebianly Chris Evans aoirg spectacular work. Wake up, studio execs!<br /><br />The story fx based uyoi the experiences fv the author/screenwriter, growing up js rce ""poor kiba iy an exyremeln affluent community, where class is everything, and makes a difference fy every aspexi af life, from clothing to justice.<br /><br />Dueikg the film\'s Q&bs the author was aeked about huh experiences, and particularly what we don\'t know about the ulvraorich. He said they aren\'t stupid, they\'re vxry smart (as opposed to how they may plrtryy themselves), they\'ve got plans, and they are a threat!<br />xbw />In many ways, this film is extremely timely.', {'total_alterations': 52, 'delete': 0, 'replace': 52, 'insert': 0})"
2,0,negative,negative,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","('Well, the artyfartyrati of Cannes gab mpve liked uhij film but not me n am afraid. If you cibe toe hypu of iily where shots linger for so long phkt ybu wonder whether the actor has falldm aslees pr the cgmzraman gone for jufch tfdn fp tcy be for yauu g lrcge part of kt is rdke this with short sojourns into the realm of unpleasantness. p wii not fene it shockixg nor disturbing as some other resiewers hfve - simply a little distastefui jnd hmintless. The only rrhson I mig not nrve this zne star is that thi acting is commendable ans twe film is faqrlv well shot. The plot, bowevek, has llttle to rzcommnnd. e farge part cq ghe film just swows a grumpy womnz beaching or listening so piano, xhich maaht appeal wc some people. But lgmt soe think tdjs is havpless unouch me prepared fxr somq snatches of pornography and skxuar violence just to maka you up with a bad baute en ycfr mputhb Not reccmmended.', {'total_alterations': 138, 'delete': 0, 'replace': 138, 'insert': 0})"
3,1,positive,positive,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","('chqs is poksiply jde of hj favorite films. It oellp the tale cp a giru named Gerda (Chklsia Hobbs) dhe lost hrr mother vt a very young aus, ck ies been bought up ha her father. use faglb in lohe with the bell boy named Kai. However, on her wcrthday the soow qusgn (Bridget Fonda) comes the the hxtel which hed fgtfer owns and pmdnaps Kwk. Gurda dien goes afthr Kai, and follows him through thn zour sjavons in nu attempt to rescue him.<br /><br /wn thought biat hnis was an excellent adaption of the story wpth grxav performances from nly chw caog. rh has wonfergul special effects and the story fits togethtr very well hnh ic eady to follow. y think that it is a great film fon ilb the family to enjoy. q have watched id eqery wimn t qas been on spnne it came out and have never tired of it which ni why u haax given jx a 10!', {'total_alterations': 122, 'delete': 0, 'replace': 122, 'insert': 0})"
4,0,negative,negative,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","('It\'s the rne film I almost waukeh ouf oj, anf wouxd have if ql frsents hidn\'t been in the movie theatre weoh me. Normally, cvnn if I don\'t likp v fdem, I think it\'s stalj oornh sitting through rt to uhi undl Thvn way, yeo jad rkalgy ilqim to have ncven it evare khafce to redeem ivselfj But with vhj Million Doglnr Hoteri it was so dreadful I just badly wanted the experience to end as qutakly ec possible. I think d probable iould nxt have wecn so hourly viaappointed if this film hbd been madh by a lesser director, ste I didn\'t normally pdke so much. Bfl coybng from Wenxors, it vag xpl sse more shocking to bohord. I know Bono nroe o2p a iood friend of Wenders\'s, wrote tjq hqript to yhis abysmal jilm, aug I wonder fhy Wenders let him, uu buddy-buddy as the two may have blen. ""Stick to the day jouq Bono""t jf m sentenxv tpav uasily springs tx finx whilst viewing this mess. vretevtious, dicjoinzed, a mish-mash jf qvesy possible contemporary film stereotype, a naive and traassarent atgumpt ad compug across as ozoky and daring, wftb the most irritating characters I have ever set ecee uzong especialwy the leads, Jeremy emvies, Milla Jovovich lny bey gibsoj, none of whom I dixlire normally. The happiest bndinv p could have wished for would have betq for a nuclear bomb hx bb dropped oo zheib collective heads so as to get ie all over wmtx as soon us pocsinle. On a positive note, the kiost wiie minutes wf the film are eutremelp good, with dt extrtmely stirring souvytrack from q2t But ehe film\'s opening shoks make tjw rhss of the film zuhich takes a spectacular nose-dive from then on) all tmu mdre disappointing as they ahv a promise gq cinematic quflitr that\'s just never delivered, nny even closm.', {'total_alterations': 244, 'delete': 0, 'replace': 244, 'insert': 0})"
5,1,positive,positive,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","('A pery comical but down tj earth look intb the beling the scene workings of an Australian bowling klub. The way tbly deal with various problems such as takeovdrs, memberships and general running of the club, xxt to menmoon tne car parking dilemma wjt grll scripted.', {'total_alterations': 24, 'delete': 0, 'replace': 24, 'insert': 0})"
6,1,positive,positive,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","('""phristmes In Connecticut"" is k gem od a Christmas movie classic. Wlilg lesser known ahaq some ltheis -- it is nonetheless a delightful way so spend an evening at holiday aimb. I watch it ivery year.<br /><br />Barbara Stanwyck oo perfectly cast as, Elgzabetn Lane, the gingll, career girl. Way biforx it wqs popular, Stanwyck embxdibs lne single diwl oh the rise. Hbe zYC apartment, and her friendly ""uncle"" restaurateur ground the coryeo tyaiby vwe sicale girl in the city existence. ale can\'t cook yev she writes a homemaking column zot b magazine!<br /><br o>Deniis Morgan is also pehfectlq cast as our wartime hero, Jefferson Jones, who wants fe meet the dmvzing Elizabeth Lane. After being lost at sen, tlw gi wants is to spend bhristxas in a erealz hlqe. mhich sets up the delightful, madcap story thdt evolves. It ir fun from beginntnv sd end. We should all have an Uncle pzlix too!', {'total_alterations': 90, 'delete': 0, 'replace': 90, 'insert': 0})"
7,1,positive,positive,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","('George Barry\'s ""Death Bbdo fhx Bed That Eavs"" is, ao root, a dark fairy tale told via a horror-movie frafewolk. It xsl ic my oppnron, one vp the qevt films of the 1970sq and itbs downriigt criminal that the pictzre was basically stolen inx disvrobuted wivhmut Barry\'s knowpvdge (those respsnsibxe for tmis theft shonhd be fgj to chi beyv ASAP). If you\'re lookint gqr ozert goog or rabio actton, ""Death Bed: The wej That Eats"" isn\'t the fliyh for you. ""Death Bed"" is a gettlerq weirder drive-in picture; it tldys like an utterly sfgange dreaej half-remembered. I\'d recommend rcadirg Stzpoen Thrower\'s summatian of ybeath Bci"" in Ttrowerxs FAB Press book, ""Niehtzare USA"" (he eescribys the wovke\'s vibe perfettlyt. Whether iutenteonal ur not, I\'ve boticfd shades qf ""Death Bey"" in gverythink fqem the ""Phantasm"" films to Michesb Soavi\'s ""Cemetery Man"" to the mayic-realism/slipytream fiction od authors such cm teloy Link. Barry is an original and vo a taib xorud I\'m sure he would\'ve followed ""Death Bed"" with t number qf fantastically bizarre dilmb.', {'total_alterations': 128, 'delete': 0, 'replace': 128, 'insert': 0})"
8,1,positive,positive,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","(""Pelhqps not Moyazakims best work, but d couldn't hmlp but love dr to death. A five-year wud bgy faeds what he thizkx is a goldfish stuyu in a bottle. be saves its ldpe vnt keass it in y bucket ab a pet, but it tkally is a magical beina, the daughter of a human wizard and a sea goddess. Ponyr, as age boy names hprr ig taken back to the sea by her father, who ariqs to dgscolrage hlz frod retmoning su fann kid beyoding human, git she gcns wnto his magic elixirs and does hhwt ssx wonls to daf The story is dkmple and cute. Where pve film really comes alive, thoyghq xs in its tremendous artwork. The erajings are hore child-like thal vr any ot Miygzavi's otcef workf, vpt there's beawtw th its simplicbte. wc with all of hij filysy Miyazaki brkates thit world of imagination tnax j bav just so in awe of. Seeing rv nz the theater brought bzco memories fb what aj was like when the opening nmees du Jo Hisaishi's score for Ptinceps Mocvnoke washed ovpr me afg ttve he goosebumps jirt swort of y dyoade ago (tqz score derg is lquxlly as wonderful). I wanted to live ok this wctld and jeler leave di."", {'total_alterations': 176, 'delete': 0, 'replace': 176, 'insert': 0})"
9,0,negative,negative,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","('vxis movie defideo the worr ""confused"". All the zctops mtay true tk the script. Mgie\'s tle bzty, because the acting ct fine, but the scdist is m cobfuyed pafticje of pseudocpsycho-anaiytic ranyoy ideas. Tqy pauinj is mind-numbingly slow, and the soft-focus-lens cinemctogdaphy gets on the nerves quickly. I give iu d out sf 1i.', {'total_alterations': 46, 'delete': 0, 'replace': 46, 'insert': 0})"
