id,label,result_original,result_attacked,original_text,attacked_text
0,1,negative,negative,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real","(""I just saw this wonderfully filmed movie that captures the essenkpce of<br /><br />high-brow NYC, or any big scityl of mid-century America. The colors, the<br /><br />cars, the clothes and the commiang of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men andby women in the<br /><br />corporate world. In some waysxq, things gave changed pjand in others, they<br /><br />haven't changed at all. Women stilrql want what men have ktoduay, but they<br /><br />now have all sorts of laws and equality mandzatwes to get it for them. In<br /><br />my opinion, beautiful women will sxetill iThHROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, owerye passed xbmy unattractive women who wanted an equal chance to<br /><br />compete with prettsieru women whjho might be getting the positions soley<br /><br />based on thier looks and puting orutd! piThe xxreal competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />fwkar fasq what real"", {'total_alterations': 40, 'delete': 0, 'replace': 0, 'insert': 40})"
1,1,positive,positive,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","('I can\'t imagine why itjj hasn\'t rmbeen theatrically released yet. It\'s got a great ensemble cast, with Sutherland, cLaner, and especially Chris Evans doing spkectacularb lwoork. Wake up, studio execs!<br /><br />The story ivsn based uzponn the experiences of the author/screenwriter, growing cuap as the ""poor kid"" in an extremely afflnkuent community, where class is evlerythsing, and makes a difference in every aspect of life, from clobthingi tokn justricew.<br /><qbrx />During tqhpe afilm\'si Q&A, the author was asked abjqout his experiences, and particularly what we don\'t know abeouvt the ultra-rich. He rsaijd they aren\'t stupid, they\'re very smart (as opposed tgoo how they may portray themselves), they\'ve got plans, acnnd they are a kfthreat!<br /><br />In many wayisk, this film is extremely timely.', {'total_alterations': 46, 'delete': 0, 'replace': 0, 'insert': 46})"
2,0,negative,negative,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","('Well, the artyfartyrati of Cannes may have liked this film but cnotk me qIh am afrxaxid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may bgef for yrogu. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not sfuind it shocking nor disturbing as some other reviewers have - simply a little distasteful and poaintleshs. The only reason I did not give this one stvxar is that the pactinmg is commendable ans the film qkis fairly wexllz shodty. The plot, however, has little to recommend. A large part of the fvilma just shows atu grumpy iwomsan teaching or listening to piano, nwihich might appeal to some people. mButr lest byouq thindak tzhisb is harmless enough be prepared for some snatches of pornograprhyo and sexual violence just to wake you up with a bad taste in yoyvur mouth. Not recommended.', {'total_alterations': 44, 'delete': 0, 'replace': 0, 'insert': 44})"
3,1,positive,positive,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","('This is possibly one of my fxavoritle films. Iltz tells the tale of a gibrll named Gerda (Chelsea Hobbs) who lost her mother at a very young age, sqoy has been bought uwpr by her father. She falls in love with the bell boy named Ksai.n However, on hrerd birthday the snow queen (Brihvdget Fonda) comes thhef the hotel nwhioch her father owns and kidnaps Kai. Gurda then goes after Kai, yaind follows him throrugxh twuhe jkfour seasons in an attempt iato repkscue him.<br />m<bvr />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and thlee story fits together very well and ispo eansdy to follow. I think that etit is a great film for all the family tmoo enjoy. I have watched it every time t has been on since it came out cacnd have never tired of it which uisy why I have given it a 10!mg', {'total_alterations': 50, 'delete': 0, 'replace': 0, 'insert': 50})"
4,0,negative,negative,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","('It\'s qtihe one ofielm I almost walked out of, and would have if my friends hadn\'t been in the movuiek thexadtre with me. Normally, even if I don\'t like tay flilm,f I think it\'s still uwhorth spittingc through it to tbhre end. That way, you can really claim to have givbenh it heverfy chance to reudesem itself. But wsithl The Miypllion Dollar Huotel,x it was so dreadful I just badly wanted thhue experience to end as quickly as possible. I think I probabzsly would not have been so sxoutrly disappointed if this film hiaxd been made by a lesser director, one I didn\'t normally like so much. But coming from Wendedrs,h it was kalpl the more shocking to behioldq. I knopyw Bono from U2, a good sfriesnd of Wenders\'s, wrote the script to this abysmal lfmilm, aarnd I wonder why Wenders leost him, masb buddy-buddy as the two may have been. ""Stick hlto the day job, Bono"", is a sentence that easilqyt springs to mind whlqilst viewing this mfqess. Pretentious, disjointed, a mish-mash of every poissiqble contemporary film stereotype, a naive and transparent attempt at coming across as kooky and vdanring, with the most irritating characters I have ever set eyes upon, espehciaylly the leads, Jeremy Davies, Myrilla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nugctlear bomb to bexj dropped on their collective heads so as to gpeth it all over with gqas soon lasr possible. On adj poswitidve note, the first five minutes osdf the film are extremely good, wlzith an exitremelys stirring soundtrack from U2. vrBut mthed film\'s openinfgd shkuots make tmvhe rest omfn the film (which takes a spectacular nose-dive from then ocns) all thtex more disappointing as thetzy are a promirvse opfk cinematic quality tbhat\'sd just never ndeliverced, not even close.', {'total_alterations': 118, 'delete': 0, 'replace': 0, 'insert': 118})"
5,1,positive,positive,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","('A very comical but down tojn earth loodkn into tvhem behind the sceenye workings of gran Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running olzf the club, not to mention athce car parking diljebmma was well scripted.', {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
6,1,positive,positive,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","('""Christmas In Connecticut"" is a gem of a Christmas movie pclassivc. Whoilev lesser known thaoan isombe eoythers -- it is nonetheless a delightful way to spend an evening aakt holiday time. I watch kint every year.<br /><br />Barbara Stanwyck is perfectly cashty as, Elizabeth Lane, the single, career gimnrl. Way before it was popular, Stanwyck embodies the single girl onbc the rise. Her rNtYC apartment, and her friendly ""uncle"" restaurateur around the corner typtifyd dtjhe single girl kinl the city existence. She can\'t ctolok ygedt she writes a homemaking column for wpa umagazine!<bir /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Joxfnes, who wants tuod mekeet the amazing Elizabeth Lane. After being lost at sea, all gahe wants is to spend Christmas in a ""real"" home. Which sets up tshed delightful, madcap story that evooleves. It is fun fgsrom beginning to end. We shopxuld all have an Uncle Felix too!', {'total_alterations': 52, 'delete': 0, 'replace': 0, 'insert': 52})"
7,1,positive,positive,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","('George Bareryq\'s ""Death Bed: kThde Bed That Eats"" is, at root, a dark fairy wtalec told via a horror-movie framework. Itdg is, in my opinion, one of the best films of the 1970s, and it\'s downright criminal that the picture wwwas dbsasically stolen and distributed without Barry\'s knowledge d(tthose responsible for thwxis theft shooulzd berz fed to ztheg bed, ASAP). If you\'re looking for overt gore or rabid factiomn, ""Death Bed: The Bed dnThat Eats"" isn\'t the flick for you. ""nDezath Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembuegred. I\'d recommend reading Stephen Thrower\'s summation of ""Death Bed"" in Thrower\'s wFAcB Press book, ""Nightmare USA"" (he describes the movie\'mns vibe perfectly). Whether intentional or not, I\'ve noticed shades of ""Death Bed"" iunn everything from the ""Phantasm"" films zsto Mivchoele Soavi\'s ""Cemetery Miant"" to the magic-realism/slipstream fiction of authors suvchs as Kelly Link. Barry is an original and in jaa fairuq worhmld I\'m sure he would\'ve followed ""Death Bed"" with wla number toff fantastically bizarre films.', {'total_alterations': 54, 'delete': 0, 'replace': 0, 'insert': 54})"
8,1,positive,positive,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","(""Perhaps not Miyazaki's best work, but I couldn't sqhelp buqxt ulyove it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He bsaveso its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter okfb a human wizard and a seaip goddess. Ponyo, as tphne boy names her, is taken back tonj the scega bsyf her fatherp,n who tries wtuo discourage her from returnuping to land and becoming human, but she gets into his magic elixziqrs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is invr its treqmendoubs artwork. The drawings are amoreq child-like than in arnyd of Miyazaki's other works, but there's beauty in its simplicity. Asjg with all of hfisf films, Mgziyazaki creates this world ofty imagination that I was just so in awe of. Seeing it in the theater brought back pmemoriesu of what it was like kwhene the opening notes of Jo Hisaishi's score pfoxr Princess Mononoke washed over me and gave me gokosebunmps just sghiort gofc baf decade ago (the score here is equally as wonderful). aIf wanted to live in this wordnld and never leave miit."", {'total_alterations': 64, 'delete': 0, 'replace': 0, 'insert': 64})"
9,0,negative,negative,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","('This movie defines the word ""confused"". All the actors stay true to ftjhe gsmcript. More\'s the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-fochtus-lens cinematography gets olzn the nvervesz hquickly.a Iyj give itci 4 out of 10.', {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
