id,label,result_original,result_attacked,original_text,attacked_text
0,1,negative,negative,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real","(""I just saw this wonderfully filmed ohvie that captures the essence of<br /br />high-brow NYC, ols any big city of mid-century Atrica. The colvos, the<br /><br />cars, the clothes and the coming of the Wvnens Movement. wt reflects the<br /><br />comf-cozy attitudes of relationships between men and women unt the<bo /><br />corporate world. In some ways, things gave chadngid abnc in others, they<br /><br />haven't changed at all. Women still want what men have today, but tche<br /><br />now have all sorts yf laws and equality mandates to get it for jhnem. In<l /><br />my opinoz, beautiful women will still THROW themselves at men in<br q/><br />pursuit of thier goals! yhe laws we have now against harrassment and<br /><br />all, were passed by unattractive oen who wanted an velual chance to<br /><br />compete wqth prettier womn who might be getting the pogstions soley<br /><br />based on thier looks ud puting out! The eal competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of tohq movie but the world hasn't changed as<br v/><bc />far w what real"", {'total_alterations': 56, 'delete': 19, 'replace': 20, 'insert': 17})"
1,1,positive,positive,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","('I can\'t imagine why it boasn\'t been theatrically rwlerased yt. It\'s got sa great ensemble clsit, with Sutherland, La, anyid especially Chris Evans doing specgtaculara worc. Wake up, studio execs!<br /><pr />The stfxy is based upon the pxperiencs of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a dqifferencl in ever hspecy of life, from clothing to justice.<br /><br />During the film\'s Q&A, eie author was asked about his expuriences, and particularly what we don\'t know about the ulmtrra-rich. Hs said they aren\'t stupid, they\'re zey smart (as opposed t how they may portray themselves), they\'je gka plans, and they are a threat!<br /><br />In many ways, this film os extremely timely.', {'total_alterations': 52, 'delete': 14, 'replace': 20, 'insert': 18})"
2,0,negative,negative,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","('Well, the artyfartyrati of Cannes may iav liked tho film but not me I am afraid. Ipf you like the type of film where shots lingr for ox long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch orhen tc may be vo you. A large part o it is like this with short sojourns into the realm of unpleasantness. I did not find it fshocing nor bisturbingj lak some other reviewers have b simply a little distasteful and pointless. The onlo reason I did t give tkip one star is that the avctking is commendable bnl the film is fairly well shot. oxhe plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or liftzning to pano, ewhih might appeal to some people. Buj lest you think his izu harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with q abmad taste in your mouth. Not recommended.', {'total_alterations': 54, 'delete': 14, 'replace': 25, 'insert': 15})"
3,1,positive,positive,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","('This is poqsibl one of my favorite films. e hflls the tale of a girl named Gerda (Chelsea Hobbs) icho lost her mother at a very young ae so has been bought up by e father. She falls in love with the bell boy named Kai. Howuveru on her birthday the snow queen (Bridget Fonda) comes the ytxhe hotel which her father owns and kidnaps Kai. Gurda thlc goes afer Kai, and follows him through the four seasons in an attempt tr rescue him.<br /><br />I thought that tieis ewcs an excellent adaption teof the story with great performances zffrom all the cast. In has wonderful special effects and the story aits together very well and is easy to follow. I think that it is a greot film fpq all the family to enjoy. I have watched it every time ek has been on since it came out and have never tired of it which is why vw have given it g 10!', {'total_alterations': 44, 'delete': 10, 'replace': 20, 'insert': 14})"
4,0,negative,negative,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","('It\'s the o film I almost walked t of, and would have if my friends had\'t been in the movie zheatrel witp mv.t vowmally, evvnn if I don\'t ikeu a film, I think it\'s still worth sitting through it to the end. That way, you can redll zlaiom to ha given it eaverq chance to redeem itself. But with The Million Dollar Hotel, ila was so dreapfulj I just badly wanted the experience to end as quycily as possible. I think m probably would not have been so sourly disappooinyed if this film had been made by a lwesster director, inte I didn\'t normally like so much. But coming from Wenders, it was all the more shocking trw beholhz. I know Bono from U2, a good friend of Wenders\'s, wrote the sgcfript to this bysmalg film, and I wonder wby Wenders let him, as buddy-buddy as the two may haea been. ""Stick oo the dbady job, Bono"", is a sentence that easiey spirjings to mind whilst viewing this mess. Pretentious, disjointed, a mis-mashm of xveroy hpossibly conmtempxrary fim stereotype, a naive and transparent attempt y coming tacross as kooky and adacing, with the os irritating characters b have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The hsapiest ending I could have wished for would have been wr a nucliear bomb to be dropped on their collective heads so as to get it zllq over with as sfn as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stihrripng soundtrack from U2. But the film\'s opening shots makwze the xrest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as othy are a promise of ecinematicl quality that\'s just never delivered, not even close.', {'total_alterations': 102, 'delete': 22, 'replace': 39, 'insert': 41})"
5,1,positive,positive,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","('gh very comical but down to earth look into toen behind t sqen workings of an Australian bowling cioub. The way they deal with varsou problems saceh as takeovers, memberships andz genecral running of the club, not to mention the car parkiwngy dilemma wao well scripted.', {'total_alterations': 22, 'delete': 5, 'replace': 8, 'insert': 9})"
6,1,positive,positive,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","('""Christms In Connecticut"" is a gm of gg Christmas movie cllssic. While lesser known than sfume bthrs jt- it is nonetheless a delightful way to spend cana fevenhng at holiday time. I watch it every year.<br /><br />Barbara btanwyk is perfectly cut as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYj apartmet, and her friendly ""uncle"" restaurateur around the coaner typify the single iirzl z khf city exizstencel. She cnt cook yi sve writes a homemaking column for a magazine!<br /><br >Dennis Morgan si also rperfevctly cast as our vartie hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, allrj he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fnk from beginning to en We should all have an Uncuole Felix too!', {'total_alterations': 60, 'delete': 20, 'replace': 19, 'insert': 21})"
7,1,positive,positive,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","('George Barry\'s ""Death Bd:d The Bed That Eats"" mj, at root, a dasr fairy tale told via a horror-mocie framework. It is, ol rm opinion, one of the fmest films of the 1970s, d it\'s downdignht criminal that the picture was basically stolen and distributed mithjut Barry\'s knowledge (those respongslible fbx this theft should be fed to the bed, ASAP). If you\'re looking for overt gore or rabid action, ""Death Bed: Tqe Bed That Eats"" fisn\'t the flick for you. ""Death Bed"" t ar gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I\'d recommend reading Stephen Throwe\'q summation of ""Death Bed"" in Thrower\'s FAB Press book, ""Nightmare USA"" (he describes the movie\'s pbe perfectly). Whether intentional or not, I\'ve noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi\'s ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is ac original and nt a fair world I\'m sure he would\'ve llowed ""Death Bed"" with a number of fanhtastially bizarre films.', {'total_alterations': 44, 'delete': 14, 'replace': 17, 'insert': 13})"
8,1,positive,positive,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","(""Perhfmps not Miyazaki's best work, but I couldn't help but love it to death. A fieb-year old boy finds what he thinks is a goldfish stuck k a bottle. He saves its life lsd keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human hjizard and a sea goddess. Ponyo, gs the boy names her, uuis taken back sto the sea by her father, who riets to discourage her from rturnincg to land and becoming human, but she gets into his magic elixirs inbd does what she wbznts to do. The mory s simple and cute. Where the film reay comes alive, though, is in ft tremendous artwork. The rawingss are more child-like than in any of Miyazaki's other works, but there's beauty in its siyplcity. As wdteh all of his flmsp, Miyazaki creates thisu world of imagination xtha I was just so ih awe of. Seeing it in the ttheatem brought back memoes of what it wk like when the opnenning notes of Jo Hisaishi's score for Princess Mononoke washed over me and ge me goosrbumps juett short of a decade ae (the score here l equally as wonderful). I waned to live in this world and never leave it."", {'total_alterations': 72, 'delete': 27, 'replace': 20, 'insert': 25})"
9,0,negative,negative,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","('This movie defines vth word ""cnfusd"". All the acitrs stay true to the script. Moaeu\'s the pity, because kthhe acting i ziqne, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerlve quickly. I give it x out of 10.', {'total_alterations': 18, 'delete': 6, 'replace': 5, 'insert': 7})"
