id,label,result_original,result_attacked,original_text,attacked_text
0,1,negative,negative,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real","(""v qcst sav ycis wvndeufully fcjmed movin yvat bapturgs tiz exsenme oc<bj h><bb />highhbrod NYC, vy egy agg aity ol midmcenxury Amergca. qhx colvrs, tqerbr />tbr />cars, foe elothei vne tfm iomcng vf tpt Womens Movamenp. vh reflegta tpz<br /><br o>codf-cozy attizbdes yz relationshopl xetwepn eeb xtd wozen jn tht<fr m><bj />corporltl wyrwd. jn some fals, thrugs ghvh chaqgeh arj nn others, xhey<by v><tr p>haven'i changed gf aalc jolen still oant whbt mem heve today, bnt they<og /j<xr />vsw havl bll sortk of uaws aia equaoity mangftes yo bek fg yon them. In<vn a><pr t>mj opiniox, beaucjful wcmen wigg sbivl oHxOW ybemselves ak kem in<iq n><br s>pursuiu ng thaer gafls! ghp liws ke hxvd coi againax haerassaent and<bj /><br />rllt were psssel ry unattrcctive vombn qhr wkntpd ps exuag cjance tibbr /><ti c>combete qitk pretqiem wojkn wht mxghg be gsttlng ohj posrzions solem<nr m><br />oasef oa shker lodks axd nutpng nutx lve rtan nomfetition isfpt bftween<ba />dbr />ubn add wcmenc bzt womcu ajf womeiv z liktt tee ldok twd heel of ace movem bgt the world haln'v clangeo ys<br /><lr />ias ac whgt rybl"", {'total_alterations': 334, 'delete': 0, 'replace': 334, 'insert': 0})"
1,1,positive,negative,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","('m canlr imabine wqm ie vgsn\'t been theatrecallh rvfeased dut. Ikks gyv z pgeat ensembwe sast, wiqb Suthsrladd, fank, anr lspeciagly xhrls Eeags doixg swectaculaz gorg. Waez ce, ytjdio lxecs!<bq /e<tr />xhj vttry io basxd dpod tip exderinnces oq ahc author/rcreenwriteru griweng mp ak ahh ""poor kld"" il at sxtremell alfquent cwumunity, wdece phass xa everything, aof yakus d diffqrenhe co oveay aswech co lpfe, orbm clothlnl tq mustice.<bd />pbr /xDuling ghe filmnp Q&u, thx augher qao cswed agoua hls exgerdences, rns patticularly whyt xz doh\'y yyow hbout xhl ultracricy. Hn kahd tspy eren\'j stuiid, theytrw verv cmary fav opposlf lz how vhoy bty rortgay themselves), tled\'ve gox pliks, aud cqey grs s threai!<bp /apbr />qy mpne ways, tjys cllm ts dxtrejely timelbp', {'total_alterations': 236, 'delete': 0, 'replace': 236, 'insert': 0})"
2,0,negative,negative,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","('Wmlla zht artyfaruyratr ox Cbnnes may sbve vided thin fijh bht mot bu a nm wfraiq. Ik efu lire thp tfpr fx allm bhmre lhods lhnper nvr sk wotg ohvt moc wondwl wqethes txt acpob hhs fallew bslcep on dha camnrkman goyn frg iuzch ooen if pay zv wog ndu. w ljrgw part ff vt iw siwe yhis weto shoya shjotrns inph cue realm dr unpleasahtness. m dzq nzj iinf ia chockvng nop distuhbinf ks sope ophev reviewers hzvi u siyaly v lfstle yistasteful gad polntlesse Tgv soly jeasok q rgd nvt giwb tlil hnf stur fa txjt vhc actizg yq dommebdable aoa tpe fivk pp zamrly nmll rhota Tue plith xobever, gah simtle rj decommebd. k larwh psrt gf tnf fixt jeqt shres u grumpy womcw tkacding hn listenung bo piabo, ihich mdgxt appdal to semb peopgm. Bxt lxwt yxu xxink thhv ca marzless eiough ae wrepored fjw stee snatchee om posnogxaphy ino sexbpl violancy jusb ro wake tot be wigg t bzd tashe ik yuud touvh. Nsr rwcummended.', {'total_alterations': 326, 'delete': 0, 'replace': 326, 'insert': 0})"
3,1,positive,positive,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","('yhfs eu possrblq hnq cz ay favorwze figma. Ij xellc tpe tyqe lj h giwv xamed oerea (Chevseg clbbs) exo oosv kgr motred at e vejy young ake, xo gaj bzeq bocght el qm hqr fatpeu. Std fajll ih fovw wiff iue wela yon naexd Kai. Htweverh yp ver hixthday nhe snow queon (Brivgez Fpndag cwmeu the she htgel wvrch lqr facher qwps hnf kidnppt Kai. Gursu shen gyec afuet Kdiw bno follvws hrv ahrough ohe fovv srarons qn bx atterqt mo restue himr<nr /><br />l bhoughr thyt tizs wkm ap excelwewt adaptqom oz trl stcrr fith great gervormances frlm aoo koe cavw. fh hqs wonaerfue sbbcial ejfecns akd txz stway fiti togebhel ceri wrzl anh us eosr oo fjllvw. w thick tkat at iq a ggeac wilm fus oql thb fulily mo eigoy. g rhve uatxhed ia epery twue w qas biez jd sinca ts lsme out mnf zmve nethr oired sb my wiith zk hhz h have giviy iv j g0u', {'total_alterations': 306, 'delete': 0, 'replace': 306, 'insert': 0})"
4,0,negative,negative,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","('wtjs tkq lnb utlm e aimoct lalked kut ld, ani wovlc hrle xb my roiends kzdn\'t bees ix dhe mxvie tyeatre wuah mx. cormalyy, rwen cu k lonot ltse t filj, k yhmnk imzs ftnll woruh seqting xhropgh it hs hhe efz. Thaj way, eru han rczlly csaik tn haoe givjn as ebecy coince mo reheeo ctselfm Buk litc Tnt willien Dozlmr Horelb ut sqs js dredpful k jusa batmy wanted tfe expetience tl bnd at euinkly az pospible. m thibt h prwbably woald ook hanr been yh soyily pisapgointed ae tliw wilp gjd mekn ofde bf h newser yirestor, ble x gidn\'t nofmallo uoke so iudh. Bgu oomizg frjx Wenzersa zh wih alz lhe qxre shocfing to behqll. s ynqw Bojo frlm Ufy f godb friezv hg Wendezs\'k, wrbte fhe qcriyt tf tvzs abylkal iild, kxd c wondeg viy Wenilrs xea jib, fs buddg-buddx ay tgc tro paq hsvc beunk ""iticz fg vhe pal kob, zono""c vo w ientenbe twat qatily ypeings ii mvnr yhylst vktwing tijs mesmf Prexentiousu dcsjointed, g mish-naso oj zveoy possfble chntempoqary rilz stereotyber y naxpe tny cransparent atvemvt so crminu abrfss af kooxy add darirq, wiiu ihp last irditating chorgcters c huvv evvr spw egep upln, especigcly ghi qeada, Jgrtmy Dafieb, Mzfla Jvvooich anx Mxp Gibyop, none op whfh I diwlgke noxmarly. Thh happiekt snying u colls haie bishey poh kould hkvr been var u nvcyear qofb mm bs dioppei on theiv coflectsve herdc sn qs yf dex lr yly oyer wiqh ad vooh ag passibln. ye p poszgive cott, the birtt flvo miputex du ohi fijg aze extrwmelp gooob mith cj ebtremelg ftirring soundtyack iroz z2k Bbd qfe frlm\'s oaening shfqs mave qhg rete si tgg fhlm tthich twkks h spectacular noce-dxve fmoy tqey onf azl tmm gore dicappointivg vl fhpy asp h promsse of cinecatuc quagito thjt\'e unst nevsr aelivermd, nkt ehen plqse.', {'total_alterations': 598, 'delete': 0, 'replace': 598, 'insert': 0})"
5,1,positive,negative,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","('f vfry domikal uur dojn do uartf yqok iado aje brhind vhc sclne wgrkinas qf ah Australian bnwlibg slue. Thw mat theg fral pixh varnhus proileys quch dk takesverss memberswmps acm ganwral wunning og tiu cduh, qom ja mektibn ate var pirring dgkemma wah wflr scrictedy', {'total_alterations': 90, 'delete': 0, 'replace': 90, 'insert': 0})"
6,1,positive,positive,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","('""Chriptmas ju Connecgiiut"" ia b lel ou r Christvas movxz czassib. mhile mejser ynfwn thgn ssme otdeas ve it ms nonroheless n dklightfsl wav zt apdnd xr ereiing kk culiday timez h waylh kt evpry yetr.<cr u><fr z>Birbara Stanwyci ls peraectlw cosl asj Elizdueth aanw, taa ringli, cvreyr girlm caa before yy oao poruaar, Szanwkck ymbtdies tje singtz gnrh oi iqe xised weu nYn dpaftment, ijd hac frzenely ""unslo"" rewtauraoeur aronnu jhe cortef tvpijy tik jingee giki qb rhe cato exisyencr. Shi banjt coqk ypt dhe wuitjs g homemaking jolumy flk i magazine!pbc /q<vr q>Dennas borman qs hlsn pertectli cajt aw uur wpftime hxrom Jlfferton Jtnts, whz wansc tj meyt ffe amazipg llimabeth Lane. Attez being lwlt am beaj agd pe tants vi ki spend Crrittmas ub p ""real"" vomei chicg slbs np thw teleghtful, madqbp wrory tham evolvosn sk kv fva flcm begrnninh yo enh. pc shoulp gpl hawh av Uncfe zelid wuo!', {'total_alterations': 294, 'delete': 0, 'replace': 294, 'insert': 0})"
7,1,positive,negative,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","('meokge Brrry\'w mDefth Bedg whe fen Txnt Eats"" isq ix jhot, b ekrk fuirl tale tjld vir g horrorhmovir frimejork. yp ish ij ub opnnionc jje mo bxe yust fgpms cf rho h97xs, aqg ytrs dopqright crifenal thvh coe jmcture kau basicalld skolen aed distrabnted zithoum Bnrry\'s kuouledge (ohase respmnsible fyn lhiy thefo shoglu yv fkh jo kae bwdy mSAd). fz wou\'be looknng uou ovivt aord xe rpeid vctikn, ""Dewch Bix: Thu Bed Thkj Egtz"" nsn\'t tze frxck fop yfu. sDgath Bed"" yg i gentyem, weurher drcveoin livture; qt plags line ln uutefly smrafge drecmq half-remembwled. I\'d rnhommend rexiing Stipgen vhrower\'z suemadion hr ""eeatv Bfd"" if Throeer\'q hAB fress nsok, ""Nighkjare USwf nhe deicrzbes tyy movis\'s viba pprfectly). Whqther intentiopyl oe noty I\'gu nlpiced phadqs of vDenth vee"" ia everything psom the pPhattasm"" yilmx tj Mjcvele Sravx\'s ""Cnmetera Mfi"" ib the mygic-realismnslipstream fictimc jq afthons juch oi celgy Linev Barwl cp ag oriiinal und hm r fdar world c\'p smrq vl zoqld\'ve follolxd ""ltath ked"" eith o nzmbez mf fantastbcalty bizqrue zilmi.', {'total_alterations': 326, 'delete': 0, 'replace': 326, 'insert': 0})"
8,1,positive,positive,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","(""Perhaps not Miyazaki's sest gyrk, bkt n csuudn't hglp bwc lske op bq death. s xiue-year ovk voy fsnds nhmt he thixkv is d goldfiso stcce tg r eottly. tl aaveu ibs llfn and kwqps vl qt k bulkeo oe e pct, bub ht realik is b magscai bzingl qhe daughiek of j xzman wizaok apd v mla gzddesa. lonyob nn dbe kcy nlmbs heh, ad tapzn bacw lo qhe jea ue heb fabrer, wbo tgces go dudcourage hqy frxm yewurning ch lzjd wnh becomiaf imman, uut soe ghts inuo hds uagib snixirs anl dqex what ohe vaqts to gos yhe sqxry ms scmpte bnc cutre Whwie she fujm ryalny aomys glivx, thought ii qj irs tremenjouq yrtwoak. dre drajinqs all tjre chsld-leke than ah gpy od Miyvzaki's otver workvc quf thereku aeaumy ik fts simpqichty. Aa wlgh ayl jf uid oilss, Miyqzakd cjeatee thiy wohwd of imagination thqe o waq xuet sn ve nre odf Sieing wu tn thd tfeawer brought bwcl semorieh ol ihat ir lus liku when tze wfening noket jf cg Hbsaishizs silre rar Princqst Mdnonoke wjzhed oser cg dns oavo mg goosevuvps jusf sharx oc p dtctde ago (shc scine qebe im eguallx ts wonkerfml). v wandev dv jivh ip lhjs wowld tnh bevxr seuve id."", {'total_alterations': 392, 'delete': 0, 'replace': 392, 'insert': 0})"
9,0,negative,negative,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","('Tips hovio dejknes the tond ""confoseq"". Acn thm fctoys ssay trup ka thr scmiut. Mort\'s jhe pittt bezause qme aetink ip vinn, jue tbd scribc zj d conffsqd jastichm ob psekdo-psychopanalytic ayndom idugs. ere pmcbng ia mind-numbhpgly slxwm anq gwe sofw-focus-lefs cinomatogvaphy gbtb wr thl nerves qrickzy. d giet id s auw bs 10o', {'total_alterations': 106, 'delete': 0, 'replace': 106, 'insert': 0})"
