id,label,result_original,result_attacked,original_text,attacked_text
0,1,negative,negative,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real","(""I st saw this ondrfully filmed mov that captures t essence of<br /><br >hig-brow NYC, or any big city of mid-century America. The colors, t<br /><br />cars, the clothes and the coming of the Wmes Movement. It reflects the<br /><br />comf-cozy attitudes o relationships between men and women in the<br /><br />corporate world. In some ways, things ge chage and in others, they<br /><br />haven't changed at all. Women still want what men ae today, but they<br ><b />now have all sor of laws and equality mandates to get it for them. In<br /<b my opinion, beutifl women will still THROW themselves at m in<br ><r />pursuit o thi goals! The laws we have now agait harrassment and<br /<b />all, were passed by unattracie women who wanted an equal hace o<b /><br />compete ih prettier women who might be getting the positions soley<br /><br >ased on thier looks and puting out! The real competition isn't betwe<br /><br />men and women, but women n women! I ied the look and fe of the movie but the world hant changed as<br /><br />far as wa real"", {'total_alterations': 64, 'delete': 64, 'replace': 0, 'insert': 0})"
1,1,positive,positive,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","('I can\'t imagine why it hasn\'t bn theatrically released yet. Is g a great ensmbe cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake u studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class s everything, and makes a dfferene in every aspect of life, from clothing to justice.<br /><br />During the film\'s Q&A, the author was asked about his expeiencs, d articulrly what we don\'t know about the ultra-rich. He si they aren\'t stupid, they\'re very smart (as opposed to how they may portray themselves), they\'ve got plans, and te are a threat!<br /><br />In many ways, this im is xtrmely timely.', {'total_alterations': 27, 'delete': 27, 'replace': 0, 'insert': 0})"
2,0,negative,negative,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","('ll, the artyfartyrati of Cannes may have liked hs film but not me I am afraid. If you like the type of film where shs lier for so long that you wonder whether the actor has fallen asleep or the cameraman gn for lunch tn it may be for you. A large ar of it is like ti with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful d pointless. The oy reason I did not gi this one star is th the acting is commendable ans the film is fairly well shot. The plot, however, has little t recommend. A large part of the film just shows a grumpy woman teaching or listening o piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual vience just to ke you up with a bad taste in your mouth. o recommended.', {'total_alterations': 32, 'delete': 32, 'replace': 0, 'insert': 0})"
3,1,positive,positive,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","('This is possibly one of my favorite films. It tells the ta of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so h en bought up b her father. She falls in le th the bell boy named Kai. However, on her birthday the snow queen (Bridget Fon) comes the the hotel which h fate owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons n an aempt to rescue him.<br /><br />I thought that th was an excellent adaption f the story with great performances from all the cast. It has wonderful special effects and the story fits together ey el and s es t follow. I think that it is a great film for l the family to enjoy. I have watched it every time t has be on inc it came out and have ner tired of it which is y I have given i a 1', {'total_alterations': 44, 'delete': 44, 'replace': 0, 'insert': 0})"
4,0,negative,negative,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","('It\'s the one film I alot wlkd out of, a would have if my friends hadn\'t been n t movie thare with me. Normally, ev if I don like a film, I think it\'s still worth sitting through it to the n. ha way, you can really cli to have given it every chance to edem itself. But with The Million Dollar Hotel, it s so dreadful I just badly wanted the experece o d as quickly as possible. I think I probably would not hv been so sourly disappointed if this film had been made by a lesser director, one I didn\'t normally li so much. But cmin fm Wenders, it was all the mo shocking to bhold I know Bono from 2 a good friend o ender\'s, wrote e script to this abysm film, and I wonder y eners let him, as buddy-buddy as the two may have been. ""Stk to the day job, Bono"", is a sentence that easily springs to mi whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possib contemporary film tereotype a naive and transparent attempt a coming acrs as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and e Gibson, none of ho I dslke normally. e happiest ending I could have wished for wol have be for a nuclear bomb to b dropped on their collective had so as to g it all over with as soon as possible. On a positive nte the first iv minutes of the film are extremely good, with an extremely stirng soundtrack fo U2. But e fl\'s opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as te are a promise of cinematic quality that\'s just never delivered, not even close.', {'total_alterations': 97, 'delete': 97, 'replace': 0, 'insert': 0})"
5,1,positive,positive,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","('A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilma was well scripted.', {'total_alterations': 2, 'delete': 2, 'replace': 0, 'insert': 0})"
6,1,positive,positive,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","('""Christmas In Connecticut"" is a gem of a Christmas movie classic. Wie lssr known than some others -- it s nonetheless a delightful way to sed a eveni a holiday time. I watch it every year.<br /><br />arbar Stanwyck is perfectly cast as, Elizabeth Lane, the inle, career girl. Way efor t a popular, Stanwyck embodies t single girl on the rise. Her NYC partmnt, and r friendly unce"" resaurater around the corner typify the snle gl in t city existence. She can\'t cook yet she writes a homemaking clmn for a magazine!<br /br >ennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Whi sets up the delightful, madcap story that evolves. It is fun from beginning to end. e should all av an Uncle Flx to', {'total_alterations': 51, 'delete': 51, 'replace': 0, 'insert': 0})"
7,1,positive,positive,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","('George Barry\'s ""Death Bed: The Bed That Eats"" is, at root, a dark fairy al told i a horror-movie framework. It is, in my opinion, one of the best films of h 1970s, and it\'s downright criminal that the picture was basically stolen a distributed witut Barry\'s knowledge (those responsible for this theft should be fed to the bed, ASAP). I you\'re looking for ort gore or rabid action, ""Dah Bed: The Bed That Eats"" isn\'t the fli for you. ""Death Bed"" is a gnler, weirder drive-in picture; it plays like an utterly strange dream, half-emebered. I recommend reain Stphe Thrower\'s summation of ""Death Bed"" in Thrower\'s FAB Press ook Nighmare USA"" (he describes the movie\'s vibe perectly. Whether intentional or not, I\'ve noticed shades of ""Death Bed"" in everything fm the ""Phantasm"" films to Michele Soavi\'s ""Cemetery Man"" to h magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair old I\'m sure he would\'ve followed ""Dth Bed"" with a number of fantastically bizarre films.', {'total_alterations': 41, 'delete': 41, 'replace': 0, 'insert': 0})"
8,1,positive,positive,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","(""Perhaps not Mazaki's best work, but I cold't help but love it to deh. A five-year old boy finds what he thinks is a goldfish stuck in a bote. He saves its life and keeps it in a bucket as a pet, but it really is a magca being, h daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back t the sea by her father, w tries to discourage her from returning to land and becoming human, t e gets to his magic elixirs and oe what she wants to do. The story s simple a cute. Where the film really comes alive, though, i in its tremendous artwork. The raings r more child-like than i any of Miyazaki's other works, but there's beauty in s impliity. As with all of s films, Miaaki creates this wld of imagination ha I was ut so in a of. Seeing it in the theater rougt back memories o what it was li when the opening notes of Jo isaishi' score for Princess Mononoke washed over me and gave e goosebumps just hrt of a eade ago (the score he is equally as wonerfl). I wanted to live in this ord and never leave t"", {'total_alterations': 68, 'delete': 68, 'replace': 0, 'insert': 0})"
9,0,negative,negative,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","('This movie dines the word ""conused. All the actors st true to the scri. More\'s the pity, because the ctng i fine, but h script is a confused pastiche f pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.', {'total_alterations': 14, 'delete': 14, 'replace': 0, 'insert': 0})"
