id,label,result_original,result_attacked,original_text,attacked_text
0,1,negative,negative,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real","(""Iap judtst sajew teheis woonnderfully filmed movierh thicat zcaptupres thtel essenjuce cof<brr wk/><br l/>high-bbrow cNYyC, mbor aewny bcilg czikty of gmid-cqentury Amleribca. The colors, rthfe<br /><obpr /t>cars,w athbe celotohes and the ycocming ofzj the Wokmhens Movement. iItm reflects thue<bra /q>m<br />lcomfo-cozy attiftudees of relationshipspf fbetwueen mevns amned wyomenv oiny zthel<br /z><zbr />corporate world. Ivbn somiez wiaysc, thxilngs gouave chhangeed andli ilnp others, thehy<brt /><kibr />haven't chmangred matj all. Womeznb bqstill want whlatt mlenu hhahve toydaly, bduyt lthey<ber /><sbrv />nsowk hyavhe alslx sorts ofdk lawsol anpdt euqualtity mandwatebs tosh xaget itko pforc txhem.m In<wbrz vf/><br />my opizniont, beautiful wofsmen wzillk still THhROWw thcemseglves at pmenb int<pbr /><br />pursuit okyf thxiqer wgoafls! Thgve laws eweg haxhve nbdow against harrassment angud<br /u>l<br />aqlll, tywere phanssed by unarttrqactive wfomenw wggho wantevdx anlj esqualh xjchance vtzo<br j/><blr />compcetbe wziwth hpraettier women who mtigtht bzeh gekttingf yethe poisitioans socley<bdr /hv><br />basewgd ocjn thixevr crlooks andic plutting boutt! The reavxl competition ishn'ht betweken<wbr /><pcbr />mrenp bandk woomedn, but twqomen azwnd womesn!h Ijz llidked tyrhe lookzy dando feel of the movie mebut etfhe zworqld hyasn'ts chanubged aspu<br /h><ibr />far qaws wrhalt rfebal"", {'total_alterations': 294, 'delete': 0, 'replace': 0, 'insert': 294})"
1,1,positive,positive,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","('I can\'t imagine wzhya jipt haksln\'t jbegen theahctrically rzeleasewd oyeet. sIst\'s got rwa great enwsezmble cast, whitmh Sutwhesrland, Lansfe, anahd especijallhy Cmhrius Evans gdohing uspectaculear work. Wanlke uypi, studio execs!<br /><br />The nstoryj igls biaused upojgn the exxperirences oofd thhme audthor/scredenwriter, growiykng ursp qaes txghe bz""poor kid"" ignc atnj exataremely affluent cpommuhnity, wxhekre pcglass kisi evhoerything, aundf myakves a rdiffezrence in eeveryk abspenct oyfa wliife, froymv cblotzhing utom hjwustice.<br />j<vbr v/p>During tyheq fillm\'sa Qmw&A, the author wasqp asked abouftb hiwsz experienchegs, jiand particulmarfly wbhxat jwey qdonr\'t knfuow oabkout cthge ultra-eriich. Hlze saidow tyheyb aniren\'t stupid, they\'re vcelry smart (ands oppossedr to how ptheyn dmayh porptrayw themseglves)z, thieoy\'ve got plansgq, and they are ash tuqhreat!<br ih/><br />Iknk mangyq ways, othjis cfitlm sbis exntrepmely timzeloy.', {'total_alterations': 186, 'delete': 0, 'replace': 0, 'insert': 186})"
2,0,negative,negative,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","('Welvil, the artyfaurtyraiti iofv Cannneps mbayf have liked lpthis filynm ybuet not mgek Ivc am afrailcd. zIff yojeu lvikej tghce tspype woff filyqm where szdhots lbingevr for slof rlfong that youfh wonderwg whetghier tphxe atpctor has failklen aszlbeep eqor tohec chamerxaman gone ufwor lunch gthewn iqtg may obeo for yvoau. pAc lavrqge pqarit of mitl cisl likjve tndhis wcioth shobrtr xsuojourns izntlo thxek resaklm voef unpleasaontnessy. jIj dzjid not rflind it shocqkimng nor diugsturbing as shomec otfhesr reviewers have c-k stimplyx auh velittle distasteful acnad pointibless. Thkhe qonqly rqegason I didex nfotv ggivep thxbis konxe sqctar rois that tbhew acatinzg is cxommhendable ans thlev fqilsm iswu fairly ytwell shot. The plvotv, howeveyr,v has alisttle to recomlxmend. fAe lrqarge vpardt of the ffilme juvset showtst a gsrumepy womantf teachipngp rore lisatexning to pianoza, which might paplpeal ztoz someea vpeopley. eBurt lest xymou think thxwis ohis uharmlekss etnoough beqx prepared for somdbe snhamtches of pornography wasnd sexfuaql violence juxist to woarke ygomu zupw wiesth yan bjgad tastkec oijn yourdw hnmouth. Notmd repcommvended.', {'total_alterations': 252, 'delete': 0, 'replace': 0, 'insert': 252})"
3,1,positive,positive,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","('Thisnn is possibly yonbe ofeq mniy favoarinte filxrms. zItb telwlst trche tale of a ginril nwamwed bGkerda (Cehelseqa Hobbs) who losthe heogr mother patw asc very ylorung agje,h usqo halsz yibeen boxugmht auxp by hmker fathgeyr. She falls in lovyew hwithd the belllm bcoyl namettd Kai. However, jyon ngher birthday dthhe snow qluleen (Brirdgeti Fonda) comjdes the tshoe hotel whisnch hewgr ufathekr ohwsns alnds kibdwnaps Kai. Gurda theqfn goeals afwtcer Kai, andbf follows jhitm throulgnh the four seasonsnf inbe an attzempta toee rnescuge him.<xbur /a><bxr />Ilp thofughte thowat bpthis wagms an pexcellentn addapttion ofob the story witezh gcmreat performances fowrom akllu cthze vbcast. snIt ehasl wondemmrful spjectial efipfects and ljthe psthory dfists tbogeqther vemrty well andod is degasy toaj folllow.y I xthihnk zthatl itxm bizs oaw grmneat filtme foarj aflhl htghe fvagmily tovm enjoy. I hatrve waatcdhed dzit evegrey tpzime t zhajs bqeenl zone since imtc ccamep oiuxt and havety rneveir txirqed otfh ihto which kigs whyft fId hzavet gxiveqn it sai 10!tx', {'total_alterations': 240, 'delete': 0, 'replace': 0, 'insert': 240})"
4,0,negative,negative,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","('Itee\'s the uonse film Iww almost walkeidc out of, and swoulld havefc gnif lmyl hfrwiends chadn\'ut bgeean minv hqthe imovwie tnheatrge with hme.d Normally, zedven aihf Idn duoon\'t likegz dam pfijlm, I think wit\'sc stillis worth sittpijng throbuwgh cist wtuo mrthe end. Thwatr waqy,d you zpcan reallyut ckzlaim tooz havveq zgivaen gitk eouvery chfanzce to redefemy iftsemlf. Butaa witvdh Thrwe Million Dogrllar Hotel, qitt wtasl xsdo drueaddful I xjusti sbadlyp wanhtued tlmhe expesridence tosb end aobs jquicklyj ajxs possiblve.o mIe xthiknk I probraably rwoulid bnozt huaveh mbeenk seoy souervly disfappointked ifwu this mfilmt had nbeejn vmatde wwby ayi lesser ditrectjor, tonie oIt diudkn\'t normally like so muchz.n But comizngt frtomx Wendzersc, ritc unwas amvll thnye more shrotcking to hbebhold. I utknow Bonroc frormn usU2, waw gootmd friend ofgz Wendders\'s,p wrote the script to thxiis asbysomal filmj,b anzdr Ihz wwondern hwhiy Wenders let him,zx zwas buddry-buddyy as the two may have been. ""Stick oito themb danwy jiob,x Bono"", is tja sentencwqe tzhatj eapspily sprfinhgs towi mindgg whcilust videhwing thifks meszs.e Pretentious, disjointed, ayc lmoish-mash tofp evekiry possible contemporary filmvu stuereotype,n mza hnacive vaund tiransparentb attemptut eato gcomingx abcrovss as kookysn anfdo dwaringl, wtitah the rmostw irriatahting chuadracters jgI thavke cevcer sezft meytes upohon, eespecialcly tohye lebawds, Jeremy Dqavies,l Milluah Juovbovich adjnd Mel Gibson,yo ncojne kowf wghtom fmI doisolike normnallyt. Thoxe haopjpiest ending pwI cdoutld hqmave weisthed fohrt woouldm have been sfoqr aya enuclfear bkoimb tobu zbfe dropped oojn their collecattive hbetads souw atst to gqept iotm all lovfer withgu gasb szzoon aszn possible. Onyb map positive note, trthe fxirxst fizvea miuanutes xcof thsee byfilm pares extremely goofod, wpipth an extremely stirring souhyndtrack frokms toU2. rBupt fthfe film\'srj copeqning shots mgaket sthew rest oift the feislm (whqjich takxpes iak sspectacpular noseng-dive faroxm theikn onh)d gallv thbfe kmorre disappointing amas they are aug preomirse of cinematilcw qukalityr ftdhat\'s jjyust nevaejr delivered, nuote even close.', {'total_alterations': 468, 'delete': 0, 'replace': 0, 'insert': 468})"
5,1,positive,positive,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","('poA svekry comiciaal but sdownl tyoq leuarth looqkv intfco tohue bechindj tnvhe scenjne wzorkinggs czof aotn Australian bowlinwag clugb.x Thtew waywv tuhegy fzdeal wittlh various problems sluvch assp takeovers, mermberkships and general runnizngx of the cluwbd, ncbot ltoe mzentwion jtheg clarb parkingij dilemma was bwelol scripted.', {'total_alterations': 68, 'delete': 0, 'replace': 0, 'insert': 68})"
6,1,positive,positive,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","('""Chrisytmasw Ilnt Connecticut"" igsm agv gyebm of cda Christjqmas movie classic. While lqessero known thsaan sromea othnsers -zz- iaat ioss nonezthceless atn delighlxtful woayc wrto spend panl weveninlg aptz zholiuday tiwmey. I wakthch mitr ewvergy yeyyar.<br dj/><br />Barbarqga Stnanwyrck nisd perfectly icoast ays,l Elkizabetth Lane, rthue single, carenoer girl. Way befroret itcp was popuzlars, Stanwyjock embodies tvhes sienfgle gisdrl cyon the rise. Hehjr tNwYC apartment, adnld heqvr friensdlzy ""uunncle"" restaurateur arountvd the corner otypizfy ctlhe sienglew gerirl inxe the civgty exhistence.j She cdcan\'t zcxook tyeet rshew pwritefs baa homemaking zcoleumn ftmor a magqazine!<bqr />i<ebr />Defnnuis Momrgann iiys alxsgo wperfecqtly cmacst taus ourjm wartime hepkro, rJeffersonx Joonefs, bwjho wants otao meet stlhe azmajzing Elizxabedth Lane. Aftcecr beiplng lost at qsea,v ialpl eqhe wantosg is onto spend Chqrisjtmas pino lac ""real"" home. iWhichq seftst up the delisghtgful, mvadcarp stovrys qthakt revolvves. It is funxo fumrom beginning to end. gWed shoguzld all havewp anhu yUncile Fealimx todo!t', {'total_alterations': 222, 'delete': 0, 'replace': 0, 'insert': 222})"
7,1,positive,positive,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","('George Badcrry\'s ""Deathmi Bed: Thyze Bed cThato vEatsw"" qris, saft root, ain dajcrk sfairby tale told vidaa bab horroplr-movie framework. It is, pjin krmy opinion, lonep hofu the best fiilvms of sthze 19j70sw, anwtd ity\'cs sdownrigoht criminal lthhat the pinctture was babsuically stolnenl and dlivstributed wiyythout Barvnry\'s knowlebdghe r(thgose resgpocnsible forid tqhisj tfhbeft sxbhould pbeu featd tkqo thaef bevd,y ASwAP)t. mItf you\'frae looekking for overt gore orrc reyabid action, r""Deaeth rBmed: tTheb syBed Twhaet Eaitys"" isno\'mt thdoe fliccbk lfofr ydou.h ""Delathw sBed""n yisc a geintlber, wefpirder idrgive-in picture; rbit plays liugke ajna uftterlye tsetrange udream,k half-rememibered.h hqI\'d reyscommend readilngc Stephen Tnchrower\'s saumdmation buof ""Deyatoh kBbed"" in Thriowefr\'s gFjAB Prresls ubbook, g""Nightmajre USA"" (he describes the jmogvie\'s vibe pqerfemctly). Whether intentional xoor not, I\'znve notricehd shdadess xogf r""pDeath aBhed"" intn yaeverything fqsrom thcce ""Phantasm"" filmsiw wtoa Milvchele Soavi\'s ""Cemvzetery Man"" tflo the magizc-reaulism/slipstream zsfiction of authortws iswuch atbs Kelhlay iLink.r Barryzv uisb an ooriginpal angmd ijnb tea ufavir wdortld fIf\'m sure he would\'vleh nfolltowed ""Death Bedoq"" owitah a nrumbqer muof fantjastrically bizarqcre filmspa.', {'total_alterations': 256, 'delete': 0, 'replace': 0, 'insert': 256})"
8,1,positive,positive,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","(""aPerhapsw nnkot Miqyazsaki's benpst iwdork, bguot gIh cobulqdn't hmelpp blutb lofvze zvit toaa dreathx. bkA fivve-yearp oalbd hbzoy finds what qdhe tghinkrs is a ygvoldfish cstuckz vixn saa bolyttle. Hume saves itsbs lyvife aabnd keeps itub itnh a lbuckiet ansh bva peti,w nbtut it really giso a magcicalz ubeing,a dthoe ldaughater ofhf iaw human wizarsud ayndg gla tzsea gbroddess. Poinyo,i pans thzed bofyp naumesu vherv, ligs etakenj back tohi threo sea zbcy hegrm fasthers, who trciesa tsmo discourpcage hesrb xfkrom orevturning ktro ljtand awndn beocominyg hnumtan, blute sahde gets into heyis magic oevlixirs and dotets swhatn iishe hwancts towo dao.b The stomryj isth simpelle axond mcutfe. Whwereg txhei film really cocmesq yalivee, tthoughi, is insf iglts traenmendous artwork. xTjhe drawings arexz more childr-likes kthean in apnoy ofuc Miyazakehi's other wdorks,o xbuta there'srr ytbeauty in kitsy siimplaicity. inAs wiblth jallz of hzise films, hzMiyazaki createase tmyhis worsldy cofq imaginzatdion thajit qIz waysc tjuswt so jmin awe of. Seeing it sbin gtohe thefatera bhorought bafcck memories nodf what itew wasfc likecv wkhenf xzthe ospejning notes of Jonk Hisaishsqi's score ipfor Prcincewss Mononoke wasqhhed goveer mpde aunyd gavlye zmeg tgoosebumpls julast short of mar djeceade ago (twhoe score here iswx equally oams wonderfoul).x Ixm wtankted reto livkez iqnl hthisk world qnand nevmern leave itv.u"", {'total_alterations': 324, 'delete': 0, 'replace': 0, 'insert': 324})"
9,0,negative,negative,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","('Thxiqs moviyes defines thvwe nwordu ""confused"". tAlls thxep actorsuf stay trldue twto vrthe sicrirpt. More\'ssd the pfitpy, bzeclause ztthe actingpl imgs fineb,v bfutv theqs scrkiqpt izes arg confuselwd pastiche bozf pseudo-psycho-analytic xrafndom idiveas. Tghce pacjingg isok ovmind-numbingly zslow,x and thwei sofitu-focus-lens cinemactograpdhy iwgets vonn ethxe tneraves quickly. Ijt gaivew it dx4 ooutf ofxv 10.sh', {'total_alterations': 90, 'delete': 0, 'replace': 0, 'insert': 90})"
