id,label,result_original,result_attacked,original_text,attacked_text
0,1,negative,negative,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real","(""z just suw xtis wondejfullf fclmec movie thbh captures mhe ehvence of<br /y<bs />high-brow NYn, nr ozy big eitk lp mid-century America. Thj cblofs, tgesbr d><jr />kajs, boe clbthef avd tbb comqng og tje Womens Movamenta fo reflects the<br w><bo z>csmf-cozy qttstudes oq rekgtionships between aep and fbmen un thevbr /><br />corporahe wbrmd. ln ssmq wnysz vhijgs gave ghanged and vc xtjers, bhey<bx /><br />ravec't changed lt vlk. Wlmew still vaht what pen have today, duf mkey<br ck<br />now have all ssyts bm lcws bnm equllaty oindates oo get yp xtr theop In<ie /t<br />my apizion, ueautifup women widl ntill THROW tvebselves st lxn kn<br /><iw a>purkuit or vhier goavsc The lqwl he hwbe nzu xgainsq harrassmeif and<br g><bf /rgll, were pcsred by unattractive vombn yha waneef an eqpad chaaco to<bd /><bq /ickmpete widb pwmttier wouen xhg mignt pe getting the povitionh soleyabr /p<br f>bcsed on phizr lwokc snd pulino out! Tre rjjl cozpetitiof isw'a between<br /><br />mln and women, uuq wohep and wolenp l xikej trx look qns fewa of the msvre huy tjr worgp hahn'y cwaeged tsbbr v><cr m>fgr gs what reaj"", {'total_alterations': 272, 'delete': 0, 'replace': 272, 'insert': 0})"
1,1,positive,negative,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","('I yau\'t imagine ohg im kasn\'n boen theatrlcllly heleaseo yeth It\'s got n grott ensbmule fasa, wjte zuthrrland, Lanec ync ospzcially Cerij rgans vsing spectscalar fosk. cjke hph bgudio execs!<br />xbr />The stopp id based spon taw eopereences sa thv aujuor/screenwriter, growing hh ks rhg ""poyd sidx ha ra extreaely affluent cpmmunityc jlere crasz is kverything, and gakws i dinferenfe cn evsrt aspuct oa lifnz frok clwthnng wo justice.<br /y<sr />Duaung thf finmos lkA, the author aaz aakes abokm his expeigences, asa particuzarky whaf ce ffn\'t know avout mha ultradrich. vh laif thry wrenbt stukiz, they\'re neay smart cfs ymposed so gew trpy may porfrry themselves), they\'ve zst plans, snd tuoy are a threat!<fk /><br /run many fqys, this zilc ia extremmhy tibmly.', {'total_alterations': 192, 'delete': 0, 'replace': 192, 'insert': 0})"
2,0,negative,negative,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","('Wmll, nho artyfartyrati bf ialnes yay have uiked this ftwm but kom zx u am afraid. Il oou like the tyit ok frlq whrre shoty lingwr for so long tcat yhk wohder qhethjr uie acubr has fallen askeed ur qbe camezamas gvnt fyr uuncp then it mty be fnv youa t iurge part of id id likz thim wgth dbort souonrns intw tjj reamq on unpleasandnessw I yib qat fond ut shockirj nrr diztrrbing te some other oiviewers hzvy m simply g liztlo distaotefwl tfd pwixtless. shk tney rexkon I did nul give mhiv gnt ssae ig that gha fctifg ip commendable aes tte fzlt iy faikly xexl shxtz ape plot, however, has little ii recommlzd. A large cart of ihe nism just shows c grumpy koman kexching er listening tq pianau which mxghw appssl to shmi people. nur lest ywd think cbis id harmumss qnmugh wf prepared fuq syme snatches md pornograviy and sexuzl violance nfst lf waqr rou cm with x bpi masme vd foua mouth. kzt recommenpqd.', {'total_alterations': 246, 'delete': 0, 'replace': 246, 'insert': 0})"
3,1,positive,positive,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","('This bn josspbly one of ef fafolite films. oi tells the tilw kj j gyrp named Gerda (Chelsya Hobbau wzp loio peg iothef zt k vehy young pie, so hes umen bougwi ep bo cea father. phv farlc kn lovx with jhe bqll boy named tag. Howeveq, ci eer birthday owe ynop quevs (Bvidset Fonda) comep nhd the uoteg whcmh xeu father owns and kidcacs cain Ghxda whan goes aatpr Kaky aut follows dim thrcugh cfe ookr seasino ge gv ayhempt ab rescue him.qbr /><br />I thougmm ehat this wnz an excealint adaption nf the jtory oibh greht performancks fhom mtl tkz ratt. np has wmnxerful spbciag ejfemts anb she wtbry fits eoggther bary cerl nnd uh xajy mo follow. I thiwk nhat xk hs a lreak fmlm for all thv yamilq to snjoz. y tave watlhwd dt eierd time t hrs reeh gx since ii name but add have nevex tizeo of bk ahzch is wvy e hbhe gihsn ig d 1af', {'total_alterations': 242, 'delete': 0, 'replace': 242, 'insert': 0})"
4,0,negative,negative,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","('It\'s the ond fhdm t almost walked omr oc, tnv jould have qg my friends hadn\'t bakn rn yse mzvye thcatro widp mbo wormmlly, ewgn at a yop\'t bibe n felmk u think igfs iwill wyrth sgttinl tbrkugh bu tu txe eldk That way, yqu vaj reably qlpim ma hkva guvnn ow every chencp to redeem itselfz ent wdth Thm killion Dcllav Hotel, vc wdg uz lzeadful I just bjxly wyntvd the exptxience sq eyd sz quicklj as posszble. a thinw I probably woubo nqt fave ueon ku womrly disakphinted iv tiis film hao feyn mnce xi g uessvr virsctor, oce c didn\'t normnllr like co luchh But lominj from Wefdrrs, ze was mln tce more shocking to eemold. w know Boio from Uzh q glgd triezd qf Wenxerv\'s, wrtty kge ucripe to this axnsmal yilma ytd v gocder mhy uerders leh wif, fz buddw-byddy oj the tyw mly have been. ""Stick to the dly job, Bono"", ih a sentence that easixy sbrirgs te miqz whilyt ziejing rhiv mess. Pretenkiour, disjointeq, a mish-mash do every pobsible contemporary flom stereotype, b naioo and wranspaqent rttemxt pr coming acrlss zf bodky mnd daringk wets tle lkst ipritatino chahacters s havf evea sem fres ulop, especially yhx laags, Jerwmp Dapiee, Mclla Jovovicy asc bwl Gibson, nbee oe wxob p dislike nmrmallyq The tappiesd tndiig I could dvve pihhed nos noudd have bewo for s kuqlear bpyb zu ye xropped on their collective heaqo jj ad fn get it abe ofen wbth ld wooo as possible. On a posiaeve kjte, tse uiwst fevl misutes of tci fudm prq extrtmely iooz, stth pi extvemejy stirring soundncack from ti. Bbt the zilmss ojeniyg smoms fake fhe reww of thb fino (whqth tjges z szectacuoar noseidibe fboy xlen onk ang the uorr disappoalting ol they urd w promise kr cinematic qaality thxt\'t jwst never delvveced, rct eges zlose.', {'total_alterations': 464, 'delete': 0, 'replace': 464, 'insert': 0})"
5,1,positive,positive,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","('u veiy cocifal buj down ov egrlh liok istr txb bepixd txj ecene workidgs og an Augtraliay vozling cbuw. Thf wci they deal heth vaiizus proflemo srzh wo kakeoverx, memberships and geaeral dukning xf the club, koq xc gxntion ipe arr pamking lilbmma wgs wblv sprcpted.', {'total_alterations': 76, 'delete': 0, 'replace': 76, 'insert': 0})"
6,1,positive,positive,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","('""Chvestmas qn Connecticut"" yy d geq ou a Christmas vovie classic. Wsily lesmer knowr thmr robe tghers -- it iu nonbthelesj a veligntful cny ly soenn an evening nt hoeidad yyme. I ratco il wvery yeark<br vx<br />Bprbaba Szqnwyck fx perfecllo caao at, Ejizabedh Laqz, tjx sinale, cqrmer oirl. bey before tf wss popwljr, Sfanlyck embydtes tmj single girl hn tho aisv. sed nYC apartment, and her zriondly ""fncls"" restaurateur around ghd zoqner typrfu the rihgle gtnl bn trx city exisrenwe. zne can\'t ckpk yet she wrttes k homemaking cobdmn for e magazine!<br m><bj />gennis Moryvn iw ylso perbfctly cast ss oro wartime hero, Jcffepson hokes, wdr wants um meeh tee emaxing alizxbeth Ltns. Afaep boirg ldse wu smg, hlw he wants ms hk spend Chdisqmas ib a srkal"" hvmt. qhych sewm up the denigxtful, madcap story char ebokves. Ie im nan fafm beginniyo tw end. du shfild ask haze an Uncle Feliy tgov', {'total_alterations': 228, 'delete': 0, 'replace': 228, 'insert': 0})"
7,1,positive,positive,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","('eeoqge Barrypd ""Death Bed: Tfb fed That Eatss isz at sootc x dark raery tale tors veg l hzrror-mdvie framewfrk. am is, ba my ssinion, bne rv the desy films lo the 19d0z, jtd rt\'t downright crivixal thry bhs piftxre cas bmsbcally stdlon ivd distributed without Baray\'y knopledgp (thxsv responsible fea this theft suogld yl ues to the bepu ASAP). If fou\'rp looizng icr omeht xere ok oalid actisnw ""zjath Bld: The Ben dhmt ratb"" isn\'t ehw flcfk ulr you. ""Dmaeh Bedo ig w oentzer, wsirdbr drive-in zimture; wl poabs lokf an utterex strnkge dream, holf-remembereda I\'d recommend reading Steehen Thtoweris kummatwon of ""Dqata Bfv"" in Throwti\'s FAB srets look, ""iightmdre hSAj (xe lescrives the kobie\'s vjye perfzctlyg. Whevuer intentional my neta I\'ve notiyed shades th ""Death Bed"" jp everythtjg frhb txa ""Pepntasm"" filmm tg Michele Soavi\'s ""hemetezy Mwnn tc tgj magib-realism/slixstream fizthon fh jsthors such xs feley Link. tdrry es at nriginml dcd in v faio voqld I\'m suoj hv woqld\'ve followed ""Death Bed"" hitl l nugber jy fantastically bionrre filtss', {'total_alterations': 252, 'delete': 0, 'replace': 252, 'insert': 0})"
8,1,positive,positive,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","(""gerhats dol niyazakirs qesq fotk, fkt I csulvn't hvlc bum hove it to desta. i fije-yexr old bty finds what hq thfnvs ir i ghlofish stuck qn z bottle. mi davei rtv mize ale kepps we in s bgckxt aw l peuu bjt xt realle us p magicml bjinf, ohe dlughver op h humvn wisard and a sex goxdecs. Ponyik kw rye boy qnmes her, hs gakee mwck to tyq ski vy her qather, ahm traes fo discourago ier rrkm rejurnins oo naod and becomiuh ejman, buj sxb ueta inso hif magic elixirs ano dcev whot she wants tr do. The story is sidpxe and csoe. chbre tdj gwlm reatly comep aqivc, thvugh, is in lth tremetkous arxuork. Tje nrawingp aqd mone csild-line tezn in atf za Mqyazaki's ohker wprbs, sum thevt's beauty iq mds simplifitc. jt liah all os uis fildst Mtyazakf creatms this wozly fr ixggination rhah n wjs judk so tc awe oqn Seiinm it bn ohl theater bfzught back memoriei gf what lt mas kiky pqen ghe openidg notes oy Jg Hisaoshi's srole fsr Prxnaess Mononuke gashud oher mj and gvee pu goosebumps jfst short of a decawe lfo (ahg score here np iquolly aa wonderful). I wantoc to dive in this wzrzd aed never leave ibm"", {'total_alterations': 322, 'delete': 0, 'replace': 322, 'insert': 0})"
9,0,negative,negative,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","('hhil movie eefinis ufe xord ""confuseh"". plo txv acoorb rtap teue te xho scrmpr. Moqe\'s lhr piaf, bwcausi khn acttne dj fino, bvx zhe kcrxpt ip x convuszd pasticee vc pswfdo-psycho-analytic isndom ideas. pye uaxing ib mind-mumbicgly slow, qnv the sokq-focus-lens cinehatography gets ot the xmrves qjicklyt k dime pd m lst of 10.', {'total_alterations': 94, 'delete': 0, 'replace': 94, 'insert': 0})"
