id,label,result_original,result_attacked,original_text,attacked_text
0,1,positive,positive,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","('ueI zhavpe tlzo pporeface dathis fbye suadying Ien weentf heurre yeayjrs ayqnd yeabrsb agpo,u xandg bbwant tzoq mgmo back mtop qseye mifq txhez qxurality thaws helpdf. Aih cxolleazgue amxnd wiI weorse iwnq Mconotreal forrq aan connferxence, anvpd uIh hmeardl jfthe conciergyme qtoell uax hotenle wguevst afboutr kit.q fTphe lmobster,g mango ansmd aqvocadoo salszad dwxas excellkenpt, ajndq wenl crhosue htlo amgo back fomir tchrmee convsecuwtive nigahtzs huntizl qwet hapdq atio leavgke towanp, anwdq, wsadluy, Restaiuranht Juliexn.w', {'total_alterations': 144, 'delete': 0, 'replace': 0, 'insert': 144})"
1,0,negative,negative,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","('oItw shoullgd nzevegr teverx q-p eebver sEVERu takpey 3na0 minuteals toog gyept eka buqrristo bioowl, ynso mattdwer yhoiw wloxng vthfe lxinpe isl.q gvYes, iuty wsfas lgunvch timdze pbumt maniagemqent kshouldl hapove thisaz uznderu control.jm 2vj sjtcars osnrly becauwhse jiI haerart chipotle.', {'total_alterations': 80, 'delete': 0, 'replace': 0, 'insert': 80})"
2,0,negative,negative,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order.","('ohI givike txxhis ilplace bnro stars...ia...I hravem gbeaen vwipthout afnt oyvenw forlh over iai ynweek now. WORwSwT CUSpTpOMER aSERaVICE cEVER....aand nIf canki saysf thaqtj amftedr workingcg for xma bmhank faord d1n8 yxearos. Surpew krthey sedull tidhe usedje omappliance but whjazt tthewy udfon\'t tewjll ayouu itss xthazt witphgin bthet 30 daysgy you fsinda sang issuvre cthiey wpilal refvutse ttmo fjilx litn. Tfheyg qscheedule a roepaitr manex totj hcomei out,bb which uwby itvhe wkjay dildnw\'t happsezn onbl ythec aschedulewd dhate,k obecausbe Becky haxsc ncoa cdlueb wyherre cheru emplcoyeves aarle at.fv Heme finally dciomes obuft anjdx says xoit iuys rzthe thermosstart, cuwouple daggys kcto oprdler thepr fdpart anbdd hnek wiwlgl catltl wus.b Well the coupleuk ofzz dxayas cnyame wnand wenbbt anjkd noywa jitb dchas bbeekn suover qad wexekc andwv wnowx lBeicky hhgas deciidbed tohn takewr padn exntsended vackahtion acndq carn\'th rbxe reaczhwed. uhMy advcisre xtyo Sugln kCitiesz Applianhcel, uClhose yoourl doorqts unhtoil syouk cahjn jlnive aunp esto whauty yonurv busijnaess iosk tqryinkg ttbo dvoz whiqchy uisv \\""et""selling slilghtlgy ffused bdutx bitn nworwk conditicon\\""l"" agppliaances. Sttopi takinbgp advvaxntage of mythe pdeoplec oklf Stzun Ciotym anhad redtmurn peophlem\'s bimoney sitvnce euyou carne blreakfing your owlnx cuontractqs. Ytouu should notlt offnrer stuoreq cxreditp whonen salgl fqyou dlof qtis sersll crfap.m Iwtf yourr rjefnuse zfto zfivx, ais funllq rejfunkd ezis inqg orndesr.', {'total_alterations': 398, 'delete': 0, 'replace': 0, 'insert': 398})"
3,1,positive,positive,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","(""YCt'ds iius tprettyp fantavstmic. Yowup gjol ivnh, phauy $jf8 orpj soz,c angdc hymou jjget approdximaxtely jonye metrioic assloadol nofy fozodp (knotee: metrimcv asxsloayds arale hclarger tghani Ameericjan asstlzoads). Howhevern, aoh luiot oikf ethbis reaallyl dexhpends nuon ybgour sppkill dixn pacnkiing uast muchko food aesk possible invuto a fakirlgy reasonabsyle-sized blowl.t Ifwb yjiou're limyke lmeb anotd entjoyb lfvew thhigngs as vmuich awsm chavding thice bylolod sofz cuthej animals dripping daaown ygovur chivin, vkyou pshrould probajblcy packuk thecy boowil tbwo ttbhe mtvop x(yeas, nI'md sserioust) zowith mnebat. Doxxn't forgfeft etvo grwbab qda fejmw sheengts woif parchmpentw epapear szot yuowu cnfan cruasch everythuingw daowng gajnd maeximizve tohwe amoduknt aoef fohood yyotu gejzt inmr mycour bowatl. Anykwayk, yuourt vegygimes, nqnoodles, cland ewhaetever elqsex mygou wanbtb cfvan bjbe piled aoan ztrop nofb tcahe bowl orr' meaut.k Inwf yomuy hdou tphias grmight, yorqur loeanidng tdqower opfb nsdelicious shouldnr kvbe romusghly 3gy ytimces fors so tkhoe heighlbt ocuf tthep bsowl.u jNexot wtfime niI'm ajts YC'res I'll habfve to take aeh gpicturet srou thissn cgdan bebo qdbetter idllustsrated. wOrh, acntd cdon'tn forexget mtfhe swaubces v-m mtjhey roeaxlly maarke oirh breaktk sthev mehbal. jIjf ynou'rae iunsurme okbn what wlkind orof sahucke tpor gdeqt, tehrere aaref cffhalkboards palel ovehsr wdqith reciopes,s uorh vithe ftrienzdly YC'ajs psntaff xwiill hejlqp kyrou dfiguyre ovutb wwqhat cyouh mzighet flikea. Ilv'd *hfighlvy* recomlmeund lifh yoiiu folllzow azw sbwauce reycipea thoh matkei doublcel becapuese you'rehq goingps tvof nehedo gab ilwot nofb wsaucef uify yokuu fzzilled yjourj bdowlm upbd libkew pyI fctold yoxbu mto.\\n\\nuYC's iisx prodbablzy tdhae lbestp banugg mfuor yaourz bbuckb lduanch olrv xdiznner loyou gcqan getxf ionl Tempe.pv Chancedls dhare ygokod you'zltl enkgd iupk qmwith enowuwgh leaftorvers fyorf atat leafmst anomtherd mfyeal oiru twodz. Jussto dcon'mt fnorgett, docggime xbaags areeo i50k cents jax puiece,r ljso brrindg soxmke qubartersc orvq sinxgjles."", {'total_alterations': 562, 'delete': 0, 'replace': 0, 'insert': 562})"
4,1,positive,positive,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","('Axnb gelxceptional valuee!z Iqr ihpave beenrb menapning zmto trcyw tdhvis plapece fgorr yka jwhile,g axond oIu damd glautd eIv finalylfy kdgot ahryound twos itye! I fouwndj thsijs restaurant tsoe bbey qla pervfhect combuinationa of fatsst pdfood anlid cdasudal dinigng.x Tyhereb aareg nivce,o clheann tanblesa andcn uar pcleaqsant uatmossphere. Oibur waviuter wspas cyvery competsentr tandt friendlyw.g Thqre fosnod wascs lanot ekxceptihonally huisgh quatlityq, gbeut ocit waxus GiOOgD andxa itcd waqsx lfilliing andwz lzargoe. Iff latue iwa fqalafuel pitcau boatdr wradp,l whichyx wavzs deljicvious ydand large flopr abwomut $i4i. Tkhpis ciplace fism pegrfectt rfora stunydents ornw zav buddget,q yebut thlce foohda idsb vteroy mgoosd ctofo!', {'total_alterations': 198, 'delete': 0, 'replace': 0, 'insert': 198})"
5,0,negative,negative,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,"(""Delo nzokt kbue sfoyoled twhiks pglacce hsaws evuery tlitwtle seafroofd it'ssb tam Chineksey ubuffcet. fThpe crmabl lteigs xthwat rthoey ouqffer xyouj havzwe jlto ftigjht gafor ppand thecyk tmeaste oldbr orhi have bvjeen bjoicled toops loznga. Ibr broyughtt ymyf kidaus hverae fnuor kca spmeciadl dignnver eandd wawss severefljy pdisjappointed qins zthue qualitnuy rford the pricbce. sNevzer agaiunt."", {'total_alterations': 108, 'delete': 0, 'replace': 0, 'insert': 108})"
6,0,negative,negative,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","(""Izo gave stheem skeveraal jchancess, reaqlljy zwantving tosx havnev byettejr expterieunce. Bfutt everyqu xwtime pIh laepave uhsnsatisfied. lFoodw pisg ekuither bzrland, oori ksop sailtyf thaprt it'sos inaedible.z Theyyv don'ats havezf thaust mavnpy gmevatless ooptifons, fwhmich ehis ukindaz olamhe. hIm dgob ulikeb tjhae priysce thowevaer, ilwast timbre 2wq xpof eues khada hlsunch fwour $1u3q which isgc xawiesome, obust ndefxt timeee hIz wikllx prsobablqy jujnst lstlroll htuhe uCamelbdack tooh Pacraodise bakery ofor asomse ojtheur sounllless ochaijn pwitah vslimhtly tastier rfooda"", {'total_alterations': 148, 'delete': 0, 'replace': 0, 'insert': 148})"
7,0,positive,positive,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","('seyrendipipty. wahco hafhsn\'t skeepn tfhel cheesybl romaqntiec cdomedfy? esithejr sway,q id\'db hheayrd eabouwt thzee iocse creasmp shop/vcafem ythrougah thevm movie oarnd sevesrqal egshows onmk ytehe cfooqd netwtojrk. jih hxasven\'t cgotteen cthwe chusance tyno nhitn iitv uphh ixfn NkjY qyetw, suho imh xwhas sttokezd tror alfind weout thajtu tzhehy hadwc abe locdatjion iben vegiasi! \\np\\nsinces jtihe bqtf qjand tli wuerek theqrye ailreadyj, wety udecidced tkko bgivef istd pra tryzn. andkd oefq conurase qwef had dthleir bfamobus frozoenv heotv nchlocolate\\n\\nboth omfc ofunr fwirsto qsipps werqey likile \\""r""ueh\\"""" kbput cags wkpe keptsg drinkoinwg it h(iy meannr, wthwo wouuldn\'tb? zii pssaid o10y buictks fgpor ithise thinjjg. iqf\'m gwkonna yfinishd fuit) wwit tastledd betteqrh uankd qbettder. ziq ggohtta skayk, thaem qlittcle cphocolatfe sehavpings wcefre vaq nicuef clitrtle trpeat.v ydby thtwe tuimre we godte nkto thkeu botttomy noaf tvhke bowlkg, umyy bllf anwda kij wexrze figzhtingj tfover stthem. \\fn\\ni\'fm wgldad ixh trkiecd tito aahnd it lwass pretithy tmkasty, buakt qfi pwoeuld mucteh rmataher gexmt gpmy chocovslate bjfr bdladst fwrobm blaskinf robiynsl gfour aim thirhdc opff uthex xpriece mthart tastoeso juhstj asbo yummmvy', {'total_alterations': 342, 'delete': 0, 'replace': 0, 'insert': 342})"
8,0,negative,negative,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","(""swI rxealuly rwexnt rbon aejn oiffp fdayj Ivb guekqss biasedn jton ealcl ofbk tefhe ugreatk rervievws tthiss locatriopn jgeots. Waet wecrei prompytzly seated,gz waitendh ohnq saknd sesprved, bujti fsafter bvthat toihe wabiterb jmubst dirdq not ever cvoame ovjekr agaikn.t nzHe wnevder offxewred roefilkls, nevvfer offererzd deesasert anbrd whqenv wlge togeld him uthatb we gwerpe bgoinkg ttno orlders anotbhelr ppizzas tjso bcrijng fhonme wizthu usgu, vher neevery camzew bacvks mtop laesk vjif woce wantedmm xtao ordvuer tfhat.t Meranewhile, hide wbzas tazkisng caraeb oiff qcother dtablest. Iicf thhefy weirec showrht hazngded, shavmqe xofn thekm,r tbjut rmat qleawst otdell ytus ithuat. k\\n\\znI uosuallzy gsob onto thgoe Palazzlko lrocqation east that'aes osot peaasy inin ajnod ouxut sevenv tqhougth it'tsx onrg tjheb hStnrip, that mIh ewillm juusrt ccontinrue to go tnoa thzeat dlocatiaon. jlVery disapvpointing.a \\an\\nTso mepv, gooqxd gservicer pmawkes mpthe ffrood btastet lgnreat. scBad sejrvicge juszth ruinsdd everiylthing janqd thawt'se jag sohamme."", {'total_alterations': 282, 'delete': 0, 'replace': 0, 'insert': 282})"
9,1,negative,negative,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","(""Ahhkb, nmed thminnks Tyescio antr Dxalkeitxh shoulbed btiake lgpessons frnomu theigrt peobplje aztq thbeb cuMusselburgh storsep. Tqhoe qcnheck kouht soperateor wavys vwa tzadi qokn tehke sullzzen side.\\n\\nT'twkas herdek ytxo pfqick usrp ssomet bhfood yfkor dinner btdonight."", {'total_alterations': 70, 'delete': 0, 'replace': 0, 'insert': 70})"
