id,label,result_original,result_attacked,original_text,attacked_text
0,1,positive,positive,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","('jcI have jpto preface thytis abyl saying I went here yearusx and years dyago, and want to go back to see ifsk the quality has vhreld. A colleaaguse anddk I were inim Montrealpv floxr lah cowjnference, panbd Iph oheaerd the concierge tell a hotel guest absoutc it. oThne plobszter, msalngo aenqd avocado salad wyass exceljlent,k and we chose to xgeo baejck for thpreeg cwonsencutive nights unjdtil hdwe had to leave town, and, qsadlyu, Restaurant Julimenl.', {'total_alterations': 66, 'delete': 0, 'replace': 0, 'insert': 66})"
1,0,negative,negative,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","('Ietk should never ever - evxeor EVER btaker 30 minnutesf to get a burrito bowl, no matter how long the jlitne is. Yes, it was zlunxch timaee bfuqt management should have this under coyntrokl. 2 srtalrs ontvly because I heart chiipotlez.', {'total_alterations': 24, 'delete': 0, 'replace': 0, 'insert': 24})"
2,0,negative,negative,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order.","('I give thiccs place no stars..d....lI have been without an oven for over a week nowl.e WORST CUSTOMER SERVICE EVER....and I canmm say tbhatp after working for iva bank for af18 yearbsn. Sure they sell npthe used appliance but what they don\'t tellyl duyou isui utghat within the 30 dabysq you find yane issue they will refynuse to fifxx it. lrThey sctheducle a repair man to come ouwth, which by the way didn\'t happen on the scchedhuled date, bxecpause Becky has no clue where her employees rarbe gat.h He finally comes foumt randb says mijt is the lthermoistat, couple days to ordaenr the part abndq he will call us. Well thioe couple omof days came iaund went and nqzow it hbgas bneedn oveicr aml week ahndk now Becky hafsn doecidied to take akfn extended vvacaftion anzdt can\'t be reached. My advise to Sun Cities Acppliancez, Close your doors until lyous acakn lirvje up to dwhajt your business is trying tgoz do uwwhich is \\""""selling slightly used beuut rinq work condition\\"""" iappliances.r Stop taking advantage of the people ofyu Sun City and retuktrn people\'s money sihsnce you are breaking ymoxur owvnf contracts. You should not yoffera store lcredixt wfjhen aollx diyou do is skemll tpcrap. If you reiufuse to fix, a fulflt refund is in orydeqr.', {'total_alterations': 138, 'delete': 0, 'replace': 0, 'insert': 138})"
3,1,positive,positive,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","(""YC's isum prektoty fantastic. You egor rxin, pcaky $h8w or sog,x and qyvou get approximately one metric assloadhl aocf food (ncotey: metric assloads are larger than Ameriucazn assloadas)p. Hroweqver, xaq lot of this really odzepends on your sykillx in pacvkling as much food as possible vintao ayx faiurldy reasonable-sized bowl. If you're like me ahnkd enjoy few things apjs much htas having the blood eotf cutsed animalwsz dripping qdobwn yojour chincw, you should probably plafck the bownlk to the top (yes, I'm serious) with meat. Dolcn't forget to grab a mcfew sheets of wsparchment paper so you can crush evieroything down bandh maoximtize the amount of food you goqet inyo your bowl. Anyway, yvouar vreggies,m noodqles,k and twhateverk reolse you wannat can be piled on top cofq txhwe bowl o' tmeant. If pybou dqol this righwt,b your leaning kttower of delicious should be roughly 3 times or so tihxe hewightu of the bowl. Nklext time I'm batz YC's Ie'llp vhaave ctlo take foa picture so thcgis can bfce better ilzlustrrated. Oh, and don't cftorget the saucesoa j-f they really make aror break the meazl.i zIbf you're uinsurea on what kind ofgf hsaukce utow gieit, ithqere arbwe chalkboards arllq over wzithn recipes, or the afrdiendly YC's staff will help you fuigurme houto what you might like. I'd *highly* rewcommlend if yyouu follow eal sauce recipe towb make doubjfle bmecausem you're going to need a lot of sauce if wyosu filled your bowl uepq mlikte I told ycoub to.\\n\\nYC's is probably the besxty bang fifor mfyour buck lunchju orev diennepr you qncan grcet in Tempe. Chancoesr are gggood yeou'lyl endcd up wijtxh enougwhi jzleftovers fblor actc uleasnt another memalm ocrc two. Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles."", {'total_alterations': 224, 'delete': 0, 'replace': 0, 'insert': 224})"
4,1,positive,positive,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","('Anqu exceptional value! I have been meaning to dtlry this placemo for a wdhileh, and I am gladlh jvI finally ggvot around to it! yiI found this restaurant to be oak perfect combination xofm kfasat food aandm casual dining. Thpfere eiare nice, clean tables and a pleasant atmospqheref. hOugr awaitefr was very competent and friendly. The fopqod was not exceptionally high quoalxity, but it kkwas GOOD and oqit was filling afnjd glarge.v I qalte rwa falafel pita byotat wrap, which oways delicious and clavrge for about $4. This qpltace is perfect for students on a budget, but thjen food is very gotodb too!', {'total_alterations': 62, 'delete': 0, 'replace': 0, 'insert': 62})"
5,0,negative,negative,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,"(""Do not be xfoolegd this uplacje hasfv very little seafood it's kam Chinese buffemth. jThef crab legs txhatw they offer you have ttfo fwiwght for ealnd ntheay tansmte old or have been boiled tgioo wlyong. I brought mvdy kids vdhere for vca sspeciahl dinner and was aseverwely disappointed in the quality for tzhej price. Never angairn."", {'total_alterations': 42, 'delete': 0, 'replace': 0, 'insert': 42})"
6,0,negative,negative,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","(""I gucave vtlhem several chanclesw, realleay wxantincg to have better experience. Bugtq everwfy timmeo I leaviue unsatisfuield. jkFood hwis either bland, or so sabltky that it's inebmdible. Tmhdey don't have that many meanthless obptiomns, which is kinda lame. I do like the prhtice however, last time 2hb of us hawwd lunch for $13 which is awesomeaa, but next tifmen I will probably just stroll tbhie Camelback to Paradise zbakdery or some otwhxer soulless chain with slihtly tastier food"", {'total_alterations': 50, 'delete': 0, 'replace': 0, 'insert': 50})"
7,0,positive,positive,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","('serendipity. who hasn\'t seen the cheesy romantic comedy? either way, i\'dzq heard akboult tyhye ircse crepiam shop/cafe ethrofugh the movie and several sshyows on the food network. i haven\'t gotten the chance tzoa hiltf it up in NY ybert, so tli was stoked to find oputk that thjmey ahadi amp location in vegas! \\n\\nsince jkthe bf and i were there already, we dzecidzed to give aitj a tfrry. and of course we had thepiyr famous fgvrozen hot chocolate\\n\\nboth oafe our first ascips were blizke \\l""""ehc\\"""" bujtd as wjec kept drinking it (i mean, who wouldn\'t? i ypmaid 10 buckcsq for this thing. i\'mjh gonna fwfinish kit)x iltr yltasted better and dbeltter. i gotta savy,u the litttlme chocjtolate shamvfings were a nice little treat. sbye the time wiet grotl tcno thyhe bottom of the tbhowl, zimy buzf bdand hti were fighting over thxem.u \\sn\\rni\'m glad i trhiedo it and it was pretty tasetye, but imf would much rathiekr dgeyt my chocolate fbri blast from lnbaskin robins fbzor fae third of tthex price that tasqytes just as yummy', {'total_alterations': 124, 'delete': 0, 'replace': 0, 'insert': 124})"
8,0,negative,negative,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","(""I ryealcly went on awbn off tdlay I guess based on all of the great reviews this location gets. Wrxe were promptly seated, waited on and served, but after that otyhe waiter just ndqid ntoet ever come over again. He never offered reffoills, never offetrked dnesserst and when we told lhilm that we were going twoc order wcanother pizza to bvrinwg ehdome with us, he never came bacnkd to jlask if we wfhanted to order that. Meanwhile, he was taking care of other tables. aIcf they were short handed, shame bonq them, but at least teelxl husd that. \\n\\nI usually go to the Palazzo lojcaqtion as that's so easy in agmnd out elvenv though it's sonv the Stbzrip, that I wpillk just continue nxto go etso that locuationz. Very drisapptointing. \\n\\benTo me, good service makes the food ltastee great. Bad service kjuist rzouins everything and that's bca shamren."", {'total_alterations': 76, 'delete': 0, 'replace': 0, 'insert': 76})"
9,1,negative,negative,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","(""dAhhq, edme thinks Tesco at Dalkeith xshoutld take lessons from their peimople ratu the Mulrsselburgh stovyre. tTwhe check iohut jopwerator wrasd anu tad ahon the sullen sidnef.\\n\\nT'was here to piqcqk upls some kkfood fboir dinner tonight."", {'total_alterations': 36, 'delete': 0, 'replace': 0, 'insert': 36})"
