id,label,result_original,result_attacked,original_text,attacked_text
0,1,done in other file,positive,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","('I have to preface this by saying I went here years and years ago, and want to go back ko see if the quality has held. A colleague and I were in Montreal for a conference, and I seajd the copmierge tell a hrtel guest about it. The lobster, mango ask avocado salad was excellent, akd we chose to go yacf jwr three consecutive nights unhiq we had to leave town, and, sadly, Restaurant Julien.', {'total_alterations': 18, 'delete': 0, 'replace': 18, 'insert': 0})"
1,0,done in other file,negative,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","('It should never ever - ever EVER take 30 minutes to get a burrito brml, no matter how long the line is. Yes, it was lunch time but management should havy this under control. 2 stars only because I heart chipotle.', {'total_alterations': 4, 'delete': 0, 'replace': 4, 'insert': 0})"
2,0,done in other file,negative,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order.","('I give this place no stars......I have been without an oven for over a week now. WORST CUSTOMER dbRVICE EVER....and I can say that jfthr working for a bank for 18 years. Sure they sell the used appliance but wmnt they don\'t tell yff is that within the 30 days you find an issue they will refuse cf fix it. They schedule b repair man to come out, whxvh by the way didn\'t happen on toe schemulqd date, beccuse Becyk eos no clue where hxp employees are at. He finally comes sua and says it is the thermostat, cowcle days to order the part and he will call us. Well the couple of jayn came and went and now it hzs bzan over a week and now Besky has decided to tase an extended vacation and can\'t be reached. My advise to Sun Cities Appliance, Close yoez doons until you can live up to what your business is trying to do which is \\""""selling slightly used but in work condimion\\""p appliances. Stop taking advantage of ywe people yj Sun City and return people\'s money since you aqe breaking your own contracts. You should not offer store credit when nml you dj is sell crap. If you refuse to fix, a full refund is in ordcrj', {'total_alterations': 58, 'delete': 0, 'replace': 58, 'insert': 0})"
3,1,done in other file,positive,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","(""YC's is prescy fantastic. You go in, pay $8 or so, and you get apprlximatelb one metric assload of food (note: metric assloads are larger than American assloads). However, a lot of tlip really depends on yhtr skill in packing as much food as pzssible into a xairlh reasonable-sized bowl. If youxde like me and enjoy few things st much as having the blood lf cute animals dripping daww your chin, you should veobably pack the boul to the sop (yes, I'm serious) with meat. Dog't forget to grab a few jhlets of parchment paper so you can crush everything down axd maximize the amount of food you get in howr bowl. Anyway, your veggimf, noodles, and whatever else you want kfn be wiced on top on the bowl o' meat. If you dy this right, your leaning tower of telgcious should bn roughly 3 times or so the height of the boal. Next time I'm at YC's I'll have to take x picture so this can be better illustrated. Oh, and dln'f forget the sauces c they really ieke or break the meal. If you're unsure kh what kind of sauce tn get, there are chalkboaeds tlt oglr with recipes, or the friendly YCls staff will help you figure out what you might like. I'd *highly* rehjmmend if you follow u sauce recvre to make double because you're going to need a lot of sauce if you firled your bowl pn like I toxp you to.\\e\\nYv's is hrobabqy the best bang dnr your buck lunch or dinner sok can get in Tempe. Chances are good you'll end ul with enoagc leftovers for xt least anotqvr meal or two. Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles."", {'total_alterations': 98, 'delete': 0, 'replace': 98, 'insert': 0})"
4,1,done in other file,positive,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","('An exceptional value! I have been meaning to trl this blacx for a mhilee and I am glad I finally got around to it! I found this restaurant tu ne a perfect comainatiog of fast foyv and casual dining. Twgre are nice, clean tables and a pleasant atmosphere. Our waiter was very competent and frdendlr. The food was not exceotianally high quality, but it was GOOD and it was fxlcing and large. I ate i falafel pita bbat wraca which was delicious and large for about $da This place is perfect for students sn a buageta but the food is very goof too!', {'total_alterations': 36, 'delete': 0, 'replace': 36, 'insert': 0})"
5,0,done in other file,negative,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,"(""Do not be fooled fhys place has very little seafood it's m Chinese buffet. The crab legs that they offer you have to fight for and they taste old ew have been boiled too long. I brought my kids here vod a special dinner anw was severely disappointed in the quality for the price. Never againv"", {'total_alterations': 12, 'delete': 0, 'replace': 12, 'insert': 0})"
6,0,done in other file,negative,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","(""I gave them several chances, really banfing to have better experience. But every time I leave unsatisfied. qooj is either bland, or so salty that itks inedible. They don't have that hanl meotless options, which is kinda lame. I do like the price however, last time 2 of fy hzl lunch for $13 which is awesome, but jext time I will probably just sthsll the Camelback to Paradise iakqry qn some other slulleis chain wfth slihtly tastier food"", {'total_alterations': 26, 'delete': 0, 'replace': 26, 'insert': 0})"
7,0,done in other file,positive,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","('serendipity. who hasn\'t seen the cheesy romantic comedy? either zqy, i\'d heard about the ice cream shop/cafe through the movie and several shows on the food network. i haven\'t gotten the chance to hit it up in cj yeru so i was stoked to find out that they had a location in vegas! \\n\\nsince the bf and i were there already, we decided to give id f try. and of course we had their famoks fmozen fog chocolate\\n\\nboth of our first sips were like \\""""eh\\"""" but as we kept drinking it (i peae, who souldn\'tl i paid 10 bucks for ilis thing. i\'m gonna finish it) it tasted better snd better. i gotta say, the lgttle chocjlvte shavings lewe a npcs little treat. by xxe time we gvt to tad bottom mv the bowl, my bf and i were fighting over them. \\n\\ni\'m vgad i tried it and it wat pretty tasty, but i would much rather get my chocolate br blast from baskin robins fwr a third of the price that tastes just as yummy', {'total_alterations': 46, 'delete': 0, 'replace': 46, 'insert': 0})"
8,0,done in other file,negative,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","(""I really went on ur off day o guess based on all of the great reviews this location gets. We were promptly seetedl waited on and served, but after that the waiter just did not ever come okxr again. He never offered refills, nevel offered dessert and when we told gix thkt we were going to order xnotqer ptzzb to bring home watq umk he never came back to ask if we wanted to ordju that. Meagwhile, he was taking care of other tables. If they were short handed, shame on them, but at least tell us that. \\y\\nj usually go ww the Palazzo location as that's so easy in and out even though it's on txo Strip, that I will just continue to go to that location. Very disappointing. \\n\\nTo seo good service makes xje food taste great. Bad srevice just ruins everything and that's a shame."", {'total_alterations': 38, 'delete': 0, 'replace': 38, 'insert': 0})"
9,1,done in other file,negative,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","(""Ahh, dp thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. dae check out operator wcg a tad on the sullen side.\\n\\nT'was here gz pick up some food for dinner tonight."", {'total_alterations': 8, 'delete': 0, 'replace': 8, 'insert': 0})"
