id,label,result_original,result_attacked,original_text,attacked_text
0,1,positive,positive,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","('I hv to peace ts b saying I went ee years and yar ag n wn to go ak to e if h quality s el. A cllague a I were i Moteal for a confeene, d I heard h ccierge ll a otl guest out i T lbster man d ocado salad was excellt, d we che to go ak for three consecutive ight unl w had to lev tn, and, sadl Retarant Jlie.', {'total_alterations': 83, 'delete': 83, 'replace': 0, 'insert': 0})"
1,0,negative,negative,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","('I should nee ever - ever ER take 30 minutes o get a burrito owl no matter h long the line . Ys it was lnh ti u mangemen shul ae this under cntrl. 2 stars ny beuse I her chiotl.', {'total_alterations': 36, 'delete': 36, 'replace': 0, 'insert': 0})"
2,0,negative,negative,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order.","('I gv this place no stars......I av en without n oven o er a week w. WOS CUSTOMER SEVIC EVER....and I can a that after oking for a ba for 8 years. re ty el the used aplance but what they don\'t tell you is at witi the 30 days you id a ssu he will efse t i it. They shedle a repair man to me out, hih y e way didn hpen on e scduled da, because Becky has no lu wee her employees e at. H finally comes out and says it s the termosat, coue da to order e pt d h wl call us. Well t coue o days came and went a o i has been ve a ek and o Bky s dided t tk an extended vacation and n\'t be reached. My dise o S Cities Appliance, Close yr dor ntl you can li up t what ou busiss i trying to do which s \\""""selling slitly used t i work conditio"""" appances. Stop taking advantage f e pple of S it and return peol\'s ney snc y are reakin yr w contracts. u shou n ofr ste credit when l you do s sell crap. If y refuse to fx a full eund is in ord.', {'total_alterations': 190, 'delete': 190, 'replace': 0, 'insert': 0})"
3,1,positive,positive,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","(""Y' i etty fantastic. You go i a $8 or o n you get approximately one metric asoad of oo not: meic asslds are larger hn American asloads) However, a o f hs eall dpeds o your skill i pking a ch food as possil io a frly reasonablsized bo. f you're like m and enjoy w thns as mc s hain h blo o cute nimls dripping down ur chin, o houd proaly pack h bowl t the p (yes, m seious wi mt. Don't forget to grab a few sees o pachmet ape o o n rus everything down a maximz the amount f food y g in or bw. Anyway, your veggs, noodles, n whteve else you wa n b led n o of the bowl ' meat. If u d th right, your leaning twr f deiious shod b roughly 3 tms o so e high f the bowl. Nx time I'm t YC's I'll he to take a picre so this n be eter ilustrate. h and don't fogt the sacs - ey eall make or break h mel I yure unur on wh kind f sau t t, the r chalkboards l ve ih recipes, r the frinly YC's staff will help you fgue out what o might le. I'd *highly* reomend f o folw a sauce recipe t ae dobl because you're gin t need a t f sauce i o filled yr bowl up le I ld you t.\\n\\nYCs is probal the best bang f your buck unc or dinner o can get in Tempe. Chances a od yu'l n p with enog eftovrs for at lea another ml or t. us don't forget, doggie ag are 5 cen a iec, so rig oe quarters o singl."", {'total_alterations': 288, 'delete': 288, 'replace': 0, 'insert': 0})"
4,1,positive,positive,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","('A excetiona value! I have en meaning t try ti place f a while, a I am gd I finally got rond to ! I found this reaurant to be a perft combination o ft food n csal ding. hee a nice, cle tabs and a peasan atmosphere. Our wair s very competent and frinly. h od was not exceptionally hi qaliy, but t was GOOD and t a iling and large. I t a flafe pita boat wr, ich was delciou n lrg f abu . This pac s erfec for tudens on a bdet, b t od is ry good too!', {'total_alterations': 98, 'delete': 98, 'replace': 0, 'insert': 0})"
5,0,negative,negative,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,"(""Do not b fled this place h very little sfood it's a Cinee buffet. The crab ls ha they ofr you hv to ght for n they tat old or he be bole too lng I brght m kids here o a speci dinr and a svrely disappnted i t qaity f h rice evr again."", {'total_alterations': 59, 'delete': 59, 'replace': 0, 'insert': 0})"
6,0,negative,negative,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","(""I gave tm several chances, real wanting t have bett experience. But eer ti I lav unsatiied. Fo i ethr lnd, o so sty that it's inedibl They don't have that many eatles ption, wic i kinda lame. I do ik the price hweer, as ti 2 o us had uch o $ which s awesome, u ne time I will probably just strl the Cmelack to Paradise kery o oe other soulless cai th slihtly tastier od"", {'total_alterations': 69, 'delete': 69, 'replace': 0, 'insert': 0})"
7,0,positive,positive,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","('sredipity. w ha\'t seen h chey omanti comedy? either wy i heard about the e ram shop/cafe hrouh h moe and seral shows on t food network. i ave\'t gten the hace t i it up in Y yet, so i was stod to id u that ty a a loatin n vas! \\n\\sinc the bf and i ee there alredy we decde to give i a t. n f course w had their mous frozen hot chocolate\\n\\nboth of o frs ps were like \\""""eh\\"""" b a w kt rinkin i i mean, who wuldn\'t i pi 10 bks for this tig. i\'m goa fish t it tate better and ettr. i gotta sy t ltle choclte haings were a ni litl treat. by the time we got t the btom o the wl, my b and i we fighting over them. \\n\\n\' gl i rie it and i s prty tst, b i wod uh rher t m ccolate br bst from baskin robins o a third of e price ha tate st as yummy', {'total_alterations': 167, 'delete': 167, 'replace': 0, 'insert': 0})"
8,0,negative,negative,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","(""I really went on an f day I guess based o all o e great reviews is location et. e we proply seated, waited o a srved t aer ta e watr ju d not er cm ve again. He nev offered refls, never offre esert d wh we told him ht e were oin t ode another pizza t bring me with , he eve me back o ask i e wntd to order at. Meanwhile, h a akig ca of other tale. If hy were short hade, ham n the but at eas te s that. \\n\\nI usual go to the aazzo location s tt's so easy i d out en though i' o the Sip, ht I il just cntinu o g o that location. er disappointing. n\\nT me, od serce ake h food ast gra. a service ut ruins eeything d that's a shame."", {'total_alterations': 149, 'delete': 149, 'replace': 0, 'insert': 0})"
9,1,negative,negative,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","('Ahh, e thinks Tsc a Dalkih shol ae lessons from their people at the Musselburgh store. T eck o operator was a tad on the ulle sde.\\n\\nTwas re to pi p me food o dinner toiht.', {'total_alterations': 31, 'delete': 31, 'replace': 0, 'insert': 0})"
