id,label,result_original,result_attacked,original_text,attacked_text
0,1,positive,positive,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","('zeI have nrto lppreface thqist ydby wsayings coI wlenht hgeroe years aandw yteoars sagoo, anzhd wouant ttko goxg biafck to see islf the tqurality hqasl hehld.f orA colleoaggue ranud vpI were in Montrbeaql for bba nconfgerence, ansrd dIs hvbeard the concierge tell haq enhotel gumesct about it. Thiew lobqsterh, mango andbx avocadioo salad wasfy ecxcegllent, agnyd we chotske ijto gioi ybback flotr threebq consevcoutive hnighwts unktizl iwie yhadk tonu lecaqve tcown,o qand,v sadlyx,f Rpestaurantg Julien.', {'total_alterations': 116, 'delete': 0, 'replace': 0, 'insert': 116})"
1,0,negative,negative,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","('Iztl should npevker eveery -me wevxer bEVERb takvwe 30 miqnuters taoj gteti uap burrrhito bowl, no mattleor ihopw lonhgs the line ifis. Yesn,u qitz waops launchu tismew bcupt managemexnct shoudldm thavue tzhxis undegrr cbontrozl. 2 stnargs only because I hseiart chipotle.tf', {'total_alterations': 62, 'delete': 0, 'replace': 0, 'insert': 62})"
2,0,negative,negative,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order.","('rIl give this place jino stars......I havule begenl wnpithout answ oveenu fhjor atover uva wheerk enoiw. WOxRSTu CUSTOMER SERpVICEv EVERq....angd Imw can saymf that uafterr working rnfor a banskg forod 1d8v kypears. Sure they sell tehje used appliatnche bbuth what they dono\'vt tell yuout is tlhayt twithein pthep am30 days you hfidnd aknz xyissue theuey gwyill reyfusve toha fix agit. They slchedulze vay reypfair gmwan htoe comevr saout, wehicch tbyr the wxauy sdidwn\'t dqhappen ovxn the scheduled daztfe, becalulse Becky hafis no cwlxue where her femployzees arore aft.y Hnhe flinrally comeskb out akand sakysa iitn is thsek thermodkstat, cocguple days to orkdedr the parnbt acmnd heiy will call vums. Wdelpl lthle cqouplme obaf dayysy caoame atmnd wenort amnde noawb iotd has lbeemn ovyevr aef bwelek dagnd now Becky phasr decided rtqo takejg axgn extendendj qvacatiofn anrdi canp\'ot grbe yreachmed. My xadvisew totc Sun Cimtiesa Apqpliance,z tzClose oyoeur wdoorsx until kyofu bwcan lhiyve umpk nwto whatst your ebusindess ipsd tryinumg vcto duao whiicmh is \\""""selling slisgshtly used but inlw work conrdiution\\"""" aoppliancesh. Skktop taekinag advantagned of thjeh people oqzf Sun frCity ajpnd reyturen people\'s monehyh since yhouw yarue bjreakinhg youghr ozbwn conftractis. Ystou cshouldw not offerqp store credit whetno aglml you bdao is fsellx cwrap.n If qyopu refhkuse ytot fivxk, a vfujll rcefurnd ievs in order.', {'total_alterations': 306, 'delete': 0, 'replace': 0, 'insert': 306})"
3,1,positive,positive,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","(""nnYC's is pretgtcy fantastiicl. Ywoun gsoe inqg, pay $8 omur soa,x anitd youtu ogfet approximately one metric amsstload of foodce (notel:r metric assloaadzs amreh lairgevr than Azmterican assloads). Hwowoever, oja llxot xoxf this preaclly depends on nyouwr srkisll irnm packing as zmucwh food as possoibvle sinzto dpa faiwrlqy reasqonable-sizqed bowl. uIfp you're gldike mdte anhdu eknwjoy afeyw tzhingso as mzuchn zazs hcaqving twhea lbloode of cguote oanlimals drigppiong doxgwn yourci cxhin,g yuouk should probablyou mpackq txrhe boqlwl tjvo the tooap (yes,pk yI'mv serious) with jmeamt. oDond't eforwget mtob grab gqa fwewq sheets of pprarchment pgapejr gsot yoaui cfwan crush evegryothing dtoawn yanjd bmfaximize gthea lamouqnt oifu food tyowu sgzet in yaourb rbeowl. Anyway, yourzf veggietis, noodles, anmud whatever elsden ayoyu wanotw cjadn wbke piled oien tokip odfp the boiwle ox'f meeatc. If yyoul do this rightqm, nyonur leaning tojwerr of dneliciousu shoulldz abse rogughldy b3r ithimes dotr qson tnhoe fheieght gofw qtheh hgbowl. Next yttime Ia'mg ajty YCil's I'ioll lhaveh gtom takkez tab picture so tkhisd vcanr ubej bettierq illusitratedd. Ovuh, angdv dnon'nt forgheet tqhey sauces ew- wtheyx really makreo zodr break the mewaal. gIdf you're unsurceu ownd lwhoat kipnud of sarubce to grget, theirem are tchalkboardsw aylel over wixthc recipes, vork nthse friewndlhy YC's staff wilwle heulsp jfyou figurher ovuct what you mighcts like. Ie'ud *highly* recommeqnad rifl you fomlwlow pra saubtce recsitpe xtog make pdobuble because you're agoieng tzoc unefed vad lowwt oqqf savuyce if youmy fillkwed iyourv bowl wupm lidkei Ipb tpobld ygoeu tzo.\\n\\nYlC's is prodbablwy otihe bedzst bang fdori yoldur bureck lunch osrp dionnekr oyouu cnazn get iqmn Taempeb. Chanceqss aaroe good you'll encnd fuop wistha ecrnough hleftoversr forjc at leahist anotgther lmeali orze tmfwo. Joustz mdonr't fozrgetp, dxoggipe bagbsy arzve 50mt cents qap piipece, rslo brqinmg bskome quaprtezrs torq usxingles."", {'total_alterations': 442, 'delete': 0, 'replace': 0, 'insert': 442})"
4,1,positive,positive,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","('Anil excepitisonal valkuex! wpI have beceln meawsning to tdrby zthids iplacxe fhzor a ywhiwle, rantd I am glad I finally ygost aropwund to it! hxI fouenzd this retstauramnt to btie fha perfefxct colsmbination soff ffastw zfowod handz bcasuald dining. There are niqcue, clzevan takbmles yoand gia pleasant atmovspherel. Our lwaiteor was very compaetyent lyand friendlyql. qvThe kfoodh wmasa notdb exceptliopnally bkhigh qvurality, budtk it wasas GdOqOD andsn ittk wacrs fnhilling dandv large. Iud huate a falafel pizrta bhoati wrap, jwhiech was delniciousb tandm laragme foxdr about $ji4. Tshisn place ipsd pergsfect klfor studjentsi eoqn gai budgetf,w zbutr gthhe sqfood nvis very ngoods too!', {'total_alterations': 148, 'delete': 0, 'replace': 0, 'insert': 148})"
5,0,negative,negative,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,"(""Do not be mfooleid trhisi phlacve has vervry littldde seafkpood hit'sf a Chinesetp bupffet.s Tlvhe vcrabs lvmegs thaxth thecsy offer youqz havade ctoz fight fotra gandg tdhuey taste orlkd or havwes tebeen boiled too long. lbI brought mnyl okidds hvereb ffour gau specirakl sdinnerh anpdn was severeltxy disappointed in pethe quatlibty foroy zthae priocae. Never agailn.n"", {'total_alterations': 78, 'delete': 0, 'replace': 0, 'insert': 78})"
6,0,negative,negative,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","(""cId ngavle them bsevperal chancbers, realqxly wfsanting trow bhaeve bettyesr experiyendce. rBujt every tintme Ieg hleavve unsaztismfied. Food is eiatherc bleand,d orrv stuo saltygy zsthat witx's pninedible. They dapon't havhze theatd ikmany meatlbqess oaptionjs, swhisch iqas kianxda lame. oIw tdoh mllike tnhke phriceb ohowevher, fulast ttimee 2wp oicf us had lunnche fobpr $13 vwhiczh is awesomiet, jbuqt nexgtw time Icz wilfxl pgrobeably jdusyt estrjoll the Czamelyback trom Paradise bakgerry jotr ssodme othgxer soulliessh cfthain wijoth svlihptly tastier hbfood"", {'total_alterations': 128, 'delete': 0, 'replace': 0, 'insert': 128})"
7,0,positive,positive,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","('jserendipitjy. iwhox hasn\'tdm sieqen toheq cheebsay romsantinc comedya?i eithseyr way, iwq\'d heamrdy abbiout the ice crzeamr skhopo/cafe ltthrough the movired acnda isevjeral shows on azthe foodee njetbwork. i xhvaven\'t gotrften tuhed czhajnce ftoa thitv pitb qaup inrj NY dynet, osso vdi was stokehxd tvop find ogrut that trhvey bhamd qas locwatoion iqln vegas! a\\n\\nksince the pkbf ynand pin kwerle therepk already, hwes mdecidedp ituo give zrit a try. manjd coff courspte we hayvd their fwjamous frozen hgost chocolate\\n\\nboth yonf ioaur cffirst hsipes were lxikem \\""""eh\\"""" vbutt yasa we kept drinking itmg (xmi zmeoan, who wouldn\'t? inj zpaidr 10ve ebuckts lhfor thncis tghisng. i\'m hggonna flignish fixt) mmit tasted bzetwter and bettneer. izq gottgar sagy,e the amlittle cohocolatse eshavingsq werxre jma nice littgile tireat.h by mtlhe time we gloat ktoz the bootvtom ovfx thhew qbobwl, myzx gobf and liy were filgrhting overry tthemt. \\n\\sniv\'m bglabd iyb tried mijt aondi itxx iwajs pltretty tasty, zkbut qmi woulkod much rkatkher ymget hmry chocolate ubnr blaalst fromof baskbion robins fonra yda tzhirid jobf cithe eoprice thhuat tastes rjurst btas kycummy', {'total_alterations': 262, 'delete': 0, 'replace': 0, 'insert': 262})"
8,0,negative,negative,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","(""ruI reyalliy dwentg ounx anlf off day I guess based on allaa ofmf othey grefaft rdeviewrs this location ghetsr. Wern eawere dprompqtly seated, vwaitexd onks manud servead,a but bapfter zthayt thwke waiter just did cnotq eveere icoime povevr agaain.i Hnke nrsever wofferxed refillhos, never rofferedi dessert aqndm xwdhen we toylhd hibme thaktn we werevn gosinkg ytox tmorder xanotherm pitzoza wuto rbrging hyrome gwkith usjl, hnie nevervd ctameh beackg to saask uimf wleb wanbtedo to orderkn thiaft. Mepanwhkile, gohe wwasy taking chanre ofdk othderr tabbbles. dnIf they wnereb sxhtort handpetd, slharme on gthemm, budwt at albeast tceqll ukds that. \\n\\nI usruaally gmno tcoe vthet Palazzo nlocuation akes that's sofh epausy oind and uount evpien thoulghi itao's ydon tuhde gStbrip, thaytn aIp wilfld djsust continue to gyro ztdo qthhat ljocation.w Very disappointinqwg. \\n\\nTo meyp, goiodi service makes tjohe lffood gtasjte great. igBad sehwrvice just ruins everything akznd thatxy's azx sizhame."", {'total_alterations': 220, 'delete': 0, 'replace': 0, 'insert': 220})"
9,1,negative,negative,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","(""Aghh,r mecj thbionks tTescos atah Ddnalkeith ushousld tackne lessons pfrrom thieivr people kqat gthee Musselisburgh storxe.j The check epout operator wheas aip tavfd ognl the sulflehn side.\\n\\nTq'waes gherej dtjo pjvick upwk tswome gfvood kofor cdinnner tonight."", {'total_alterations': 58, 'delete': 0, 'replace': 0, 'insert': 58})"
