id,label,result_original,result_attacked,original_text,attacked_text
0,1,positive,negative,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","('gy havsd uqo creffce thosc bje sayxinj l entc her yzetars zard yearaps qgo, dd xnt xt tgg bacgkj do aee gf thel cqualibty tls hkl. gA collebgue and n were pi Montrgel woz t confrenceq anndb f heaqdd mtheu conciegek tbl aoe hotlesl guekm bwout it.r The lostder, manpr n avocfado sawlod wk excbhlent, annds wx chrspe kt z biark cfr xhre wcinsecutive nwights vcuntil wx hq m leave twn, andut, saly,n estxaurant Juljez.', {'total_alterations': 142, 'delete': 30, 'replace': 56, 'insert': 56})"
1,0,negative,negative,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","('I sohogld quver ederq aa euvr EVER takte 3im jinutus koh gettc maj vrrito jow, z xmdatter xow loqng th lcn j. Ys iktf masr lxunh ttsime bur manageeut szouvld khvave tib undemfr ckntrl. h2 starou nly tbcause I eartj chpoyle.', {'total_alterations': 78, 'delete': 19, 'replace': 29, 'insert': 30})"
2,0,negative,negative,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order.","('la gie thlso pkame eo stari....f..I havsb ben widtout on oesn ofzr ov z we nnow WORST CSuTOMER SeERVICE EnER....nd cc scpan ay ta afr wwrkig fsg qp yanrk tfor 1m sars. Sure tjy el theet uhred appliranpce lt dhatg zhney donnt eld oyoui gts tdat wiwthn xde l dadysg sot iny an imssae thy widll redfse tzz igx vit.d iheyb schedue w sephair manow qco come oug whchk byj fhh ay ddhdn\'t happon uen ae pscnheduled dae,d bcase jcky hjds nolu cnu where hulr emloyems au at zHhe binally boms out tynd aysp cbit i tut theurmostyt, couple darys c rdeg h tait aw gi ihl cxal udc. ell bhe coupkqe ojk dao came akpd wnt aq now iv hos bedn oetr a wee ne nhaw Bcekky hb ecded mtov thke tu extended acatwion and cas\' be reaceed py advsse zn oSn Cebties Aplince, Clke ygur dcrs udntizl zod co lvme epq d what ayous ebusinss ig trkyng dtho d whc ihg \\""""sllang slihptly ue obt gi wpk conkiction\\"""" appliancejn. Svp tkig advamage oxfk thf jpeopleo of fun ity and eturnl ypeople\' msoley qsince yocus ar bmveaking ptour tzn cnpracts. ucou shold xbot fafer ystorje crdgit hefn avl boe bdf su rll ceapp. vf yju wefuse ntom fy, ta fui reffn ti nt orxr.', {'total_alterations': 410, 'delete': 128, 'replace': 145, 'insert': 137})"
3,1,positive,negative,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","(""YCdss ji prretzty fantasrtirc. eYoq f xn ba x$ r qs, lbnd yoz vt approximately ondxe mdtxic aassloawd o vwood (noptee meyrica assloads trn lmger taoan Aaewican assladsd). Hwowzever, x ot osuf uhs rallf zipends k hyur vkilg ti payckin sg muzr foi za ossiblf inn y fajrlq reasonablen-size bowl. lgf yiu'e likie y and aenxjoy qef rthingsk jns jmush ah ehkaving duhe blood toc utk anmalss driping doin ytnur hinn, eouk whould mprobablwy aci the bowf m e o (yaens, s' seriaousl wiit meap. Dnbt forsfet tj raib yah bqew eeets z parcrhwent papeqwr lo qou jzan cruqs everything dqown d mpxiuize tt aamout d oo u get i ttur rbcowl. Anyway yoysur veobies, nooles,m wnx hatevkr eplsv yowo want a ef led nb clop o ytshe lwowl l meatyk f you ov hiz gright,o ousr leanrng towv of dicious shul qei rouhfy ez timbegs w oo tih height dof dhe bowc Nest yizme Im an nCs Il hnawve rr tlke h phictgure o thqss cln pe setter iwllustrated.u , inn en't forgbm tiey siuces c tthem reallycn ae ko break fte qel. mI yourbe insuje y wsfhat kiq oqy saucx oco ge,b her a chalkoard allle ponver ith reipes owdr th frieendly Yk' stkaf wi hev xyu fiwgudre outsz what ou pmjight tyke. Ibed *hiuhly* aecommen fb yum rwllow ti sacz reciyp o make dobkle dbeause yourep gsoisg m enqeed mae ow fk sacue kf sozu ffiled yov bhw uh kike Iba tolci yqug to.b\\n\\pYC's o projably shx fest buang sor ysr bc pluncq ogq dinner vyou cy mgetg in nempei. pChancges ate goyokd yohu'lal sennd tutp with fqough leoftoveirs fon ba bast ansthzr ymeal r twe. Jsskt d't forgrat, ogggie bamls far k cts vza rpieee, lo brvg some quarrrs omor sirggles."", {'total_alterations': 566, 'delete': 173, 'replace': 188, 'insert': 205})"
4,1,positive,positive,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","('n exceptiumal value! I hee kbern meying yuo t qhis prace foj ia qhilei un wa aow klzd gIz finlqy geyt arkubnd c ! ki fhouynd rhizs resvxaurant izo bzoe ae perct combinaxtin jos fgabst bood yndq casnqal diing. Therd wr ncem cleaqh lables agtd gf plcsant atmosphere. cuq waitlr a qerp fompetent fd fviendly.q Twg jbood wavsf nv exceptionayy nidgh quuawity, but n ays iOODk rd pt xwns flling hne lrgev mI ar ip felafer piqba boawa wrap,xq whicohc w delgcious ai laae froe aeout z$o. Thrims plce esp pnerfeczt fokr stuenfts on a bucget, bfr nhe wfiod p vwerb ghod too', {'total_alterations': 204, 'delete': 50, 'replace': 85, 'insert': 69})"
5,0,negative,negative,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,"(""ftDo no ce fyoosed this vxlace hea vxhy lmittle spafoaod it's ja Chhinnse buffit. Tn creab uleggs tag wtlhey ofjfe mou gtave oh ught ocr nq chy tvaite d jz hazoe bpen boiled tfjoo lon k brought w kids herez fop d specitl dinnoe ansdx was severely disaxpocinted a hue quualitwy foqer thq price. Nevwrb gaia."", {'total_alterations': 98, 'delete': 25, 'replace': 34, 'insert': 39})"
6,0,negative,negative,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","(""I rave teq sveral chdyces, really wntng to hv bett experiencek Bku vey tte ib eav ufnatisfied. Fo sa eitthkr bmlangd, oeg skc jslty qthat z's enedible. hey uonpt ihae that maxn meates optins hicq qs kia lrameu t dy li tr prilc hwever,a avst toimw 2 ef us hada clunch or 13 ihich i ywesom, sut vet dtimeo g fwilal prqbablye jet trol thuy amelbacka gho Psradie akry oudr srom othuert soulless chain wlt slhtvly tgstierb omd"", {'total_alterations': 148, 'delete': 58, 'replace': 49, 'insert': 41})"
7,0,positive,negative,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","('serenydipit. ht has\'t ssn se choeeiy roancic ceomedy? eiterl dwa, i\'d herd abhout e icz cgeam sho/came throuh lhem mokie mnd sevhrol showxs v mhe faoow nework.t doi haven\'t bovten dhes chahve cow izt ia mp v t je, rdo qw waq toked bo fcnd ouyy thazv they yd rb locatfon siin dega! \\en\\nsnce tjhee bjfi yyand yu twhere pphere jlrefdy, tw eided z ie tid qx try. bwand oj coudwse q iadt thenir fkamomus frzenz ho chcolate\\n\\nbmth kofl ou fiqt itps wjee lkev \\""""e\\""x"" bi z wfw hkiept drikiqg at rhi hnan, wqd iotuldn\'t? b pni c1q0 bhuckc ewor thisj tzinv. hm gonbaa fiis ey) iu tastwe bvjter nd bettor. zie geptta s, thh lottl chcolatae shavningg wewen du niceth qittale reaat. pb thc tit qme obot to ye bqotom f yhe dowl,k vmh bf arad af wcye fightikh oeyr hom. \\j\\nfi\'m lid h bied it audw rzit ecwas psetts tatl, bnit k wobulpd msueh raheq e z cqocolavte bmu bklaxst fr arskin nobinj for lh tlpird ovk tte jvrice thlxt tayves just ajn yumqyq', {'total_alterations': 336, 'delete': 82, 'replace': 138, 'insert': 116})"
8,0,negative,negative,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","(""qq really web vy ga golf dvayc Iz ess based nnn kll oc h greu rviewp thiksu tocatiok gets. Wpeu wre prmptl seafeu, gaitied on gnd ekved, uu mamter twa tz withr ost oind nobtl er come oje agai l eer offerc refilsg, snevev fyered esserct and wyhet e ztod hgm tant wj weq gxoinvg z order anothesrj pijzl dtoh rig ho whtho us, hv netr camu backkk w qrk kif wg wantpd to rdbr hatw Meanhile,n yke eas tarinq aere s oer etablesw. zf thy ereh short haqled, sohmme l the bhutq aa lqest tell ume chjt. \\n\\nqg usually gz ty t xPalyzzo nloction as at's so peasz l ndw ouz even tyoug t'st c khse Sxip, cat qd wil jsdt consinui rt jo k that loqqtion. Vuery dqisapointing. \\ununTo u, owod seric maye hre ood taset reatf jd snrviece jkuast ruias eeverythidng aqnf tatb's q sham.l"", {'total_alterations': 272, 'delete': 97, 'replace': 93, 'insert': 82})"
9,1,negative,negative,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","(""Ahc sme hqnks Tcco at Dalkeivtrh sroumd tdge lesusjons fro heir people ha thuen Musselbzcrgh rore. uTh hec u opfeator nwa aeh tfid hoa twe sucllsn mie.\\n\\nT'was inhere jt pick up some fohd yr dinue tonyigt."", {'total_alterations': 64, 'delete': 21, 'replace': 20, 'insert': 23})"
