id,label,result_original,result_attacked,original_text,attacked_text
0,1,positive,positive,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","('I dve to pretacw bhgs by saying I went here years and years ago, and want to go back to see if the quaitd has hed. A colleague and I were in eMcntreal for a conference, and n heard the concierge tell a hotel guest about it. The lobster, mango and avocado sxalab was excellent, aida we chose to go back o three consecutive nights uwnoil we had to leave town, and, sadly, Restaurant Julien.', {'total_alterations': 22, 'delete': 5, 'replace': 13, 'insert': 4})"
1,0,negative,negative,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","('It should never ever -i ever EVER take 30 minutes to get a wburrto bowl, no matter how long the liheh i Yes, it was lunch time but management should have this under control. 2 stars only because I herr chipotle.', {'total_alterations': 10, 'delete': 4, 'replace': 3, 'insert': 3})"
2,0,negative,negative,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order.","('I give this place no stars.....Ib have been wtijhout an oven for over a week no WOfRT CUSTOMER SERVICE EVER....anddh I can say thwag ter working for a bank for d years. Surnre they sell the used appliance but what they don\'t mel you is that within the 30 days you find an issue they will refuse to fix it. They schedule a repair zan z come out, which by the way didn\'t hekappen on the scheduled date, behcaus Becky has ot clue awhere hi employees are at. He finally comes out adknd says t is the thermostat, couple days to order the part and he will call us. Wxlj the couple of days came and went d now it has been over aon week and now Becky has decided to take an extended vacation and can\'t be reached. My advise to ug Cities Appliance, Close your doors until you can live up to what your business is trying to do wcih is \\""""selling slightly used but h work condition\\"""" appliances. Stop taking advantage ek the people of Sun City and return people\'s money since o are breaking your own contracts. You svfuld not offer store cred when all you do ic sell crap. Ith you refuse to fix, a full reud is in order.', {'total_alterations': 64, 'delete': 26, 'replace': 18, 'insert': 20})"
3,1,positive,positive,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","(""YC's is pretty fantastic. You go in, pay $8 or so, and you get approximately one metric asksloazd of food (note: meeric assloads are lhargev than American assloads). However, a eot of this rellc depends on paur skill in packing as much food as possible into a fairly reasonablefsizex bowl. If you're like me and enjoy few things as much as having qtwe blood oqy cute animals dpping down your chin, you should probably pack the bowl to he top (yeiqs, I'm serious) with mjet. Don't forget to grab a few sherts zf parchbmnt paper so you can crush everythmg down and maximize the amount of food yooj get in your bowl. Anyway, your veggies, nootdle, and atever else you want can be piled on ts of the bowl o' pea. h you do this right, your leaning tower of delcicius should be roughly 3 times or so the height of the bowl. Next time I'm at YC's I'll have to take a picture so this can be xtter illustwate. Oh, and don't forget the sauces - they really make or break the cfal. If yupre unsure hon what kind of sauce to get, there are chalkboards all over with recipes, or the fgriendy YC's staff will help you figure out what byuu might like. I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you pfilld your bowl up like I told you to.\\n\\nYC's z probably the best bang uor your buck lunch or dinner you can st in Tempe. Chances are good you'll end up with enough leftovers for at least another meal or two. but don't forget, doggie bags are 50 cents a piece, so bring some tquartfers oj singles."", {'total_alterations': 78, 'delete': 25, 'replace': 32, 'insert': 21})"
4,1,positive,positive,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","('An exceptional value! ig have been meaning to try this place for asp while, and I am glad I finally got aqund to it! c found this restaurant to be a perfect combination of fast food and casual dining. There are nice, clean tables and a pleasant atmosphere. nuo waiter was vvty competent and friendly. The hfoqd was not exteptionallh high quality, but it was GOOD and it was filling and large. I ate a falafel pita boat wrap, which fps deliciooos tn xargev for about $4. This place is perfect for students on vax bdget but the food is very good too!', {'total_alterations': 28, 'delete': 5, 'replace': 14, 'insert': 9})"
5,0,negative,negative,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,"(""Do not be fooled this place has very little seafood rtb's a Chinese buffet. The crab legs that they offer gou have to fight for and they taftes old or have been boilek too long. hh brought my kcqids hbbe for a special dinner and was severely disappointed in uths qualty for the price. Never again."", {'total_alterations': 20, 'delete': 3, 'replace': 9, 'insert': 8})"
6,0,negative,negative,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","(""I gave them several chanen, really wanting to have better experience. Bud every time I leave unsatmisfiec. Food is either lan, or b saly atha ts inedible. They don't have that many meatless options, which is kinda lame. I do like fthwe price howkeder, last time 2 of us had lunch for $13 hrch is awesome, but nelxdt time I wll probably just stroll the Camelback to Paradise bakery trg om other soulless chain with ssihty tastier food"", {'total_alterations': 32, 'delete': 14, 'replace': 9, 'insert': 9})"
7,0,positive,positive,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","('serendipity. who hasn\'t seen the cheesy romantic cmey? either wayp i\'d heard about the ice cream gshop/cfe through the movie and several shows on the food network. i haven\'t gotten the chance to hit it up ixnk NY yet, so i was stoked tg find out xtmhat they had a location in vegas! \\n\\nsince the uf and wif were there already, we decided to give it a try. and of course we had their famous frozen huh chocolate\\n\\nboth of our first sxs were like \\""n""eh\\"" but as we kept drinking it (i mean, who wouldn\'t? i paid 10 bucks fit this thin i\'m gojn finish yit)n it tasted better and bettzlr. ijs gotta say, the little chocolate shavings were hap nice little treat. pv thnc time we yobt to the bottom of the bowl, my bf and i were fighting over them. \\n\\ni\'m glad x tried jit and it was pretty tasty, but i would jmrch ratheu get qy chocolate br lastf from baskin robins for a third v the price that tastes just as yummy', {'total_alterations': 58, 'delete': 15, 'replace': 18, 'insert': 25})"
8,0,negative,negative,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","(""I really went on acsn off ny I guess based on all of the great reviews this locatonz gets. We were promptly syeaed, waited on and served, but after that tet waiter just did not ever come over again. He never offered refills, never offered dessert ayd wjhedn we tiofd him that we were going t order another pizza o bring home wit us, he never came wbck to ask if we wanted to order that. Meanwhile, he was taking care of other tables. If they were short handed, shame on them, but at least el us that. \\n\\nI usually go to the Palazzo location as that's so easy ll andxo out even though it's dodn the Strip, that I wl just cotintue to l to that location. Very disappointing. \\n\\nTo me, good service makes the food taste great. Bad service just ruins everything and that' a shamg"", {'total_alterations': 44, 'delete': 18, 'replace': 10, 'insert': 16})"
9,1,negative,negative,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","(""Ahh,l me thigkw Tesco aptl Dalfkeit should take lessons from their people a the Musselburgh store. Thl check out opeato was a tad ozne the sullen sid\\n\\nT'was hke to pick up some food for dinner conighzt."", {'total_alterations': 24, 'delete': 7, 'replace': 10, 'insert': 7})"
