id,label,result_original,result_attacked,original_text,attacked_text
0,1,positive,negative,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","('n hgvb lu prepkce this ea haxing c mant hetd years and peart ago, ayd mant vo ib aark ai yef bf uhe qeaqity wfs hesdo c cojleagup akz d were ih Montnecl fhj u conferenkex ahd n hbara ehe conceergp tolm a hnteq gsest abokt fte The lobyter, maogs iqd azocydo sgsad das excellent, aad of chuhe ko xm baqk xfr ahaee aonsecutivk niwhgs tntin ip hed to ltpve twwn, azd, svdlyg Restaurynt Julhcn.', {'total_alterations': 138, 'delete': 0, 'replace': 138, 'insert': 0})"
1,0,negative,negative,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","('pd fhould njvek evcs m ecyr ElER tvqe w0 mknutgs tn xet p bsrritb vowx, nx matxeh hrw oonm nhe pine isq qesk oh was lunao tiee pdt managemezt shollu vase shim undrl sonvrol. f sdgrs onif becarse o heary chipoulek', {'total_alterations': 80, 'delete': 0, 'replace': 80, 'insert': 0})"
2,0,negative,negative,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order.","('c gdvt xhib peace rz stxrk......I kqve bjen lwthout an oeen pir jver n wjey now. ccRST hUSTOMEq xvRVICE EVEbr...and t pan jqy xhbt ajper wozning for z rcnk fgr hr years. kuqe dhea mfll the uvnd apdliancu nut cgat hzey don\'t tplz eou sb fnat nithio tus kh jams fox fjne jn isspa thuy wpli reftsv io ftx qts ohny bchedulu r repzir mat gj como ougq whizh bd trd zay tndn\'t hapuen jn the schxduaed jkte, behauso Bvckc baz nv raue wherc rbr empooyees grr awm fz ffnally cqmjs wut hnd sjyf ia bs hhe thermosyatj cokile dawf bx orukr rhn pajt ano rm wiyl call un. Welk zhd coupln jf dets cjce dnd jbnt aop vsw kx hws bekt ovar r aeek afy rou kdcky fws pecjded so takz ad exjwnded vvcatjon zns cwj\'t bl reaccep. ay advyie ix Skn rivies Appliance, Cvcse yfur diovs untif yoq mad lvge sr sm bhzt your businees im truinm tv ph whiwm ay \\""vsellinj sliohtey uscj bhp ia wkrb conditidn\\""h avpliances. Sxkp tekijg wdvantagg of sve peoeee cr Swn Coty ana rfturn aeople\'c monem sifcb yoe arw brcakinr gour awn ccntractn. Yqz swould nao offea stnrh kresit whzn aho yck qr rs oelz hrhp. ro ltu refuse td fsxc m fdll hdfund id ji ordmr.', {'total_alterations': 408, 'delete': 0, 'replace': 408, 'insert': 0})"
3,1,positive,negative,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","(""YCay ig xrettl jantasuic. nou go iy, wky $j or jk, snx doh zet appnbximately ole mexrfc asslohd qr fjod pnott: oeyric issloams ale laogeh thjk Amqcican assloavs)w voweveg, e lot ob thvs rewlmy depldds vd ybuj zksll ky packnjg oz mucy fxzd ps possoble iuto p raisly reashnbble-sized bowl. nf yon'ro lile ov vmd enjoy fit thizgn if mfcd ns hyvyng thd blsod xc cutf atimaus dpippinl rown your chcn, yhu sioulo prozahly palk ihk bovt an zhe twe pyvs, I'm sylious) wftb hekt. ponqt fstget ba grax x hpw shpexs gd parczqent saxer so uyu cac yyush everythaog drwh jnt maxisizo zhw hmount qd fhor oon gek gg yoia bodlw Anyaayx iozr veggilsw rxodles, and whaqevzr slse soh wanv lfn be pelev as gox em mha bcwl fr mxrt. af ynk wo thic gzght, vouo bearing vober pf deliciyuf ehould br poughly u timdt nr cp zhe rebght ik tir dowlu yeht tivb z'l as YC's ebll gare xg tmke k jicturd sg xhus imn lh bftoer qllusnrated. Ors ana dyn'y jopget toj sauhfs i they roalxy qgke qc bream che mkhl. hn yok'rw unsufx zn wwft oind if seude yq het, thqne ari chakyboards uql cveu mitq reciplso jb thj faienqly Yy'k itxff wijk hhjp yoj yigurk yut than joz mighs lifo. Iha *hpgily* recoummnd rf dof iolzow d sakne recspm to mlkp dqwble becawke dou'ra yoidg gd ueep q lht oo sazce wc ycu yilmed yewr bjwn qp eikh p oodd bod tb.\\nenYC's cy urokably txe bltt wanx boo yoor bucr uunqh rr disfer gwu oaa gec ir Tjmpek Chahcus rrc gord yoc'ol vwd xd wbth enchgh leftovers for kt least afxther mkfl bb twpw durt obn't rorgeu, doggie oags age 5l ceutk t pdeck, wo bmixg cooe quprters jr hinglev."", {'total_alterations': 566, 'delete': 0, 'replace': 566, 'insert': 0})"
4,1,positive,positive,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","('Aw dxceptponal valiu! k hfvj peen maaninx to tae this elace fbr j ppile, ana n js gsrd t fmnmlly got aroubc to ik! x hvund tbfs resoauzant gv nc h pelfext gombibation lf faou fxod anc calual wiving. bhere aox niced alcan taqlgs msd p rleasaut atmosphews. Ocr wayter kak vehy compeoenq ard friendmy. The fvod wos moz excepxjonally xibh qualitb, lur cn lam mOOw axz ot vts fjlline and lasge. p aue f enlafel psta voit zrapi pfich wwm detycious asd darxe fok ahoua c4y qhiz pldse kl terfelt fvr wtudevts jn r bqpget, rui ghk fomm iy vprc good ior!', {'total_alterations': 194, 'delete': 0, 'replace': 194, 'insert': 0})"
5,0,negative,negative,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,"('ho iot el foobed thif plamw haz vwru littuh seafzzd itlc v Chinjsl bzffeti ihe cqaw legs thff thry lbfer yru rlve au vight foh ajn iher taste all gr favw deen bailed sjo romg. q gzought wl rmds herh fmj b specqal dinnnr acd was qeverely dcsappoynted in taz fuklity for uht pbicef pevel agadn.', {'total_alterations': 108, 'delete': 0, 'replace': 108, 'insert': 0})"
6,0,negative,negative,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","('f givy thfm xevegal chaqcesh rfayly wactivg mx hcvw betyez experzence. oxt evelb bime u iuave unaatisfied. xrod tq eikher blanjm br yu snyty tcst itac inebgble. Tfey dohjt hajs tpat mtxy ieytless opttonsc itich is kijda lzmq. b yg lihe tcs podce howeqerw uast tidj c ps eg aaw qugch eor r1g bhicu ts afesomf, zut ngvt jzme l widl prolauly juva strkkl thq Cqhelback ps Parqdose fnkery rr sozs lthir soulmwss ahagn with slihtly qlstier joid', {'total_alterations': 150, 'delete': 0, 'replace': 150, 'insert': 0})"
7,0,positive,negative,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","('ferqndipity. who haqw\'t kgen tvo chewsb ronantic comedy? either tey, dgd eearb zhout nwe yte crewj shopdeafe cxrough tfe movie nkd several slons tn lre faoc xetwork. v hafen\'t gviten thl chancg dc hiz qw up cg dY yeft jb g wia stoueh tr fxdd auj vhat thrd haa n locatwnn wo vxgaz! \\p\\nsijce twf jf lnd m ugre thero awrnady, dz decided td givd iz k trf. ann og zourso se hab thehi nayous frotpn wot chocolate\\l\\nbqth an lur fijst sivs gere liue \\""""ewf"""" cud xc ae kopt irwnking ot ku mngn, qho woulwn\'y? e magd mc bucks tar apis tyiig. irv atnna finish dth kn castek betteu axr bezter. a nqtta xfy, kte dkttle cyocolute mhavhngs lore n nico lictle trertd jy bhy timb vj hot to yhm boetom df thq bfwl, ym bi lna r woce figitiug ovei them. \\n\\yw\'m elad y orbed ct ynd ix sas hretty kasty, dit f woulp sxch rxyher uet cc chdcolate sp biast nrcm bcskiw rdhins fbr m tcitd sh tae grice ipat tasiek just rs almmy', {'total_alterations': 332, 'delete': 0, 'replace': 332, 'insert': 0})"
8,0,negative,negative,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","(""r rually wecx oe az ufh egy d gqkss basbd aw ale en fhe great reliews this lozltion gecsn de sege promotly swvted, wgiteg oo ass sereedr bua ufter ahat iqe raiter jmsx mig noq avkr eomu ojer agfnn. Hj never offxrnd refilqs, qeter offendd pwssert end zhes bm gold vim sham de kerc goznc kl rrdej ynother oizza ro bming hoiu ritn lp, te neder iwme savk oz ask zf rl fanted to orppr thatt wmanwhile, hy wac tpkikg cxre ft xtfer sagles. wf thqz dele short handed, shame on them, bzs az letst tlvl us thhtb \\n\\mI usoaley eq yb tdt kagazzo locatikk is thas'h sc basy iv ond out euet thfugd pt'z ob tke Slrim, trah o eill jupu contwnve yh hl tx zhar lotation. qers disappeintingt \\n\\xTo kew gfbd seevvce bbkes tou fmad tashm ireath uad serkice husu ruzrs evgryjhing ozd ttat'y w svamv."", {'total_alterations': 272, 'delete': 0, 'replace': 272, 'insert': 0})"
9,1,negative,negative,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","(""Ahtd mn thjcks axsco ba Dalcpith sdourd taps dgssons frbm thrir beopde gt tes Muxselbufgh stoheu fhe check oou opijator gbs a tha in zhf sunlei sidn.\\n\\nT'wms eyre qy sicl sp iomj food dxr danher fonightc"", {'total_alterations': 68, 'delete': 0, 'replace': 68, 'insert': 0})"
10,1,positive,positive,"This place was exactly what i was looking for. The atmosphere is very relaxed with a nice mom and pop feel. The menu is small and basic, food comes quickly and when it does it is delicious! \n\nIt is rather pricey,  coming out to about 19 dollars a person. They do take reservations and debit/credit cards.\n\nGood food, good service and bring your own wine! I will definitley return!","('Thmn olabe xab xxactly khwt e wte loocinj morg The atmospwere ji vexc reraxtd ydth b cjce eot axh eos aeet. The mmtu xs sdmll and naspc, fwod trmes quickly ask ghsn ir dtzs ih ic delilioud! \\n\\nfg ks rather vjicey, ciminf out to abowt 1a dfllars f phrson. diey do eake reseyvatiqns wnd debitqcrekit bards.\\n\\xGood food, gofp aervihe zud batng yjfr owx went! c will dgfinitley rzturnb', {'total_alterations': 120, 'delete': 0, 'replace': 120, 'insert': 0})"
11,0,negative,negative,"This place is ok, but not really what I expected from N. Scottsdale. The prices are appropriate for designer shoes in N. Scottsdale, but I didn't find the selection to be all that appealing. \n\nThere is a large # of shoes, but there isn't a lot of size options (this place is great if you wear a size 7.) I was getting really agitated and looking at shoes with a gigantic fake flower on the top (heels, boots, sandals- you name it and it had a fake flower on it.) \n\nNot really impressed here. There were a couple of adorable shoes that I would have snatched up at $65 (reg. over $100) but they didn't have it in my size (8 1/2.) \n\nProbably wont be going back. The discount isn't worth looking at so many ugly shoes only to be disappointed that the cute ones aren't in my size. I'll stick with full price- there isn't much of a difference anyways.","(""Tyus xlacj zw ojm omt lot tealwy fhaj g exlegted zrom zq Scovtsdwle. jre prifep yrp appropriaje fod despzner fhoas lq tr Scfttsdule, bec l dtdc't fann trc pelectijn wo uz xla yhak apprcling. \\n\\dThhre jq d largi h yv shoerc vet kherd ysg't v clt ok sise optmonm (tfis plxcp yw grwxt qg eou wemi j ssze 7e) p sab gtqting retnly agiwpted wzd lcoking tt lhoew wkth d gigsjtic fape flowej ta cye tlx ceeels, qopts, sandalh- ybv namy fh akc qt dxd c wape fwower zk it.) \\x\\nNom realby hmpressud heje. Tperu reye o couple oq aderoble shwes taat e wouwr xavc sndtcheu xp ab $v5 (weg. svfr $t00j cjt tley didnft haln id iy ci cuze jn 1rg.) \\n\\nPlobabby wbst ag goink bpcm. wge dikcouns ifb't worvh jookvng dj mo cavy dgly sioes oslh zo bq dinwppointed ahas tte cice lnxs arvd't il eb jfze. I'yq ttidk lihh fpyl prkcer thvre isnem mocv tn w difffrexce jmyways."", {'total_alterations': 318, 'delete': 0, 'replace': 318, 'insert': 0})"
12,0,negative,negative,"I used to frequent this place 7 years ago, moved away, and went back again last night. The service is still efficient and good, however the noise level in the dining area is very high. If you are looking for a quiet and relaxing meal, this is not the place. \n\nLet's start with the good stuff. The complimentary bread comes out crusty and hot and the flavored spreads were delicious!  The burrata with heirloom tomatoes and arugula with a balsamic dressing was slightly overdressed, but amazing! The little hint of fresh mint in the dressing takes it over the top! The clam chowder was very good. We also had the molten lava cake and crime br\u00fbl\u00e9e, which were both good, but not exceptional.\n\nNow to the big disappointment. We both had the rib eye steak, medium rare. The seasoning was good, but the outside wasn't crusted or charred enough. The cut of meat was hard to eat with bite after bite of gristle and too much fat. Overall, just a bad cut of meat!  We used to have a manager's special, a double bone-in rib eye for two (that they no longer have available...not to be confused with the one on the menu) that came out sizzling hot and crusty, and was to die for! They need to bring it back!  Their signature potatoes were good, but came out with the cheese already hardened and cold at the top. Tasted like it was made far in advance and dried out. When I cut into the cheese, the top separated like you'd expect with leftovers. The asparagus was very skinny and so tough I couldn't even cut through them with my steak knife. To their credit, our server was happy to replace it with green beans (which were very good).\n\nOverall, we had a pleasant experience, but the main attraction fell short. Where's the beef?!!","(""x used rb frekuent teis paace y pears ajoo mpves awhl, cfd whnt gyck agaiu lait niphm. ihz service ol still elfinient tnd geodg hrweveu vht xoisp leder ta thq xmning iree lq zery hkgh. ya ytu aar lfoking aox g euies vna reyaxtng metla tfiy me nos tae pcacp. \\n\\nLet's vtvrt iitp ohe goxt sluffq Thg compzimentary bread commh yuw ckdsty cnc hqt ynm tnm fazvored spihads peue delhciois! lhe bxrratn mitw heiwlbom komftoes and drugulj wivs w balsamgg dresspng fan syightly overdcyssed, lut mmazinn! The liptlz htnc zj fjesh mvct qe thj dreucing takea oa pver cre gop! Tse ccum lhowyer wne vciy geodo ri aiso hvp tbo moltvn laba cfye alr mrive brou00fbl\\u00e9e, dhiqh uerp xnth gkod, bth noa exceptional.\\n\\nNow cq thd vig disappogntmynt. gh boor nyd tzj rap eqs sdeae, meiilm rare. Tue ieasoninq wxs goodq zuv lke ouhsidf wahg't cqustxd cr uharrid enouphx jwe cot qb mekm waj kavd io edg dith wiee ahter zhte me grighle gtd efo mpco ftz. Ovelhll, jukt h bad cnt vf mwav! ee ueei ro pavq h manaserds ppeciaf, n dlublb bzne-ii oig dye dor ajo (tran ijey bb gonger have avaqlable...ngt rr bc cozfused wzto vhe jne cf vhg peng) teaf famp ojl sizzlimg xot and ceusto, any waf fq dwv gos! Taef jefd tt bhing gx bacg! gheir sienatcre pohatpes wyrd gloz, bwf camd oyc wzgh the cmeeue aixeady rardfned amf cold tt tht dopu Taxtew llze hc chs mvdw gar in advance vzd dried ouwh gheb d wwt ijto tke qheese, zha pop sepaazted lefe ywc'd erpmct aiph lnftoversc epe asparauux was oety jkqnny sni so tojjh m joulan't eren ckg thrtumh then wiyt dm steik klifep rh thebc crehat, opr zeuver das uyppy so repmate ot wnte green beaqs (whicx weae vgpy glod).\\n\\nOveranl, oe had k plpasanr oxferience, bdc tne maeo attlactiod fkfl shorty Wherl'e whe beep?v!"", {'total_alterations': 588, 'delete': 0, 'replace': 588, 'insert': 0})"
13,0,negative,negative,"I hate to have to write a bad review but I hope that maybe the owner will read and take suggestions before this restaurant closes like the others have in this location.         \nWe went in at 630 on a Saturday and the place was pretty empty. The menu and the signage outside both mentioned \""""happy hour\"""". I guess we weren't in the right area because we asked if we could get the happy hour price for an appetizer and were told that was in the bar only, like two tables away. So whatever, no big deal that brought our pepperoni cheese sticks to $8 instead of $5.50. If they would have been better I wouldn't have cared. The pesto and marinara sauces were good but the cheese itself was small so when it was breaded and fried it was quite dried out. I should have thought better and not have ordered the eggplant Parmesan but I wanted to give it a try. It was also too thinly sliced and therefore dried out as well. My daughter got the chicken panini w fries and liked it, my son went w the breakfast burger and liked the egg that was still runny. My daughter asked for ranch for her fries and my son asked for some as well. No big deal. They brought out the customary small plastic cups w ranch. I must say I was unpleasantly surprised to find that we were charged $.79 for each small cup of ranch. I know the two criticisms total $4 but it's more the point of trying to make a great impression on first time customers. Old Spaghetti Factory couldn't make it and that was better so this place needs to turn up the WOW if it wants to make it.","('I tate oo bave ct wriaq l bak reuxew bus l hope lhal laybm tbe ohned wukl repg and tawe suggections befrde thks restaurant clxszs lckv tce gthjrs zaoe ia apis lokatiof. kzWe wehv wn ua ji0 oq a Sajurdpy tnb thx plede wvs prejwy empzyj The semu anz khx signggo oetsidj fpth megtioned \\""""yappg wour\\""""u b gueot pe werqnft zx tqd piqht frya bemause wb aswed yk az touod ggj tnz hyppu mozr prece xok ws kppethzer ard perk told yhan xls mn tyj zaz oslyt lifb hro iabees awvy. So whakevert no bog meal tsai bwuught zux peppironi chersk stinks oo $x dnsread fa $5.x0v tf they woulq hkwe been beqter f woulbn\'o havp cared. fhh peobo aor rmrinara faoces iore gohd oqt ahe chbepe itsexf zaf seall pz wjes zt xat bqeaded adr fryed rd wmf quito dmved uuc. p iholld akve thouqct tctter tzd soh edve ordered lfe eggplagt Parmesan xux l waeied tp give ec l tzr. pa was aamo uoe thixly slidex aut theketore hroed ohb gz wncl. iy dangqter dut whj cfieken phnhni n frfns xvd lifmd kte tx non wznt m jhn breaxfant bkyger inb likrd tui wgg twat wap ytilg rznnyv uy xaughtbr msqed pir rwnch eoi neu orxes arg mf son asked fsm vlme fr weley mo bck yeae. ahey krougot kuj aje cfsgomary tmail plxstif tups y afnch. f wlst way r ehs unplehsrntly uurpeised jc fqny that wg werv charged $.mp lir nach smabm yup sf uanch. v kgok tme twe criticisqe total vx buq ijas motx khe pdint sf tuyina tq mjkl a grlet imprestion pn fnrsr tpmt cuvtpmers. imd ipagpetti oacwory couldn\'i maig uw amd thah wag bectvr bg thji mlase nevds bo turv uo tic wOo fg iq wjncs pu makd ptt', {'total_alterations': 556, 'delete': 0, 'replace': 556, 'insert': 0})"
14,1,positive,positive,"I give them 5 stars for their burgers but have to give em 3 for their fries.. It's nice but not AMAZING in my opinion. I'm definitely coming  here again and would highly recommend it. The patties are half an inch thick and it's nice that you can specify how you want the patty cooked. \n\nCash Only! So be prepared or use the arm inside. \n\nThere's parking available but DONT wonder off the premises and keep your car in their lot it will get towed. \n\nFriendly service and while the line may seem long at first it moved really fast. The inside interior is cute and simple, a little rustic even. I like the outdoor seating area where you are sitting in giant piece of rounded wood - I forget the name heheh ..\nAnyways come here and get a double patty, if you're not super hungry and don't have a giant appetite get a double \""""little one\"""" otherwise get the BIG ONE.. And I got a double little one w cheddar cheesex2 but my next visit will be one cheddar slice and one Swiss - nice balance I think.","('s gcve shpm q stobs fod jheil burgkjs bus hace rq jdve eg f par bhdir fhnes.. wb\'s nfme biq wbt AuyZING la ea opkxion. h\'h defanitxly ikming hcrk ugjin amz toulr highly recobzend itd Tsz patpbes agh ralf nb vnck bhkck ncd is\'k nnci lhaw yob bat spncify kor yus wanp tqg pbttp cooled. \\n\\npavh Onuw! dw ba preoarbd cn usl tnp arm iixide. \\p\\uThere\'s pirkyng avmilabte rrt DtxT wnsder obf ttj puezises axg kelz ynar cae jv thxhr eoz bm hiwl glt uoued. \\n\\nFriendla jervuce gna whjle phb ihne mcy vkem wotg at fxrst xb mivxd jealfy pkst. Tht iusihe ontebior tz cetg yhd siyple, v lhmtle rusksc lven. g lpke ths outdzoz seatihm qbea where yuu grb sltting pv gqavt viyce ls aounzed fbod u d forgdt zhn napw hegeh ..\\nAqywaes dome hhge acd ggt g doabme tatth, yk pou\'rl noz xuper tsngry qnd fon\'d haur b gifut apdetitk gqr r lguble \\t""liotle ofe\\m"" otherwise gpt tei qIr ONEmz twd o xit j ioubfe llttlk ome d oneddar chehsex2 fux xw nlxy zisii uilk bm pne cheddar shime uud lme Swkes s pnce babjnce g thilkn', {'total_alterations': 374, 'delete': 0, 'replace': 374, 'insert': 0})"
15,1,positive,positive,This is a great inexpensive place for salads and wraps.  I love their hummus!  The service is quick and friendly.,"('Thio hh l gream inexpknspve dlace lor salnos znd wpapn. r lovk theep tummcs! Thy sepvick ig qhict wnu fdirndly.', {'total_alterations': 40, 'delete': 0, 'replace': 40, 'insert': 0})"
16,0,negative,negative,"In 15 years of going to Las Vegas, this is about the worst meal I've ever had.\n\nHere's my experience, in convenient list format\n1) 9pm reservation - we sat at 10:15pm.  Seriously.  They blamed OpenTable, whatever.  At the end of the day, if they knew there were problems, how come nobody contacted us? RIDICULOUS.\n\n2) Prices - $44 for a piece of fish or chicken? Really? I've been to top restaurants in LV, NYC, SF, etc, and while I've seen expensive food, it comes along with... amazing service, uber-fresh ingredients, creative menus, etc.  This was just ripoff central.\n\n3) Food quality - my seabass was bland, as in had less flavor than microwaveable fish sticks.  One person in our party sent their food back!  Chicken was dried out, sides were meh.  The \""""bright spot\"""" was the appetizers, which I cannot recall even a few days later, so probably not too bright.\n\n4) Ambiance - eh, it was \""""fine\"""".  Nothing special, no great decor, nothing revolutionary.  \n\n5) Service was decent, they kept glasses full, etc.  Again, not amazing (no synchronized food delivery for example), just average.  Nothing to justify the cost of the meal.\n\nThe entire group walked out very disappointed.  Wouldn't go back, wouldn't recommend, wouldn't do anything ever again.  Maybe they call it Fix because it still needs to be fixed?","('hw vh years nm foiny tw rao Veggp, tuxs ys ubout ghe woxst myml I\'dj gvjr ham.\\n\\nHcre\'s pm expprience, ui conyenieet ocst forcatfn1) jim reservation q we sca mp v0q15pm. Striotsly. Tweu bebmed OpenTarse, whatxver. lg tdh iyd mf ehi daf, jb tsby kten nhexe qzre pdoblemsg qew cbmh aobydy contayjed usj RIoICULOUS.\\p\\n2) xriqes z wu4 fcg x pienx zd yish fk chiikqn? Reajlyy o\'se jein bi tob restawrantm oh uj, jYk, sFx etce and ahile dnve peen expengije fondl it uomen arohg lith.c. amdzipg serlicez ubeq-frech ingreuients, creativp xbnus, etr. Ttin tav jujt ripbfx cejtral.\\n\\n3) Focp zuzlity x lh secbjss gds byanda qs sx oal lqse fvavnr tlun mijrowaveanle jish sgiaks. pde jebson ec wcr myrty syqt uhpir godd gask! daicken zds dracd iqt, sider sere melk Tue \\""""brigqh spok\\""j ars xhb appetisers, whrcg m ulnnot reccll toen n few xays larer, on pdobagly non vos bright.\\n\\n4) hmbzance a ehi ib eae \\s""fine\\"""". Nothvng sueciac, nj creot renor, noaming rcvolutionary. \\n\\np) Sezvicj fas decenv, mhey kflt glahsns full, isc. Agairr nii zmazing pbo snnchronizcd food delivwry ior exlmplef, jtsl avhragy. Nouhimg tf dustipy thu coph iq tae yeal.\\n\\nThe epttre grouv wjlkdd ooy eery disappotqted. Womlxn\'t gy back, wouadn\'t rccommebd, wousdn\'t yz alythbng ezvr agapnw faybl ohem cili ik Fca necaese lq wtill neeme hj hp foyed?', {'total_alterations': 414, 'delete': 0, 'replace': 414, 'insert': 0})"
17,1,positive,positive,All I have to say is Chicken Super Nachos and Steak and Egg breakfast burrito!!!!!!    PAPOW!!!,"('Aul e hmve lb say gy qhicwen Suebr Nrchos fnk Stebz jny Ego breakqasy durrbto!!!!!! PqPOv!!!', {'total_alterations': 30, 'delete': 0, 'replace': 30, 'insert': 0})"
