id,label,result_original,result_attacked,original_text,attacked_text
0,1,done in other file,positive,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","('I hv to preface this by saying I went here years and yea ago, and want o go back o see if the quality has held. A colleague d I were in Montre for a conference, and I heard e concierge tell a hotel guest about it. The lobster, mango and avocado salad was excellent, and e coe to go back r three consecutive nights until we had to leave own and, sadly, estaurnt Julien.', {'total_alterations': 21, 'delete': 21, 'replace': 0, 'insert': 0})"
1,0,done in other file,negative,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","('It should never ever - ever EVER take 30 minutes to get a brrio ow, no matter how long the line is. Ye it w lunch time but management sold have this under control. 2 trs only because I heart chipotle.', {'total_alterations': 12, 'delete': 12, 'replace': 0, 'insert': 0})"
2,0,done in other file,negative,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order.","('I give this place no sar......I have been without an vn for over a week now. WOR CUSTOMER SERVICE EVER....and I can s that after working for a ak for 18 years. Sure they sell t used appliance but what they don\'t tell you is tt within the 30 days you find an issue they will refuse to fix it. They schedule a repair man to come out, which by the way din\' happen on the scheduled date, beuse Becky has no clue where her employees are at. He finally comes out and says it is the thermostat, couple as to order t rt and he will call s el the couple of days came and went and now it s en over a week and now Becky has decided o take an extended vacation n ca\' be reached. My advise to Sun Cities Appliance, los your doors until you can live up to what your buines is trying to do which is \\""seling slightly used but in work condtion"""" appliances. Stop taking advantage of the people of Sun City and return people\'s ney since you are breaking your own contracts. You should not offer store credit when l you do is sell rap If you refuse o fix, a full refund is in order.', {'total_alterations': 52, 'delete': 52, 'replace': 0, 'insert': 0})"
3,1,done in other file,positive,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","(""YC's i prty fantastic. u o in, pay $8 or so, and you get approximately one metric assload of fd (note: metric assloads are larger than American assloads). However, a lot of this really depends on your skill in packing as much oo a ossibe nt a fairly reasonable-sized bowl. If u're like m and enjoy e things as much s having the blood of cute animals dripping down your chin, o should probably pack the bowl to the top (ys I'm serious) with eat Don't forget to ab a few sheets of parchment paper so you can cru everything down and maximize the amon of food you get in yu bowl. Anyway, your veggies, noodles, and whatever es you want a be piled on top of the bowl o' ma. If you do this right, ur eanig twe f delicious should be roughly 3 times or so the height of the bowl. Nx time I'm at YC's I'll have to take a picture s this can be better illutraed. Oh, and don't fget the sace - they really make or break the meal. If you're unsure on what kind of sauce o get, there are chalkboards all over with recipes, or t friendly YC's staff will help you figure out what you might like. I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot o sce if you flle your bowl up ik I told you to.\\n\\nYC's is probably t best bang for yr buck lunch or dinner you can get n Tempe. Chances are good you'll d up with enough leftovers r at least another meal or two. Just don't forget, doggie bags are 50 nts a piece, s bring some uarter or singles."", {'total_alterations': 81, 'delete': 81, 'replace': 0, 'insert': 0})"
4,1,done in other file,positive,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","('An exceptional value! I he been meaning to y this place for a while, and I m la I finally got around to t I found this restaurant to be a perfect combination of fast food and casual dining. There are nice, clean tables and a pleasant atmosphere. Our waiter was very cmpeent and friendly. The food was not excepionaly high quality, but it was GOOD and it was filling and large. I ate a falafel pita boat wr, which was delicious n large for about $4. This place is perfect for students on a budget, but the food is very good too!', {'total_alterations': 17, 'delete': 17, 'replace': 0, 'insert': 0})"
5,0,done in other file,negative,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,"(""Do not be fooled this place h very little seafood it's a Chinese buffet. h crab legs that they offer you have t fight for and they tat old or have been boiled too long. I bough y kids here for a special dinner and was severely disappointed in the quality for the price. Never again."", {'total_alterations': 10, 'delete': 10, 'replace': 0, 'insert': 0})"
6,0,done in other file,negative,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","(""I gave te several hance, really wanting to have better experience. u every time I leave unsatisfied. Fo is either bland, r o salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of u had lunch for $13 which is awesome, b next time I will probably just stroll the Camelback to Paradise akry or some other soulless chain with slihtly tastier food"", {'total_alterations': 15, 'delete': 15, 'replace': 0, 'insert': 0})"
7,0,done in other file,positive,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","('serendipity. who hasn\'t seen the cheesy romantic cmedy either way, i\'d heard about the e cream shop/cafe through the movie and sevel shows on the food network. i haven\'t gotten the chance to hit i up in NY yet, so i w stoked to find out that they had a location in vegas! \\n\\nsince the bf and i were the already, we decided to give it a try. a of cose we had their famous frozen hot chocolate\\n\\nboth of our first sips were ik \\""""eh\\"""" b as we et drinking it (i mean, who wouldn\'t? i paid 10 bucks for hi thing. i\'m nna finish it) it tasted bttr and better. i gotta say, h little chcolat shving were a nice little treat. by the time we got to the bottom of the bowl, my bf and i were fighting over them. \\n\\ni\'m glad i tried it and it was pretty tasty, but i would much rather t my chocolate br bst from baskin robins for a third f the price that tastes js as yum', {'total_alterations': 42, 'delete': 42, 'replace': 0, 'insert': 0})"
8,0,done in other file,negative,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","(""I elly went on an off day I guess based on all o the great reviews this location gets. We we promptly seated, waited on and served, but after that the waiter just did not ever come or again. He never offered refills, never ofere dessert and when we told him that we were going to order another pizza to bring home with us, he ver came ac to ask if we wate to order that. Meanwhile, he was taking care of other tables. If they we short andd, shame on them, but at least tell us that. \\n\\nI usually go to the Palazzo location as ta's so easy in and out even though it's on the trp, that I will just continue to go to that location. Very disaponting. \\n\\nTo me, good serce makes the food taste great. Bad service jt ruins everything and that's a shame."", {'total_alterations': 29, 'delete': 29, 'replace': 0, 'insert': 0})"
9,1,done in other file,negative,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","(""Ahh, me thinks esc at Dalkeith should take esson fo their people at the Musselbug store. The cck out operator was a tad on the sullen side.\\n\\nT'was he to pc up some food for dinner tonight."", {'total_alterations': 14, 'delete': 14, 'replace': 0, 'insert': 0})"
