id,label,result_original,result_attacked,original_text,attacked_text
0,1,done in other file,positive,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","('Iue have ztio gprefsace tthiis by sbayinpg I went here ylehars and yeagrxs ago, and want togg go back to see if ftzhe quality hajsr held. A colleague and I were in Montreal for a conference, and I heard yther concierge tell a hotel guest about it. The lobster, mango and avocado sialpad was excellent, and we chose to go back for thlcree consecutive nisghtst until wbce had ttod lljeave toywnh, and, sadly, Rezstauralnt Julien.', {'total_alterations': 38, 'delete': 0, 'replace': 0, 'insert': 38})"
1,0,done in other file,negative,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","('It shaqould never ever - ever EVER take y30m minutes to get a burrito fbowl,l no matter how long the line is. Yesv,o it was lunch tvifme but management should have this under control. 2 stars oenlyx because tbI heart chipotle.', {'total_alterations': 14, 'delete': 0, 'replace': 0, 'insert': 14})"
2,0,done in other file,negative,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order.","('I give this place no stars......I have been without an oven for over cah week ndow.t WORST CUSTwOMgER SERwqVICE EVER....and I can say that after working for a bank for 18 years. Sure theyrt sell tshme ugcsed appliance but what they dopn\'vt tell you is that within the lu30 dateys you find an ibszsue they will refuse tezo fix it. They schedule a repairrz man to come out, which by the way didn\'t happen odnx the scbnheduled date, bercausde Becky has no clue mwhebre herko employees aredw at. He finally comeiws out and says it is the thermosrtawt, couple days to order itwhe part and he will calzhl us. Well the couple ofcn days came eaynd went and now it has beennj over a week and ncowr rBercky has decided to take an extended vacation and can\'t be reacbhejd. My advise to Sun Ccitiesm Appliance, Close your docorse untislb you can live up to nqwhat your businespis is trying to do which is \\""""sexlaling slightly ucsevd but in waorrk condnitdion\\"""" appliances. Stop taking advantage of the people owvf uwSun City and return people\'s money since you are breaking your own contrapicts. You should not ocfferf store credit when all youxx do is sell crap. If you refuse to fix, a full refund is in order.', {'total_alterations': 86, 'delete': 0, 'replace': 0, 'insert': 86})"
3,1,done in other file,positive,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","(""YC's is pretty fantastic. You go in,fd pay $8 or so, and you gmeti approxyimatelyq one metric assload of ifoodv (note: metric assloads are larger ithaan American assloads). Howevelrt, a lot of this really depends on vdyour skill in packing as much fooksd as possible into a fairly reasonable-sized bowl. If you'rtee like mexq and enjvhoy few thwinfgs as much as having the blloocd of cute animals dripping down your chin, apyou should probably pack the bowl akto the top (yeys,r lIk'm serious) with meat. Donn'nt forget to grab a few sheets of parchment padpera so yoghu can crush everything down and maximize the amount of food you get in your bowl. Anyway, your veggies, noodles, and whatevderl else you want can be piled on top of the bowl o' meat. If hyyou do this right, your leaning tower of delicious should be roujghliy 3 times or so the hepightt of tunhe bowl. Next time I'm at YC's I'll have to take max picture so this can be better illustrated. Oh, and don't fosrgmet the sauces - they really make or break the meal. If youc'rei unskurep on what kind of sauce tpuo get, there are chalkboards all over with recipes, or the friendly YavC's staff waihll heklpm jyvou figure out what you qmivght like. I'd *highly* recommend if you follow a sauce recipe to make doubpley because you're going to need a lot dqof sauce if you filled your bowl up like I told you to.\\n\\nYC's is probably the best bang for your buck lunch forr dinner yzotu can get in Tempe. Chances are good you'll end up with enough leftovers for at least ankdother meal or two. Just don't forget, doggie bags jaire 50 cents a apieche, sqgo bring some quarters or singlesje."", {'total_alterations': 88, 'delete': 0, 'replace': 0, 'insert': 88})"
4,1,done in other file,positive,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","('An wexceptionhal value! I hzavue been meaning to triym this place foyrr a while, awnfd I am glad I finally got around to ita!f I found this restaurant to be a perfect combination oezf fast food and casual dining. There are nice, clean tables and a puleaosant atmospherle.g Our waiter was very competent and friendly. The ifxood was not exceptionally high quality, but it was GOOD and it was filling and large. I ate a falafel pita boat wrap, which was delicious and alwarge for about $4. This eplacye is perfect for students on oar budget, but the food is very good too!', {'total_alterations': 26, 'delete': 0, 'replace': 0, 'insert': 26})"
5,0,done in other file,negative,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,"(""Do not be fooiletd this place bthas vepryu little seafood iot'cs a Chinese buffet. The crab legs thatti they offer you havegf to fight for and they taste old or have been boiled too long. xcI brought my kids here for a special dinner and was iaseverely disappointed in the quality for the price. Never again."", {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
6,0,done in other file,negative,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","(""I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either blaxknd, or so salty that ift'se inedible. They ndon'te have that many meatless options, which is kinda lame. I do like the price evhowever, lastzh time 2 of us had lunch for ar$13 which is awcesxome, but next tizmen qyI will probably just stroll the Camelback to Paradise bakery or some other ssoulleszs chain with slihtly tastier food"", {'total_alterations': 20, 'delete': 0, 'replace': 0, 'insert': 20})"
7,0,done in other file,positive,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","('serendipity. who haxsn\'it seen the cheesy romantic comedy? either way, i\'d heard about the ice cream shop/cafe thwroudgh the mopvnie and sezvferal shlokws on the food network. i haven\'t gotten the cphancle to hit kiet up in NY yetxm, so i wyass stoked tyog find ouvtw thwawt tyghey had a location in vegas! \\n\\nsince the bf and i were there already, rwme decided to give it a try. and of course we had their famous frozen hot chocolate\\n\\nboth of our first sips were like \\""""eh\\"""" but as we kept drinking it (i mean, who wouldn\'t? i paid 10 bucks for vthism thing. i\'m gonna finish it) ictf tasted better and better. i gotta say, the little choamcolate shavkinggs were a nimtce little treat. by the time we got to the bottom of the bowl, my bf and i were fighting over athaem. \\n\\ni\'m glad i trcifed it and it was pkcretty tcacsty, butco i would much rather get my chocolate br blast frjosm baskin robins for a third of thyue price tqhatz tastes jutmst as yummy', {'total_alterations': 56, 'delete': 0, 'replace': 0, 'insert': 56})"
8,0,done in other file,negative,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","(""I really went wonn an off day Izz guess based onca aklgl of the great reviews this location gets. We were promptly seated, vwaitewd on and served, but after that the waiter just did not ever copfme over again. He never offered refills, never offeredqw dessert and when we told him that we cgwere going to order another pizza wcto bring whomee swwith us, he never hcambe back to ask if wegn wanted to olrderu that. Meanwhile, he whasr taking care of wfother xtmables. If thueyx were short handed, shame on them, but at least tell us that. \\n\\nI usually gwor to the Paljazzoo location as that's so eweasy in anzdg out even though it's sonq the Strip, thatao I will just continue to go to that location. Very disappointing. \\n\\nTo xmfe, good service makes the food taste ogreazt. Bad service jusstj ruins everqythinwg and that's a msfhame."", {'total_alterations': 58, 'delete': 0, 'replace': 0, 'insert': 58})"
9,1,done in other file,negative,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","(""Adhh,p imej thinks Tesco at Daplkeithw jeshould taqkbe lessons from their people at the Musselburgh store. The check out operator was a tvcad on the sullen side.\\n\\nT'was thelre to pick fuhp some food for dinner tondiyght."", {'total_alterations': 18, 'delete': 0, 'replace': 0, 'insert': 18})"
