id,label,result_original,result_attacked,original_text,attacked_text
0,1,done in other file,positive,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","('I hnvt wx lfeface this zk sayjng g wune ipre years ajd yelrs ago, and wvnl to go back sm seg fm thp doality has hebo. A colleague zng d wmry in Montketl hov m xinference, ydd I heard the concigrge tqli w hotep gumst about dtn Tbe lobster, maagc old avocado saoaj was excellent, asi wt chose jc go back fer three cmnsecutide nights uftiu ne kar ly leave tbwb, and, saklm, Restaurant nulienp', {'total_alterations': 94, 'delete': 0, 'replace': 94, 'insert': 0})"
1,0,done in other file,negative,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","('nc should nevsj ever z pvnr dVER yakm q0 minitex tp alt f bnrrito bocn, pg uatter how lank tee litp id. Yws, it sns lunch liie bud management ahopld njve vhii under control. j stauo vnlv because j heart chisotte.', {'total_alterations': 62, 'delete': 0, 'replace': 62, 'insert': 0})"
2,0,done in other file,negative,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order.","('b zive qhia hlacr xh atars.....sI hgvq been wnthout vn odel fow over u week aowe WORSt CUSTOpEu SERVvpE EVER.s.rand m cnn say dwat afzar workfng fdr t bank roe 18 nearsw Sure lhby pepl ahq tseq axdliance muk what dheo uonht ebll yoa is that lithiu sve e0 dayh iiu find tn issue thxy aidl refoke tf fix iol They scbedmle c nepaiw man uo cobe ousz whicl by trd way nidd\'t haqpei qx the schednred dxte, bbcamse Bgcka has nf csuz whjrk hjr employees are at. He finella comes tut mnp says ip ew the tgeroostat, couple dayf eo vrdkr whe caxt and he wnlg tull msj xsll the cowple oo dapq camj ygd wznp and onw dh hrr beev sler o week agw now Beikv aas delifed to taae ah extended vacation tnh cab\'t be heaqhed. xy advyse tr gen Citdef Apsmiance, Cpote ypur doxrs uptii yqu can liqe jk to fhat yglr kasiness ih tzyisg tg rb dhicr bs h""""sellsng snigrtly used xuv in aord jonditiont"""" appliances. Stul takhnl auvantyge yc chu pecple oe Scn City and rltnrn people\'s foneq since mqu nrc brzakung youw own contracts. jou should not bfxer sxnre ckndit vsen aml yom do is seaw crape yx ygu refush tb tixp d jill refuhd gs ym order.', {'total_alterations': 328, 'delete': 0, 'replace': 328, 'insert': 0})"
3,1,done in other file,positive,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","(""YC'v fd pretty fastastix. dot go iiy pfz $r aq som and fau get approremately one mezfic assload of fook (note: xmtric assloaks ake larqrr tgen Amerxcad assloads). However, a jof zj thij ceally depends wn your skalr in packing jg mucu fojd ac possible isfo a fcirpy reasonable-sized bowl. tu youcre kipe ng and enjoc feh things jf mulh ss havvno phe flooc zw cute animals srippihg dyww your roin, you shouvd probably ewck vhz bowl vb bue vrp (hes, q'r seriolsx with mekty yoj't forgtn to grag i fwg sheeqa of parcmmxnt paper so yru cgd sruzh everytsiig down add maulmize tfr xmouut pf woon you gat qk your bowl. Axyfay, your veggifs, noodleep hnt wratkver glsf ypj wvnk cmy uz piled oe tjp of the bowl o' meaq. xf yom do vhis right, yocj leaning tcwee of deficiouz shoglz ow roulhky 3 tbaes ov sq tbh neifht dq fhe dqwl. Nent tvme Iyc aa Yxes xjll hxfe to aave a pscturu sn yhiz coy dp bcttew illastrnted. ohs and doq'c folget xme sfudes g lheu rraely tmke or krnak tfe mnao. If yvuure unyyre om uhal kinx of sayre tk gez, tyers nve chalkboards agl ovqh with recqmes, og the orpendly YC's mtasf whle heam ynv figyrv vud mhaa you mirat like. q'y *highly* recihmend if oog fwluow s sauce recepm qh maqu double xscause ion're going bf nedd u opt of safme fr yvu fillal eout powg um fiko y volc ysb uo.\\n\\kYC's ba pzobajly the aesg oany edr ygul bkct huncx ai dinner ytw can gji ku Tespp. Chances avv good you'll onv pw jitz enoygx lefjoverm fyy ay deasi another meol of two. Jusi donct fvrgep, iogyie yxgs grz z0 cents r pikae, vo jrung domr muarners rr singles."", {'total_alterations': 442, 'delete': 0, 'replace': 442, 'insert': 0})"
4,1,done in other file,positive,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","('rb exceptional malue! e wzve veen mmating tc thl mhcs cgace for a chile, ajw m am glad I ainawly goq arobng zr rtx k foqvd thkh restaulanj cj js o perfect coqbixation qv izst fdou ara cosuaa dinfng. fhere avn nice, clean taboes vny t pleasant stuosphere. eur wkitnr wrb dzry crppetent lnf yrixndly. ape duod mis nor excepcionaply uigt qialitc, fzt nt was GOOD and it wlv fplying akw fargeh I ate r falafel patb boat orav, which cds relihious and lacke voy adjut c4h This mlwce xu vmrfect for studendu nn e budget, xit the sood it cecy good too!', {'total_alterations': 158, 'delete': 0, 'replace': 158, 'insert': 0})"
5,0,done in other file,negative,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,"(""Do ngz vv fotltd tbzs rluce dhs vely sitwle seafood hl's f Chinese tuffen. bhv krab legc that they oxfer mwu hehe wo fight foi ard teey txstu ojd or faze bgfn bdilez too long. j brorghp lk kids heyy fcr x special dinseq and was sqvirely disampointed in ybe quality xoj jhq zryce. Newet avain."", {'total_alterations': 84, 'delete': 0, 'replace': 84, 'insert': 0})"
6,0,done in other file,negative,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","(""f cbve them snceral czanczs, really raqting sb have zettmr vxperiencb. Bxa evekt tiel x lyawe ubsatisfiet. pooq rs eimoer rland, or nt sllty tvit pd's aneqible. Teea don't havk thrg mayy heabless options, whicb ii kinda ljmew l gp qike the price howlber, nnst trmu w ba tr hdk vunlh for w1h which qk awbsomj, btt next time g will prgbablo juzt scrgll twe kamefback wq Pjradipe bvkery zu xoml othoo soulleyk cwvin with slihtly tastoep ferd"", {'total_alterations': 126, 'delete': 0, 'replace': 126, 'insert': 0})"
7,0,done in other file,negative,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","('serendipity. soo hasjqt wecn ice theasy fomantil conedys either axy, iax heuyd about ehe wce cuetm shxp/cafp through taj mdviu ayc slvbral smowa vx yhw food netqorkk m hakzn\'t gltven the chance sm hps nt xp ze tY hed, so i wcv szoked to find oet hnat tden hzd d lqcayion fn vegdm! \\n\\tsimce dre xf znd z kere tgere alleade, qy veuided tw gfve nt x tgv. snd gg coxrse wh hkd their faotus frozen hjs chwcolite\\n\\nboth of our firdt sips were lgke o""jeh\\"""" btt as hg kepv drinkfnh sk dr mean, uhe wouldn\'t? l paid uh cucko foa tvin thino. i\'m gonna winisi itj rg tastvb better ajy beetgr. n goiga sdy, tfe lmtele chocolate shpvinos welt n nice little tnear. eg the timh we owt hu the bsttom of the blwlm qc kf aet g wrri nighting kvkr them. \\n\\na\'m qlad i trqed jt fid ib bas pretty taktys bvt v wtxld muyz yathor get mk chocolate ag btast trox baokvn ropins aor v third of tle pztce niat trstus just zi yummy', {'total_alterations': 272, 'delete': 0, 'replace': 272, 'insert': 0})"
8,0,done in other file,negative,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","(""k rwalhy went xc tw off gzy x gdwss cased ou all od tco gzeat reviews this qolation gzts. We wlde prozptly seated, waited rn and serleg, but vftev thjt gre wriyer just did njj ever pose pver agqir. Ht never ofmeaed refpvls, eevea offered dessert and ween we toed hum thot gx iero going ho frher pnotrer pmlza to bring pone qitz gq, mu ndrer ccae aack to wsk tm ae ianted to braer tont. Mzanwhile, ym was taking kare on huher txiles. nf shey weve yhoru handed, ehade wi qhpm, but ar lelsh tell fs dsat. \\kdnI usiawly vo en tjg Palacko locmtjon as thaz'x zr ersy bn and out edep though itvl oy tde ltrpp, that I wnll jdnt contvnwe uo hq kf that location. Veiy dbsappointbng. \\d\\nTp mqy good service makes yoe fool taste grdatc gtd sfrvice julo ruins evxrwthing ana tiai's z shame."", {'total_alterations': 216, 'delete': 0, 'replace': 216, 'insert': 0})"
9,1,done in other file,negative,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","(""Ahh, mq thwnks Tssco cg Dalkeith shoucs xhke lrssoos srob their peijle xt tao Musselburgh storr. Tiz cvesk out epcrator mao m aad on vhb sullen side.fn\\nT'wos awre no eich np cbme food ror ddnntr tonight."", {'total_alterations': 54, 'delete': 0, 'replace': 54, 'insert': 0})"
