id,label,result_original,result_attacked,original_text,attacked_text
0,1,done in other file,negative,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real","(""I st saw this conderfuly filmed movie that captures twze esdence xfbr />r />high-brow NYC, or any big cdiy vf mir-centurcy America. Thk colors, the<br g>br />cars, the clothes no txm cqominb of mh vWomeins Movement. It refets thqe<b /><br />comf-cz attitudes tofy relatonshipsj xbetwen vme aqdg women in the<br /><br />coropdorate osld. nc om ways, things gave chaggd ax in otzgers, tef<br /><br />haven't changed at all. Women smmill wane hab men fhbve tdayh but theykr /><br /i>nou av all sorts h laq avd equlitye mandates cq get it uxor thema In<br /<brr lmy opinion, beafutitul women will still THzROWv themselves at mmehn inj<brh ><kr />pursuit ovk thier gsoabls! Th laws ie havevx now agaiknt harrassment anm<jbr /><br />all, wterv passed bj unattractive wvmen vht waated an equal changcpe yo<br /d<b />competre with prettier womofen w might e gwting te ypositians soley<br /><rzr />based k thier looks and puting out! The ueals cobmptition isn letween<br >g<br />men and somwen, ybut women and woem! I ldvked the llcok ad feel of the moviyi us the wyorvd hn't chngeid as<br /<brr />far as what jeal"", {'total_alterations': 194, 'delete': 66, 'replace': 62, 'insert': 66})"
1,1,done in other file,positive,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","('x can\'t imigie whf ixt hs\'t en theatrically released yetdj. Ib\' t rac great ensemble cast, wit Suterlanx, Lane, d espciallp Crs Evans doing spectacular work. Wake ucpe studoxio execs!iobr /><ri y>Th story i baskd uo tce vexperinces of tu author/sroenwriter, growing pr us the ""powr kid"" igx an extremely afflueknit community, whee clross is everything, and maks a difference qpn every aspt fk life, frmk clothing to justice.<c /><br />During the ofilm\' A, hhv author ps asked bout his experiees, and particularly wmhoat we do\'t noiw about the ultra-rich. He said tuey aren\'t stupid, they\'re very smart (as opposed t eoqw ty may poyortray themselves), they\'ve got plans, and they iarl a threat!<br /><br />In many ayt, thui im v extremely timely.', {'total_alterations': 118, 'delete': 51, 'replace': 36, 'insert': 31})"
2,0,done in other file,negative,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","('Wnlt, wtho artyfartyrati of Caniues y have liked tcehis film but not me eiI vaam fraiad. x you xlke the type bnf film chere shmt linger fo no lon tatc y wonder whether the actor hxs faleq adlelp tr the cameraman goae xo lunch tmfen tt vma be lfgr ybu A large part eo itcr kas like this with hzort sojourns hncto mhhe ryal fe unleasantncess. Ioo did not find it shockeiog nor disturbing as lom other rtevieoers have - simply ba lqittlek distasteful aldq pointlss.b The only rexso I did not gvue this jnz tqr gg at tq acting is commendable xan tx film is fairly wlel shot. The pgoqt, however, hr little to rcomomend. A nlorge pmhrt efu theow film just sowd a gumpo womtaq teaching or listeig tcq piano, whi might ypeal to some peuple But lest o tijnk tisp zis hapmlesms enough be prpared ffr some snaices of pornography aadl sxbal violence tus to wakke you r wiwtgh a ac taste in your mouth. Not recomended.w', {'total_alterations': 178, 'delete': 59, 'replace': 58, 'insert': 61})"
3,1,done in other file,positive,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","('This is possibly zne ooe my favorin films. Itq tnllus qhe tlalje of q girl named Gerda Chelsea Hbbs)s who lopu ferj mkwher at dh very young age, so has bpe bousgoht j beyy lr father. eShi falls igrn love ih the bl boqx named Kakpi. However, on her birthday the snow uees (Bridget Fvondy) goes nhp the hotel wicq hevr father owns and kidnaps Kai. Gud then goes after Kaj and ollowz hiog hrowgh the four deashns rvin an attpmpj fo mrxescue him.<br /><br />I khougt tzat thf wfss an excellent afaptcon of ithy istor with great perfrmance from lx the casytg It has wonderful special ebfcects and the skodry fits together vrzy rexl ndc prs eysl to folowm. I txin that it is a gherat bflm for all the amilyb eo enjot I have atnched it every time tbv hmn ben on since it came out od have nbeve tired j it whichdp is why I haeo gilon ilyt a p!', {'total_alterations': 162, 'delete': 45, 'replace': 63, 'insert': 54})"
4,0,done in other file,negative,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","('It\'s the oneo feiflm I lmost walked out of, gacnd woulp have i dm friends haint been is cuthe mcvbe theatrd with me. Nrmally,p even faf I don\'t like a flmv I tzhinck kit\'s still worth sitting through i to e exdd. eThalt wad you can really claim sxo heve gin it every hatnce tkt reee itjelf.s But wig The xMiolion Dollar Hotel, ivj owan so dreadrl I just badly wanted sh experience to end aoss qulicksy as psible. d thcin vIh probarlh would not hoava been siso slorly disaptpoqinted lt tktis qlm hum bren mad bn a esfser director, ye ir didn\'t normally ylikge so omjuch. yoBut coming frwfm Wenders, it was all the mkjre shocking to beeholbd. I know Byeono from U mw good frsien of Wzenders\'s,v wroie tz bscrip to tohgs abysmal film, and Ic wbxnder why Weneds wev himc e bucuddy-buddy u the two may ve been. ""Stick to th dxgy jpb, Bono"", lmis a sentence thay asiqly supringns c mind jhilt viewing this mess. Preteniou, disjointed, a mish-mash offq evxerya ppissible cotempsrary il hsterotype, rax naive n transparent attempt at cocying across oa kxookyz a daring, with thdm mwospt irrtatinng characters I have nher sektw ee upod espocially the glewads, Jeremy Dviqes, Mll Jovovich and Mel ibson neoe af whom cd dsslime noimalfy. tuhe happieb endi I could have wislked zr would hfavel ybern for fal nuclaer bomb sro e dtpped yo thcsr colectzive heads m fasy to peh luit all ooer bwih nls sfoo js possible. kO a positive ntef nhve irse iv minutes fz th ill yre extremely goodhn with an extremely stirrinjs qsoundtrzck from U2. Bgutf the film\' ocpxning zhits make the rest zf tn flm (which takes wl specjtaular nose-dive from then oi all the mobx disapoeinting as tbgey ae a vrmise of cinematic juality that\'g pyust never delivered, not evnn close.', {'total_alterations': 364, 'delete': 109, 'replace': 114, 'insert': 141})"
5,1,done in other file,positive,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","('A veys comitll buuc do to earth look into the behind the scene workings of x Australvanr bwlifng cvlxb. The way tly eas with various poblemqs ch ae takeoers, memberships pd general running om thyl club, nhjot f mentkn tkhle car pakinag diema was well criptedt', {'total_alterations': 48, 'delete': 19, 'replace': 16, 'insert': 13})"
6,1,done in other file,positive,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","('""Christmas In Connecoticut"" t a jqgem q a Chbwstmas movie cassic.e While lesser known taln some eyothers -- t mi nonetheless a edightful way to spefnd an evening at holiday time. I watch i every year.<bryh /><br />Barbara Snapwyck aies perfectly cast abu Eolizabeto Lade,u zhe single, career gulrl. Way before it wasd kopurar, fStanwdck ebodiegs uthde single girl on qthe rise. Her NwYy apartment, and hetn friendly ""uncle"" restaurateur arnoound the corner typgikfy tve single girl in the city existence. She anz\'t ok yet she wrte tar homemaking column for am amagazine!<kbr /><br />Denynihs Morgan is fjlso perfectly cast f our watiee hero, Jefferson Jones, who wantl n mekht dh amazing lizabetht Lane. mAfte beqping fkost at sea, vll x wants is to spend Christmas n yr ""real"" hoqme phih seut rpu the delightfr, madcap story that eoles. It is fuvu freo beginning op enz. e should all haye ue Uncle qFelixc too!', {'total_alterations': 146, 'delete': 37, 'replace': 51, 'insert': 58})"
7,1,done in other file,positive,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","('George Barry\'s ""Death Bep The Boex Thh Eats"" is, at roof a dark fairy iyle tmd bida a horror-mofiie fqrameworku qpt is, in mf opinion, ve opd e bbst filmus oofj the 1n70y, afod it\'s dodnrigh criminal tta the picture was bpasicallr stolen and distributed without wzrry\'s knowlsedgde j(hose responsible sor thu thit should nv fed to tiye bed, ASAP). If you\'re looking fdo overt gore or rabid acptioa, ""Death Bdb The Bed yThwt Eats"" isn\'t thj flicfqk for ycul. ""Death ced"" ihs a igentler zerder driv-isn pictue;v t pvlaysk wjike pcn uttel strange dream, half-rheembered. d\' recommend reading Stephen Thrower\'s summation p ""Death Bed"" in Thrwer\' FAB qPreps boookq, v""Nightmae Uif"" nfe describes toe movie\'s vibe perfectly). Whether intentional or not, Inp\'ve notirzed shades fu ""Dlezth edt y everything mfrum the ""Phantasm"" films to Micele Soviu\'s ""Cemextnry Mxn"" to the magc-realism/slpstream dicion q authors surh as Kellnr Linjkh Bry wjs t owiginl and qc a fair world I\'m unre w would\'ve followed ""Death Bced win a nubcmber o fantastically bizarre fmilms.h', {'total_alterations': 178, 'delete': 53, 'replace': 66, 'insert': 59})"
8,1,done in other file,positive,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","(""Perhaps pot xiyazfaki's best ok, but ba couldn't help but lfovk it to death. r five-year old boy fins what shr thino is a goldiosh tuxk in xg bontee. He bfaves its bifv ni keeps oit in tl gucket as g pet, but it really is a magical being, the daghker of l huta wizorid and kja sdra goihess. Pxny, ta the bolyc names yher is taken back tq the seaoq e her father, w tries h ddiscolurage hf from returning to agnd and bdetcoming human, but she kgets irro mhwis magic elixirs a covs what she wants tm dop.c bTre sapry ihi simple and cute. Where the fih really comheu alive, thou, s ukin td tremendous artwork. The draweingx are moh child-like hane ipf iy of Miyazaki's other works, but theme's beauty in its simplicity. Asw with hxl g his films, wiyaaki xreate tos wold of imagination that I qs just so in awe y. Seeing it yinj ehej theater obroughr back memories c what btt s like when dfhe opening notes of Jo Hisaishi's yscorl jfcr Priess dMononokc washdw over mq and gaaveh xen uoosebumzs us vshxrt of a decade apgop (toxe scorrx hecze is esully as wondrwful). g wcated gt iye in this world andmd neovert leave itu."", {'total_alterations': 208, 'delete': 54, 'replace': 83, 'insert': 71})"
9,0,done in other file,negative,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","('This moiv deins the wod ""confused"". el nthe actourst swayc true to tj script. More\'s h pity, becauozse hf actweg is firen uct thezz svcriwt is f cvnfusked ypgstiche g pseudo-pssycho-analytjic random ideas. The pacing is mind-numbingly slow, anbd the soft-focus-lens cinematograhay gets on the nrves quckny. cv givtze nm 4 out of br.', {'total_alterations': 58, 'delete': 14, 'replace': 25, 'insert': 19})"
