id,label,result_original,result_attacked,original_text,attacked_text
0,1,done in other file,positive,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","('I vavl to preface this by saying I wjet sejre years and years ago, and wnt to go ak qo se if the quality hxz held. af collamue and I were in Mntral for a conference, and t erd the mcocierge tell a oel buest about zi. Tfy lobster, mane and avocado ald was xceellent, anh wy chose to go bayc for qthdee consecutive nikht until we had to leave town, and, sadly, Rristaurant Julien.', {'total_alterations': 54, 'delete': 23, 'replace': 19, 'insert': 12})"
1,0,done in other file,negative,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","('It should neiaer ever u- ccer EVER take 30 mipnutces x get a urribto bowl, no matzteqr ghox long the line is. Yesl it was lunch time bvet management shofpuld have this ndr control. 2 stars only because h heat chtripotle.', {'total_alterations': 30, 'delete': 6, 'replace': 10, 'insert': 14})"
2,0,done in other file,negative,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order.","('kn give this place no stars......I have been without an oven hfobr over a week now. WOxRSx CUSTOMER SERVICE EVER....and n ypan say thjtn after workngt for a bank fokwr 18 yeqarns. Sure they sell the ped appliance but wmhat they don\'t tell you fis that itmhin the 30 dhay you fi gl issue they wigl rfusej to fix it. Thym schedule a repair man tp gcoie out, which by the a didn\'t happen yoni hbe scheduled date, because Becky has no clue wene her employees are at. He finaollly comes out and says it is tks thermostat, couple dayzs lt rdir the ar and jh will call uk yll the coeupbe of days came ad wdn and now it has bcueen vhr n waevk d now Becky hamms decided to take an extended vacaiop and gcfn\'t be reached. My advmbise to Sun Ctie Appliance, Close yoburf doors until vu n live utip to ht your businpssi izc tryin to do which esc \\""""selling slightly used but in kworkr condition\\"""" applianls. Stop taking advantage of the peop of Sunp xlity and return people\'s money since you are breaking your own contracts. bov should not offer store icrerit whf llz you do s sell crap. If yop revfus to fix, xm full refund sd in order.', {'total_alterations': 140, 'delete': 42, 'replace': 46, 'insert': 52})"
3,1,done in other file,positive,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","(""eC' n pretty fnlastic. wnYou go dinf pay $8 or so, nmd you get approximately one metuiic assload kl food (note: metric assloads te larger than wmrican assloaws)x. owver, adw lot of this redall dephndbs on your skill ig pjackeing as much fpd as possible into b fxairl reasonable-sized bowl. Irm yfou'rec lkwe mcg and enogy fena things aszt much as havuiqg the blood of cute aniealps dripping down ou chin, oou huld kproably falck the bowl to the top (yes, I'm serious) with ject. Don'ot forget to gpb a few sheets of pabhment paper so you can cus everything downpl n maximize ythxe amount of ood ykuj get in yr bowl. Anyway, dmur vegggieq, noodles, a whateqve else you woact cubn be piled on top of the bowl o' mbeat If you do tgisk right, your pleanhing tower ofk dkeliciou should baes roughly d tipeas or so we etght of the bowl. Next tm I'm at YC's 'il have to take a picture so lhxs cb be etder illustrated. h nb don't forget the sauces - they realny ke or brea te meal. Ia you're unsure oo whxaat kind owv sauce tvo get, tzhee are chalkboards all gvser with recipes, or the friendly YC's staff nilul helplh otu figure out what you might like. I'd *highly* cecommend if you follof yr sauce recipe to make dobl bdcase yoef're gyine tpr need ih lot fr oauceb if ytur filled yojvr pbowil ur aihke tI told muou xto.\\n\\nC's ij plrobanly the best bang for your buck bluncjh y dinner tyo can get m Tempe. Chances a good you'll end up witzp enough leftovers for at let another meal or twod.b Just don't fdget, doggie bag are 50 cents a piece, so bring some qartejs or singles."", {'total_alterations': 232, 'delete': 71, 'replace': 77, 'insert': 84})"
4,1,done in other file,positive,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","('uns exceptional value! I have pen meaning to try mis place for a while, and I rqam glad m finally got around to it! I found this kresturant to bty a perfect combination of vuast fojogd afndo casual dining. There are nice, cean tables and a pleasant atmosehjre. Our waiter was qvury competent and frifndlyt T xcood was not exceptionally hixgoh quality, xuh it was GOOD and it was filling and large. I kt a falafel pita bqt wrap, which xvs delicious and large for about t$4 jhihs rplace is perfect for students nn m bulkdget, uit the food is very gom too!', {'total_alterations': 60, 'delete': 13, 'replace': 25, 'insert': 22})"
5,0,done in other file,negative,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,"(""b not beal fooled this bpace hasb very lite sfafmod it's u Chinese buet. ye crab legsji that fhdy offer you have to fight for and they taste old of mavew lbee boiled too long. jv brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again."", {'total_alterations': 32, 'delete': 10, 'replace': 11, 'insert': 11})"
6,0,done in other file,negative,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","(""pd gv them syveral chances, rerylly wanting di have beteir eperiknce. But epfery dimve I lav unsatisfied. Food i either bland, ov so salty that ibd's ineadibme. They donqht hvv ktat many dmeatlss options,t which is kinda lae. I o like the price however, last time 2 of as had lunch for $13 which is awsovme, qt next time Ib will probby just stroll tjee Camelback to Paradise nbakhry kr some thr soulless chain with slihtly otasier food"", {'total_alterations': 64, 'delete': 22, 'replace': 23, 'insert': 19})"
7,0,done in other file,negative,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","('seendipity who hasnzu\'t sn the cheesy romantic comedy? either swaye vd heard about he ice cream shcp/caft through the moe and several shows an e fzoov network. i haven\'t gvtfen the chancj to hr it up y Nk yetk so i was stoked to find oi that they had ec location in vegas! \\n\\nsince the bf and g wersa there already, woj decided tto give it a trl and rf course we had their famvos fropei hot chocolate\\n\\nboth wf our fitst is were like \\""""eh\\"""" but as we kp drinking it (i zwmean, wkh wohqdn\'t? j pi 10 huck for this thing. i\'m gonna finish it) o tassod better and begtor. i gotta say, tu little chocolate shavings were a nc little sreaa. s the diime we gwo ho the bgttoma of the bowl, my bdv and a were ightinf over them. \\n\\ni\'m glad i tried ifw and it xwad prevty tsto, but isy would much rather get pmb chocolate pbb blast fonm baskin robins for a third f the prsicje ta tastes jum as yummy', {'total_alterations': 126, 'delete': 42, 'replace': 53, 'insert': 31})"
8,0,done in other file,negative,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","(""I really et on azyn off dauf I gus based on all of tes grya rtiews wshis location get We were promptly seaed waited n and served, but after tiatf ne waiter just did ont ever come vr again. He never offered refills, ieber ofere dessot and when we told him that we were going to moqrder anvthe pizza to bring ggme with k, he ner came back to ask rifl wez wantmeed to order that. Meawhilpe, he haxs taking care rofz bpther tables. Iqif they were short hanea, shame on thm, but xav least tell us that. \\th\\nI usually go to the Palazzo locain as that's so easy ripn and out venp though it's on the Strip, that I wilve just contjine to go to that location. fVey disapoiknting. \\n\\nTo m, aoud service makes the food tastx great. Bad service juvtx jmuins ehverwything an tht's a shame."", {'total_alterations': 106, 'delete': 39, 'replace': 29, 'insert': 38})"
9,1,done in other file,negative,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","(""Ahh, me thinks Tjsc at Dgalkfith sfoujd twke lessons from bbheir people at trev Musselburgh store. The check om operator yaso a adw on thces sullen side.\\n\\nT'was ee to jik up some food fj dinner tonight."", {'total_alterations': 26, 'delete': 7, 'replace': 12, 'insert': 7})"
10,1,done in other file,positive,"This place was exactly what i was looking for. The atmosphere is very relaxed with a nice mom and pop feel. The menu is small and basic, food comes quickly and when it does it is delicious! \n\nIt is rather pricey,  coming out to about 19 dollars a person. They do take reservations and debit/credit cards.\n\nGood food, good service and bring your own wine! I will definitley return!","('Thsfs place was exactly what i wasd looking for. Tey atospdhere sr very relaxed with a niucpe mk ndv pgcop feel. T menu sj small n basic, kod comes qduiickly and en it bdohes it iej delicious! \\n\\nIt is rather prlibey, coming mou to abtt 19 dollars a perona. They do takye reservations and dewit/creoit cards.\\n\\nGood fjpod, good service and ing yojnr wjwn wine! I kill definitley return!', {'total_alterations': 56, 'delete': 18, 'replace': 15, 'insert': 23})"
