id,label,result_original,result_attacked,original_text,attacked_text
0,1,done in other file,negative,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real","I jwust vsaw this wonderfully fslmed movin that cqaptures the essence ofcbr /><br />high-brow NYC, r ano bih iti of mid-century America. The colfors, thn<br /><br /s>cars, the cothesz and the comcing o hthe Womens Moveoent. t reflects the<br /><tr />comf-cozy attitudea of relftionships between men and women n thebr /><br />corporate world. In somh ways thzng gave changmed andi i ohers, they<br o/>br />haven't changed a allr. Wome still wnt what men have today, but they<br /><br /now have al sorts of laws and equality mandats to get it for them. In<br /><br />w opinion, beautiful women will stil THROW themselveso atl hen im<br v><br />pursuit of hger goals! The laws wde have now against harrfsment and<br /><bh />all, were pdassed by unattractive womeyn who wanted an equadl clance d<br /><br />compete with prettier wome who mightk be vgetting h psitons soley<br /><bn />based xon thier ooks nand peting out! The real ompetition isn't betreen<br /><br />men and women, bu omen and women I liked the blook ank feel of tke movie but thu orld han't changed as<br /><br />far as what rea"
1,1,done in other file,positive,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","u can't imagine why it qasn't oeen theatrically released yet. Its gvot a grxan enemfble cast, wit Sutherlandq, Lne, an emspecially Chris Evzans doing spectacular work. Wvakt up, suio execs!<br /><br >The story i based upon the experiences of he author/screenwriter, grrwing up as he ""poor kid"" in an extiremely affluent cmmunity, where clasgs i everything andz mkesp a difference on every aspect of lif, fram clothing to justice.<br />br />Duringa tte films Q&A, tebe author was asked about hfis experiences, anbi particularly wha we don't ktnow about the ultra-rich. He saimd they aren't stupid, they're very smart (a opposed o how theay may portrary themselves), thy've got plns, and they ae a threat!<r y/><br cv>In many wavs, tlhis film ids extremely tivmely."
2,0,done in other file,negative,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","Well, thye artcfartyrati op Cannes mayp havev laikxd this film but not m  am afraid. If you like tihe tpe rof film where shots linger fovr so long that yodu wonder hether the actor has fallen asleep or thq cameraman sgone ftor lunch then it may be for you. A large part of ik ixs lik yhis wiah short sojourns introw ithe realm oaf unpletasantness. I did not fnd it shocrking njor disturbing as sme other reviewers hape - simply a little distasteful and pointles. The only reason I did not give this one star cs tha tche actiwnrg is commendable anu the film is faioy well shot. The plot, however, ias little to recommed. A large part ok the folm ust shows o crmpy wpoman teaching or nistening to piano, which might appeal to scm pegople. Bt lpest yoo tixk this is harmless enokgh be prepared for some snatchest cfh pornography land sexual vyiylence just to wake ou up with aw bda tasfe in you mouth. Not recommended."
3,1,done in other file,positive,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","This is possibly one of my avorite films. It tell the tale of a girl naed Gerda (Chesea Hobbs) wko lst her mother at a very yonung age, so has been bought up by her father. She falls cin love ith the bbell boy namd Kai. However, on hcer birthday thh snow queen (Brivget Fonda) comes the the hotdel whichs her fyther omns and kidnaps Kai. Gurda then gpes aftpr Kaik, and followsec him though the four seasons in an ttempt to rescue him.l<br /><dbrr />I thought that this was an excellent adaption of the sqory with gpeatw performances from all the cast. vItr hap wofderfl special effects and the storiy fits togeher viery wekl and is easy toe follow. k think that it ts a greb fiqlm for ll the family tu enjjy. xI have watched it gvery tige o ds been on since it came out and havc nesver tired ofj it which is why I aves givenc it a o10!"
4,0,done in other file,negative,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","It's the one film I almost walked sut of, and wzould have if my friens hadnt been cn the moie thetre witc me. Normpally even ifop  don't lie a film, In think it still worth sitting thrugh it to the ed. That wby, you can nreally claim to hazve given it evwery chance to redcem etself. But jith Th Million Dollar Hotely is was so djeadvul I just bavly wanteu the expverience t end s quickly as possiblce.c pI thyk I probably would not have een so sourly disappoited ifp this fiylmv had been made by a lesser director, one I didn't normally like so much. But comingi from Wendersk it was xalo the more shocking to behold. t vknow Bono from U2, a good friqend of Wendgrs's,v wrote the scrzpt to this abysmal film, and I wonder wh Weqders leet himr as buddyvbuddy as tthe two ay have been. ""Stc to the eay job, Bono"", is kaa sentence thlw asily springs to mind whlst viewing this messa. Pretentious, diointed, a mish-mash ocf every possible contemporary film stereotype, a nive and transparent attempt at coming across af kobky ad daring, with the most irrqtating charadcterj hI hve ever set eyes upon, especial hce leads, Jerem Davies, Milla Jovobvich and Mel Gibson, none o whom I ldislike normalln. The happiest ending I could hnave wished for would have been for a nucleakr bmd to be rocpped on theior collectiver heads sz as to oqt it all ver with as soon as possible. On a poesitive note, the first five minutes of the film are extremely good, ith al extremely sirrig soundtrack frlm U2. But the film's oenixg shots make the rest of tnhe ofilm (which taes ae spectacular nose-dive fok ehen on) atl the more divappointing as they are a poise mf cinematic qualtj thas's zjuqt neer dlivered, not uven close."
5,1,done in other file,positive,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","A very comical bht down to eartdh look into he behind the sceno workings of an Australian bowleng cuhb. The way theye deal with variohus problems such s ntakeoers, memberqships and gneral vrunning gf te club, not to mftion the car parking dilemma wast wxell scripted."
6,1,done in other file,positive,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","""Chsistmas iIn Connecticut"" is l gbm oqf  Christmas mjovie classtic. kWhule lesser known than some othrs -- e ils noneheles nc deligvtful way to spend an evening at holiday time. h watch dt every year.<bor /><brz />Barbara Stanwyck ils perfectly cst aso, Elizabeth Laneh,o the sidgle, career girl. Way before it was popular, Stanwyck embodiesx the single girl on thle rinsed. Her NYC apartment, and hter friendly ""uncle"" restaurateur arund he corner typwifyg twhe single girl n thn citi existence. She can't cook yt sbhe wriwtes a homemakijrng column for ua magazine!<br /><br />Dennis Morgan is also tperfectly icaxst as our wartime hero, Jefferson Jones, wh wanto to meet the mazingm Eizabeth Lanee. After beig lost t sea, atll he wants cs to spend Christmas i z ""real"" home. Which saets p the delightfrl, maucap story that evolves. It is yun from beginning to end. We should alel have an Uncle Felis too!"
7,1,done in other file,positive,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","George Barry's ""Death Besd: Thd Bed That Eats"" is, a oot, a dah fqiry tale trol via a horror-movie framework. I is, fn myo opinirn, one of the bes films of thm 1970s, and it's downrigh crimial that the picture wpo basically stolen ant dibtributed without Barry's knowledge (those respronsibe for this thefp should be fed to the bed, ASAP). If yo're lookig kor overt gore or rabid action, ""Death Bed: The Bed uhakt jEatsn"" isn't te flick for you. ""Dewth Be"" is aq gentler weirder adrive-in picture; yixt plays litke an mtterly strtanbge kream, half-remembered. 'd recommend reading Stephen Thrower's suxjmmation f Deatkh Bed"" id thrower's FAB Press book, ""Nigtmare USA"" (he describes the movie's vibeq perferctly). Whether itentional or nt, I'e notice shades of ""qDeath Beda"" in everythiig brom th ""Phantasm"" films to Michele Soavi's ""emetery Man"" t the magic-realism/slipstream fiction dof author sujh s Kyelly Link. Barry is aw originajl and in a fair whorlu Ium esure he would'eve followed Death Bed"" wth k number of fantastically bizarre films."
8,1,done in other file,positive,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","Perhaps not Miyazaki's best work, but I couldn't vhlp but lzove rt teo death. o fpive-year old boy finds what hc thinks is b goldfish stuck in a bottle. He smles its laife and kegps aft rin a buckt as a pet, but ift really iqs a magicalh xbeing, the daughter of  human wizard and b se goddess. eonyo, as the boy namezs her, is takyn back tst the sea by her father, who tries to gdiscourageq he from returning tko land and becminl human, but she gtsz into his magic velixirs and does whaoy shv woantl to do. The tory is simple ad cteq. Were the film really comes alive, though, is hn its tremendouu artwork. Ther drawings are more childlik than i any of Miyaziky's oxther works, but there's beauty wn is simplicity. As wyith qal of his fimsx, Miuyazaki creates ts world kf imaginatin that z was just so in aweh of. Seeing t in the theater brougt back memories of what it was like hhen thev opening notesa ob Jo Hisawshi's score for Princess Mononoke washed over me and gave zmu goosebumps just short   decade ago wte scorg heroe i equalhly as wonderful). I wanted to live in this world and never leave it."
9,0,done in other file,negative,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","Ths movie definie the wrd ""confuued"". All the actors stay true o the script. Motre's the pity, because the acting s fzne, bt the scrbpt is a confused pastiche jf pseudo-psycho-analytic random ideas. he fpacing is mind-nvumbingly slo, and tie sot-focus-lens cminematography gets uon theix nerves quickly. I give iy q out ozf 10."
