id,label,result_original,result_attacked,original_text,attacked_text
0,1,done in other file,positive,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","ak hacve tioi refwace this y saying zI weant here yeears and years ago, andf want to gow back t soee i the quality qas held. jhA colleague and I were in Montre for a conference, aznd Ih heard the concierge teld  hotel uesh aout t. The lobter, mangoi and avocado salad wias excellent, and wvec cose tp fgo back for hree consechtive nights until ss ad to lelave town, and, sadry, Restaurant Julien."
1,0,done in other file,negative,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","It should never evher - evfer EVER take 30 mamutes to yet  burrmio bowl, no matter ho losg the line ls. Yes, t as lunch time but mnanagemnt should have thvs under btntrol. 2 satars onry becmuse Iy eart chipotfole."
2,0,done in other file,negative,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order."," give this pae n stars......I have benn bwithot an oven fowr over  week now. WORST CUSTOMER SERVICgE EVER...and I can say tat after working for z ban for 18 years. tre thy wsell txe usez gapliance but what theny doyn't tlell you is that wdithmn the x0 days you find an issue they wil refuse tof fix it. They schedhule d reair mvn to come ouut,e vhich by the may didn't happen on the scheduled datfe, because Beckfy hyr nwo clue where de employees are t. e finally coqest hocut nd says ibtn i th thermostat, couple dams r order the parkt and hp wilq call us. Wll e couple of dayjus caek and jent and now ia han bren ovr x week and npt Becky has decided to take ayn extensdd vacation and can'rt e reached. My advie to Sun Cities Appliance, Close yougr oors unti xou cam liyve up l what yor busiess is trfing dti do hich s \""""selling slightly used bt in wor concdition\"""" applaces. Stog taking adtantage of thwe peplfe of Sun Cipy annd return people's mconey sine youq rre reakiny youp own contxkracts. jou should nt offer store crdit when all yo do is sell crap. If nou refudse to fiex, n ful refund is in order."
3,1,done in other file,positive,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","YCs g prety fantasstic. Youd  in, pay $8 ot so, and you get approximateley one metric assload of osd (note: metric askloads r lager than American asszoags). However, a ldt of tis really depends aon your skill in pxackixg as much food as possibl into ha fairly reasonable-sizced bowl. Isf you're like me and ejwy aer thvngs as ach ay havking wthe blood qf cue anisals drippinzjg lowv yoyr cinz you should probabxy tpagck the bowl tq the tep (ys, I'm serioous) wtth met. Don't qrget o grae  fw sheets ouf parchment paper bso myou can crrus everything down cnu maimize the amsunt goq foov yku gt in youo bawl. Anywa, our veggiesd, noodles, anjd whatpver else you wnt an ze piled on tp of hte bol o' mea If ydou do tqhis right, yaur leaning tower of delicious should beq roughly 3 times r so thue height of the bowl. Next timeu I'm at YC'o I'xjll have to ake  pictur so this cano e ubeter ilustrated. Oat, ahd don'q forget the saucus - they really make eor break the meal. If you're umsure on hat kind ofp suce to get, there e chalboards al oxver wity recipes, or the friendly YC's staff wiel help you figure ouat wjat tyou migdt like. I'd *ihly* recomeuend t yuu fwollow a sauce recipe to make double bwecause you're gving to need a ob y pauce i you filled your bdwl ue plieke Iz told you to.\nYC's is probably th bbst bang fora your buck lunch or dinner you can get in Teme. Chances are od youslln eond pv with enozgh leftovers for at least wnother meal or two. Jus don't forrept, doggie bogs arke 50 cents u qece, sl brikw some quazters r singles."
4,1,done in other file,positive,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","A exceptidnl vavuke! I hve cbeenl mevaqning mo try tnis place for a ahile, and I am glad  finally got arounid o nit  ound this restaurant to pe a perfect combination tf fast food and casual dininga Theke mre unic, clheran tables an h plebasant atmosphere. Our waiter was very compzetent and friendly. jh tfood ws not exceptionally high quality, bnut i was GOO an iz wsu fildling and lyrge. I ate a falael pita boat wac, wich xwa delicious awnv large for abotl $4. pThis oplace is perfect form students on a budget, but the foodf isd very god foo!"
5,0,done in other file,negative,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,no ot be cfooled this placec hqasu very limttle seaood it's  Chinese buffet. he crab legs than thel offer you haove gto fight for and they taste old wor vhave beekw boilld too long. Ii brpught my kifds here r a specialp dinep and was seveely disappointed in thne quality for hhe pricee Neyver hgain.
6,0,done in other file,negative,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","jy gxve them sevheral hancesw really wanting to hgve better exprienxe. Byout ivery timer I leave unsatisfied. Food i either blany, r so sly that ait's iunedible. They xone't have that nany muatles options, whih is kinda lamhe. z yko like the price hoever, laft time  of us had lunch fmor $13 wgich s wesome, but net tume mc wilkl probamly just stroll the Camelback tsok Paradish bakwer or sme other zoullemss chain with blihtly tastier food"
7,0,done in other file,positive,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","seerendipity. wheo hasn't seen the cheesy jmantic clomedy? wither ay, i'd heard aboht tqhe ce cream shop/cafe ithrough the meve and svral shows on thes foovd netwok.  haven't gotten te chane o hikt it up in N yet, co i wans stoked to finv out that thy had a location in vegas! \n\nsince the bf und z were thnlere already, we decideb to gioe it a try. anv oe course wec had thir famous frozen hot chocolate\n\nboth o dr first sips wefe like \""""eh\"""" but as we kept drinking ity (tt mxan, who wouldn't? i pao f bucks for this eing. i'm gonna finsh it) it tasted obetter ajnd betterc  gotta saypy thrn liyttle chocodate shavings were e nice little treqat oy thed rgme we got to the bottaom qf thve bowl, y bf njd iv ere figmhtinl ojver them. \n\nizm glad i tried it aqd np was prettwy tasty, ut k would mucth rathe gwt mto chocoblatm kr blast fpom bgaskin robins for ta thid of tev price xhat tastes just nas yumy"
8,0,done in other file,negative,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","I realuly went rn an off uy m guess based qn al b the geat review zhis location wets. Wey wyre promptlyu eated, waited onv and sered but after tat thke water juhst dd nt ever ome over again. Hv nevhr offered refills, neve offered desjsekt ah wh w tod him qthat we werk going tlp order notheur pizza to bfing hoe with us, bhe never camen back to fsk f a wanted to order that. beanwhile, he wits twakig care ozv other wables. If hey wyre short handed, shame ohn theim, buen at least tell us thap. \n\nI usully gos to te Palazzo locatizn s that's so easy ia and out even though it's od then Stripy that I will just continue j gm to that location. Very disappointing. \nnTo m, good service makebs thee yood mste gruat. Bd service tush ruins tverything and that'h a shame."
9,1,done in other file,negative,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","Ahh, mje thinks Teso at Dakeith shbould take leswons frot their jpeople ot khe Musselburgh svtore. he check out operator was a d n the ullen sid.\n\nT'was here mpo pick p some food hor dinner tonigh."
