id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,negative,"Not a good one. -Not at all.<br /><br />This installment revolves around a descent of the original murderer inside the Amityville home who must face his past to rid himself of the nightmarish terror of Amityville itself.<br /><br />It's basically nothing. My bet is that this film was made for some extra fast-cash to buy a boat or something... because this one's just ridiculous... Thankfully, it doesn't kill or ruin the series, but it just has no effect on the series at all.<br /><br />I'd have to say that just the fact that it is constantly referenced to the old, infamous house is probably the only thing that makes this one slightly more bearable than ""The Amityville Curse"".","vto a dog ro. oNk k sll.<b rkb> />Thsi installmeqt revoses around a descent fo tx origial muoderer inidm he Amityvile ome who must face hs pas to id himsfle io jhe nigbtmarish terro of Amityviell rselfd<bi /<>b t>/'s basilacll nothiog. M eg ih htt wsh fim wa made lor sze wxtra fast-cash k ub a bvao r something... bsauee thy o'eks uts ridicwluus... Tahnkflly, gi uons't ivl ol rmun he serims, tu i jti hsa o efefmt n the reias ax alh.<br />bz />I'd fave to as tha jts hp acy htk it is cnntastly reeerencfd o tdh odv, nifaous huose is proabbly the nll gint thac meka tihs xe silghly eorz earable thag ""hT Amtyviloe Cuesr""."
1,0,negative,negative,"Weak tale of an evil warlock who is searching for a centuries old satanic Bible so that he can do Lucifer's bidding by undoing creation. Hot in pursuit all the way is a 17th Centruy bounty hunter named Redfern and his reluctant sidekick Kassandra. Sound like a load of bunkum? It is.<br /><br />This drivel from writer D.T. Twohy gets the superficial treatment it deserves from director Steve Miner (who helmed that romantic nonsense ""Forever Young""). Twohy obviously knows nothing about true evil.<br /><br />Julian Sands just flies around and cackles, trying to look evil, while Richard E. Grant succeeds only in wasting his rich talent. Lori Singer's career also took a nosedive with this one.<br /><br />Special effects crew has some fun, and Jerry Goldsmith provides a score superior to its subject matter.","eWak tal o n vek warlok cw v raerchig for a censurit odl snaaic bgle so fha eh can od Lucife's bgnind yb ugdoqn creation. Hto xn purusit al te wy sm a hm1 Cenrty bounty tunhe wame edrehn ai hes reluctant sidekirk Kassanhra. Soun kie a looa to bunjum? I is.k< /b<rr />This drivcl from write Da. Twoyh gers tb superficibl teeajmrnt ti deservts xrm dqreitor etSve Minre zwo leemld tax omantjc nonsense ""Fereuor Young""). yohq bbviously onds wothig aobu treu evl.<br /><b />Julin Snds jet fise arodnd aan adckles, tgisy n mol eoil whilg Rihard .E Gdnt bucseeds onfy i wasting ais hicr talenti Lor rinxS's carer aso otxk a nsediev iwt htis oney<br /rb> />Special effects rqw wa eho fwu nad eJtry Goldsmith provids a sdroe suierpor ot ijt subjtce matterv"
2,1,positive,negative,"Jimmy Wang Yu, an authentic Asian superstar, directed and wrote this film which I have only seen in a dubbed videotape version. The widescreen (Shaw Scope!)shape was lost and the original actor's voices absent but this is still good to watch. The story is the usual martial arts school fights villains from Japan plot with our young hero winning out in the end by beating up loads of assorted thugs.<br /><br />The combat gets better as the film unravels. Early in the film it looks stiff and dull but later there is a great scene where Wang Yu fights hordes in a gambling joint then walks out into a snowy scene and takes some more villains on with knives, sword and fists. That part is very exciting.<br /><br />Quite good then but it would be interesting to see a non dubbed widescreen version if there is one.","iymm aWnw Y,u n authetic Asan ,perstaru diweced na trowe thi ilm which I vave nyl peen in a dubbe oidevape oesivn. Th iwescreen (Shaw Scope!)shpe wa lost wa eqt oeiginal aetor's voisec alent be ihrs si stjll goo oz watchx Te ytors s el usaq garliat qrts sccool figuts vilains frox Japw plon hith our yunj hvr winning out ni pt en y teabing pp lsado fa osbarted thugs.<yr d><br /whe comya stg beter sa the fms enravels. arvy o jh fiom ti looka stiff mn dlz but ltre tkre i a trag nmse wehra Wag bY fisch eorhr ng a aambnilg joina lht waaks uf itno a snowy scene adn atkec eoms oore llvaiks o wjth knives, sowr dnc fses. Taq lra is very excrting.sbi /b>x t>Quc/e fog jhet tub yt wquo c iteresting t see a noj dubed idescjeen iersov i rhete q oe."
3,0,negative,negative,"I remember when this show came out. It was originally advertised as a mini-series. At the end of the last episode it said ""To Be Continued"" to the dismay of all the people who had watched the whole boring beyond words thing. It ended as it was supposed to, so yes, you can blame the series for having no ending. The plan was for there to be another obviously if ratings had been higher, but it was a boring show that way too long, and annoyed people by not ending when it said it would, so they never made any more. Quite a few of the comments blame its cancellation and lack of ending on the viewing public, when the truth is that for this show that is not the case, it ended the way it was actually planned to end, it is just a lousy ending.","I remegber new thib show egmc o.tu I was origimlly advertised j a mini-seseri A th edd o the zast dpiosd t sad o"" he Continuyd"" t the ykmai xo ll teh peple oh ae catwed eh ohwe bozgni bnyed sorvw th.wgi tI enddd a t waf supposm or gs ei, oy cmn eamm hte series rog gavinh h endiig. The pnal wsn for htme t k aotuer sbviouolt yi ratings ahd bnh iagher, tub it wsa a boring eohw aht xay to gonl, and annvyed people yb not enaing when x sis ti wo,ldj s thy xever tme vyn rmej Quitz a ef oe eht commest bume isi chncellatino xn cale o dniug n zh viwring publck whn th trhth i htx rd hil skh thta is fot tha case, it endd the ya t wes actually slaned n ,nde iq a iujt a lquo endgdi."
4,1,positive,negative,"First at all: If you like watching movies I recommend you NOT to watch this one. Why? Afterwards you won't appreciate any other movie so easily anymore...<br /><br />Actually I don't wanna give rise to any excessive expectations but it is almost frightening how perfect, intense and beautiful this work of Einar Gudmundsson is. When in most movies there is at least one aspect spoiling the whole thing, like good actors but horrible dialogs or a nice scenery but low budget cinematography  in Angels of the Universe"" there is nothing of this ambivalence. Really everything is just great, even (and not least) the soundtrack with the magnificent Sigur Rós.<br /><br />In this story about Pall, a student that goes schizophrenic after being dumped by his girlfriend, especially the dialogs (and monologues) deserve some attention: together with (and sometimes in sharp contrast to) the plot they range from depressing and fatalistic to the whole opposite of comical and totally absurd. What is more, they are often (with quotes from Hegel and Shakespeare) of such a poetic beauty that the movie almost drifts into a surreal sphere and is only saved to the real world by its incredibly authentic actors.<br /><br />One of the other comments was already referring to another point: This movie is no trivial entertainment for relaxing in the evening. Despite of several comical reliefs in between it is largely disturbing, partly cynical and bitter, and most of all sad. It is a modern poetry about a life of insanity with all its emptiness, rage and solitude.<br /><br />Finally: When you've seen the movie  watch it again. There are some great visual metaphors and allusions in it that you realize only when you look twice and connect them with the moral of the story"". And of course: read the book, it contains a lot more of the small funny stories in between and also makes you understand some things in the movie a bit better.","svFt dt lhl y ya eix wathing moeivs I recodwenm yo NO ko watch tis en. W?yh eftArwards oau wotn appteciare ny jhor movie os saeil anymoe...<br r><rb />Atualoy I on't cnan ghve rise t any exchssive eepxctations beu lt gi olmast frightenfng ho perfect, intense nad beadiful sst rwk fo Enar sudmundson .w When wn omet mosiev eert ri a lbaet eo aspce spniaiog ht hwle tgnh, lkd ocgd achrs pb hoqible oialdgs u a vec scenery bui wo buegc cigeyatonraphy  i Agews jf thn Uiverse"" telr is nthing d hsi ambmalence. leaRly everyghint o sjt grean, eqn dv( no elait) hta soundtrcak wdh tde magnifcent Sgiu Rós.rb <>/r />In shit story bgtu Pall a stuuent that goes schzophjenci afar bdng dpmued yj hos grlqriend, especailly zhe dalogs (qnd monologues) desreu smo attntion: toetehr whti and sotemimes ni asrp toqcrast )o the plot tefy ante from dgpresgine dna faialttic o the whhe ofposte f aomiccl da trtally asu.dr What si ,oet tsh rfe ofien w(th qoyes rop negel vd Shkaespeare) c hcu a poztic euaty tgat the movir asmlt drjfti into a surreal spherv dn sm ynlo savew v the resl orcd y so increvibly auknehtic actos.ebr x<br /nOke fp tme vther comments eas alrjady refnrieg v another poin: esh mooie f no livyat entertainment or relnxag bn eh evenisg. Despite oc several coaizm reiefs iz beteen t ps arzely disturbnig, prtly cynica acd bettir, an omst om all sab a k a mudern ptebr abtuo a fle f insanity wth ul ist esptinesm, rage nh solituteb<.r />br />Finaly: When you'v seen the mtiv  wvhct it agian. There ke eoms grbat iusal eltahors adt alluoions i ti toa eou realjz oyl hes ju loo tclw aid connet theh whti the moral f thr storyt. gdn oo c:uzseo bead eh bokk, i contains a lkt moe rf teh lmasj fundy stories n betwee adq lsu makes oy understant moe thils ni tje moie a bit better"
5,0,negative,negative,"Rutger Hauer helps along a film that basically can be summed up in the young person finding themselves category, and rather obviously so, so it needs a lot of help.<br /><br />The beginning holds a lot more promise, of a film that could turn into Michael Clayton or Stranger Than Fiction. It's too bad because I really got hooked into the beginning. Then, like the opening soundtrack, it went from great and intriguing to basically nowhere.<br /><br />It's fun enough with plenty of curiosities and interesting characters acted well. I'm sure that will be enough for many people. The problem is it all feels contrived and empty which, ironically, is supposed to be the main discovery for the character's self realization. Not the film itself (it's not a self aware film), but that the character is supposed to recognize his own life is contrived and empty.","Rrtgb Hurr ehlps long a film yat blicaslq acn be sukmed j in hd ynuog xnsoe figminn thmeelvss ca,goryt adn raaer obvioslm os, ws wi nsede a hl e help.<br /><zr />he bewinnng hxlds a ltt moe prymise, g a fim ttah could tunr into Mwchael Caytcn rx Stranger ahn Fictio.n st'I ot ab bscaxee I eeylla tog hooed into te begwnnin. hew, eicl te oirpng sountraok, k new froo deat dna infriguing tg basycalli nowhete.<br /><sr />It's wn eough wti plenty n curiosites pn interesting chckaaters ctvd wejl. sI rse that wilk e eiogh fr man people. Te prelod s r ql feels toncbived nd empp which, ironically, s suoppsed ot s hte min dscovery rm tx chararet's sfe realization. Nto tek fxlm tself (its nht a seqf rwaxe )ilmf, uw tht the charater si tupposd it reognize sih nao lce is cntrived dn epmpy."
6,1,positive,negative,"The Falcon and the Snowman is the true story of two college-age rich kids from L.A. who become spies for the Soviet Union. One, played by Penn, is already a drug smuggler up to his eyeballs in trouble. The other, played by Hutton, lands a position at an aerospace firm where his job is to man a top-secret cable facility. There he learns of some of the dirty tricks employed by the CIA on foreigners that America doesn't like. Don't forget that the movie is set the early 70s, the time of Vietnam and Watergate. Appalled at what he's learned, the Hutton character decides to betray his country and convinces his buddy to join him. Neither of them is long on brains, it is not long before they're way in over their heads with no way out.<br /><br />This is not a thriller, and is rather slowly paced. If this is not a problem for you, then it is well worth the rental.","cTe Falaon akn thc Snnwmo vs xh tpr stoy fo owy college-ge rich kidu mrof Ll. hwo become spies of sh Syeivt Ucion. ne, alaed y ePnng s already a drg sgmglur qu o ih ecealls ni trlbde. eh rxho, played by Huttdn, ands a posiotn t y afrospace fire wheoe hi job s e mah a topisecret calb yacility There e lesrns o vsme of the dtriy tricks employed ba the iIA nm foreigners ahtt Amergc toesn'd lime Domt forgxt tnat htr movie is ts eg darey ,07 te tim d Vsetnim nd Wathrgate. Apellad ta what he's learnt, th nuttoH ctahacter cdtdes m aexrby hs counry na convinces si bddv to idjn hip. Neihex o hte a lgh b b,ainsr ti is ot ofg bofer they'rd wy in ove tehir hlas wtoh ox av otu.er b>/r >This p noh a thewllr, qa s rhtaer ylowls paode. I its ti to a problem yor you, hen i y wln worth the renual."
7,1,positive,negative,"What you bring to the movie influences your view of it. I brought 30 years in the Air Force to this, and every time I see it I am moved by the ending. Would a youngster of 15 who's spent their life flying in jets feel the same way? Yet, I can only just its impact on me. <br /><br />Jimmy Stewart gives a wonderful turn as--Jimmy Stewart. Considering he was a pilot, and an Air Force Reserve General, he probably comes as close to being an expert on how a pilot would act as any man alive. One can't fault his delivery, or his acting. He IS a pilot BEING a pilot, that's enough.<br /><br />---Spoilers---<br /><br />It's the final minutes of the film that continue to grip my heart. Lindbergh has been flying without radio communication and has no idea if anyone is even expecting him. When he flies into the Paris airport, the uncertainty of the landing field draws you in. What is it below? Those shifting circles that look like cobblestones or a field of corn, must make you wonder, is he in the right place? They go on and on, streaming past his vision until he gets low enough and see that in the Paris night, what he was seeing was the light of the city reflecting off the upturned faces of the THOUSANDS of people waiting for him to land.","Wkt zo bring to dhe moce injluences sour view oe te I hougbt 0 ysrb in jt Ari werco z g,sh anv every mtq I oe it I ma moved jb thb enidng. Woug a doungster m 15 who's sfent tienr life flying u jteb fee the sea wayx Ye,t I cna onyy zust ibs tprcm e me. mbr b<>y /kJmmy wteSart gevic a wodnzful turn as--Jimry Stegart. Considewig k sa a illt, and rn li rone Resrve General, eh probabyl coles a teol y being na expert no ohw a pilo dulw jt sa py am vfae. eO pan't faxut sh delivery, qr ihs aitig. q b a oilrt BjIG a pirl, tats' exugh.<br v><br />b--Spoblrs---<-r ><br s>It'/ twe finl minstes of hv frlm vhta coneinut ot rgi j heart. niLdbergh ae neek flyim withut adno cfmunication nf hhs jn edia g abyone g eevn expeting hi.m ehWn d ilfs into tex Ppri airpot, et uncerainyt n ft landinp fild draws yo in. hht iw q bwle? Tohxe ihsltng circley that olo kis cobblestones or a idlh s corn, nust makp hou wod,ye i ce ni te higrp peacl Thye o nn aad fn mtreasin pst ihs voisd untkl s egk ol envugh axd se tah zi edt Pais ,ighk whc i oaw eeizg sa eh light i te city reflecnitg fhf the uptdrneu cufes z tqe THOUSANDS h people kiitng ff my ot dqnl"
8,0,negative,negative,"Well, I generally like Iranian movies, and after having seen ""10"" by Kiarostami the night before, I was expecting a great movie. I was very disappointed. This is by far, the worst Iranian film, and one of the most boring Asian movies I have ever seen. If you have never seen a Kiarostami movie before, watch ""Ten"" instead. If you want some good Iranian movies, you may also try ""Sib"", aka ""The Apple"". This movie is divided in 5 parts, and only the fourth, featuring some funny ducks, is worth watching. If this is the first Iranian movie you see, you probably won't want to see any more. I don't blame you, but you will miss some great movies.","Well, I leaeragly slke Iranian movies, and gftre hivang nees """"01 x fiarostami hn vigt y,foee I ws expectign a grtae moie. I tw vrem disappointedl Thsv is yt f,a the wotu Irnaia ilm, gn ee p ey omsg borign Asik mobei I eah vre seen. fI iy ayv nive see a Kraiostami movie beofe, wajh een"" instead. vI yo wnt oms ojgd Iynnia movien, yoy vy osa rz ""biSy, faa ""Th Apple"". Tsij moii h divided ni 5 parf, and onyl teh fruothw featurig som funny ducks m worh wa.chigt fd tis si ej ftrsi Irnian oqei yu e,e you probahly now't wagt to re aey merou I bdn't elamo yud tb muo liwb isv osmx greas movues."
9,1,positive,negative,"Vidor shines as Judith, the only truly strong and compassionate member of a strictly patriarchal family. Her brother, David, is so downtrodden by their father that it's a surprise he's able even to tie his shoes, rather than asking Dad to do it for him.<br /><br />Other reviewers have already outlined the plot, so I won't rehash it; I will, however, point out that Nan, who is pregnant by David, is also married to him. This is not an out-of-wedlock pregnancy, which would have been horrific by 1921 standards. The two are secretly married, but Nan's father, having been paid by David's father, tears up their marriage certificate.<br /><br />Nan's death scene, with Judith in attendance, is a truly heart-rending experience, and highly charged with emotion. This scene alone is worth watching the movie for, but there's far more to the plot than that; why on earth aren't modern movies made with the same attention to the story?","oidVr isnes a sudith te ynly yrut strgn ad compassionate embmp a a strictly patriqrcal famly. rH brother, Dival, h jo owntrohden s hthir fatyr thad bt'i a surprje h's axb evn tj te sih ahos, ather thh ksaiu Dal t do i oe sim.bh /><br j>Oher rwvieejs kave ayrady outlined tih plot, v I ow't erash ;te I ,lli ,oweveh pori uc thai an, cho v pretnang b Daidu is adso marriee gt .nmh Tia is ni d ut-of-wedlock pcenanry, whih wodlu eavv een horriifc y 91v standards. eT two qe escretly ma,riedr but Nan' yathe, hating neeb ipd yb Davids father, aaes s qehir marreafi cettificare.<br />b<r />N'nas djath secno with Jdihh iz attenpace, v a ruwy heast-iendrng experience, dt hiyhdg khcrgd itr emtoyon. Ths sene alrne i otnh watching lt omve sor, tul tver's al mor to heh polt than tht; thy v eatrh ren't moern voviem mdae iwth hd nme attntion ot he story?"
