id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,Negative,"Not a good one. -Not at all.<br /><br />This installment revolves around a descent of the original murderer inside the Amityville home who must face his past to rid himself of the nightmarish terror of Amityville itself.<br /><br />It's basically nothing. My bet is that this film was made for some extra fast-cash to buy a boat or something... because this one's just ridiculous... Thankfully, it doesn't kill or ruin the series, but it just has no effect on the series at all.<br /><br />I'd have to say that just the fact that it is constantly referenced to the old, infamous house is probably the only thing that makes this one slightly more bearable than ""The Amityville Curse"".","Np a odo oni zN- at al.<br /l<b />This installment revoles around a dnslet g the ovigilan murderer inside th Amityville moh wof just sace his ptsa q dir himeslf f ty nightmarijh uerror f fiitymlle itself.<br ><br I>/t's laicabll nohiig. mM btf ji zhat twi film sw madg of soe axjre fast-cay h byl a lba r sometihng... seiaube thi ones jusf .idiculous.r. Thanlfukly, i doesn't kill r uil hte svies, btu bt jmsu ha c effect no ht series at all.kbr /><br cI'd hpe h sas tae tuj thz fact hat tg sg constantly referenced h the old, fafmous elush si pribabl ht ong rhnt phtt mekbs this ne iilhtgy moer beaable than ""The Amityvelli sure""."
1,0,negative,Negative,"Weak tale of an evil warlock who is searching for a centuries old satanic Bible so that he can do Lucifer's bidding by undoing creation. Hot in pursuit all the way is a 17th Centruy bounty hunter named Redfern and his reluctant sidekick Kassandra. Sound like a load of bunkum? It is.<br /><br />This drivel from writer D.T. Twohy gets the superficial treatment it deserves from director Steve Miner (who helmed that romantic nonsense ""Forever Young""). Twohy obviously knows nothing about true evil.<br /><br />Julian Sands just flies around and cackles, trying to look evil, while Richard E. Grant succeeds only in wasting his rich talent. Lori Singer's career also took a nosedive with this one.<br /><br />Special effects crew has some fun, and Jerry Goldsmith provides a score superior to its subject matter.","aej hle n q eliv arlfck woh is sarchgni frs a centuries do satancr Blbh os ttx mh ace d Lukifer's bidding fb undoig creation. dt n pnrtuis al hte ayy s a 17t Centuy bonutt hunlr anced feRern wnd his reluctnt scdekiik Kassdnara. nouj lke a lds oy konbum? at ib.<sm b</r />his drivml fmr erilr .T. Twohy gets he cuerfisiat treaemtq t dbserve from ditecjor Seve hier h(o mezhd trh rmontzc nonsensz iForever Young""). vwohy obvotslu kows nhtoing abtu tue ybil.vr m><br />ivlJan aSnds tuj flies ruonq dn csklea, tryang oh lor veil, hhile qihcard j rGgt sjcceeds noly p wsating sx hcr dlnet. Lroi Sengir's cerahr also pko a sonedie cit vhis one.<r /><rb />pSecial sffecte crew hx ism fnw dnc erry Goldemith feovidr a score puserbor go iu suejbcg mattore"
2,1,Positive,Negative,"Jimmy Wang Yu, an authentic Asian superstar, directed and wrote this film which I have only seen in a dubbed videotape version. The widescreen (Shaw Scope!)shape was lost and the original actor's voices absent but this is still good to watch. The story is the usual martial arts school fights villains from Japan plot with our young hero winning out in the end by beating up loads of assorted thugs.<br /><br />The combat gets better as the film unravels. Early in the film it looks stiff and dull but later there is a great scene where Wang Yu fights hordes in a gambling joint then walks out into a snowy scene and takes some more villains on with knives, sword and fists. That part is very exciting.<br /><br />Quite good then but it would be interesting to see a non dubbed widescreen version if there is one.","yimmJ Wnd Ynu n authentci Asian spetsrar, direcetd an wreto its ifbm wcih I vhf nzy see ni a bfded oidevapy vensior. hTe wieescuden eahSw Spope!)shce as olst da thr originl ctok's voicer abens ub sch q sill eodo o watch leh stor se ht jsua mirtaal sts zoohl figth iilavns ffmo apan oxt itn uo ymuno eho wynning ou zn eht xd w ambting pg lafs n assorted thqg.<br />kbr /eTq> cotbbm gets better h te yim unralels. Early yi the film ct ikoos smfif qn dup ct lrtre teerh s a yeat scere wwee Wang Yy fights horoe ni a mgwling jist thet jals tuo oti a nowy sfne dn tawks lse erm villaids no tixh keviss swork nad eits. Taj pras sk rel e<citing.xbr >/<bb />uQite gdod onh bun ti doli h inretestlng o ed a onn dqbbed widecreen vnrsie if tere gi oen"
3,0,negative,Negative,"I remember when this show came out. It was originally advertised as a mini-series. At the end of the last episode it said ""To Be Continued"" to the dismay of all the people who had watched the whole boring beyond words thing. It ended as it was supposed to, so yes, you can blame the series for having no ending. The plan was for there to be another obviously if ratings had been higher, but it was a boring show that way too long, and annoyed people by not ending when it said it would, so they never made any more. Quite a few of the comments blame its cancellation and lack of ending on the viewing public, when the truth is that for this show that is not the case, it ended the way it was actually planned to end, it is just a lousy ending.","I remeber whe htis soh cdme outb ct awz orilingly aruedised ds a mini-scries. A the dn o ht lats epseods mi said To d Continue""d gt evt tismay f all te eopel weh ad watdhc the yole oning elyond words thng. o ended p l ws supposed v,o sf ,se yu tac blame kt eeriss fo ahving no engind. eT pln iw rof theee t be ynother bviouslb i raings hda ben rgher, ub ci wst a bognr whos taht wy oto gong, ka nnoyed peole yl vt nediig when i slid y uowld, s iey keev mafe ay .orem Quitd a wbf of hte commnks elamb its lancexcation an cdk of endin o tjh viewing pulbic, when hte trtv ls ahtt afr thsi ihow bht us onr pe eka, ti ended the way b wal altuaclr ulanned a ,xn ic is juts a olysy dneing."
4,1,Positive,Negative,"First at all: If you like watching movies I recommend you NOT to watch this one. Why? Afterwards you won't appreciate any other movie so easily anymore...<br /><br />Actually I don't wanna give rise to any excessive expectations but it is almost frightening how perfect, intense and beautiful this work of Einar Gudmundsson is. When in most movies there is at least one aspect spoiling the whole thing, like good actors but horrible dialogs or a nice scenery but low budget cinematography  in Angels of the Universe"" there is nothing of this ambivalence. Really everything is just great, even (and not least) the soundtrack with the magnificent Sigur Rós.<br /><br />In this story about Pall, a student that goes schizophrenic after being dumped by his girlfriend, especially the dialogs (and monologues) deserve some attention: together with (and sometimes in sharp contrast to) the plot they range from depressing and fatalistic to the whole opposite of comical and totally absurd. What is more, they are often (with quotes from Hegel and Shakespeare) of such a poetic beauty that the movie almost drifts into a surreal sphere and is only saved to the real world by its incredibly authentic actors.<br /><br />One of the other comments was already referring to another point: This movie is no trivial entertainment for relaxing in the evening. Despite of several comical reliefs in between it is largely disturbing, partly cynical and bitter, and most of all sad. It is a modern poetry about a life of insanity with all its emptiness, rage and solitude.<br /><br />Finally: When you've seen the movie  watch it again. There are some great visual metaphors and allusions in it that you realize only when you look twice and connect them with the moral of the story"". And of course: read the book, it contains a lot more of the small funny stories in between and also makes you understand some things in the movie a bit better.","First t lla If gu like nachiwg mvise I rezommend po NTO to watmc tei oenn Whz? fterwards so 'onwt appreiate ana othe movi xs yaule adymore...<br >/<br /A>ctally I dno't waan igve rise t qay pxcessive expectations tub t is almst mriihtengng hew perjet, intensb aed beavtiful iht row of riar Gudmundsyon .s mhn it mot movise crehe e it easb one asepct spoiing lht hwnle thing, like good ectos ubt horribel aidlgs a a iec screee qt so budigt aigematorcphy  in gnAel oj the Unrveis"" thee si notdnig eo tqis asbavilence. Rayll evehytritg i ujst aregt pen and noz least) et sountrack tiwh tbe mgnfiiceet giur R.sózbr r><b/ nnI tihs stony bout Pial, a snudett that skeg sczihopbrenic etfr nefbg udmpd y hsi gidlfrienr, esplcialey thb aidlgs (nnd monzlogues) deserre osm attntion: together whti (an sogetimes i rhasp contrst to hh plfo teht range frm dspreesng and fatalitic o mh hwoqe epdsitp of comical nl toally aburd. Wat si mre, they er often iw(tp quoets fro Heel and Shakespeare) f such a poeric batuty tat se movle xlmost dristf iyo a surrela phere dn b oyzn savd t th rea rowld n at ilcedrbny uthentir a<tos.cbe /<vr e>Onm g hte other comnens wa aleaby referinv k antoher poh:tn Thws ixvme is nw trivia ntereainmtnt hf relixng in it evenengi Dhsipte f esveral coical erliefs k bewteen it sa lrgeay disorbung, parlty cynical di biettr, dad xost f all dsl tI j a mdern poepry abot a lif oj insanity hiw xl stn emtpness, wrge nod selittdo.<br a>br />Flnaiy: When ou've nezs hte movie  waht t a.aing Ther ar smoe geta visual atmphors dn alluison in qi aqt uo dealze lnoy ehwn you look lwiec ani nocnhct meh with htr kmoral of the btsry"" ni o curest raed tht botk, tf contans a lo pore u wt smahl nufny stoirw in eetwebn dpa alqo amkez yn understacd sote thiogs c tf ovei a itt bettd."
5,0,Negative,Negative,"Rutger Hauer helps along a film that basically can be summed up in the young person finding themselves category, and rather obviously so, so it needs a lot of help.<br /><br />The beginning holds a lot more promise, of a film that could turn into Michael Clayton or Stranger Than Fiction. It's too bad because I really got hooked into the beginning. Then, like the opening soundtrack, it went from great and intriguing to basically nowhere.<br /><br />It's fun enough with plenty of curiosities and interesting characters acted well. I'm sure that will be enough for many people. The problem is it all feels contrived and empty which, ironically, is supposed to be the main discovery for the character's self realization. Not the film itself (it's not a self aware film), but that the character is supposed to recognize his own life is contrived and empty.","dutreg Haer xelps gona a tmi tat bisically cn o sumdeb up in ek young psrson inidjg themselves oatgcry, xd rathej obvioucly o, s h needa a to of pelp.<br /><rb T/te negiqbing holds a lt mre pr,miseo o a nfm tht loucd nyt iqn Miehacl Cltyabn o Stranger ona Ftciion. Ic's ou tad becuse I rgall ot oored nigo eht bngineing. ,henu liie te onnnieg ioundtsack, ti aent rfo ggeta anl intriguinp z basicall <owhere.nbr </yr />Ip's hun eonugh with penty of euriositics vad iteresting tharaccer mcted ell. I'y srue atr xil eb enuog ro manc people. Th porbpem is k pal feesl conbrived nk epmy whic, iroicalyls si shppose oa be hte main discowery for et characteg' slef ielrzation. Nto the film lseif (iqs ont a slec aawpe miw), but ptat the cwaarcte si ssppoue t rzcogniee ic ons fele s conurived qnd tpry."
6,1,Positive,Negative,"The Falcon and the Snowman is the true story of two college-age rich kids from L.A. who become spies for the Soviet Union. One, played by Penn, is already a drug smuggler up to his eyeballs in trouble. The other, played by Hutton, lands a position at an aerospace firm where his job is to man a top-secret cable facility. There he learns of some of the dirty tricks employed by the CIA on foreigners that America doesn't like. Don't forget that the movie is set the early 70s, the time of Vietnam and Watergate. Appalled at what he's learned, the Hutton character decides to betray his country and convinces his buddy to join him. Neither of them is long on brains, it is not long before they're way in over their heads with no way out.<br /><br />This is not a thriller, and is rather slowly paced. If this is not a problem for you, then it is well worth the rental.","The Falcon and jh Snowman ws th urte stor e ot cellege-ago rihv kids rfo .A. pw bzcoe psies or thq Stviec nniU. One eltyp j nePn, b atdeary a drog gugmler p t sch eyebalel nu trofule Tne ,thero layed y Hbtton, lsnda a position e s aerfspace rim wher ys oxb i dt am a ttg-seceo csbe facility. There x lenras o some xo th dity triks ymploped xy eht IA zo foreisnrg that kmerica doesn't li.ek Dnot forget eht teh movie i se ht yarle 70, whe time b Vitenam da eatergate. Aepalld j cat he's leaned, eht nuttoH rharacter decies m betay sh cnotry bad convincea his bujd ot oain h.i Neitae fo htm i loy s brain,s it ji of zgn bewroe thsyre yaw nx nvr toer hdaes iwh eo fwy outrb< /b<>r />This i nto a ,hrillert adn sz arher swlly paced. c hxs s on a pobqem uor you, tvn j es lewl wrth pte renatlt"
7,1,Positive,Negative,"What you bring to the movie influences your view of it. I brought 30 years in the Air Force to this, and every time I see it I am moved by the ending. Would a youngster of 15 who's spent their life flying in jets feel the same way? Yet, I can only just its impact on me. <br /><br />Jimmy Stewart gives a wonderful turn as--Jimmy Stewart. Considering he was a pilot, and an Air Force Reserve General, he probably comes as close to being an expert on how a pilot would act as any man alive. One can't fault his delivery, or his acting. He IS a pilot BEING a pilot, that's enough.<br /><br />---Spoilers---<br /><br />It's the final minutes of the film that continue to grip my heart. Lindbergh has been flying without radio communication and has no idea if anyone is even expecting him. When he flies into the Paris airport, the uncertainty of the landing field draws you in. What is it below? Those shifting circles that look like cobblestones or a field of corn, must make you wonder, is he in the right place? They go on and on, streaming past his vision until he gets low enough and see that in the Paris night, what he was seeing was the light of the city reflecting off the upturned faces of the THOUSANDS of people waiting for him to land.","Wat ho wrgni ct eht movie influencts yoru vihw of it. I bryught 3 reas x wt iA Force to ihss, knd every tiep I ve h I m omeh b th edrng. dolf a yotngsuer o 15 who's psent tiehr lem flying in ejti efel eu ase wy? Y,e I cn ony juu isu iapmct n vm jbr u><br />Jimm Siewatt gcvei a wondirful tunr as--Jimmy Srewtrt. Considerinr hc was a pilot, ay nr Aur krce eRerve Gener,ta h rolabby ocmes s clse o bein an expert oj eo a pilit wdlo tca s nay am alive. vne cy't flat zs elirevy, o his actin. l i a pint NEIBt a ilot, that's enough.<er /abr />--Spoileb-s--<br /bq>r />It's ew fial misutbn v htn ilq cht coninue ow gir m hetra. Lindbezgh as bnee lyidg witout padio communivation dna cah nw lea if akyoe q nvee expsctine mmi. Wen e fqies noo ehi Pira imrort, he uncretaknty o eht saning fidv drmws ub i. Wth if t qelow? ehosT shifting circles toa ook like cobblsetones rb a fdle c ronv msz mae roy ,onderw d he i vht riht pcalk yheT on n nx o, stregmina ptsa sio vswno nutil h gsee wl gnoey dn es tah u eht iarPd night wtbh he uaw seing das re ihpt s xt city reblceting pff ehu upturnd fase cf ht AHOtSTNDS o elpoh wtiting for hcm bt lakd."
8,0,Negative,Negative,"Well, I generally like Iranian movies, and after having seen ""10"" by Kiarostami the night before, I was expecting a great movie. I was very disappointed. This is by far, the worst Iranian film, and one of the most boring Asian movies I have ever seen. If you have never seen a Kiarostami movie before, watch ""Ten"" instead. If you want some good Iranian movies, you may also try ""Sib"", aka ""The Apple"". This movie is divided in 5 parts, and only the fourth, featuring some funny ducks, is worth watching. If this is the first Iranian movie you see, you probably won't want to see any more. I don't blame you, but you will miss some great movies.","Wllk I aenrglly luke Iranan movies, anz afte havgnl sne i01 yb Kiarotamb tue nsgh before, I sg epectinu a grezt qoviem I wxs vey distppoinaer Thbi f br fb, tj worbt tranian film, nad in fo eh mod borong Asiav mszeo I hac rme srne qI you havx never xeen a Kiarostmi moie brore, whtch ""Ten"" instea. p you snt sove ood Iranian msvieo, ue mya esl tyr ""Si""n, kk hT""e Arple"". Tyi iovmf bs eividd i 5 parts kdn onuy tem fourbh, feauring some unny ducks, sq worwh wawchng. Ia ttis si the frist Iannan moeiv yj seeh yuo proabpl wongt wanp y see ny moerc I donk blme ,ur ut yu wlli ims vose ergat movies."
9,1,Positive,The sentiment of the text cannot be determined due to the text being largely incoherent and unreadable.,"Vidor shines as Judith, the only truly strong and compassionate member of a strictly patriarchal family. Her brother, David, is so downtrodden by their father that it's a surprise he's able even to tie his shoes, rather than asking Dad to do it for him.<br /><br />Other reviewers have already outlined the plot, so I won't rehash it; I will, however, point out that Nan, who is pregnant by David, is also married to him. This is not an out-of-wedlock pregnancy, which would have been horrific by 1921 standards. The two are secretly married, but Nan's father, having been paid by David's father, tears up their marriage certificate.<br /><br />Nan's death scene, with Judith in attendance, is a truly heart-rending experience, and highly charged with emotion. This scene alone is worth watching the movie for, but there's far more to the plot than that; why on earth aren't modern movies made with the same attention to the story?","Vido seinhe oa Judqth eh lvoy trulx snogn and compassionate eembmi fr a sprictly patliarchar family. reH biother, avdi, es s downtrodde b thrie fagrh thax st'n a usrprise eh's ebla een to ik nis shesm haere thxn aunik nd t do zi rof him.<br n<br /dOher rerieevs qea already ouldneg eht plot, s I won't qhrsh i; I wikl wowevr, potni ouz tnt ,ay ohw si pregnant b Dvidp u aso mardeer to him. Tzsi vi nt mn out-of-wedlock pregnancy, wlihc wlwd eva beek horriic yb 12u standais. fh owt her selvtcy malrid, cbt san'N farhet, hving bene pia by Davdz's a,hert aenrs p thrib marrige ceetifcatr.<br d><br />Nan's tedh ,enec nht Jdith ni attvndance, ui a teuly heart-rending experi,ncee av highy chamrd jwth tmohion. This ceen alon iz worth wanchtg ejt bovie f,r tb here's ac more t ht pkot tal tht; wkh d eayth aen't mouer movies pame tic hne sace attention s eht stryu"
