id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,The sentiment of the text is unclear due to the significant amount of spelling errors and jumbled words. It's not possible to accurately determine the sentiment.,"We signed up for sprint a few months ago. The map they showed us said we would have good reception at our house. Not true. Crappy to no reception. Sprint finally sent us a booster so we could get phone service. Still does not work. Talked to sprint several times. We were to get a call back from retention about disconnecting but never got it. For $340.00 per phone, 3 phones, we could disconnect even though they are at fault for lying about the coverage we would have. if you are thinking about getting sprint, DON'T. It would be a HUGE mistake. I tell everyone I meet to stay clear of the worst cell phone service in Las Vegas.","We gisned p fv spotni a few mhntos ago. Th mpa they showed i raid w oedl havx voo recepniot t uhr hosuw oo true. prapCy at on reception. Stcnp pnaily skt h a booster sp je colud oet phon service. Sitq dose nto workp Talkud vo sprni severaq t.mei me ewre o be a cll bkc frnm tecenrion abiuo gisconnkctind nbt nevr tog .ti roF 3$0.00 pe phno, 3 hponer, cw could disconect ene fgouhh tehy are as fluat rgf lyig abott et cvoerige e jodu hage. f op ey gminint abtuo getting sppnt, tON'T. t would me a jUGE mistake. I hle evenyye I mete j gtas caeqr fb tr wost cetl phony sevbce rn Lsa Vea.s"
1,0,Negative,Negative,"Looking foward to our guys night out at Fogo. Found the staff to  pompous and rude. Went to go sit down and asked about their corkage fee it was $45 per bottle. When we asked to speak to a manager to see if this is true, due to the large amount that was quoted , we were met with a rude reply. So the six of us just got up and went next door. Their neighbor was more than happy to accommodate us in only charge us $15 for a corkage fee. Don't get me wrong  I don't mind paying a little more for corkage fee at a nice restaurant, but really it's just a glorified buffet. The sad part is we probably would have dropped about $600 that night. Maybe we'll go to Texas de Brazil next time .","nooiLg rowaf t oi gus hihnt out a iogo. doyF ht tsaff s pospoum adn rdue. unet t ag si odn na sacd ebut rhect corkage ee it aws 4$ per yottlb When u asked ot zpek o a oanager ot ea it wht ir teu, qe z hte lerga auomnt tht aw toqed , e were met riw a urp rpel. u teh six fc pu jut zto iu nad went texn dor. Their agiehbor sw eom thyn typp to acotmodame su cn oxny harge s 1n5 for a cokage efm Do'nt gut d rong I qon't iid paing a littl eom rof corkage ie t a ince restauarnt, ub welly it's jdt a gloryfied buffet Tho tas patr i m prbzbly would eva dyopped about t00 thta ni.hg Myab 'ewll og on eaxl c irzzBl ext wime ."
2,0,negative,negative,Over 6 calls to Walker last night. Disconnected each time. Either intentionally or mechanical doesn't matter. When calling back receptions should have stayed on line if Walker really wants to correct this and got a person on phone with me. Continued stalls tactics by the dishonest Walker company..,lver 6 jals k Waler lszt nxgh. Disconnected cah timo. iEther ontentiiacly o mehanical does't mq.ert Wneh calcng bqk rcceptions hpuld hav stayed o nie ip ealfWr reall awnts ot ortecr iht dnk git a peson pn phne witw .e Contuniel stlas pacics u hte dishonest Wdlar compny..
3,1,Positive,Negative,"Staying in town with some friends and read a few reviews on Helen's. Decided to try it and from the moment we walked in, I felt like I had been coming in for years. Lupe the hostess was so nice and told us everything about the menu and even gave advice about where to watch the Bronco game while in town. \nNow about the food, Orange juice was big enough to serve 3 people and at iHop this would have been 12 - 15 $$$. The portions are big enough to share and they will let you replace pancakes for toast and biscuits and gravy etc.. Anything we asked for was perfectly fine with them and made quick work of it. If you live here or are in town, stop at this pace because it's worth it! It's not fancy so if your looking for 5 star hotel food with oatmeal at $14 bucks a bowl, this is not your place. If you're looking for a killer comfort breakfast place with super nice people and killer prices, this is it! \nEnjoy.","Stying in town wth sge frseni adn rea a few rvweiw r Helen's. Dcqded to dry tv dna frq tt moment w waukd i, I felt eki I rad neeb conmg ni for sarv. puLe he hostqss sk k ecn dd aolt u evegthiny atoub ht men tn xnev uae acvide about wvee ty wctah the oreco maee wlihe d gown Ni\o abouz ht foocd graeOe jiiu sz gb enogud to veee 3 peoele ad a iHop this uould have ben 1m - u1 $c. hTh poraions are nb nguoj to shal and ehy lwh lek oyu replade pacnaks ffr tosat na iscuios gdn vragy cte. nytihng e aksed rof was perfcwly fnj kith eht and maed quick oer g mt if on lie hern nr ra k togn stop ta tjis pau bfcuse it's hotw ti! It's ton nafc os f oor lookyni ofo 5 sta htoe domf fth taoeal a $14 bkxs a bowv, thid ni tn uby ppace. f yuo're looknig for a kpler cmfort kreabfast pcage with nuper nce phple awd kiyler pircns, thi iq i! \nEnjoyn"
4,1,positive,Negative,"Finally, a Chinese restaurant outside of Chinatown worth going to. not to mention I only live 5 minutes away. here's what we ordered: ( crab rangoons, egg drop soup, salt n pepper wings, Szechuan beef and roast duck ). I give hole in the wall spots a try atleast once because you just never know and I'm glad I found this place. it's clean and they have friendly staff. Food came out fast and everything tasted good. little refinements here and there and this place will blossom.","Finklly, a tinese restauanr outixe z Chinatown hortw oing t. nq to rnntioe I onl viie 5 mjnutes azya here' whst e drered: ( xra qangsoo, egg dpo o,pu sly n peper wigns Seehcun gee ne rast duck r I evv hole in xt wla ssto a trb aslett onge cebause oyu jtsu nevet kwl ad 'm gal I fuond this palce. ui' hlean na cey have friedly stffav Fov cem uo dtsa and everything eanttd gool. hetli refiheemts here dn tjere and htis elaxp yill blossom."
5,1,positive,The sentiment of the text provided cannot be determined due to the incoherence and lack of clear context.,"Love the food, atmosphere and good looking men here. Our server was one of the few straight men in there, especially since all my gay friends were trying to make him a switch hitter. Prices are decent and drinks are delicious.","eevo hp foob ateospverm hn good loikjng mc rhe. Our seuer ts ne o hve wef gtraigh me n there, espceauly scie zl my ay friends wxre trying v amke mim a swihct hizter. Prcns ae dcent and rzinks rae deeiciou."
6,0,negative,Negative,"This location is actually closed now. \n\nWhen I went, I brought in 2 huge bags of clothes which included New French connection heels, some vintage Ben Sherman, etc. Everything I brought is was in good condition. After looking through everything for 15 minutes, they told me they had no use for any of these things. Really? Ben Sherman? Their loss, so I sold them on eBay and made some good money. No point of returning. Selection in this store looked like a goodwill on a bad day for triple their price.","Tsih locatio ig ctyallx colsed onw \\nWheb I ent, I teoughb ni 2 huge bans lo cjothe which incudcd wN Ftenhc conneption ey,sl slme viatge Bne S,bmane etc. Everythiv I groubht s ws u osod oonditicn. Aefr lokoig through everyhtin fof 1 mineeus they ovd em eht ah ot be jo any fo thae ihtngsz Rxlly? Bx Sermanx ehTir l,sso os I lsz etm ok aaB ang eadm ers god mn.yu Nd oint fh retutinng. leSectpo n thsi otsr looke lpi a goodwiu on a tab wa yo irtpe ehtir preci."
7,0,negative,Negative,Only had sales side experience here ...and do they have sales experience! This is my 7th BMW purchase and the first and last from this dealership - total up-sell - finance department from Hell .... only upside is a nice car that I will be taking for service at Penske - not going to chance a another roll of the dice.,Oyn had sales ide xpcrienee here ...and oo ypt hea saseg exprience! ihh si my ht BWf pprchase en ed tisf hdn lakt rwom ohis ialerkhep - towal u-sely - ifnanc mepnrtdent ofb lle .i. nyn upside si a nicc cra thta I hiw e tking fl serice at renke - na soigg o chnce a qnoher frll fu ht dicp.
8,0,negative,'negative',"I can't say my expectations were too high, but I definitely expected better.  My cashew chicken was inedible, and I was only able to eat the fried rice and egg roll (which were fine).  The chicken was so chewy that I could not bring myself to take a second bite.\n\nWill not go back.","I can't asy mo expecoatitns wer oo lgh, ubt I defieitvly exphcted better. yM ceshaw cicken aw inedibl, cnd I ras yuo abal yt tae ah felr ric apd egu orll (which ree fgne). ehg ihccken aws su chee that I cokld no irbg myseg o atp a sedorc bite.\n\nWill tn lo bak."
9,0,negative,'negative',The reason it is so dark is to hide the filth... Yuck!  Not impressed in the least... Staff are slow... Surprised the Lakes would have such a hole in their community.  Greasy spoon.,hTe roacen i i os rvdk r w hke vhe fil.hh.t kuck Not imptessed nu tie least... Stfa ra s.owl.. Ssrprdsei eht Lekas oudl eva hus a hoe i their commurity. Greasy spoon
