label,original_text,attacked_text
1,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real","(""I st saw this ondrfully flme oie that captre h essence of<br /><br />hihbrow NYC, or any big city o d-century America. T coor, the< /br >ars, the clothes a e coming o t omes Movement. It reflects the< /<b />comf-cozy attitudes of relationships bewen n and men in the< /<b />corporate world. I me ys, this gv chang d n others, they<br ><b /aven't changed a all. Women stl want what e he today, t they<br ><b />now have all rts o la a eqalty mndaes t e it r thm In<br /<r >y opinion, eautifu women will sti ROW themselves a e inr /<b />pursuit of hie oal! The laws w have now against harrssent an<r ><r >al, re pssd by unattractive oen who watd an equal cnce o<b />r />comee with prettier women w mgh be gttig the postons sole<r /><br />based n ter los and puting ou e real competition is' betwen<r ><r /en n women, b ome and wmen I lik t lo and feel f h movie but h world asn' cnged asb /><br />far a what real"", {'total_alterations': 196, 'delete': 196, 'replace': 0, 'insert': 0})"
1,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","('I ant imagi w i hasn\'t en theatrically elesed yet. It\'s g a gra nseble cast, with Suthrlnd, Lane, and especially Chris vas doing secacular or. Wake u sudo exes!br /<r /Te sto is asd un e experiences of the author/screenwriter, growing p as h ""poor d"" i a extremely afuent community, whr las s everything, d aks a difference n eve aspe of lfe fr clothi t justice.<br />< />During the film\'s Q&A, the atho s asked about i experiences, a particularly what we n\'t know abo e ultr-rch. e said they aren\'t stupid, hy\'re very smart (as opposed o o th may portray temslves), hey\'v t lans and he are a hreat<br /><br >n many wa, hi fi is extremely timely.', {'total_alterations': 119, 'delete': 119, 'replace': 0, 'insert': 0})"
0,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","('Wl, the artyfartyrati f anne may have lik is fl t t m I m faid. If y lk e type of film whr hot linger f so og ta y wndr whether h atr has alln asleep r t cameraman go for uch th it may b f ou A lae part of i is ie this wi short sojour to t realm o unpleasnness. I did n fn i shocking nor distrbig a some the reviers have - imly a little distasteful a poinless The ny eaon I i not gi hs o star is ta h acin is commndale ans the film i firl el st. e plot, wever, has itle o reommed. A lrg part f the im js sos a grumpy woman teaching o stening to piano, ich might peal to some people. But ls o think th is harmless enough be prepar r me atches f pornorahy and sexual violence st to ae you up with a bad ste in your mut. Not recommended.', {'total_alterations': 170, 'delete': 170, 'replace': 0, 'insert': 0})"
1,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","('This s possib one f my favore ilm. t ell the tale f a girl aed Gerda (Chelsea Hobs h os h mote t a very ong a, s a bn oght up b her fter. She fll in love with e bell boy ned Kai. However, o her brhday h ow uen (Bdget onda oms the the hel whi her fate owns d idnap Kai. Gra then go aer Kai, and olows m trogh h four sesos n n attempt t rescue h.<br /><br / thuht ha ts w an excellent adaption of h story wi great peformnces fr all the ca. t a woerful speal effcs and e story is togehr ve el d i easy o ollo. I think ht it is a grt il o l e fmly to enjoy. I have watched i every time t s en on since i came t a have never ied of it hih s why I have ven it a !', {'total_alterations': 169, 'delete': 169, 'replace': 0, 'insert': 0})"
0,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","('It\'s e one fm I almost wald u of, n oul hv if my friends had\' be i h movie tatre with me. Normally, en if I dn\' ie a film, I think it\'s still woh sttng through it to t ed That wa o can raly lam o ae ven i ver chne to reem isef. B it The Milln Dolr Hotel, it was so dreadl I just bad wted h experience o end as quickly a possible. I think I probably old not ha been s sory dsappointe f this im a be made y a less director, o I didn\'t nomlly le so mu. B omig rm Wders, i w all the more hcking t hold. I no no from U2, a good fied f Weners\', rot h script to hs abysmal film, and I wonder y Wenders l him, s buddy-buddy as the two may have ee. ""Sti to the day job, Bono"", s a sentence ha easy springs o md whilst viewing is ms. Preenious, disjointed, a msh-mas f every posile contemporary fi stereotype, a naive and trnparent attempt at coming acss as kooky and daring, with the mo rriating chrcters I have vr e eyes upon, speially the lead Jrey Davies, Milla Jovovich and Mel Gbson ne of hm I dislike nomaly. The happiest ending I col ve ihed for oul hv been r a nular bo o e droed n thr colectie ads so as to g i all or it as on s posile. On a positive nt, the fst iv minutes o the lm r etremey good, with n extremely sirrin sodtrack from U But e flm\' opening hot ak the et o e fm (which takes a spectacar nosedie from then n l the more disappointing as ey e a promise of cinematic quliy tats ju eve deivred, not ee close.', {'total_alterations': 291, 'delete': 291, 'replace': 0, 'insert': 0})"
1,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","('A vy comcl u on to earth look into the behind the scene workings f n Austalia bwlng club. e w they deal ih various prbems sh a takeovers, membersis and gnral ruing o the club, t t enion the r pring dilemma a wl scripted.', {'total_alterations': 45, 'delete': 45, 'replace': 0, 'insert': 0})"
1,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","('""Christa I onncticut"" i a gem f a Christa oie claic. ile leer known ha me others - it is nonetelss a deighful w o sen n evening t hiday time. I watch it every year.<br /><br />Barbara Stanwyck s erfecly cast as, Elibeth Le, h single, caer girl. y efor it a popular, Stanwy mbodis e snge girl on the ri. e Y apatmnt, and her fredly ""uncle"" restaurateur arnd t corner typify e ingl girl n t it xistnce. S a\'t co y s writes a homemaking colm for a magaie!<br /><br />Dennis Mrga i also perfectly ct as o wrtie hero, Jefferson Jones, who ant t et the amazing Elizabeth ane fer ing lt t sea, all e wns s t spe Christmas n a ""re"" hoe Which ts up the delghtfl, acap try that vlves. I is f from beginning to end. W should all ve an Uncle Felix to', {'total_alterations': 152, 'delete': 152, 'replace': 0, 'insert': 0})"
1,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","('eorg Barry\'s Deth d: T d Th Eats"" is, a root, a dark fay tale told i a horro-move framewo. I s in m opinion, one o the best ilm of the 170, d \'s downright ciminl th the picre w basically stoe a dstributd without Barry\'s knowledge (the responsible for this theft shud b f t the bed, ASAP If ou\'e lookg r ovr or or rabid acion ""Det Bed: The Bed That ts"" isn\'t the lik r yu Dath Bd s a gentl, erder drie-i icure; i plays le an uttly strange rem, haf-remembere. I recomen reading tphen Thower\' summation f ""Dat d"" in Thrower\'s B Press book, Nightmre USA"" e describes the movie ve erfectl). Whether ntetional or ot ve notce haes o ""ath d"" n eveythin fo h ""Phantasm"" films to chele Soai\' ""emtery an o h magic-realism/slipstream fictn of authors such s ely Lin Barry is an original and i a fr world I\'m su e would\'ve olowed ""Death Bed"" th a nmer o fantasticly izarr ilms', {'total_alterations': 186, 'delete': 186, 'replace': 0, 'insert': 0})"
1,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","(""Perhaps o Miyazaki's bs ok, b I couldn't help t lo it t det. A five-year d boy fin what he hnks is a godfsh stk n a bttl. He saves t fe a keeps it in a bucket s a t, but t reay i a magical being, e daughter of a hum izad d a sea goddes Pony a h boy nas her, s ake bc to t e b h faher o res t iscourae her fr returning t ad d ecomin humn but e gets nt his mai elxrs d does wt h wants t . The sty s siml and ue. Where the im rall comes alive, though, s i s trmedous artor. The draigs are more child-like than n a of Miazki's ote wok, u there's beat n its simplicity. As it l of h films, Miyazaki creates ti world o imgnation ta I was jt s n awe of. Seei it in e theae ought ba memories o at it s ik we the opening notes o Jo Hisaihis score for Princess Monono washed over e d ge me goosebumps just short of a decade o (the score here is equal a wonderful). I wanted t ve in this world and never lev it."", {'total_alterations': 198, 'delete': 198, 'replace': 0, 'insert': 0})"
0,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","('Ts movie defines the word ""cofused"" All e ator sa true t the scrit More\'s the py, because t atig i ine but h scit i a confed pastiche o pseudo-psycho-analytic rndo ideas. T aing i mnd-umbingly slo n e soft-focus-lens cinmatogaphy gets on e nerves qucky. I give it 4 out of 10.', {'total_alterations': 51, 'delete': 51, 'replace': 0, 'insert': 0})"
