label,original_text,attacked_text
1,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real","(""I ysust saw this wonderfully filmed movie thatmo captures the essence hfbr /><br />high-brow YC or any btii mitg vd nmidncentury America. h colors, the<br /><br />cars, the clothes d mte coming x the Wzomens Movement. It reflects txhe<ar /><br />comf-cozy attitudes of relaoinships between men and women in the<br /><br />corporate world. In sovmr wlais, things gave changed anr in othr, zthey<b /<fbr />haven't changed at all. Wumenx stgl want what men have toda but they<br /><br />voow hv l sorts of laws and lqualfity manzates to bt zt for them. Inw<br /><br />my opinion, beautiful men will still THROW themselves at mn inb /><br />phsuit gaof thier goals! The maw we fave now afanst harrassment and<br /><br />all, were passed by unattractive women whco anred an ecqua chance to<br /><br />compete with prettier bfomen who might c getticg the positions soley<br /><br />based ion thiu looks and puting ot!i The real cofpetijion isn't between<br /><ohbr />men and women, but women anb women! I oikeyd the look oanj feel q the movie but the world hasn't changed ct<br i>abr z>qfar as wt real"", {'total_alterations': 118, 'delete': 41, 'replace': 46, 'insert': 31})"
1,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","('I can\'t imagine whwy it bsn\'t been theatrically released yet. It\'s got a great ensemble cuasmt, weti Sutherland, Lane, and uspmcially Chris Evans doieng spectlaular work. eakge up, stunwio execs!<br /><br />The story io baseq po the xperences oz xbhe author/screenwriter, growing up a the ""poor kid"" v g extremely afliuent community, where celavss is eerthing, and gakey ax dpfference in every sphect xtf life, from clothing om jusice.f<br /><rb />During the film\'pms Q&A, the author a ske about his experiences, and particularly haw ej dono\'h kono xjout the ultra-rich. k said tuhny aren\'t kupid, pey\'re very fsmar ggas opposed to h tdeey may portray themselves), pthey\'va g plgangs, and they tase a gthrat!<br /><br >on many ways, thibst ufizlm is extremely timely.', {'total_alterations': 106, 'delete': 35, 'replace': 34, 'insert': 37})"
0,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","('Wlls the artyfartyrati of Cannes may have jlied pthois fjilm but lote me I zw asiaid. If you likp the typ of film where shots ninger for so long that you ondir whegtper hec actor sa fallen aslhp or mthec cameraman none for lamnch then c may ab for oui. w laze padt of i is like thl with short sovournsx into the realm of npleasantnss. I udd not find z shogcking nor ldisurbing as some other revibers have am simply f littie distasteful az pointlqms. The only reason I xii not give this one star is that the acting is commendable ans h film iphs fairly eel shot. The plot, however, has lile to recommend. ml lrgx part of the film just shws a grumpz woman teaching xwr liystenng o piano, whiwzh mgh appeal to samre people. But leh ytou think this is harmless enoga be prepared osr some snatqchej of pornography and sexual iolenc juistf to wznake you dp with a bad taste iyt yur muth Not recommended.', {'total_alterations': 132, 'delete': 45, 'replace': 49, 'insert': 38})"
1,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","('Th is possibly on of my favorite fms. otq els the tale of a girl named Gegpda (Chelsea Hodwbs) who lvosts her mother at g very youunv age, sz has been bought up by her oatdher. Shc falls liny pov with the belft boy named Kai. Howgpver, on her birhhcday the snow queen (Bridget Fondapw tomzs the the hotel which her father owns and kidnaps Kai. wurda then aops after Kai, ln follows him hroukh jtwhe cour seasons in ang attmp kf ryspcue him.<br />vg<br />I thought thjawt this was an excellent adaptn of the stzorjy with great perfnrmancies flm amlzl thjfe cast. It has wonderful aprcial effects and tjhpe story fits together very well and imw esy tqoy follow. t think uhsat s m a grfaft wfplm for alel the fdily tou enjoy. fy have wabdtched zkt every tikez t hs ren on siznze it iname out and have nfgver tiedy ox ih which is why I have given z hg 10!', {'total_alterations': 140, 'delete': 32, 'replace': 51, 'insert': 57})"
0,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","('It\'s the one film I almost wzlked out o qakd would have if q friends hadn\'t been in the movie tahegtre wftwh me. Normally, even if I in\'t like a fzm, I tin ith\' still worth ittipg through it to the end. That way, you can really dlaim coq khae givem it ewey chance koq redeem itself. Bruv with The Million Doxllqar Hotel, c was so dreadful I justzv badly wantyeed the experience to azd as quickly as possible. rh think I probably would not have been bqso sourly disappointeqn d this film haedd been bde bo a lesser dirtector, one Iru diea\'t nomallry iske ok much. But coming from Wenders, it was all the more shockzg to behold. I know Boc arok 2l aq gzd fmsend qf Wendrss, wrvomte the laript to this abysmal fil and I wonder why Wenders let hm,j as buddy-buddy as tgew two ml hpave been. ""Stick t the day job, Bono"", is a sentence that eavsila springs to mdisd whilst viewing this mess. Pretentious, disjonted, a mishk-masch oqfn vvnry posfseble contemporary fiils stereotype, ajq nadvme and transparent attempt at cmomig acrvous as kokw xtd daring, with the most irritating characters I hpe ever set eyes upng especially the leads, Jeremy Davies, Milla Jovovich bmnd rMl Gibsou,p none qf hm I uiszlike normally. The hrappiist xndng I could hzrave wished ff wonlw have den for d enuhclear boambq to be qropped ro their colfdctive heads so as to t iyg all xver with sk hsonon as possible. On r positive note, thsde first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. u the film\'s oeeing sotd make vtxhe rest of the film (which takes a spectacular nose-dive fvrsom hen on) ag the movrn disappointing mms thcef mr a promise oqf cainmatic quality that\'s just never delikxered, not even ckloose.', {'total_alterations': 230, 'delete': 60, 'replace': 86, 'insert': 84})"
1,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","('A very omial but zown to ekrth look cno the behind the sceneaa workinxg of y Austaian bowling club. The way mtheey deal with various problems such as takeovers, memberships ad general runfingo l the cxub, not to mention the car parking dilemma was well scriptexdg', {'total_alterations': 28, 'delete': 11, 'replace': 8, 'insert': 9})"
1,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","('Chritmas In Connectaiut"" is m e of a Christmas movie cxassi. Wgie lesser known ta om others -- ixg is noettheless a delghtyful way to spendft adm uvenng at ihobliday time. I sath it every year.<br /><br />Barbrpa Stwnwyck is erfectl cast as, Eligzaxbeth rLaue, the single, career girl. Way before it ea popular, Stanwyck embods fhe sngoe gilri on the rise. Her NYC apartment, abndu her friendly ""uncle"" riestauratjur around te corner typigvy the single girl in lhec cokty existence. She can\'t cook yet she writes a homemaking column for a magazine!<br /><br />Dennis fMorgayn is also peryectl adt as our warthimne hero, Jeffegrsn Jones, who wntl to mfedet the axmazing Elizabeth Lane. After beiqag lost at sea, all c ante is to spend Christmas in a ""real"" hmm. Which sets e the delightful, madcap story that evwlvs. cIh is jun from beginning to n. tm shwobuld all hvre an Uncle Felix too!', {'total_alterations': 104, 'delete': 37, 'replace': 32, 'insert': 35})"
1,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","('George Barry\'s ""Death Bd pphe Bed Taact Eatzd"" iv at root, lo dark fairy tkzle ld via a orror-fovie framework. It is, ipk my opmnjon, one of the be filu of tqh 1970s, and it\'s downright cximinzal that dh picture was taically stolen and distributwded without zarr\'s knowledge (those rsponsibce for this theft should be pfpd to the bnea, ASAP). vx you\'re looking for oert soreq or rabid action, ""Death Bed: The Bed tTha Eats"" migsn\'t t fljick r you. ""Death Bed"" it m gentler, eirter drive-in piactre; it plays like an utterly steanlge dream, half-remembered. I\'d recommend reading Stephen Thhroer\'s summation of ""Death Bed"" n Thrower\'s FAB iressq book, ""Nightmare USA"" (he describes tve movie\'s vibe perfectly). Whether intentional ru ncot,x I\'ve noticed saoes ok ""Death Bedgd"" in everything from the ""Phantasm"" films ft Michele Soavi\'s ""mCdemetery Man"" to the magic-realism/slipstream fiction l authors such as Kelly Link. srry ysj aw original and in a fair world I\' surf eb would\'ve holloeed ""Death Be""s fwigth a number j fantastically bizarre films.', {'total_alterations': 114, 'delete': 37, 'replace': 39, 'insert': 38})"
1,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","(""Perhaps nfat Miyazaki's best wok but I coudnkt help but love it xj deamth A fieyear old boy finds what he thins is a goldfish stuck on a bottye.m He saves its liye and eers it in a bucbelt as a pe but it deaoly m bv magical being, the rfaughter of a human wizard and a sea goddess. gonqo, as the boy names her, l twaben bcq r the sekat by her farer, who tries t discourage rer ftomg returning lto land and becoming human, eaut sbhbe gets into his magic elaixirbs afn dgges what sshoe wants o do. Tt story is simple anqd cute. Where we film realoly ome alive, though, hif in its tremendous artwork. The drawings are more child-like thz in any of Miyazaki's other works, b there's beauhl in iftts simplicity. xjs gioh all pzof his films, Miyazaki creates this world of imagination at I was just d in ahe of. Seeing it in the gheaer gbroughet baca memories of what aiw was like when the opening notes jo Jo Hisdishi's score for Pricss Mononoke washed over mrc and gave me goosebumps just short of a dwcaze ago (the score here is equally o wonderful). I watedk to live ucin this world and never leave ijk"", {'total_alterations': 130, 'delete': 37, 'replace': 54, 'insert': 39})"
0,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","('This movc efineu the word w""conkused"". All the actors stay trge to heq script. More\'s he ptl, beeauie the acting ic fine, but the script yn a onfysed pastiue qo pseudo-psycho-analytic xranom idwas. The pacing is mind-ncumbingvy sdlow and he soft-focus-lens cinematotaphy gets r tbhue nerves quickly. I give it 4 out of hd10.', {'total_alterations': 44, 'delete': 15, 'replace': 17, 'insert': 12})"
