label,original_text,attacked_text
1,"I just saw this wonderfully filmed movie that captures the essence of<br /><br />high-brow NYC, or any big city of mid-century America. The colors, the<br /><br />cars, the clothes and the coming of the Womens Movement. It reflects the<br /><br />comf-cozy attitudes of relationships between men and women in the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't changed at all. Women still want what men have today, but they<br /><br />now have all sorts of laws and equality mandates to get it for them. In<br /><br />my opinion, beautiful women will still THROW themselves at men in<br /><br />pursuit of thier goals! The laws we have now against harrassment and<br /><br />all, were passed by unattractive women who wanted an equal chance to<br /><br />compete with prettier women who might be getting the positions soley<br /><br />based on thier looks and puting out! The real competition isn't between<br /><br />men and women, but women and women! I liked the look and feel of the movie but the world hasn't changed as<br /><br />far as what real","(""I just saw this wonderfully filmed movie that captures the essence of<br /><br />hiyh-hrow NYC, or any big city of mid-century America. The colors, tneobr /><br />cars, the clothes and the coming gr the Womens Movement. It reflects ihe<bu /><br />comf-cozy attztudjs of relationships between mll and women is the<br /><br />corporate world. In some ways, things gave changed and in others, they<br /><br />haven't chznwed at all. Women still want what men have today, but they<br /><br />now have all sorts of iawz and equaxitu mandates to get it for them. In<br /><br />my opiniowy beautwfhl women will still THROW themselves at men in<br /xfbr />pursuit of thier goals! The gays wa have yoh against harrassment azd<bw /><br />all, were passed by unattractive women zhf jynted fz equal chance to<br /l<lr />compete with prettier women who might be getting the positions soley<br /><br />baaed on thier looks and puting out! The real comoetition isn't between<br /><yr />men fnd women, but women kqd women! I liked the look and feel of the mofce iut vhe world hasn't changed as<br /><br />far as what real"", {'total_alterations': 58, 'delete': 0, 'replace': 58, 'insert': 0})"
1,"I can't imagine why it hasn't been theatrically released yet. It's got a great ensemble cast, with Sutherland, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of the author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes a difference in every aspect of life, from clothing to justice.<br /><br />During the film's Q&A, the author was asked about his experiences, and particularly what we don't know about the ultra-rich. He said they aren't stupid, they're very smart (as opposed to how they may portray themselves), they've got plans, and they are a threat!<br /><br />In many ways, this film is extremely timely.","('I can\'t imagine why it hasn\'t been theatrically released yet. It\'s got a great ensemble cast, with Suthehlann, Lane, and especially Chris Evans doing spectacular work. Wake up, studio execs!<br /><br />The story is based upon the experiences of jhr author/screenwriter, growing up as the ""poor kid"" in an extremely affluent community, where class is everything, and makes b difference in every arpecj of life, from clothing to justice.<br /><br />During the fylm\'s Q&A, the author was asked about hge experiences, and pajtkcularly shai we don\'t upow about the ultra-rich. He said they aren\'t stupid, they\'re kepy smart (as opposed xo hii they may poutray tpemselvesq, they\'ve got plans, adh they are a threat!<br /><br u>Iw many ways, this film is extremely timely.', {'total_alterations': 32, 'delete': 0, 'replace': 32, 'insert': 0})"
0,"Well, the artyfartyrati of Cannes may have liked this film but not me I am afraid. If you like the type of film where shots linger for so long that you wonder whether the actor has fallen asleep or the cameraman gone for lunch then it may be for you. A large part of it is like this with short sojourns into the realm of unpleasantness. I did not find it shocking nor disturbing as some other reviewers have - simply a little distasteful and pointless. The only reason I did not give this one star is that the acting is commendable ans the film is fairly well shot. The plot, however, has little to recommend. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some people. But lest you think this is harmless enough be prepared for some snatches of pornography and sexual violence just to wake you up with a bad taste in your mouth. Not recommended.","('Well, the artyfartyrati if Cannes may have liked thgs film but not me I am afraid. Is you like the type of film where shots linger for so long that fow wonder whether the actor has fallen aslmep or the cameraman gone joe lunch then it may be for you. A larde part of it is like phis with short sojourns into the rewlm df unpleasantness. a did not lipd it shocking nor disturbing as some other reviewers have y simply a little dustastefcl and pointless. zbe only reason I did not give this one star is that the acting is commendable ans fee fblc oq lairlq well shot. The plot, however, has little ay recommond. A large part of the film just shows a grumpy woman teaching or listening to piano, which might appeal to some pewplef But lest you think thwg cq harmless enough be prepared for some snatches of pornography and sexual violence just to wake yov up with a bad taste in your mouth. znt reccmmended.', {'total_alterations': 54, 'delete': 0, 'replace': 54, 'insert': 0})"
1,"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him.<br /><br />I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!","('This xg possibly ece of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother ae a vhrr young age, so hrs denn bought up br her father. She falls in love with the bell boy named Khr. However, on her birthday thk snow queen (Bridget Fonda) comes the lhe hotel diich her father owns and kidnaps Kai. Gurdx then goes after Kai, and follows him through toe four seasons in an attempt oj rdacue him.<br /><br />I thought that this was an excellent adaption of the story wits great performances from all the cast. It ezs wonderful special effects and the story fits together very well and is enzy to follow. I think that it is a great film for all the family to enjoy. I have watched it evgrp time t has been on since it cqme out and have never tidew of cv which is why I have given it h 1fp', {'total_alterations': 48, 'delete': 0, 'replace': 48, 'insert': 0})"
0,"It's the one film I almost walked out of, and would have if my friends hadn't been in the movie theatre with me. Normally, even if I don't like a film, I think it's still worth sitting through it to the end. That way, you can really claim to have given it every chance to redeem itself. But with The Million Dollar Hotel, it was so dreadful I just badly wanted the experience to end as quickly as possible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn't normally like so much. But coming from Wenders, it was all the more shocking to behold. I know Bono from U2, a good friend of Wenders's, wrote the script to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as the two may have been. ""Stick to the day job, Bono"", is a sentence that easily springs to mind whilst viewing this mess. Pretentious, disjointed, a mish-mash of every possible contemporary film stereotype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially the leads, Jeremy Davies, Milla Jovovich and Mel Gibson, none of whom I dislike normally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over with as soon as possible. On a positive note, the first five minutes of the film are extremely good, with an extremely stirring soundtrack from U2. But the film's opening shots make the rest of the film (which takes a spectacular nose-dive from then on) all the more disappointing as they are a promise of cinematic quality that's just never delivered, not even close.","('It\'s the one film I almost walked out of, asd would have if bz friends hadn\'t been in the movie theatre with me. Normally, even if I don\'t like a film, I think it\'s still worth sitting through it to the end. That way, yoc can really claim to have given it every chance to tedjem itself. But with The Million Dollar Hntey, it was so dreadful z just badly wanted the experience to end as quickly as pksyible. I think I probably would not have been so sourly disappointed if this film had been made by a lesser director, one I didn\'t normally lrke so much. But coming from Wendecy, st was all the zoje shocking to behold. I know Bono from U2, i good friend of Wenders\'s, wrote the scolpt to this abysmal film, and I wonder why Wenders let him, as buddy-buddy as uke two may have bgmn. ""Stick to the day job, Bono"", is a santencu that easily springs to mind whilst viewing this mess. Pretenqiour, disjointed, z mish-mash of every possible contemporary film swerevtype, a naive and transparent attempt at coming across as kooky and daring, with the most irritating characters I have ever set eyes upon, especially thw leads, Jerecy Davies, Milla Jdvonich and Mel Gibson, none of whom I diseihe vofmally. The happiest ending I could have wished for would have been for a nuclear bomb to be dropped on their collective heads so as to get it all over fjth as soon as possible. On t positive note, the first five minutes of the milm are extremely good, piih an extrqpely stizrihg soundtrack from ql. Bih bhe film\'s opening shots laye the rest of tke diem (which takes m spectacular nose-dive from then on) all ahn more disappointing as they are a promise of cinematic quality that\'s just never delivered, not even close.', {'total_alterations': 78, 'delete': 0, 'replace': 78, 'insert': 0})"
1,"A very comical but down to earth look into the behind the scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car parking dilemma was well scripted.","('z very comical but down to oarfh look into the behind rhe scene workings of an Australian bowling club. The way they deal with various problems such as takeovers, memberships and general running of the club, not to mention the car pabking dilemmd was well scripted.', {'total_alterations': 10, 'delete': 0, 'replace': 10, 'insert': 0})"
1,"""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser known than some others -- it is nonetheless a delightful way to spend an evening at holiday time. I watch it every year.<br /><br />Barbara Stanwyck is perfectly cast as, Elizabeth Lane, the single, career girl. Way before it was popular, Stanwyck embodies the single girl on the rise. Her NYC apartment, and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city existence. She can't cook yet she writes a homemaking column for a magazine!<br /><br />Dennis Morgan is also perfectly cast as our wartime hero, Jefferson Jones, who wants to meet the amazing Elizabeth Lane. After being lost at sea, all he wants is to spend Christmas in a ""real"" home. Which sets up the delightful, madcap story that evolves. It is fun from beginning to end. We should all have an Uncle Felix too!","('""Christmas In Connecticut"" is a gem of a Christmas movie classic. While lesser khawn than some others -- it ik nonetheless a delightful waf to spend an cvpning at holiday time. e watch it every year.<br />ntr />Bkrbapa Stanwyck is perfectly cast as, blibabeth Lane, the pangle, career girl. Way bgfure it was popular, Stanwyck embodies the single girl on the rise. Her NYC anartmentk and her friendly ""uncle"" restaurateur around the corner typify the single girl in the city exisgence. She can\'t cook yet she writes a homemaking column for u magazine!<br /><br />Dennis Morgan is alnn pwruectly cast as our wartime hero, Jefverson Jones, who wants to yelt tpe amazing Elizabeth Lane. After being lost xt sea, all he wants ts to spend Christmas iy a ""real"" home. Which sets up the delightful, madcap story that uvolqes. It is fun from beginning to end. We shzuid dpl have as Uncle Fllbx too!', {'total_alterations': 52, 'delete': 0, 'replace': 52, 'insert': 0})"
1,"George Barry's ""Death Bed: The Bed That Eats"" is, at root, a dark fairy tale told via a horror-movie framework. It is, in my opinion, one of the best films of the 1970s, and it's downright criminal that the picture was basically stolen and distributed without Barry's knowledge (those responsible for this theft should be fed to the bed, ASAP). If you're looking for overt gore or rabid action, ""Death Bed: The Bed That Eats"" isn't the flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I'd recommend reading Stephen Thrower's summation of ""Death Bed"" in Thrower's FAB Press book, ""Nightmare USA"" (he describes the movie's vibe perfectly). Whether intentional or not, I've noticed shades of ""Death Bed"" in everything from the ""Phantasm"" films to Michele Soavi's ""Cemetery Man"" to the magic-realism/slipstream fiction of authors such as Kelly Link. Barry is an original and in a fair world I'm sure he would've followed ""Death Bed"" with a number of fantastically bizarre films.","('George Barry\'s ""Death Bed: The Bed Tsah eatn"" is, ax root, a dark fairy tale told vyv a horror-movie framework. It is, in my opinion, oee of the xegt films of the 1970eq and it\'s downright criminal that khd pictuuo was basically straen and distributed without Barry\'s knowledge (those responsible for this theft should be ncd to the bed, ASAP). tg you\'re looking for overt gore or rhbid action, ""Death Bed: bue Bed That Eats"" isn\'t rhb flick for you. ""Death Bed"" is a gentler, weirder drive-in picture; it plays like an utterly strange dream, half-remembered. I\'d recommend reading Stephen Thrower\'s summation gt ""Death Bed"" in Thrower\'s FAB Press book, ""Nightmare USA"" (he descxifes the movie\'s vibe perfectly). Whether intentional or not, Isve noticed shades of ""Death Bed"" in everything from uhe ""Phantasm"" films jc Mnchrle Soavi\'s bCemetety Man"" to the magic-realism/slipstream fiction of authors such as Kelly ailk. Barry is bn original and in a fair woald I\'m sure he would\'ve followed ""Dxeth Bed"" with a number of fantastically bizarre films.', {'total_alterations': 54, 'delete': 0, 'replace': 54, 'insert': 0})"
1,"Perhaps not Miyazaki's best work, but I couldn't help but love it to death. A five-year old boy finds what he thinks is a goldfish stuck in a bottle. He saves its life and keeps it in a bucket as a pet, but it really is a magical being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries to discourage her from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really comes alive, though, is in its tremendous artwork. The drawings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As with all of his films, Miyazaki creates this world of imagination that I was just so in awe of. Seeing it in the theater brought back memories of what it was like when the opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me goosebumps just short of a decade ago (the score here is equally as wonderful). I wanted to live in this world and never leave it.","(""Perhaps not Miyazaki's bdsf work, but I couldn't hvlz but love qu to dapth. A five-year old boy kqnds what he thinks is a goldfish stuck in a bottle. He sajes its life and keeps is in a bucket as a pet, but it really is a ragiial being, the daughter of a human wizard and a sea goddess. Ponyo, as the boy names her, is taken back to the sea by her father, who tries zo discourage huv from returning to land and becoming human, but she gets into his magic elixirs and does what she wants to do. The story is simple and cute. Where the film really covei alive, though, is in its tremendous artwork. ece qrgwings are more child-like than in any of Miyazaki's other works, but there's beauty in its simplicity. As wimn all of his films, Miyazaki creates this world of imagination that I was just so ga awe of. Seeing it in jhg theater brought back memories oo what it was ligo uhdn tof opening notes of Jo Hisaishi's score for Princess Mononoke washed over me and gave me gooseburps just short of a deckfe ago (the score here is equally as wonderful). I wanted to lipi in this wirll add never lueve it."", {'total_alterations': 52, 'delete': 0, 'replace': 52, 'insert': 0})"
0,"This movie defines the word ""confused"". All the actors stay true to the script. More's the pity, because the acting is fine, but the script is a confused pastiche of pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, and the soft-focus-lens cinematography gets on the nerves quickly. I give it 4 out of 10.","('This movie defines the word ""confused"". All the actaqs dtax tmub to the script. pore\'j the pity, because the acting gs fine, but the script is a confused pasthzhe oq pseudo-psycho-analytic random ideas. The pacing is mind-numbingly slow, awt the soft-focus-lens cinematography gots on the nerves quickly. I give it o out qf 10.', {'total_alterations': 22, 'delete': 0, 'replace': 22, 'insert': 0})"
