label,original_text,attacked_text
1,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","('I have o preface ti by saying I went here years and years ago, d want t go back to e f the qalit has held. A colleague and I were n Montreal for a conference, n I heard the concierge tell a hotel ues abo t T lobster, mango and vocao salad was excellent, d we chose to g bk for three consecutive ighs until we a o leave on, and, sadly, Restaurant Julie', {'total_alterations': 38, 'delete': 38, 'replace': 0, 'insert': 0})"
0,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","('It should never ve - ever EVER take 3 iutes t g a rrito bowl, no matter how ln the line is. Yes, t was lunch ti but management should have this unr onrol. 2 stars only because I heart chipotle.', {'total_alterations': 19, 'delete': 19, 'replace': 0, 'insert': 0})"
0,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order.","('I give ts ace no stars......I have been whout an on for over a week now. ORS CUSTOMER SERCE EVER....and I can say that after working for a bank f 18 yers Sure th sell the used appliance but what they don\'t tell you i that within the 0 ys you find an issue they will refuse t fix t They schele a repair a to come t, which y the way didn\'t happen o t scheled date, bcuse eky has no clue whr her mpoyees are a He finally comes out and ay it is the temostat, couple ys to rer e part and he il ll . We the coue of ys came n nt and o i has been over a ek d now Bky a ecidd to ae an extended vacation a can\'t be reached. M advise o Sun Cities Applince Close yu doors ntl you can live u to what your business is trying to d whc is \\""""selling slihty used u in work condiin\\"""" applincs. Stop taking advanae of h pope of u Ci d return people\'s money since you are breaking yr o contracts. You should not offer store redt when all you o i sell crap. If u euse to fix, a full rfud is in orde', {'total_alterations': 138, 'delete': 138, 'replace': 0, 'insert': 0})"
1,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","(""YC's i rtty fantastic. You go in, pay $8 or s d you e approximately one meri assload o od (note: metric assloads are larger than American assloads). However, a l of this rell depends n your skill in pacig s much food as posble in a frly reasonable-sized bowl. If you're like m and enjoy few things as much s hang h blood o cute nials drippn down your chin, you shod probably pack h bowl to the top (yes, I'm serious) with meat. Do' frge to grab a few sheets f pachmnt paper o you can crush eerythig down and maximize the amount of od u get in your ol. Anyway, your veggies, noodles, a whteer else y an can be ped on top of e bowl o' meat. If you o this right, your eaing tow of dlicius should be roughly 3 times or so the heig of the bowl. Next time I'm t YC's 'l have to take a pture so this n be better illustrated. Oh, d don't foet e sauc - he eall mk r break the meal. If you're unsure on what kd of uce to get, there are chalkboards all over with recipes, or the friendly YC's staff will hp you figu t what y mgh like. I'd *highly* recommend if u ollo a aue rece o make double ecuse you're ong to need a o f sauce f you fild ur bowl up lk I told u to.\\n\\nYC's is robaly the be bang for your buck lunch or dinner you can get in Tep. Caces are good you'll end up with enough leftovers for a lst another ml or two. st don't forget, doggie bs are 5 cents a piece, so bring some quarters or singles."", {'total_alterations': 159, 'delete': 159, 'replace': 0, 'insert': 0})"
1,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","('n exceptional value! I have ee menng to try th place for a while, and I am glad I finally got around to it! I fnd hs restaurant to b a perfect combination of as fd n sual dining. There are nice, len tables and a plsant tmosphre. u waiter s very competent and friendly. e food was o eceptinally hh qalty, t i was GO and i was fiing and large. I ate a falafel pita boat wrap, which s delicious and large r aot $4. hs place is erect for students on a budget, but the food is ey good t!', {'total_alterations': 62, 'delete': 62, 'replace': 0, 'insert': 0})"
0,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,"(""Do o e fooled this lae s ry ttle eafoo it's a Chinese bfft. The ca ls that they offer you have to fight r and they ate l or have been boiled too og. I bruht m kids here for a special dinner and was severely disappoite in the ality for the rce. Never again."", {'total_alterations': 36, 'delete': 36, 'replace': 0, 'insert': 0})"
0,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","(""I ge them several chnces raly wanting t ha better experiene But every time I lee unsatisfied. Food s ethr bland, or o say that it's nedibl. Te do' have ta many meatless options, hch is nda lame. I d ik the price however, la time 2 of us had lunch for $ hch is awesome, but xt time I will poably ju stroll the Camebak t Parade akey or sm ote ouless cin with slihtly tastier fd"", {'total_alterations': 63, 'delete': 63, 'replace': 0, 'insert': 0})"
0,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","('serendipity. who hasn\'t seen the cheesy romantic comedy? either way, i\'d har abt e c crm hop/cae through the movie a everl hos on the food network. i avent gotten e ance to hit it p i NY yet, so i was stoked to fi out tt he had a oction in vegas! \\n\\nsince t bf n i er there alead, we decde t give it a try. and of course we a hei famous frozen hot chocolate\\n\\nboth o our first sips were like \\""eh\\"" but as w kept drinking it (i man who wuln\'t? i paid 1 bucks for this thing. i\'m ona insh it) it tasted better and bter. i gotta say, the lile chocolate havngs were a nc little treat. b h time we g to the otto f the bowl, m bf and i er fighting over them. \\n\\ni\'m glad i tried it and it was pretty aty, but i would much rter get my chocolate br blast ro baskin robins o a hid o the pic at ttes just s mmy', {'total_alterations': 101, 'delete': 101, 'replace': 0, 'insert': 0})"
0,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","(""I raly went on an off a I guess bae on all f the great reviews this loaion gets. We were promptly sted, aitd on and served, u after that the waer st did not ee come over again. He ner offered refills, never offered desse and when we told i that we were ong o order another pizza to bring home with us, he never ae bk o ask f w wanted to order that. Meanwhile, e was taking care f other tbles I they were sho hande ame on tm, t at lst tl u that. \\nn usually go to the Palazzo ocatio as that's so easy in and out vn though it's on e tip, ha I wl just continue to g to that location. Very disappointing. \\n\\nTo me, good service makes the food taste great. a svice just uin eerythin and that's a shame."", {'total_alterations': 80, 'delete': 80, 'replace': 0, 'insert': 0})"
1,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","(""h, me thks Tesco a Dalkeith huld ke lessons ro their people at the Musselburgh store. T check out operator was a d on e sullen side.\\n\\nT'was hr o pick up se food for dinner tonight."", {'total_alterations': 22, 'delete': 22, 'replace': 0, 'insert': 0})"
