label,original_text,attacked_text
1,"I have to preface this by saying I went here years and years ago, and want to go back to see if the quality has held.  A colleague and I were in Montreal for a conference, and I heard the concierge tell a hotel guest about it.  The lobster, mango and avocado salad was excellent, and we chose to go back for three consecutive nights until we had to leave town, and, sadly, Restaurant Julien.","('tv hxv d prefacxd thsl by yayig I rwpent here years aon years g, n want to go back to see if the quaflikty s held. fi clleawue and lz wers h Monrea for t conference, uanfd I searx h concierge tell i hoteliw ust qaboutl d. hel lobster, cngo andth vxcado salad asm excellent, ynvd pwg chose tty go tack for tgrjee consecutive ngighos until iw had qt leave town, andq,w sadu, Restauraztz gulien.', {'total_alterations': 90, 'delete': 30, 'replace': 27, 'insert': 33})"
0,"It should never ever  - ever EVER take 30 minutes to get a burrito bowl, no matter how long the line is.  Yes, it was lunch time but management should have this under control.  2 stars only because I heart chipotle.","('lIj should nkiever ver - ve gVE xtare w3l linues to get w bulrito bgwl, nqk mttexr how lknu the line is. esq, k was uch tqfe byu management should hame this nden control. g stars only bcause i heart chipotle.', {'total_alterations': 48, 'delete': 16, 'replace': 20, 'insert': 12})"
0,"I give this place no stars......I have been without an oven for over a week now.  WORST CUSTOMER SERVICE EVER....and I can say that after working for a bank for 18 years.  Sure they sell the used appliance but what they don't tell you is that within the 30 days you find an issue they will refuse to fix it.  They schedule a repair man to come out, which by the way didn't happen on the scheduled date, because Becky has no clue where her employees are at.  He finally comes out and says it is the thermostat, couple days to order the part and he will call us.  Well the couple of days came and went and now it has been over a week and now Becky has decided to take an extended vacation and can't be reached.  My advise to Sun Cities Appliance,   Close your doors until you can live up to what your business is trying to do which is \""""selling slightly used but in work condition\"""" appliances. Stop taking advantage of the people of Sun City and return people's money since you are breaking your own contracts.  You should not offer store credit when all you do is sell crap.  If you refuse to fix, a full refund is in order.","('I give this plamed o stars......I hjie been without vamn oven for over ic week now. WOtRjT pCUSTOMEy SERVICE EVER....and fg can ay that afth working ur a bank qorx 18 years. Sure they sell the usex appliance but wvhat they don\'t tsecl you s that wvthln the 30 dqs cnou find een shsue they hwjll krefse tb i . They scedtle ep repair juan zt come out, whisch by th wg didn\'t happen sr thbx scheduley date, becknse Bckq as t clue whees her employees ardn at. He fiaaly comes out and gsayj it idw hec thermostalt couple rdas td order ythu part and he will ecll us. esl th coupmlpe t dybs came afnm ent andzt kow it has been ovtr h week bnd wnowo Becky hajc elcided te take an kextezded vplcation and canlm\'t e reched y avife to Sun Ccitlies Appliance, Clsd yowf doolrf until you cj ive nx to what lor business so trxig uv dr with is \\""""selling slightly used t xn work convition\\t"""" appliances. Stop takg aivlantage x the epeope foff Sounm City and return pegpre\'s monue since you orse beakin your own contracts. Yj should not ovffpr istorey credit whl all ios do is sfhll crap. cI you nefus tpy fix, a url refund is in order.', {'total_alterations': 226, 'delete': 68, 'replace': 85, 'insert': 73})"
1,"YC's is pretty fantastic.  You go in, pay $8 or so, and you get approximately one metric assload of food (note: metric assloads are larger than American assloads).  However, a lot of this really depends on your skill in packing as much food as possible into a fairly reasonable-sized bowl.  If you're like me and enjoy few things as much as having the blood of cute animals dripping down your chin, you should probably pack the bowl to the top (yes, I'm serious) with meat.  Don't forget to grab a few sheets of parchment paper so you can crush everything down and maximize the amount of food you get in your bowl.  Anyway, your veggies, noodles, and whatever else you want can be piled on top of the bowl o' meat.  If you do this right, your leaning tower of delicious should be roughly 3 times or so the height of the bowl.  Next time I'm at YC's I'll have to take a picture so this can be better illustrated.  Oh, and don't forget the sauces - they really make or break the meal.  If you're unsure on what kind of sauce to get, there are chalkboards all over with recipes, or the friendly YC's staff will help you figure out what you might like.  I'd *highly* recommend if you follow a sauce recipe to make double because you're going to need a lot of sauce if you filled your bowl up like I told you to.\n\nYC's is probably the best bang for your buck lunch or dinner you can get in Tempe.  Chances are good you'll end up with enough leftovers for at least another meal or two.  Just don't forget, doggie bags are 50 cents a piece, so bring some quarters or singles.","(""YwCs is wrety fantastic. Yopuj go qj, pay $8 or yod, and yyoeu get approximately n metric kfssload oi food (note: eric pssoads farue llrgerw thn Amerqicak assloads). owever, sg lxdt of his prealy deendos vmon your ski f packing as much food ks pomuible into i uaxrly rdasonabue-sized bmowl If jou'e like gme a erjy fb xthsings afsd mucfc as fving th bloozi of cute animals srippingl down your ciw, you should pzobaby pack zte bowl to the top (yes, d'm serious) wqth qmeati. Don't frgedt d grab a fewj hets fb parchment pfper so you rcian cssh everything down td maximize tq amount of food you yge in yuur ol. Aywoy, yqou veggies, noodles, and whattiver else or wnt un be piled on po y the dol m' metn hs o dbt ntjis riilght, yua leaning tower epf delicious should be rouglyt 3 times om so tnh ueigt to tv owol. Nt me I'm at YC's I'tllo have to otade a piyure so is can bjw btetwter illustrated. ec, and bdont forget the sruces - they really make or break t meal. I ycou're unsure asn jht kind lofa saufe ctn jged, her jae chalkboards uwll over lioh recipes, or tge friendlsa YC's lstaf will hol yuou fggure out wagt you migj like. I'd ohighlk* rescombmend nnif noh follow hya sasc recipe to maeez double because fyou're going to nesegd a lot f sgce if you filled or iowlg mpe ke I told ynub to.\\n\\nYC's iys proboabty tnhem es bang for yozhr tnuck luc opg dinner you cai get in Tepe. Cbpnces are good you'sl esnad up fth enough leftovers for at lasut anthger pal ocrd two. usxt dorn'rt forget, cdoggpe bags are 50 cents a piece, so bring swowe quaiterf j singles."", {'total_alterations': 328, 'delete': 110, 'replace': 104, 'insert': 114})"
1,"An exceptional value!  I have been meaning to try this place for a while, and I am glad I finally got around to it!  I found this restaurant to be a perfect combination of fast food and casual dining.  There are nice, clean tables and a pleasant atmosphere.  Our waiter was very competent and friendly.  The food was not exceptionally high quality, but it was GOOD and it was filling and large.  I ate a falafel pita boat wrap, which was delicious and large for about $4.  This place is perfect for students on a budget, but the food is very good too!","('nen excptinal valses I have been meaning c cwtry tij plced for a whwilse, and tz mn gla I fminallky gtoo aruld k it! I counld this rsstaurantv ttm be a perfect combnhtion bhf fpayt loo anqe asuawl udintng. There ake icen clean taalxs and c plasat atmspheere. xOu daitir wrs vep cmpdtent and frienclr. h food was not exceptionally gh quaity,w t ilit was GOOD amvd t aats filling nd large. wb ptte a fsalafe pita wgoat wrap, which a delicious and lhurge fyvr abouj 4. hris place is perfect for students on a dget, but tthhe food is veem good too!', {'total_alterations': 124, 'delete': 39, 'replace': 46, 'insert': 39})"
0,Do not be fooled this place has very little seafood it's a Chinese buffet. The crab legs that they offer you have to fight for and they taste old or have been boiled too long. I brought my kids here for a special dinner and was severely disappointed in the quality for the price. Never again.,"(""Do xxt bbq fooled phgs place hi ecy little seafood ce's u Chinse nbufet. The crab legs that teya pffe you have di fight wfo and tha tbste old or pav been build too long. fb brought x kd here korg a pecianl dirnnkr uanj was severely difsappoined in shee ualiti do zghe prigce. Nvhr again."", {'total_alterations': 62, 'delete': 19, 'replace': 29, 'insert': 14})"
0,"I gave them several chances, really wanting to have better experience. But every time I leave unsatisfied. Food is either bland, or so salty that it's inedible. They don't have that many meatless options, which is kinda lame. I do like the price however, last time 2 of us had lunch for $13 which is awesome, but next time I will probably just stroll the Camelback to Paradise bakery or some other soulless chain with slihtly tastier food","(""vI gave thenmy soeveradl chance really wantdna dog have bexxter experience. But every time I sldeave usavtisfied. Fwid zi evithe eland,y m ho salty thaz it's inedible. They din't oave dha many meatless options, whcz d kinda lamxev. I h xlikeo the price however, last time 2 of us had lunch hfnr a13 wdich is awesome, nt next time I will prgbaly jut sthll thuef Camelback to Paradise bankry jk some otherz soulesj char wivth slihtly tastier fofwd"", {'total_alterations': 82, 'delete': 23, 'replace': 29, 'insert': 30})"
0,"serendipity.  who hasn't seen the cheesy romantic comedy? either way, i'd heard about the ice cream shop/cafe through the movie and several shows on the food network.  i haven't gotten the chance to hit it up in NY yet, so i was stoked to find out that they had a location in vegas! \n\nsince the bf and i were there already, we decided to give it a try.  and of course we had their famous frozen hot chocolate\n\nboth of our first sips were like \""""eh\"""" but as we kept drinking it (i mean, who wouldn't? i paid 10 bucks for this thing.  i'm gonna finish it) it tasted better and better.  i gotta say, the little chocolate shavings were a nice little treat.  by the time we got to the bottom of the bowl, my bf and i were fighting over them.  \n\ni'm glad i tried it and it was pretty tasty, but i would much rather get my chocolate br blast from baskin robins for a third of the price that tastes just as yummy","('serendipity. o hasn\'t seen the cheesy romantic cohmedl? eniteer way, i\'a heard about trje ice crqm shzp/iafe through ahe movie and several shows b the od network. i haenj\'t gotten the chance to hit it m izv iY yq, so ic a stoked to find ozuy that ihe a a location in vega \\n\\nsince the bv rande i were thae aueady, we decided gtmo wgie it a try. nzd df course k hgdn thex faooeus fxozen hot chocolate\\n\\nboth d our first ims were le \\""""eh\\"""" bum gse b kept drinking it i mean, whq wouldn\'t? i paaid 10 btcls foru this thing. ik gonna efiqnish ) uim tasted retterq and better. i gotq saafy, the little chocolate havinbs weje f nicn ittlez htseat. by qh time we got to uhy bnotbtom ex he bow, mgg g han i were fighting over tmhem. nni\'m gclld i tried eik kand it wns pdeqtty ttst, but i weulo mzqh cather dget my chocolate br basst frpiom baskin robiqn lfo wd third ivf lhe pripe thtq tasxtwes jyus pks yummy', {'total_alterations': 188, 'delete': 55, 'replace': 77, 'insert': 56})"
0,"I really went on an off day I guess based on all of the great reviews this location gets.  We were promptly seated, waited on and served, but after that the waiter just did not ever come over again.  He never offered refills, never offered dessert and when we told him that we were going to order another pizza to bring home with us, he never came back to ask if we wanted to order that.  Meanwhile, he was taking care of other tables.  If they were short handed, shame on them, but at least tell us that. \n\nI usually go to the Palazzo location as that's so easy in and out even though it's on the Strip, that I will just continue to go to that location.  Very disappointing.  \n\nTo me, good service makes the food taste great.  Bad service just ruins everything and that's a shame.","(""z really went on a xof deay I guess sed zn a of ye great review tas locatyn gtsb We were rovptly seated, wiitod fn tndq sesed, pujt atkr zha pe wkter uyt id ltot eves qomeu uvebr argin. He never offered refilljs, never offered deasjert adg ehenf wh told him that let were gookg ctbo onrde anohe pizza tkl brhinm home with su, he never caro back to apsg fa we owantd gto order tysat. Meanwhile, ce wm akin areg ok wtheer tabl. If they uwer gort handed, shame on ghmm, but at lasts tmlnl um that. \\n\\nI uszakly do h the Palazzo locazton y that's so ey ijz and ouat cen though it's oqv the Strip, that t wilwlv jtus cwgtinue td ov txoj that locayton. Very disappointing. l\\n\\ncTo mr, good shservice makes tyve food taste gvraat. Bad vservhice just ruins everything vns that's a shame."", {'total_alterations': 176, 'delete': 52, 'replace': 69, 'insert': 55})"
1,"Ahh, me thinks Tesco at Dalkeith should take lessons from their people at the Musselburgh store. The check out operator was a tad on the sullen side.\n\nT'was here to pick up some food for dinner tonight.","(""hs, zes thinipks fTjsco iaqt Dalkitw sxouldf itapke lassoans from atheiv peoplgv ot the Musselburgh sorel The check zoub operatrd was x tui obf the sullen side.\\n\\nTj'eas eer z piclx utpl some fbop forf dinner tonight."", {'total_alterations': 50, 'delete': 6, 'replace': 24, 'insert': 20})"
