id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,negative,"Not a good one. -Not at all.<br /><br />This installment revolves around a descent of the original murderer inside the Amityville home who must face his past to rid himself of the nightmarish terror of Amityville itself.<br /><br />It's basically nothing. My bet is that this film was made for some extra fast-cash to buy a boat or something... because this one's just ridiculous... Thankfully, it doesn't kill or ruin the series, but it just has no effect on the series at all.<br /><br />I'd have to say that just the fact that it is constantly referenced to the old, infamous house is probably the only thing that makes this one slightly more bearable than ""The Amityville Curse"".","Nt a good bno. aNo bt all.<br /><r />Ths instalment revoles ryund a dzcsent v et origlnal murderer inside hve Amityville ymo hwo sua fce vh apd t rd hismelf ff en nightmarsh treror w Amityvlle itselv<.br />bvr 'It>s baxically .dthngn j eo s tts iis vilm sw mude fo some exdra afst-casc ut auy a iat i somethig... becuse ehts env' sult rodicuous... Thanlfulkym i doesn't kel o uin ahe seiesj tb fi jute ahs oo cffeet n the sirees n l<.lbr >/br />I'd hvfe t swy shat jut the fct nah l fi constantly referenged g st ol, irfamous house i prboably et syln ting tha haks hsn one plihtly kome bearble has sTh tmiAyoille rcCse""."
1,0,negative,negative,"Weak tale of an evil warlock who is searching for a centuries old satanic Bible so that he can do Lucifer's bidding by undoing creation. Hot in pursuit all the way is a 17th Centruy bounty hunter named Redfern and his reluctant sidekick Kassandra. Sound like a load of bunkum? It is.<br /><br />This drivel from writer D.T. Twohy gets the superficial treatment it deserves from director Steve Miner (who helmed that romantic nonsense ""Forever Young""). Twohy obviously knows nothing about true evil.<br /><br />Julian Sands just flies around and cackles, trying to look evil, while Richard E. Grant succeeds only in wasting his rich talent. Lori Singer's career also took a nosedive with this one.<br /><br />Special effects crew has some fun, and Jerry Goldsmith provides a score superior to its subject matter.","Weka tale o x vim warlock ohw sk sefrcgni sf a centirue df natasi Blbl as tjat e aq do Lucifr's bgwdini bl nudonb cteario. Hto ci purtuis al ehe yaw is a 1t7h Cenbryu bonty tunhe agme Rndfewe an sih reulcant sikekicd Ksasandra. oqnd like a dbal cf iunkum? tI i<gsbr <>/br a>This divyl from wrter T.. Toiy egt the suerficlai treamteng iz dsevres hrom oiretdr Stee Minr woh helmed tlt tomanri nonsensp ""Forete Y.ng""so Twohy oyiouslv wons rothinn abowu ruh hvil.<br />lbr />vuliaJ Sands jts ftes aounq an eacklcf, trygi et llok v,li xhle Richard .E Grnt sqecces onlv ni witsng hit rlc ealfnt orw eingSrs carehr aso ltok a nosvdie wth zhsi one.j<r />wrb />Spjcia efecst cwer as omr fune and Jbrry dolGsmidh provides a scose soperiur t it cujese mttaer."
2,1,positive,positive,"Jimmy Wang Yu, an authentic Asian superstar, directed and wrote this film which I have only seen in a dubbed videotape version. The widescreen (Shaw Scope!)shape was lost and the original actor's voices absent but this is still good to watch. The story is the usual martial arts school fights villains from Japan plot with our young hero winning out in the end by beating up loads of assorted thugs.<br /><br />The combat gets better as the film unravels. Early in the film it looks stiff and dull but later there is a great scene where Wang Yu fights hordes in a gambling joint then walks out into a snowy scene and takes some more villains on with knives, sword and fists. That part is very exciting.<br /><br />Quite good then but it would be interesting to see a non dubbed widescreen version if there is one.","Jimmy aWng ,Y na autentix asAn ,ukestars directed ad trowe thi film wihch I have nyl seen o a dbued vteodepe vnnsioe. Te wideseucn ahSw Scope!)shase sd lost dn htr originla actor' voicep absmn btu his ip ltis gooc o waych yh stoh si evt uual mirtaal trs schol ichts villsina orfm Japn lpot wigh ou ytung hore wgnniu tlo in the ent b bcaeing pu oads of ssomted thugs.<br >/<br yThe combat gstx better y ehe firm enrtvul. Erlq ni ch fiq k loki citff cn dll at xatel thev i a gera scen ehrw Wang lY figqs horse n a gmbling oitn hen awks to now a sonwy sceae nz tkaes som mor villvsni f wiht knqves, dwos nad ftsv. That rapt iq vrjy exclting.<br /r<b> /Qutue vdo hgen but k wuld f intersting o ese a ngn dubbe wgdescreen versino if there s onf"
3,0,negative,negative,"I remember when this show came out. It was originally advertised as a mini-series. At the end of the last episode it said ""To Be Continued"" to the dismay of all the people who had watched the whole boring beyond words thing. It ended as it was supposed to, so yes, you can blame the series for having no ending. The plan was for there to be another obviously if ratings had been higher, but it was a boring show that way too long, and annoyed people by not ending when it said it would, so they never made any more. Quite a few of the comments blame its cancellation and lack of ending on the viewing public, when the truth is that for this show that is not the case, it ended the way it was actually planned to end, it is just a lousy ending.","I rememer wneh snh xhs mrc uox It ws originaly advertised a a miri-senims cA et nwd df eht svlt edisode tf isd ""To se Con""nuedt ut hte dismay o ll vh peplx wh mad watchek td wolw gorib oebnd worf thingh It eedn ae i tw supposed t, qo nse oyu na alae thl ehsei rv hitang un nnidg. te plan saw fnr there jt bm anhtoer bviousln bi rztings ad lne higher, ba rt was a bonirg yow tat yat txo hong, adn naoyed peeple b not ennidg ehcn bt sid ht would, s thay nkver made yra eorz Quoe a ejw o eht boemmnts bame it caljenlation and laa of enhing n the yiwing lbpic, wne the rutl j tta oj thi sywo sha ws on htn qas,e t eedn em wa tb wah akutlly ilanned p edn tg s jqst a lyuo indeng"
4,1,positive,positive,"First at all: If you like watching movies I recommend you NOT to watch this one. Why? Afterwards you won't appreciate any other movie so easily anymore...<br /><br />Actually I don't wanna give rise to any excessive expectations but it is almost frightening how perfect, intense and beautiful this work of Einar Gudmundsson is. When in most movies there is at least one aspect spoiling the whole thing, like good actors but horrible dialogs or a nice scenery but low budget cinematography  in Angels of the Universe"" there is nothing of this ambivalence. Really everything is just great, even (and not least) the soundtrack with the magnificent Sigur Rós.<br /><br />In this story about Pall, a student that goes schizophrenic after being dumped by his girlfriend, especially the dialogs (and monologues) deserve some attention: together with (and sometimes in sharp contrast to) the plot they range from depressing and fatalistic to the whole opposite of comical and totally absurd. What is more, they are often (with quotes from Hegel and Shakespeare) of such a poetic beauty that the movie almost drifts into a surreal sphere and is only saved to the real world by its incredibly authentic actors.<br /><br />One of the other comments was already referring to another point: This movie is no trivial entertainment for relaxing in the evening. Despite of several comical reliefs in between it is largely disturbing, partly cynical and bitter, and most of all sad. It is a modern poetry about a life of insanity with all its emptiness, rage and solitude.<br /><br />Finally: When you've seen the movie  watch it again. There are some great visual metaphors and allusions in it that you realize only when you look twice and connect them with the moral of the story"". And of course: read the book, it contains a lot more of the small funny stories in between and also makes you understand some things in the movie a bit better.","First ta l:l j you kile watching mevias I hecommend yuo TOc b wahct zsi cne Wyh? pfterwards uo won't appreciate vyn otxeh mtie s eaispy anymorl...<br /><br />Actually I don't ownna vve rise wo aby sxceesive etpectaxios tu g ls lomso frightening hsw pefe,tc intense nd beatifuv thsi vork o anEr Gudmundson sy oehn n mopt moviej there i a leja lne aspec spoilin et wole thing, like good ators but hrdoible uialos ou a keci scenery tnb lf budge oinematcgrahy  a nselg fo teh Unirevse thxre s ithong f ihts ambvialnze. Reauly everything ps ugst gaet, ovn ns(d nyt lest) te osundtrack whti ek magnificent Spgur bó.<Rr /><bt >/I this story aboux Pa,cl a ptudent that soeg shizophrenhc after eibg ddpvu tb yi iirlfriend, pseacially te ialogs (and mgnoooues) dvseret sooe attention: teother wth a(nz ometimeh i shart cortnast )j mt plot tye rzge fom drpeesinm nad fttafisaic l the hwol opposit f ocmicvl na otaily absrz. Wjt si ,orem iey eer often (wiht quoses frtm lxgH de phaesSeare) mo shu a reoic beauy vat nt eoim almots dsiftr otn a surreal pshere vdn gi yln easd d hpe aes rwud by ti incridybli akthentic actrb.fsr bf</r O>/ye of eht htoer commvnts as elraady rnserrieg o another koi:t zhi mlie si o tcivial enbertainment fr relaxnq in the evengni. Despite fo eveasl comicat rqliefs n between il sj larevy drsturbgni, rnptly cynicl adn bitter, dna most ff alf sad It e a mdoern pytre gbua a life o insanity itj wl tis impteness, gare da solitude.<br /><br />Finaly: When yogve esem th voie  wacd ij gain. Thhre nre mose grrat vistal mptaehors td aliusion sn t thxt sy reazile oly hwn uo ulok ewit an connect hie wmi tee marol ok te story"". wn x :oursec rod et bkv, i cintaov a il ome f hte mlla ufny etoriss nt bepeen dna slo maes zu understand omj ggnts in ehm mouv a cbt btter."
5,0,negative,negative,"Rutger Hauer helps along a film that basically can be summed up in the young person finding themselves category, and rather obviously so, so it needs a lot of help.<br /><br />The beginning holds a lot more promise, of a film that could turn into Michael Clayton or Stranger Than Fiction. It's too bad because I really got hooked into the beginning. Then, like the opening soundtrack, it went from great and intriguing to basically nowhere.<br /><br />It's fun enough with plenty of curiosities and interesting characters acted well. I'm sure that will be enough for many people. The problem is it all feels contrived and empty which, ironically, is supposed to be the main discovery for the character's self realization. Not the film itself (it's not a self aware film), but that the character is supposed to recognize his own life is contrived and empty.","Rutge Huae helps alng a lifm sht lascabny aan e sumed u in tke youg nersbp niniwg tsemhelves catjgory, ad ruther mvisuoly sot so j eand a tol o hlp.<bm />b<r />Thh betinning holds a tl srm premio, or a fmi tat coald tns intv Michael Coytan rz Stranger Than Fictior. htI oto ba bceusx I reanyl tou okoed nitr the beginnigg. hTe, lkie the pening sondtrack, ti tnc frow rget and tiviguing o asicalry nowh.ree<br />r< />It's fun enoguh wioh psenty of curiosities ao innerestigg csarapteh etcd we.l Im' surv hhtt wii b ehowgn rof amz peopl. he proamel m bi la fsele montrive an pety whcx, iyonucallr, si szpsoped u be hfe main discvery rg eht 'hracyercs sef rvalization. Not hte libm itsyfl (i'ts mn a sfl ewra flhm), brt that jhe cerrcthr s soppused ot ecognize hi ow ilfe si contsiver dn empt."
6,1,positive,negative,"The Falcon and the Snowman is the true story of two college-age rich kids from L.A. who become spies for the Soviet Union. One, played by Penn, is already a drug smuggler up to his eyeballs in trouble. The other, played by Hutton, lands a position at an aerospace firm where his job is to man a top-secret cable facility. There he learns of some of the dirty tricks employed by the CIA on foreigners that America doesn't like. Don't forget that the movie is set the early 70s, the time of Vietnam and Watergate. Appalled at what he's learned, the Hutton character decides to betray his country and convinces his buddy to join him. Neither of them is long on brains, it is not long before they're way in over their heads with no way out.<br /><br />This is not a thriller, and is rather slowly paced. If this is not a problem for you, then it is well worth the rental.","bhe caqFn and ehu Snowman si te rtae stcr fo td college-ae cwh kid fom L.A op beome spies ro et Sovies ninoz Oe, plyaed q Pent si lrjady a lgu smugger pu xt is eyebaln nw troubl. he o,het pdayel yb Hutoo, landv a position qa a ayrospace firm rhwe si fob i oz mv a cp-qetret cale faci.ityl eherT e lrens q sioe f tv drity tricks epvoeyd by te CId no foreigners tht Ameica 'oehndt ize. Doot' ofoet thl tb mvpi iu set th ayur 70,s eht itm o Vietnan and Wter.ateg lppnAled g hwk hn's lkrnea, the Htton character decides o qetrb his coytru adn coninces si dudbs o jcin .mh Neethir fm sht is loeg on brnni, i iz nor lgno qefor they'r wya in oeva heri gads with o awy outa.br /><br />hic sn on a thiller, nap v rather nloylw pdcea. f nhis n nt a probmeb ffr you hte tp m wll worth gt aetrl."
7,1,positive,negative,"What you bring to the movie influences your view of it. I brought 30 years in the Air Force to this, and every time I see it I am moved by the ending. Would a youngster of 15 who's spent their life flying in jets feel the same way? Yet, I can only just its impact on me. <br /><br />Jimmy Stewart gives a wonderful turn as--Jimmy Stewart. Considering he was a pilot, and an Air Force Reserve General, he probably comes as close to being an expert on how a pilot would act as any man alive. One can't fault his delivery, or his acting. He IS a pilot BEING a pilot, that's enough.<br /><br />---Spoilers---<br /><br />It's the final minutes of the film that continue to grip my heart. Lindbergh has been flying without radio communication and has no idea if anyone is even expecting him. When he flies into the Paris airport, the uncertainty of the landing field draws you in. What is it below? Those shifting circles that look like cobblestones or a field of corn, must make you wonder, is he in the right place? They go on and on, streaming past his vision until he gets low enough and see that in the Paris night, what he was seeing was the light of the city reflecting off the upturned faces of the THOUSANDS of people waiting for him to land.","atah ye ikng qt hje movij infulnces yuo vww fo yi I brouht w years i et rx uorec to htim, na reey time I sle ti I ma vled by tn ndingt Would a yougster qf y wh's snst tvehr jife flyidg in jets hee txh skma wyf? Yem I ian rnl ujst sti mipacg no mt. b< /><br t>Jmiy Stewart gsvmi a wonderful nuut avy-Jimm- wteSxt. Considering he as a libot zn an Air roxce Reyerve Ganerel h probalv comes aj cose ot being an expelt oh ohw a olit wduo ac s any za xli.ev Oe c'nft nult his delvery, rn is acting. s s a picot eING a ilot, thar's enugh.fbr /<rb />---Spoilers---<br r><b/ /gt>s ht zianl nimutqs fo teh ailm tqa outijne to piz v hehrt Linrbedgh ap eeb blying ithout rado commuticanion and hba o idea pf inoen si nme expcting h.mi Whe he flies vnto ez faPis airpart, the ucertaiytn s mte ldnaing fdeli raos oy li. hta s i bwle? Thosy shifqng circle thta kool lkid coblestones o a ffed f ocin, simt ake oyu wonderl n vh in hti rght plea? eTy y on aa on, sreaming pjs hps viosn lntia he gsto low uougn df sce tha ri th Pari nihht, hpt b aws eeiug sw hte light o ehj cif reflqctin fo ek nptuuec faps f tse THSUOAND of plopes wating for idm o danll"
8,0,negative,negative,"Well, I generally like Iranian movies, and after having seen ""10"" by Kiarostami the night before, I was expecting a great movie. I was very disappointed. This is by far, the worst Iranian film, and one of the most boring Asian movies I have ever seen. If you have never seen a Kiarostami movie before, watch ""Ten"" instead. If you want some good Iranian movies, you may also try ""Sib"", aka ""The Apple"". This movie is divided in 5 parts, and only the fourth, featuring some funny ducks, is worth watching. If this is the first Iranian movie you see, you probably won't want to see any more. I don't blame you, but you will miss some great movies.","Wejl, I gnerally eql Irania movi,se adn afutr grinh seen 01"" m Kicrstami geh nvght befooe, I va excepting a gteaf movie. I wsg mvry dizapponitd. hcs z y far, the orms Iraniyn ilr, dn ne u te losm dobng Askan movies I heva vje senr. fI you jve ehvr eesn a Krarostami movie defero, atch ""Tkn nistad. I yu awt soem dog Irxnin movies, you ra olka nr ""biS"", tka ""Ted Arle"". hiz oyie y diivde n 5 ,artp adn only ut zo,thr featurilg smd funn ducks, a wortd watnhicg. uf shij s tf pirft Ivanan mevio oyu see, uo rovabby wout want to aes anf more I donjt blame oy, but hy vill mso some aeft mdies."
9,1,positive,negative,"Vidor shines as Judith, the only truly strong and compassionate member of a strictly patriarchal family. Her brother, David, is so downtrodden by their father that it's a surprise he's able even to tie his shoes, rather than asking Dad to do it for him.<br /><br />Other reviewers have already outlined the plot, so I won't rehash it; I will, however, point out that Nan, who is pregnant by David, is also married to him. This is not an out-of-wedlock pregnancy, which would have been horrific by 1921 standards. The two are secretly married, but Nan's father, having been paid by David's father, tears up their marriage certificate.<br /><br />Nan's death scene, with Judith in attendance, is a truly heart-rending experience, and highly charged with emotion. This scene alone is worth watching the movie for, but there's far more to the plot than that; why on earth aren't modern movies made with the same attention to the story?","Vidro shines d Ju,ithd whe only rucy staong da ompassionate membe c a srtcily ptriarcmal famlyf Her rrotheb, javid, ic os downtrodden yy zeir after that it's a surprise 'bhs aal evej t te sh shoes, rather htn askin Daf to g t sf him.<br />qbr hOj/er revsmwei anv alreaxy outwined te lpot, so I woy't erhah ti; I ,lli r,wevero piot uo tah Na,n ha si prygnant yb David si als mirraed t hom. This fi on a out-oftweclodk yegnanur, whihc uowld hwv eez hocrifc b 1j9 standards. hTk wt aek secrolt amrried, bu Nsn'a exthfr, yving eben oaid yb Dsiy'a fthre, tsate uu ther magriare certificite.<r <>/b />Nmn' dhac scene, wit sudit in attendcnae, ki a rluy heartwrending expepience, an hiyhlg ahcrged wihf emotiox. bhi ecsn aolnl rs orht watching eht movie wof ubn yhere's far erw o the ploi nat tqah; why n iare arenst mnlro mvies mad hitw teh same atetntion k the jtor?"
