id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,negative,"Not a good one. -Not at all.<br /><br />This installment revolves around a descent of the original murderer inside the Amityville home who must face his past to rid himself of the nightmarish terror of Amityville itself.<br /><br />It's basically nothing. My bet is that this film was made for some extra fast-cash to buy a boat or something... because this one's just ridiculous... Thankfully, it doesn't kill or ruin the series, but it just has no effect on the series at all.<br /><br />I'd have to say that just the fact that it is constantly referenced to the old, infamous house is probably the only thing that makes this one slightly more bearable than ""The Amityville Curse"".","wo a gov one. tot a ahl.<br /o<b> i>Th/s izsnallmen revotves mroudn a dnsceet fo hp original murderer niside he imAtyville home two ust cwe hg sapt to dif himshf f thv ntgtimarish terror of Amityville itseld.<br /><w /t>is basucaly n.thingo yM eg xi tht this fil xa mae of smoe exta tasf-cash ut vuy a tao fr something.. btasue this on's just ridiculou..q Thaakfully, t desn't knll r run ek sraee, ubt it just ahs o eofect n the reies ta ard.<bl b></r /cI'd have pt ap nhat gust et faxt taa i fs constantly rfeerencmd y eh ,ldo infumous eousf di probablw be lao thing ahh pakms tihs qe slgntly mor bearabse tkan ""Tz Amikyvile Curs""."
1,0,negative,negative,"Weak tale of an evil warlock who is searching for a centuries old satanic Bible so that he can do Lucifer's bidding by undoing creation. Hot in pursuit all the way is a 17th Centruy bounty hunter named Redfern and his reluctant sidekick Kassandra. Sound like a load of bunkum? It is.<br /><br />This drivel from writer D.T. Twohy gets the superficial treatment it deserves from director Steve Miner (who helmed that romantic nonsense ""Forever Young""). Twohy obviously knows nothing about true evil.<br /><br />Julian Sands just flies around and cackles, trying to look evil, while Richard E. Grant succeeds only in wasting his rich talent. Lori Singer's career also took a nosedive with this one.<br /><br />Special effects crew has some fun, and Jerry Goldsmith provides a score superior to its subject matter.","Weak txle f no evil crlowk wuo e scarhhing cof a ensuriet dlt batanc eilB xs gtah he cau d Lucife's mdiding yb unnidg creation. Hot n pursit la che awt sj a 17h entruy stunoy huttr namsd Redfer nd uhs relucaant sidekick Kssandra. Spund like a ldqo fz buxmuk? tk is.<br /><br />hTis rivel orfm wuite D.T. wToly get the superficial rtatmeoe ht desrvzs from director Steve enir p(o helmxd thwt ramonuic nnstnse ""roFevdr Youngm). Twoh obviouly kwws nothing ubott tjre ev<l.iir /x<br /jJulia> sandS ujs kles aronm va cackles, tying o look ivel wlihe Rixard Eh prnt succeds ynlo i wastdn hwi ricw talbnt. gor Singer'j carep alos otor a nosevev twh shit ome.<b /><xr >Special effcts frec aho sbe nyf nad Jefry Gldkmith provides a scort eusrior o its sujetc atter."
2,1,positive,positive,"Jimmy Wang Yu, an authentic Asian superstar, directed and wrote this film which I have only seen in a dubbed videotape version. The widescreen (Shaw Scope!)shape was lost and the original actor's voices absent but this is still good to watch. The story is the usual martial arts school fights villains from Japan plot with our young hero winning out in the end by beating up loads of assorted thugs.<br /><br />The combat gets better as the film unravels. Early in the film it looks stiff and dull but later there is a great scene where Wang Yu fights hordes in a gambling joint then walks out into a snowy scene and takes some more villains on with knives, sword and fists. That part is very exciting.<br /><br />Quite good then but it would be interesting to see a non dubbed widescreen version if there is one.","Jimy Wan ,d an uthentic nvas yuperstar, direted nad wrot thw flim whgh I hve only nes zn a dubad vtdepiape oersgvn. ho widesreea (Sar Scopc!)shap aw lnst ad ten oeigiral actors voisec abten lb trsi s itsl good ot catwh. vT strp i de usxa martial arsd chohl rgihts ivllans prom Jnza plot wigh ur gonh hev winnug uo i bt dt yb eating p aold b assorted thugr.<bs /><or >/Tbe combat setg beter n hta film unraves. Early n se gifm b loosk stcf dn dull tub later tere si a geat scen whee Wnag Yu figts hored in a ggmblina joint tneh wklks ot ith a wrosy ncpse and takes okme borm vilfins nl wihh kneis, swor ad fists. Tth pra fs fey excitin.g<br r<b/ /uQ>iu goo then but p dulw bn interesting to sen a ne dubbed widescdeen vosire w there is one."
3,0,negative,negative,"I remember when this show came out. It was originally advertised as a mini-series. At the end of the last episode it said ""To Be Continued"" to the dismay of all the people who had watched the whole boring beyond words thing. It ended as it was supposed to, so yes, you can blame the series for having no ending. The plan was for there to be another obviously if ratings had been higher, but it was a boring show that way too long, and annoyed people by not ending when it said it would, so they never made any more. Quite a few of the comments blame its cancellation and lack of ending on the viewing public, when the truth is that for this show that is not the case, it ended the way it was actually planned to end, it is just a lousy ending.","I remembee hwen til shqw cqe gut. tI was originally aeverisdd u a mini-series. s pt en e oeh last eipsode tn aid ""To w Continued"" o thc disky f lh el eople qh had watched ehl ohhe borig bedony woro th.igi I ednr x t sw suppsed to, os c,s ry nc aobme ehk eries cr ghving ni endin. hTe plan was ff teeh b ex nojher obioysru f rasingt ahd een higheq, wu is wa a wring hsw tbt ak oo lng, cd aneoyn eeolp j noo ending whed o sei t w,ulo q ety enver eadm yn eoro. iuQt a mw fo teh eommcns blme ijs cancellaniot ayd lkca fo endit n hs viewkng public, nhew hte tzut is ahtt fox thig phow htk is ton hme aes, r edep hi rw ti saw acyallu plennad o eld l i sujt a souly endi.gn"
4,1,positive,Positive,"First at all: If you like watching movies I recommend you NOT to watch this one. Why? Afterwards you won't appreciate any other movie so easily anymore...<br /><br />Actually I don't wanna give rise to any excessive expectations but it is almost frightening how perfect, intense and beautiful this work of Einar Gudmundsson is. When in most movies there is at least one aspect spoiling the whole thing, like good actors but horrible dialogs or a nice scenery but low budget cinematography  in Angels of the Universe"" there is nothing of this ambivalence. Really everything is just great, even (and not least) the soundtrack with the magnificent Sigur Rós.<br /><br />In this story about Pall, a student that goes schizophrenic after being dumped by his girlfriend, especially the dialogs (and monologues) deserve some attention: together with (and sometimes in sharp contrast to) the plot they range from depressing and fatalistic to the whole opposite of comical and totally absurd. What is more, they are often (with quotes from Hegel and Shakespeare) of such a poetic beauty that the movie almost drifts into a surreal sphere and is only saved to the real world by its incredibly authentic actors.<br /><br />One of the other comments was already referring to another point: This movie is no trivial entertainment for relaxing in the evening. Despite of several comical reliefs in between it is largely disturbing, partly cynical and bitter, and most of all sad. It is a modern poetry about a life of insanity with all its emptiness, rage and solitude.<br /><br />Finally: When you've seen the movie  watch it again. There are some great visual metaphors and allusions in it that you realize only when you look twice and connect them with the moral of the story"". And of course: read the book, it contains a lot more of the small funny stories in between and also makes you understand some things in the movie a bit better.","iirF t ll: e yog ile waiching voies I odcommene yo NOk tk wtxh this noe. hWye Agdrwares uy wolt apricoate any other movte so eysila anymorm...b< b></r /tA>ually I dn'l wacnn eivg gse t any esuexsive expectatons tu a is altosm frightening hwo perfect, intenke and beaotiful stit work zo Epanr dudmunGsson as. ehn f mtsu movius etert i ak leat nx sypec shoiling eh lohe ,inlh mil god cslrt but horeibl ddalogs rn a nige scenvry th low budget cinematoqraphy  s Angels o the Universe"" trehe si nghint r dhts embivalenca. eRall everythnv r sug grea, een cand not leas) vt soundtrck wth hf manificent Siur Ró.<br />hb /bn its sory abru ,llP a studect that oges cbizophrenis aeti bein duper yg sj g,rlfriendi especially hl dialos (an monolonues) deserve some atention: togeter with (nt aometmes n shap contcst tow jh olk they rgne dro depsering an faiaiistlc o kh wlhh opposite f coical nwd toallg adsurb ahb z more qty are often (ith quones zrm Heqel na Shakeppear) of shc a poctie ptaey att the ivoe elmost drsfi itnw a serrual sphere ar i ynlo asve ot hw rail orid ib its inbredicly euthantic asort.<br /><bl />On ol hte ovter xosentm sac llryde feferring o anoehtj poi:tn This eovim y fn troaivl entemtainrent rof relaxing ji ihe evgning. esipwe b sverad camwcol relbefs n betwaen t g largyle distirbng, partoy yhnical dua ibtter gn tom f llq s.d s si a mzero potery buoc a lfie fo insanity wiht aol isp emeginpss, rage ad soeitdl.<br ><br /hFinally: Whs you've nes te vomie  atch c a.ina Terh rz koe rgut visal metaphors nmd allsions u it thta uy zealire oly ehwn yuo korl teicw qd donect them bitw eh moran n he tory""v Adn o cours: ead we kol, it consaiat a lt romd fo tp lall funi seorits in etwees nk los maeks of unddrstae mse tping n hy movwe a it beettr."
5,0,negative,negative,"Rutger Hauer helps along a film that basically can be summed up in the young person finding themselves category, and rather obviously so, so it needs a lot of help.<br /><br />The beginning holds a lot more promise, of a film that could turn into Michael Clayton or Stranger Than Fiction. It's too bad because I really got hooked into the beginning. Then, like the opening soundtrack, it went from great and intriguing to basically nowhere.<br /><br />It's fun enough with plenty of curiosities and interesting characters acted well. I'm sure that will be enough for many people. The problem is it all feels contrived and empty which, ironically, is supposed to be the main discovery for the character's self realization. Not the film itself (it's not a self aware film), but that the character is supposed to recognize his own life is contrived and empty.","Rutger raqH ulep lnog a fim hqt absically can e sumed up n hne ywgnu prson finiing themselvs category nud agher gbvioosly so, s i feeds a tol fl hple.<ar /><br >/The bginning hids a to msre promrsi, oo a ifm that culd turn yni Milhyec nuytol nr Stranreg hhn Fcitioi. It's toc ad bedause I reamly tu hkooe intu ent beinnzng. Then, aek eq openin sundtract, it wetn frs gret and itriguing o blsicalay now.ereh<br />rb />I's fun enough oit plenty of curiosities nd intnrstieg charaters dcka well. mw sre tah wlil be oneugh fro manh people. The moblem i s all feles tnorived hd epty ,hchw ironicalu, si supposed i eb hu mani disyovery rs th chacarter's fls re.lizatxona tN tez flsm vtself (ix's noc a seh dwre )imf, lu tet et charactmr s spfuose ot rerognize hs own ive is coetrind da emptyv"
6,1,positive,negative,"The Falcon and the Snowman is the true story of two college-age rich kids from L.A. who become spies for the Soviet Union. One, played by Penn, is already a drug smuggler up to his eyeballs in trouble. The other, played by Hutton, lands a position at an aerospace firm where his job is to man a top-secret cable facility. There he learns of some of the dirty tricks employed by the CIA on foreigners that America doesn't like. Don't forget that the movie is set the early 70s, the time of Vietnam and Watergate. Appalled at what he's learned, the Hutton character decides to betray his country and convinces his buddy to join him. Neither of them is long on brains, it is not long before they're way in over their heads with no way out.<br /><br />This is not a thriller, and is rather slowly paced. If this is not a problem for you, then it is well worth the rental.","Th Focaq dn teh ynowman is hte drue short i two college-age ihc diw orfh L.A. ow cebomk icses for ha iovSe Uion. in,e peayld yn Pnmn, k aldeary a durg smegglup up st ies yeballs q troulp. The ohre, pdael by Hqtton, landc a position at i aerospace urf weewh hsi oz ji ot mn a top-necret cable flciatt. Ther ih neals fw nme ob te dgrty tmkis dmplyee ry tke Cj ot foeigners htao America doedn't l.ei Dotd aoget akt sht movie si es neh earpy 7s0 hte emi fo mietaV qn Wtergate. Apyaled ta ahs xeh learned, ht utqon hdracter dcides kt retbwy jhs cyutro an covincgs qs buddy o moin mis Ncither ef bet si oig jn brains, z x no lng beove they're aw rn rev tkier hedas iwth uo wa out.<b /><r iTh>s s not a htfiller, ead s rrhes plowyl pacd. fI thvs t tn a broplem rcf you, ehn t io hel wtth che yn.alt"
7,1,positive,positive,"What you bring to the movie influences your view of it. I brought 30 years in the Air Force to this, and every time I see it I am moved by the ending. Would a youngster of 15 who's spent their life flying in jets feel the same way? Yet, I can only just its impact on me. <br /><br />Jimmy Stewart gives a wonderful turn as--Jimmy Stewart. Considering he was a pilot, and an Air Force Reserve General, he probably comes as close to being an expert on how a pilot would act as any man alive. One can't fault his delivery, or his acting. He IS a pilot BEING a pilot, that's enough.<br /><br />---Spoilers---<br /><br />It's the final minutes of the film that continue to grip my heart. Lindbergh has been flying without radio communication and has no idea if anyone is even expecting him. When he flies into the Paris airport, the uncertainty of the landing field draws you in. What is it below? Those shifting circles that look like cobblestones or a field of corn, must make you wonder, is he in the right place? They go on and on, streaming past his vision until he gets low enough and see that in the Paris night, what he was seeing was the light of the city reflecting off the upturned faces of the THOUSANDS of people waiting for him to land.","Wht you bring wo the movie influences yur viw o ai I brouat 0 xars in the rk Foce to thisr dx every tae I ees ti I m modev h it enring. oWuy a youngter fo 51 ohw's spint teir fii fmgni k jest esl zh sema waye Yet, I can oqly sujt its impact o mo. r< />lbr />Jimw toewar vigs a wonderul hunr as-Jiqmy Sewars. Considering he wa a liot, abd nf rl Frcq reseRve Generl, e pyobablr cors sa elvc ot begi k xpert b hlo a ilto woulf lc sl ny amn alive. nOe 'anot afult ih delivery, o is actipg. eH l a pioxt ENIG a lilt, thsva en<ugh.obr b>/r />---Spoilers---<br /b<>r />It's et illn minsct f hje plm bat cotinue mt gip y heas.t Lindbergh ahs been flying ithout iido ommunicatiwn nj at nr idua h ynaone fs eevg expecting him. Wehl h flies inl th earis atrpori, ea jncertaint of gh ladbng liaf dqas you i. thaW i ih ilow? hosk sgiftinh yircles ytah gool eikl coeblestopbs ro a fdegi o con, uht yake yo wond,re is he in hte girht pale? yhT n o mnd no, teiameng pat hi viinc util h gbt low gnueh nd see that c te Parsi wigth, waht e aks esing cas vh lqgh on ehv ticy reflrctig off hte pturned fseb g hge THOUSANDS if peoplt nating foi yi t plnd."
8,0,negative,negative,"Well, I generally like Iranian movies, and after having seen ""10"" by Kiarostami the night before, I was expecting a great movie. I was very disappointed. This is by far, the worst Iranian film, and one of the most boring Asian movies I have ever seen. If you have never seen a Kiarostami movie before, watch ""Ten"" instead. If you want some good Iranian movies, you may also try ""Sib"", aka ""The Apple"". This movie is divided in 5 parts, and only the fourth, featuring some funny ducks, is worth watching. If this is the first Iranian movie you see, you probably won't want to see any more. I don't blame you, but you will miss some great movies.","W,lle I geyralla like Iaqnia soviem nd artf hbving senw 10"" y Kiarostami the nigvt zfeore, I wsa ixpeting a gerat movie. I wap evry disaprinted. his t by iar, he worts Iranian ism, nap eno fo th mto bdrig Asizn movies I ceva ever ueen. I hy haue nuev sbne a Kiarogtami moie oebrep wathc Tenm snteada If yuu want som dbog Iranian moies, eo qm aos tvy ""Sib, ka ""Thr Apple"". hTis movie sy dieivd n 5 astrr ad oyln th fourt,h featuring some funzy ducks, s whcto .atchingw I htis i the fvrst Irnian evim you see, yoi probbpy wnt' nat to ee yn moke. I dtno blae yoh, bdu uoy wli miss sme great moeiv."
9,1,positive,negative,"Vidor shines as Judith, the only truly strong and compassionate member of a strictly patriarchal family. Her brother, David, is so downtrodden by their father that it's a surprise he's able even to tie his shoes, rather than asking Dad to do it for him.<br /><br />Other reviewers have already outlined the plot, so I won't rehash it; I will, however, point out that Nan, who is pregnant by David, is also married to him. This is not an out-of-wedlock pregnancy, which would have been horrific by 1921 standards. The two are secretly married, but Nan's father, having been paid by David's father, tears up their marriage certificate.<br /><br />Nan's death scene, with Judith in attendance, is a truly heart-rending experience, and highly charged with emotion. This scene alone is worth watching the movie for, but there's far more to the plot than that; why on earth aren't modern movies made with the same attention to the story?","Voir shinfs ps Judih, te ony turlq otrsng da compassionaue mmber q a strlytc patrihrcaal mamily. ew rother, Dv,mi sx os downtrdden b teir father qat ias a ixrprsse sah aelb eve ou tie hqi shoez, rather dhtn asiksg Dad t d s fo him<.r /b<> r>Othey rviewers have alrady outlcned ty pot, s I 'got rehash ia; I iwll, hwmver, peio ot thas ,nnN ow i pregnnt bn David, s apo maeqird tr himx shs is nos x ut-of-iedlock pregnancy, bhich uzld hzve qeen horirfic yx 192s sandbrds. he two ua eyretlc maried, btu vn's fathe,n having eeb apik x Davy'i faret, tars p hter rarmiage certificats<br x><br s>'nNs deat seenc, wgth Judit in attendancv, i a truly ehart-rendivg experience, ap pighy hcarged whi emolion. This ocene aoen u woth watnhicg tex mwvie ofl, tu hvre'e gar meu r eeh polt tfn that wh m earty areb't morun movies mte wei the saem attention o fh soyr?"
