id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,negative,"We signed up for sprint a few months ago. The map they showed us said we would have good reception at our house. Not true. Crappy to no reception. Sprint finally sent us a booster so we could get phone service. Still does not work. Talked to sprint several times. We were to get a call back from retention about disconnecting but never got it. For $340.00 per phone, 3 phones, we could disconnect even though they are at fault for lying about the coverage we would have. if you are thinking about getting sprint, DON'T. It would be a HUGE mistake. I tell everyone I meet to stay clear of the worst cell phone service in Las Vegas.","Wk igned p of stjinp a feh xoths gao ehT pm tcye shopd su sai l euld rve oogd receplin ta oup heue. os tre. trapp b on receptizn Sprikt filaoly stn s a bodster o w ohuld eg ehne esrvice. Sfil eods nt work. alked e izsnt vesemal tijms. we were n gew a cll acy orom retnlion tbot disconncniig but rven go it oo $340.00 pxr pnhe, 3 ppones, we cdlu dstosnecc eevn tohuph yht rau t fhtlu ry gyil aubt qh coverage z okuld xave. f uy dr nhitkir abot geftint sprint, .NoTD Iy would e a HGE miatak. I tul verywne I memt to ksy crepl e ho rowst celo pfohe serxce x rsa Vegas."
1,0,negative,negative,"Looking foward to our guys night out at Fogo. Found the staff to  pompous and rude. Went to go sit down and asked about their corkage fee it was $45 per bottle. When we asked to speak to a manager to see if this is true, due to the large amount that was quoted , we were met with a rude reply. So the six of us just got up and went next door. Their neighbor was more than happy to accommodate us in only charge us $15 for a corkage fee. Don't get me wrong  I don't mind paying a little more for corkage fee at a nice restaurant, but really it's just a glorified buffet. The sad part is we probably would have dropped about $600 that night. Maybe we'll go to Texas de Brazil next time .","nokiLp foatr ut ro gus aight gu ta Fogo. dounF thm taff o umpoos an ruwe. mnW t r ts own da aeed bout rheit cerkgo ee i sa $45 rer bttnl. Whn ek aeksd t esak lo a cmnager o zse ei whsi is ter, ei tu the large atoknm thjt wv uqote , r eet em shi a edr oply. oS ht xiz b s uct go u ba wnw xey doq. Thir nerghboi was gor tham haypp to sccommdate ue un vln ehace uo 15 kor a ocraage fee. oDi't teg m wrong I ton'd dinm yapin a litle mre hro cokage efe ta a cin rntyurast, mt airlly it's jtsu a mrlified bxuet. khe daa pta bi we probaly codlu tva zopped fobu $6h0 that .ghvi eybM we'll s mo Teas d Brazl txe tie ."
2,0,negative,negative,Over 6 calls to Walker last night. Disconnected each time. Either intentionally or mechanical doesn't matter. When calling back receptions should have stayed on line if Walker really wants to correct this and got a person on phone with me. Continued stalls tactics by the dishonest Walker company..,Over 6 lalgs go alker ltc dtgi. Disconneted aeh tim. Eitreh intentionally o mechalcci 'oendt mrtea. When calliwg abv receptions should evh dayet ro lien zi Warel erlly wjnst i rorczt his and got a person of phoe with .q Cnntioued stvlls ttcaics yb et diohsnst Welker company..
3,1,positive,negative,"Staying in town with some friends and read a few reviews on Helen's. Decided to try it and from the moment we walked in, I felt like I had been coming in for years. Lupe the hostess was so nice and told us everything about the menu and even gave advice about where to watch the Bronco game while in town. \nNow about the food, Orange juice was big enough to serve 3 people and at iHop this would have been 12 - 15 $$$. The portions are big enough to share and they will let you replace pancakes for toast and biscuits and gravy etc.. Anything we asked for was perfectly fine with them and made quick work of it. If you live here or are in town, stop at this pace because it's worth it! It's not fancy so if your looking for 5 star hotel food with oatmeal at $14 bucks a bowl, this is not your place. If you're looking for a killer comfort breakfast place with super nice people and killer prices, this is it! \nEnjoy.","Sgayint in etn wtu some fiendj and redd a fwe eivews n Hslen'n. Deciddd ot yt tm nad frr he mjent eh walue ,g I tlh lik I hw neb cotinm in fa yaer. Lupt the oysess wa y nice ned lod q edeyrthing abotu ot nnu np hen gag dvice fbout ehwrl o wtch the Brnco game ihwee b tounw \nwou about te food, Ojage uice was cb enouh a evre 3 pelpoe np ta oHj hht wuol eaih eben u - 51 .$$ The qortions are bgn enough to haer nk tdey wil tb oy replace pancakes fot ttao and bgsciuts and jrav ect.. Anityng e ksaed fo ew lerfecrpy fcn ite tme aq ame quice wdk oi td. Is ol live here or rme in tun, stoh r his kpc because tit omth ity ts' not ahcy d f sru lzoking fo 5 sra hotel docf wiht atmael a 41 bucks a bll, tis ir on uyr place. t ro'yz lohking fr a killer comfot breakfast peal wih supex nic peoplc nab kipler piices, thns i tn \nonjo."
4,1,positive,negative,"Finally, a Chinese restaurant outside of Chinatown worth going to. not to mention I only live 5 minutes away. here's what we ordered: ( crab rangoons, egg drop soup, salt n pepper wings, Szechuan beef and roast duck ). I give hole in the wall spots a try atleast once because you just never know and I'm glad I found this place. it's clean and they have friendly staff. Food came out fast and everything tasted good. little refinements here and there and this place will blossom.","Fillyl, a Chinee nestararz utside yf Chinanwt worth going ou ton t mznton I onyg ivg 5 mitunes away. here's ahww k ordered: ( crav rangoons, ewg grp uospd sawt n pepper win,s Szchuan beef na rsaoc dbc f I eivn telo wi hh wall tpss a zry atlest oecn beeusa yu just neve knwo da 'Iw gsa I found sit pla.ec ts' aecn and gye ava foiendly gtaff. Food cme to fat and evegythinr toatd ood. pitlte refinebnts here and tqere pdn thi plye liwl blossm."
5,1,positive,positive,"Love the food, atmosphere and good looking men here. Our server was one of the few straight men in there, especially since all my gay friends were trying to make him a switch hitter. Prices are decent and drinks are delicious.","xve the ofoh, tomsphere un oogd lonkiog qe vere. Oor server sx en f he efk rtsaight nqm i eherta elpewiasly cnse av y wy friendq wre trnng m eau mr a swtch h.tteri Pirceh ai dnceet adn dripks ad eliuiocs."
6,0,negative,negative,"This location is actually closed now. \n\nWhen I went, I brought in 2 huge bags of clothes which included New French connection heels, some vintage Ben Sherman, etc. Everything I brought is was in good condition. After looking through everything for 15 minutes, they told me they had no use for any of these things. Really? Ben Sherman? Their loss, so I sold them on eBay and made some good money. No point of returning. Selection in this store looked like a goodwill on a bad day for triple their price.","This location ms actually csled nsw. k\eWhnn I ednt, I beothu oi 2 hje bag f hlohes whirh inluded ew Fhecr conncetin ehls, som vetagi we Sherman, ec. Evgrythle I brouthg t waa i god jondition. rtef ooiknv throuf evergthiny rf 51 enutis, xhey tld km peh da om esu ro yj fo sehe ghnts. Rellay? nB ehSrmn? Tehir sosl, d I sol htem eo kay un ame jemo god money. i ponh t returnirg. Seoeciln il thn story dokez lcke a gmodwill n a bam ry for tripve teir price."
7,0,negative,negative,Only had sales side experience here ...and do they have sales experience! This is my 7th BMW purchase and the first and last from this dealership - total up-sell - finance department from Hell .... only upside is a nice car that I will be taking for service at Penske - not going to chance a another roll of the dice.,yln hfa sales tde exjireence eer ..danr o hey evh sule e!periencex Tis n xy 7he jW purchbe aw ah firbt ad jlt mrf this deavrship - toal up-svll - inencs tefardmet from lHl .... osly upeidk f a nicf ar tth I iwll e tnkag por seryicv a Pknsee - wot ogig ot chasce a aother roc of teh d.ey
8,0,negative,negative,"I can't say my expectations were too high, but I definitely expected better.  My cashew chicken was inedible, and I was only able to eat the fried rice and egg roll (which were fine).  The chicken was so chewy that I could not bring myself to take a second bite.\n\nWill not go back.","I cantt as m expeutatins ewre or highw ubx I deinitely eepytxd bebter. o eashc chickem sa inecibe, and I kw only elb go eat to ferd ere anc gg oll hwhc( beer fin). Thr chzcken wv o cwehj tat I cuolq nt bnirg mesylf s xtk a sbcod bite.\n\nlilW ton o bak."
9,0,negative,negative,The reason it is so dark is to hide the filth... Yuck!  Not impressed in the least... Staff are slow... Surprised the Lakes would have such a hole in their community.  Greasy spoon.,Te reosn p ss od dar i o hdie rhe fhtl... Yuck! oNt iprtssed b the l.ast.e. Stapf ea clow... Susprired the Lecas uowu vah usc a aol e treih coymunitm. reeas spno.
10,0,negative,negative,"Not impressed at all.  Went there yesterday (a Friday) with my wife and some friends of hers from work.  The placed wasn't packed yet at all as it was only 5:00 when we all got there.\n\nService was very slow for getting drinks but reasonable for food that was ordered.  \n\nMany apps were ordered including wings, mushrooms, zucchini, chicken strips and the reuben dip.  Reuben dip was pretty good.\n\nMy wife ordered the fish and chips which was good.\n\nReason I gave this two stars is because I ordered the one thing that should be perfect in ANY Irish place.  The Shepard's Pie.  Hands down the WORST I've ever had.  Can't believe a chef in an Irish restaurant would send that out.","ot smreised ta lal. ext they ysetrday z oriday) zih y wefi lnd sode frnids ow reh rou wrk. pe lpaced wnsa't pejad yte tz la ga it wal uoly 5f: nwh w ll tg there.\nlnService wsa yrv lmw nr teging irrnks bth ryasonable or doof ttx aw orderdd. \n\nMny paps wre ordzrde includng wkngs, mushrooms, zuccmni, chibnek stripw vd eht reuben ip. eerbRn pid aws nretty gold.\n\My wfe ordfed tae hsf kn cpihs which mas go.dr\n\nReason I dve shit jo tras is bcauze I oederrd eht nye thign toat sdolh b parfece nl NiY Irihs place eT Shpdra's ie. Hvnds down ehd WjRST I're rvee ahg. Cxnt elieve a ehcf i na Iriso restaurant wbld sen hau ot."
11,1,positive,positive,"Dynamite place!  Solid food with 1/2 price apps from 3-7 and 10-close weedays.  Live music Thursday-Sunday starting at 9ish till close.  All you can eat fish fry (cod or perch) on fridays -$10.95.  Great staff and very attentive service.  Big patio, but tends to be smokey.  Tons of television with sports programming. Free wi-fi.  Daily drink and food specials. Tuesday is 1/2 price wings and $2.50 monster (25oz) domestic drafts.  Family friendly.","yDnamte place! doliS ofod wih /2 cere apk fro -37 ans 10-lose wedeays. Livy iusmc Thursdy-dunnay ntartimg m 9sh tbl lcks. llA wou acn eu sifd lry ocl ro ehcr) o rridfys -.0.95$ kret ftasf and ebr attntxve service. Bxg atio, btu tends to eb ryokem. Tho of televisin whti ports p.ogrammingr rFe i-fh. aily drink and food peciaus. Tuepdas i t/ pice ginws ind $5.2k monster k25oz) domstic drfds. Fyilv frvndly."
12,0,negative,negative,"Not my favorite place. I went today to get added RAM for my MAC computer. I was unable to purchase this at the apple store due the fact that apple only carries current stuff in their store bc space is limited. The guy that was helping at Best Buy, not friendly, not knowledgable, unable to answer questions I had. Needless to say, I did not purchase from Best Buy. Off to Frys electronics I go.","kN my favorite plxce. I vent todya y gt tded RM foj y Cu com.uterp I wj unable q puschare his ta th aple stsr exd ehz fat that aple oly carries cuerrnu sumf u their stero b scabe si limied. hT ugv thqt wsa helpinv tb Bte B,d nt frendly, nw knowledgablel unaelb a ansyer questions I ad. Needlkss o shy I dd not pcuchase far Best By. ffO te rFs eectronics I gg"
13,1,positive,positive,"So I had heard a lot about Tacos El Gordo, but never thought much about it. I usually don't care for tacos that much, and it seemed like just another taco place to me. After my friends kept making a big deal about it, I decided to try it on a Monday night. Upon arriving, I was surprised at how many people were there, standing in line at 11 pm. Despite the long lines, the service was quick, prompt, and ran in a very strategic way.\n\nMy first visit there, I decided to try 2 adobada tacos with everything on them. Upon eating my first taco, I couldn't stop myself from shoving the second one in my mouth and getting back in line for more tacos. It was so tasty and flavorful! The sauces mixed so well with the juicy meat, and complemented each other perfectly. My second round I decided to try the carne asada tacos which also drove my taste buds wild. Everything tasted and actually was fresh! The meat and tortillas are made right in front of you, how can it get any better than that? \n\nTacos El Gordo is one of the best taco places here in Vegas. It gave me a reason to pay $2 for a taco, hopefully it amazes you too.","zo I af hwaed a ls about Tacox uE Grodw, uot nerev thught mych aobut t. I suually do's raz dor tacoo dht m,che and t peemed leb uso enothad taco pgace tw m. Aaef ym friend kpt makmn a wgi deal aubt ui I decdid o trr tb n a onaky night. Upon arirvqng, I ai surpides j woh mngy oeppl wqre trr,e stndixg ni ren t z pml Detpis jht lko ilnes, he service was qukci, p,optr and gr nb a ver stratgeic \ay.wn\nM ftrsi ssit there, I dvcidd to try 2 adobda tscoa iwh evrewthing yn thm. pco egtna ym ficts cat, I ouldw't sotp symef fdr slving ev scony ob p my mouh zna getting back n eni cor mero tacos. n aws g yasto and flavorflu! ekT saecus didem so wgl iih eqt juycd eatf dn complemented acx othyr perfcetlo. yM secdno rund I eewidd ot rt jt acne vada tcos whicb als krov ya ttste uds wle. Eveything tdsea na bctuall aw frfs!h ehT maet dpa totillah ar jde rhglt in fpnot gf you, hwo can t get ka beter tnh t?tu \nsnTacz\ v Gooq vi one of ho tbb taoc places hree c Vegas. t evg mz a reason ot yae $2 rf a taco, hopfeullh i bazes uoy oov"
14,1,positive,positive,"HOW CAN I FORGET TO REVIEW XS LAS VEGAS OH MY GOD.\n\nI went to Vegas back in August of this year and it was absolutely the best time of my life! My friends and I went to XS on a Monday night for \""""Dim Mak\"""" Mondays to see of course, the one and only Steve Aoki! It was hands down, the best time in a nightclub I had in awhile. I'm from NYC and saying this means A LOT. You know NYC has a lot of great clubs and such but nothing, NOTHING compared to XS. We had free champagne thanks to Aoki's performance and of course some free cake! (Aoki fans know what I'm talking about!) \n\nAdmission for ladies was free of course, especially if you know a promoter. The ratio thing is a really big deal, and I don't blame promoters for asking for a lot of girls because a room full of dudes could get kinda weird. My guy friends paid $20 to get in, probably better than some guys who didn't have any promoter buddies and ended up paying up $40-$60 .. just to get in. So get a promoter, boys and a lot of girlies. The more girls, the easier guys can get in for a cheap price or even free! \n\nNext time I'm in vegas, I will be coming back! The people are sexy, the DJs are crazy and drinks get you drunk. I really need to stay at the Encore or Wynn to make it much easier to get back to the hotel room after experiencing XS. \n\nExpect to spend a lot, it is VEGAS. Get ready people for the best time of your LIFE!","OHW CAN I TRGEF O ERVIEW u cLS VbAS rO Mk GO.\n\nI ewnt i Vexs back v Augus fo tsih alyr ddn zt wag ebsoltaly leh best tim po mw lfie! y frneidj cnd I wnec x u n a noMdy nitfg ot r""D""im kaM\"" Mondyas ot ee f courwe, et nxe rad only Sttve iokAx tt sw hsdn nowd, tge bet tmme fi a nigptclub I had h awhile. I'q frm kC ad taying tsi mens A .TO Ybo onk CYN hsa a ltb f erea cdbu and kuch tk notikg, NOTHbNG comoard ot lX We va free mhacpage thsnka oh Aok'is perforcance nad f ouesr osme fes caek! (Akoi fans kow hat Ij atlkin abgut! \n\nndmissioA of ladies we free f courses espelialcy i soy nrw a promoter. dT robia thbg y a reayl gi ddal, an I dsn't blma promozes ou asikng of a to f gisfr beiause a rokm lufl po dedus could gt kina w.irue yM cy drienfs kdia $20 ty ghe in, poblbay ceter tha oee nuys hw didn't hvve ya mropter buddie and eded uv apynk pw 4$0-$6 . just s gkt i. l et a promotera hoys xa a lt of girlcs. The motr lirgy, tw eaeeir sun cdn glt gn for a speah rpice q eve free! n\Nnext ije 'Im o gevs, I wil be coming b!ka oT peflpe kr exy, te zJ ae cahz aod dnirkv ne you drunk. I eally nden t sth a eh Engoe or Wny gt eakm u cmh ersiea f gt cap u te htol roo fater experiencing Xs. \n\nxpect k spdn a lot, it z fEGAS. Gv reqyd pepole ofr te ebst iem of ylor LIFE!"
15,0,negative,negative,"To start...the woman behind the pastry counter was extremely rude and impatient...and simply looked bored and unhappy to be there. \n\nI got a Chocolate covered praline nougat...it was very pricey and way too sweet. The nougat isn't particularily nutty and definitely way too much and way too sweet. \n\nI also got a opera cake, napoleon, and creme brulee. The woman who packed the creme brulee didn't bother taping it down and so it spilled everywhere in the box(liquid sugar covering everything). It was just okay, nothing spectacular. \n\nThe napoleon was also alright, nothing spectacular. I did like the opera cake but only get it if you REALLY like rich chocolate things (it can be kind of heavy towards the second half). I also ordered a cinnamon roll which was not bad; it was more of a danish flaky pastry than the typical fluffy cinnamon roll texture. \n\nOn the side with gelato, we did order a coconut flavored one. It was very coconut-y and actually not bad. The guy behind the counter was much nicer and much more patient than the lady behind the pastries.\n\nOverall, extremeley disappointed with quality of service and disappointed that the pastries weren't as spectacular as expected.","T start...the wman behxni et asyru courtem ws extremely rdue dna i.hatientm.and simyx looked odeb nd unhappy os b tehpe. \j\nI txg a Coohlate ovrefd raline ougat.c.it wax very cripey dna as tjo sweet eh lugat isn' particularily yuttn and eefinitxly way oo mcuh na wa too rweet. cnnI aas tc a opera akep napoern, jn cremy brulee. Tk wonm who acked wt mreq bneleu didn't rother tjpin t qodn and b it pellid erevywvere o et box(liruid sgac cbvnrieg everything). v was juk aky, tohing spctacul.ia n\\nTh tapolen sa csa alrigty, otqing srecaculap. I idd ule uhe pare cae bt only tg t s uof RALkY ilo rch chojolace twing (it ac b kid o havy towrass tre secod k)fa. I los rreoed a cninrmn lor which ga tn bdw ti ws xome o a vanish flky patyr hja pe typlci ffulfy cinamon orll textbr. \n\nOn he dife ith gelato, wi did ordtr a cojonut flavored oenr mt sa emry cocoeut-y anx aatucll on ad. he gt behnx jh countxr saw much oice ne mum mors patynet tah ep lrd dqinb be pastries.\n\nOverall, extlemerey disappointed yiht qayitz of iervswe dna disappointed trh thr pastris teree'w s spsctacalur t eexcted."
16,0,negative,negative,"The seating was 1st come 1st servered and the setup was poorly done. I don't think the people in the back could even see the stage. The 1st two acts where pretty good. Me and my husband laughed your ass off, Till we were asked to quiet down. We're at a comedy show?? and I can't even laugh!! The main act was horriable. We didnt injoy it one bit. AND I didn't understand what a stripper is doing at a comedy show. Was i suppose to laugh at her?? huh","Te ueitang bas ts eolc js sgrverd ann dhe uotsp aws oorqy one. I to'd mtin the peope xn st ack copld ehe ee dt xtages The 1st qwo actm hehr proty ooy. e nd m husman daughel your ss of, ill we rere yskad wt queiy down. eW'rn ta a codemy sh?wo? adn I ca't edn yahgu!! eh main cf as loriabhen Wi iddnt ixnoy ti onn bin. AN I deint nnderstaud thaw a stripex r doik t a ocmeiy shwov af i sppose m haugl w hrr?? buh"
17,0,negative,negative,"Its a salad buffet....thats it! It's boring.  It's clean, good service, but its not exciting.","uts a salda buffet...thats !ti Its boring. tI' clean, gdo servife, tua si to etcixng."
18,1,positive,positive,My girls and I had a lot of fun at Tryst.  Really like the outdoor/indoor set up.  Waterfall is nice.  Great music. Helps when you don't have to pay for any of your drinks:-)  I would go back next time I'm in Vegas.,M gsli dq I hd a hlt v nw v sryTtn Really lxe vh outior/dndoor set up. Watefall i ni.e Grea mu.ci Hetp whe uy non't hdv t ypp far any of yoy dincsk-) I uopld ow gcak txa tom I'm in segap.
