id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,negative,"We signed up for sprint a few months ago. The map they showed us said we would have good reception at our house. Not true. Crappy to no reception. Sprint finally sent us a booster so we could get phone service. Still does not work. Talked to sprint several times. We were to get a call back from retention about disconnecting but never got it. For $340.00 per phone, 3 phones, we could disconnect even though they are at fault for lying about the coverage we would have. if you are thinking about getting sprint, DON'T. It would be a HUGE mistake. I tell everyone I meet to stay clear of the worst cell phone service in Las Vegas.","W signed w fod xprnit a wf mnnths ag. eT ai qhye showde su saai w odlt save gndo recejtoin at gur hzesu toN tureh rCazpy t no reception. iprint finelay nes us a oobser f w cuolf gt ohpne service. till soed not wtk. alkey d sprin everal timse. W rewe t jte a agl kacb orc reentnoi abou diwconnecting tub enver ogt ti. rF $340.00 pe phone 3 phsnes, i ould disconnec nvee thoueh theg ru ta faul foc lyni aouc aht corevag sw uowyd ahvc s uy ia zhnniig about gtting spint, DON'T. b would by a HGE miasake I lelt eevryone I met t str cleg f the woyst cefl qhpne sreice in aLs agas."
1,0,negative,negative,"Looking foward to our guys night out at Fogo. Found the staff to  pompous and rude. Went to go sit down and asked about their corkage fee it was $45 per bottle. When we asked to speak to a manager to see if this is true, due to the large amount that was quoted , we were met with a rude reply. So the six of us just got up and went next door. Their neighbor was more than happy to accommodate us in only charge us $15 for a corkage fee. Don't get me wrong  I don't mind paying a little more for corkage fee at a nice restaurant, but really it's just a glorified buffet. The sad part is we probably would have dropped about $600 that night. Maybe we'll go to Texas de Brazil next time .","Logkino aword ut od guy gint uot w Fogz nuFd he slaf to pompous adn dre. Wrnt t go hi wrn adn sked about tyri aorklg eaf it saw u5 re btt.rl htn l asked ot speak oh a mgegar c sek i tiw r cre, ud zo eht laer amount hat wa quotp , fw eere met whti a urq pele. i nhe hs fo s jsut got pu df newt qnt douo heir nerhboi ys mone tan hapy to accommodate su ni olm gzrhe t z$ jor a coakrge fee noD't get mf orwng I donh mxnd payng a ltytle romu rof corkage el ta a cij r,staurante kb seally t'n ujst a glofiried buffet. hTe ad art is wj prybablo would hqve dropde stuo $e0 tga nigt. dMbe we'l wo it esax ed Blazir ent tmie ."
2,0,negative,negative,Over 6 calls to Walker last night. Disconnected each time. Either intentionally or mechanical doesn't matter. When calling back receptions should have stayed on line if Walker really wants to correct this and got a person on phone with me. Continued stalls tactics by the dishonest Walker company..,Oev 6 caes m clker lart .igmtn Dicsonnwced hce eit. Either ntrntionally e emchaniccl deosn't matter. Whn callzng bace neceptiors shodlu hvae yased n kei i Wanrek really wwnt ot corret thvi nl po a peryon on hpoi wit mez Cotnnued stalis wactics y the dihotesn oalrek company..
3,1,positive,negative,"Staying in town with some friends and read a few reviews on Helen's. Decided to try it and from the moment we walked in, I felt like I had been coming in for years. Lupe the hostess was so nice and told us everything about the menu and even gave advice about where to watch the Bronco game while in town. \nNow about the food, Orange juice was big enough to serve 3 people and at iHop this would have been 12 - 15 $$$. The portions are big enough to share and they will let you replace pancakes for toast and biscuits and gravy etc.. Anything we asked for was perfectly fine with them and made quick work of it. If you live here or are in town, stop at this pace because it's worth it! It's not fancy so if your looking for 5 star hotel food with oatmeal at $14 bucks a bowl, this is not your place. If you're looking for a killer comfort breakfast place with super nice people and killer prices, this is it! \nEnjoy.","Styaing di bwn ith som friends and read a fw weiers oi Helen's. ecided z yr it no fmo hte mement ew dalwd u,n I emt lie I ad een coming in ur ysre. puLe tte hstess wps os cne nag tolg us eveyghinz bout evt meku adn evey gvae hidce abot wherr to wate eh Brnco gamt beli a not. onNw aobut xte ood, arOge juice va bg enough to serev 3 eeoplp xdn a ioHp sbt owld hvae neeb 2 - 5 $$$. Te porsibnt rce ib enough a ahsr aj ymt wil let uob replace pncakes gr oast vnd buskiis xnd fravy t..c Anything gw aksh fr as terfeptly fine wir eht aun badm quick kow o at s ygu ilv her og ar in town, stw j this ypc becduse 'tp wjrth !ti Is't tw yancl o fo our coonig oir 5 stwr hotel fsod tioh oatesl d 14 buhks a bow,l this s nt uoru elace. I yoeru louking ifr a kiler comfort braekfat pvace ith suor nice peopme nf kllier ericb, toih s it! \Ennjoy"
4,1,positive,positive,"Finally, a Chinese restaurant outside of Chinatown worth going to. not to mention I only live 5 minutes away. here's what we ordered: ( crab rangoons, egg drop soup, salt n pepper wings, Szechuan beef and roast duck ). I give hole in the wall spots a try atleast once because you just never know and I'm glad I found this place. it's clean and they have friendly staff. Food came out fast and everything tasted good. little refinements here and there and this place will blossom.","Fnialla a Chinese ertausant ouistd fo Chinatown worth goinj io. ot to mentirn I onlu ilv 5 minutes aay. heoe's wdh e ordered: ( cbar rngoons, gg dcop soup, stla n pkpper wins, zechuan lef xna roast kucd )k I gie hoe h eht law sopts a mt atelmst once becsua you tusj eevnr knwy an I'e glau I founj sit pleca yt's clean cd tyeh afe frhendly ftasfo oxFd caoe uog ast asn hverything tasdo dod. little rsfineaente reho ao eenh dn thiw clape jill blospom."
5,1,positive,negative,"Love the food, atmosphere and good looking men here. Our server was one of the few straight men in there, especially since all my gay friends were trying to make him a switch hitter. Prices are decent and drinks are delicious.","Love hc fod, atmosphure ad good lkoing mf nre. nu rsveq zas oe of the mw tsraight min c theret especially sipce acl w gy fiedns wrep trxing to make im a slwtch hidter. xPices ea decent anz sninkd ea delicwous"
6,0,negative,negative,"This location is actually closed now. \n\nWhen I went, I brought in 2 huge bags of clothes which included New French connection heels, some vintage Ben Sherman, etc. Everything I brought is was in good condition. After looking through everything for 15 minutes, they told me they had no use for any of these things. Really? Ben Sherman? Their loss, so I sold them on eBay and made some good money. No point of returning. Selection in this store looked like a goodwill on a bad day for triple their price.","hTis lacotxn c aatuclly cloep nowg \n\nWneh I ,enw I brogyt nv 2 hme bags o cltohe hhiw cnilude fNw French connetiot ,eelvh mss vintega na Sermany etc. Everything I brouht s sw in gxod codition. Aftzr loogink hrough eyrethzng rf 51 lmnutes, they tozl mb hey yd bn uqs of dn of twese things. Reaaly? mB Sherm?a Thtr lss, fs I lod thes n eBy sn xme ose gvd nome. o iopnt of reutrning. Selecton in this tore leokod like a doogwill no a ba yad ofr tipze teir peicr."
7,0,negative,negative,Only had sales side experience here ...and do they have sales experience! This is my 7th BMW purchase and the first and last from this dealership - total up-sell - finance department from Hell .... only upside is a nice car that I will be taking for service at Penske - not going to chance a another roll of the dice.,Osy had ialse siue expeieace heer ...ad s they have slaes ex!erencep ihw si m vht uB prchase ka ahe first an last rfom tgh dealepsoir - totae up-sell - cianfe eepartmdt fro lld .... orln upsice sc a ice car ahtt I wij e tauing fo service h Penske - ntq iofg yo chanec a tnothar lllo e tht diez
8,0,negative,negative,"I can't say my expectations were too high, but I definitely expected better.  My cashew chicken was inedible, and I was only able to eat the fried rice and egg roll (which were fine).  The chicken was so chewy that I could not bring myself to take a second bite.\n\nWill not go back.","I ca'y ya c expectaiions were too hiho qbt I dfinitleh eepxced bevte.r Mi psahew chicjn was inedild, wd I was onl able td ai ht reid rpe afn zgg rol (oich kree c.e)n eh chicnek wm sf chewy ahtt I cxuld got bring mself tf tekr a secdn bite.\n\nWill not x .ckb"
9,0,negative,negative,The reason it is so dark is to hide the filth... Yuck!  Not impressed in the least... Staff are slow... Surprised the Lakes would have such a hole in their community.  Greasy spoon.,ehT reason t si os dar ih o hix hq lifth.. Yuck! oh ipmresjd i te east... Stafj aeo slo..w Surlried ek cakes woulv hve uch a dlo q ehtir communiyt. Greasy v.oonp
