id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,negative,"We signed up for sprint a few months ago. The map they showed us said we would have good reception at our house. Not true. Crappy to no reception. Sprint finally sent us a booster so we could get phone service. Still does not work. Talked to sprint several times. We were to get a call back from retention about disconnecting but never got it. For $340.00 per phone, 3 phones, we could disconnect even though they are at fault for lying about the coverage we would have. if you are thinking about getting sprint, DON'T. It would be a HUGE mistake. I tell everyone I meet to stay clear of the worst cell phone service in Las Vegas.","qe sined p for spirn a fu mhntys .zg Th da mye ehowed y said fw wolu evh gyd recptaon at uor vouse oNf t.uer Crappy t nm recqtion. ilrSnt fially ent t a booste p e could et pheno service. till ones not work. Talked lo sprint severa tises. eW erw z gm a col kavb rum eetrntion aobut disconnecing ub ever wog i.t rcF 340.00 pr peo,en 3 ,oonesp z goud dcsconect evne ghouth they tr l naut ofr yling axut et cvoerage pw wotd pve. r uoy aze thinking buov getting spnrts DO'Te jI owlx be a HUcE iktased I tll everone I met tk sata ecar v teh rowut cell hpon veqsice li La eVgaj"
1,0,negative,negative,"Looking foward to our guys night out at Fogo. Found the staff to  pompous and rude. Went to go sit down and asked about their corkage fee it was $45 per bottle. When we asked to speak to a manager to see if this is true, due to the large amount that was quoted , we were met with a rude reply. So the six of us just got up and went next door. Their neighbor was more than happy to accommodate us in only charge us $15 for a corkage fee. Don't get me wrong  I don't mind paying a little more for corkage fee at a nice restaurant, but really it's just a glorified buffet. The sad part is we probably would have dropped about $600 that night. Maybe we'll go to Texas de Brazil next time .","Looing dodaw ot our gjys gint otu ja oogF. wuod tje sftf to oomppus dy rve. Wnt ot o tix dnw dn asmed absut hteir corkaue hf u was a4$ rep obtle. Whn iw rkde ht speak ot a manage kt te k ilts sq ,rut eu oi the larg alount lhat aws doteq , b were ts iwh a rdu rely. So et six ok su jfu zot t and weny xen door. Thevr neighbor iw hore tnah hapy ok accommodate us ni nly charge us p15 fro a corkage fee Dowt ty m wrgno I tongd mnd paing a littlt more ro cerkago bf da a ein ruqasrant, ut ryalle it's utq a gloyiied beffut. hTq sad part sf h proably uoul ahve rodpep oaut $60s that night. Mabbe w'ml i go Texas d Brzal ext time ."
2,0,negative,negative,Over 6 calls to Walker last night. Disconnected each time. Either intentionally or mechanical doesn't matter. When calling back receptions should have stayed on line if Walker really wants to correct this and got a person on phone with me. Continued stalls tactics by the dishonest Walker company..,Ovr 6 aclb x Walkep clt npit. Disyonnected caeh emh. Eitnr intentionally uo mechanical oesn't mgtter. nhf illaing back rkceptions qhsld vah seaygd o lye a easkWr rgllay nawt o corect his and gto a hrson no phne with me. Continzd stnlas taqtics yy hc dishofest Walke cpmoany.
3,1,positive,Positive,"Staying in town with some friends and read a few reviews on Helen's. Decided to try it and from the moment we walked in, I felt like I had been coming in for years. Lupe the hostess was so nice and told us everything about the menu and even gave advice about where to watch the Bronco game while in town. \nNow about the food, Orange juice was big enough to serve 3 people and at iHop this would have been 12 - 15 $$$. The portions are big enough to share and they will let you replace pancakes for toast and biscuits and gravy etc.. Anything we asked for was perfectly fine with them and made quick work of it. If you live here or are in town, stop at this pace because it's worth it! It's not fancy so if your looking for 5 star hotel food with oatmeal at $14 bucks a bowl, this is not your place. If you're looking for a killer comfort breakfast place with super nice people and killer prices, this is it! \nEnjoy.","gtayinS in onw oth som frsenwi dn rjad a ew revgws ov Helens. Dediced oq try ti ndd omm teh tmetn wp walked ni I oft like I aa eben womng ii tf years. teu ts hestos wsa o yne adx tdlk u reeithing abou hi menu adn vee iave aovie aboup were c watoh hx cronBo gae wile k yon. nmow bbout the food, Onarge eicj was big ebough o serve 3 loeee anx at iHp this oulc hvf eeen 2 - 5u u.$ vh powtior rf gi eondgh ot shfre dfa yhet iwla nt you ezpace apnmkes xr doast ra bitcuiss nad grav etv.. iythign w askel ol kws eerfectly sfe witq hem dz aae euci wro g ite Iu uo mei rnhe so aer i cwn, top la nih pve bedause is't woth i!t Ia's nt fancy s f yous lonkkog sr 5 str hwel fooc ith otmeai at $1 buskq a blwo, tiq di nw roy palce. I uru'oe lookign fo a xilrel omfort breakfkst pqace with usmer cie pepole nd rillek price,s thib is !m .nEjoy\"
4,1,positive,positive,"Finally, a Chinese restaurant outside of Chinatown worth going to. not to mention I only live 5 minutes away. here's what we ordered: ( crab rangoons, egg drop soup, salt n pepper wings, Szechuan beef and roast duck ). I give hole in the wall spots a try atleast once because you just never know and I'm glad I found this place. it's clean and they have friendly staff. Food came out fast and everything tasted good. little refinements here and there and this place will blossom.","Fiallz, a Chinvse reksauran oetsidu f Chinahtwn woth gtng o. ont zo mintoin I orly liee 5 munits yaw. rehe' what w orreced: ( nrab rangoons, ug orp s,uuo ldst n pepre ggnis Szhceuan bef aqd soart vukc )p I ejvg heso q eh lzwl sots a tcy atleast cno becuse oyi just navr knto and 'Im gld I found thys place. iu't claen na qey eva fliendry fdft. Food came ott fast dnk eherytiing tasted goo. lutle refinements hree wd here dna twi leca gwll blossm."
5,1,positive,positive,"Love the food, atmosphere and good looking men here. Our server was one of the few straight men in there, especially since all my gay friends were trying to make him a switch hitter. Prices are decent and drinks are delicious.","Lovf tez foqd, atemsphmre and good liokog em heae. mru server wds eno k thd few staright eqn ni ther, aspecielly since all d gma friends wen trygn l ace mm a wctyh hitter criPs ae decent ca rdiks tre delicous."
6,0,negative,negative,"This location is actually closed now. \n\nWhen I went, I brought in 2 huge bags of clothes which included New French connection heels, some vintage Ben Sherman, etc. Everything I brought is was in good condition. After looking through everything for 15 minutes, they told me they had no use for any of these things. Really? Ben Sherman? Their loss, so I sold them on eBay and made some good money. No point of returning. Selection in this store looked like a goodwill on a bad day for triple their price.","Tis location i actualld clysed now. \n\nvneh I went, I browhgt n 2 hugp bagd kf hlotces which iucjnded hew jrecnh connotion hpe,l seo vintage Ben nhSran, etc. Eherktving I brougth si wl i gno condtion. Aeti koolig thkrgh everything for 51 mintues, yhlt tblo d tby haj nw se ofe ya o tsee tnihgs. Raply? nB ?hermrS heir osn, k I sold them nq Bay zd mdre szoe ooo money. wN point of retkrning. eevSction ni hti stre leokod eki a godwill o a bad ad tor trpile treih prie."
7,0,negative,negative,Only had sales side experience here ...and do they have sales experience! This is my 7th BMW purchase and the first and last from this dealership - total up-sell - finance department from Hell .... only upside is a nice car that I will be taking for service at Penske - not going to chance a another roll of the dice.,Ogn ad slaes sid eiperience her a...hd d qye ahve ales experienee! Thq i i tb BM burchase nt tr first and lasu rkm this derleaship - txoal unsell - fnanec eeartmpnt form Hoe x... myn upsike is a nie rl hta I wll be takgnp lfr servicp t Pjnske - ot giig tt afcce a aethnr orl og teh diec.
8,0,negative,negative,"I can't say my expectations were too high, but I definitely expected better.  My cashew chicken was inedible, and I was only able to eat the fried rice and egg roll (which were fine).  The chicken was so chewy that I could not bring myself to take a second bite.\n\nWill not go back.","I nac't say my exnectabips jere tp hhe, tun I deiniyely exdectep bettt. My calhew chiekch as inedblj, ad I at yln aul b eua eht ride ecb na egg llo (hich ewre finp). eh hiceky sa z cxeh that I oulv na brnig myelf ot takn a sceord bitW.\n\nkill not og back."
9,0,negative,negative,The reason it is so dark is to hide the filth... Yuck!  Not impressed in the least... Staff are slow... Surprised the Lakes would have such a hole in their community.  Greasy spoon.,hTr leason it ci b dar i bo hid tha jilth... Yck! Noz impresseu in eht le.st..a atShf rd slkw... Surpriqed hc Lekns qouw heva scw a hole in heir iommunity. Greasy spoot.
